kandidatas,apygarda,nuo_galiojanciu_biuleteniu,nuo_rinkeju,apylinkese,pastu
Vladimiras VOLČIOK,Vilniaus - Trakų (Nr.57) vienmandatė apygarda,51.71%,49.02%,5837,1602
Jaroslav NARKEVIČ,Vilniaus - Trakų (Nr.57) vienmandatė apygarda,48.29%,45.77%,4743,2203
Leokadija POČIKOVSKA,Širvintų - Vilniaus (Nr.55) vienmandatė apygarda,52.97%,50.13%,4954,3617
Jonas PINSKUS,Širvintų - Vilniaus (Nr.55) vienmandatė apygarda,47.03%,44.51%,5375,2234
Kazimira Danutė PRUNSKIENĖ,Molėtų - Švenčionių (Nr.54) vienmandatė apygarda,52.80%,51.80%,5102,2122
Valentinas STUNDYS,Molėtų - Švenčionių (Nr.54) vienmandatė apygarda,47.20%,46.31%,4406,2052
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) vienmandatė apygarda,50.33%,49.37%,4831,3242
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) vienmandatė apygarda,49.67%,48.72%,5298,2669
Manfredas ŽYMANTAS,Zarasų - Visagino (Nr.52) vienmandatė apygarda,59.61%,58.49%,7675,1617
Petras PAPOVAS,Zarasų - Visagino (Nr.52) vienmandatė apygarda,40.39%,39.63%,4627,1668
Edmundas PUPINIS,Utenos (Nr.51) vienmandatė apygarda,60.67%,59.39%,7549,2108
Algimantas MATULEVIČIUS,Utenos (Nr.51) vienmandatė apygarda,39.33%,38.50%,4869,1391
Vytautas SAULIS,Rokiškio (Nr.50) vienmandatė apygarda,52.56%,51.60%,6163,2190
Aloyzas JOČYS,Rokiškio (Nr.50) vienmandatė apygarda,47.44%,46.57%,5752,1786
Vytautas GALVONAS,Anykščių - Kupiškio (Nr.49) vienmandatė apygarda,55.17%,53.61%,6303,2399
Sigutis OBELEVIČIUS,Anykščių - Kupiškio (Nr.49) vienmandatė apygarda,44.83%,43.55%,4840,2230
Viktoras RINKEVIČIUS,Biržų - Kupiškio (Nr.48) vienmandatė apygarda,55.99%,54.75%,6210,2896
Vytautas MOCKUS,Biržų - Kupiškio (Nr.48) vienmandatė apygarda,44.01%,43.03%,5059,2098
Antanas MATULAS,Pasvalio - Panevėžio (Nr.47) vienmandatė apygarda,63.26%,62.00%,6936,3069
Vilius GARBŠTAS,Pasvalio - Panevėžio (Nr.47) vienmandatė apygarda,36.74%,36.00%,4339,1471
Jonas JUOZAPAITIS,Pakruojo - Joniškio (Nr.46) vienmandatė apygarda,51.83%,50.60%,5417,2305
Zenonas PEKELIS,Pakruojo - Joniškio (Nr.46) vienmandatė apygarda,48.17%,47.02%,5586,1590
Rima BAŠKIENĖ,Šiaulių kaimiškoji (Nr.45) vienmandatė apygarda,57.88%,55.03%,5721,1479
Artūras TUPIKAS,Šiaulių kaimiškoji (Nr.45) vienmandatė apygarda,42.12%,40.04%,4230,1009
Zita ŽVIKIENĖ,Radviliškio (Nr.44) vienmandatė apygarda,57.67%,56.22%,7156,1994
Roma ŽAKAITIENĖ,Radviliškio (Nr.44) vienmandatė apygarda,42.33%,41.27%,5126,1591
Gintautas MIKOLAITIS,Raseinių (Nr.42) vienmandatė apygarda,50.19%,48.89%,5826,2057
Kęstutis SKAMARAKAS,Raseinių (Nr.42) vienmandatė apygarda,49.81%,48.51%,5699,2123
Zenonas MIKUTIS,Kelmės (Nr.41) vienmandatė apygarda,52.98%,51.41%,5770,1637
Zenonas MAČERNIUS,Kelmės (Nr.41) vienmandatė apygarda,47.02%,45.62%,4726,1848
Valentinas BUKAUSKAS,Telšių (Nr.40) vienmandatė apygarda,50.23%,49.52%,5785,1909
Gediminas VAGNORIUS,Telšių (Nr.40) vienmandatė apygarda,49.77%,49.07%,5663,1961
Saulius BUCEVIČIUS,Akmenės - Joniškio (Nr.39) vienmandatė apygarda,61.13%,59.96%,6710,1613
Algirdas MONKEVIČIUS,Akmenės - Joniškio (Nr.39) vienmandatė apygarda,38.87%,38.13%,4015,1277
Romas VENCLOVAS,Mažeikių (Nr.38) vienmandatė apygarda,54.74%,53.15%,6072,971
Jonas JURKUS,Mažeikių (Nr.38) vienmandatė apygarda,45.26%,43.95%,4818,1006
Audronė PITRĖNIENĖ,Skuodo  - Mažeikių (Nr.37) vienmandatė apygarda,60.29%,58.39%,5170,2322
Juozas TUMOSAS,Skuodo  - Mažeikių (Nr.37) vienmandatė apygarda,39.71%,38.46%,3414,1521
Virginijus DOMARKAS,Kretingos (Nr.36) vienmandatė apygarda,50.04%,46.94%,4246,1137
Egidijus KLUMBYS,Kretingos (Nr.36) vienmandatė apygarda,49.96%,46.86%,4148,1226
Jonas JAGMINAS,Plungės - Rietavo (Nr.35) vienmandatė apygarda,55.78%,54.36%,7381,1716
Vitas KLIMAS,Plungės - Rietavo (Nr.35) vienmandatė apygarda,44.22%,43.10%,5536,1676
Vaclovas KARBAUSKIS,Tauragės (Nr.34) vienmandatė apygarda,55.29%,53.68%,5234,1696
Edmundas ŠIMKUS,Tauragės (Nr.34) vienmandatė apygarda,44.71%,43.41%,4434,1170
Audrius ENDZINAS,Šilutės - Pagėgių (Nr.32) vienmandatė apygarda,57.84%,56.23%,6310,1361
Georgijus ČVANOVAS,Šilutės - Pagėgių (Nr.32) vienmandatė apygarda,42.16%,40.99%,4603,989
Petras GRAŽULIS,Gargždų (Nr.31) vienmandatė apygarda,69.52%,67.73%,6929,2333
Aidas Feliksas PALUBINSKAS,Gargždų (Nr.31) vienmandatė apygarda,30.48%,29.69%,3320,740
Julius SABATAUSKAS,Alytaus (Nr.30) vienmandatė apygarda,62.68%,59.14%,7042,1085
Artūras SKARDŽIUS,Alytaus (Nr.30) vienmandatė apygarda,37.32%,35.21%,4087,751
Algis RIMAS,Marijampolės (Nr.29) vienmandatė apygarda,58.64%,57.08%,6320,974
Rimvydas TURČINSKAS,Marijampolės (Nr.29) vienmandatė apygarda,41.36%,40.26%,4438,707
Alfredas PEKELIŪNAS,Aukštaitijos (Nr.28) vienmandatė apygarda,55.68%,53.54%,6917,1687
Jonas KATINAS,Aukštaitijos (Nr.28) vienmandatė apygarda,44.32%,42.61%,5326,1522
Gintaras ŠILEIKIS,Vakarinė (Nr.27) vienmandatė apygarda,53.37%,52.17%,7125,1022
Skirmantas PABEDINSKAS,Vakarinė (Nr.27) vienmandatė apygarda,46.63%,45.59%,6499,620
Julius DAUTARTAS,Nevėžio (Nr.26) vienmandatė apygarda,51.68%,50.00%,6617,1213
Juozas BEČELIS,Nevėžio (Nr.26) vienmandatė apygarda,48.32%,46.74%,6420,900
Valerijus SIMULIK,Dainų (Nr.25) vienmandatė apygarda,53.08%,51.62%,5978,662
Regina ŠIAURYTĖ,Dainų (Nr.25) vienmandatė apygarda,46.92%,45.63%,5345,524
Rimantas BAŠYS,Saulės (Nr.24) vienmandatė apygarda,50.96%,49.46%,5684,1008
Kazimieras ŠAVINIS,Saulės (Nr.24) vienmandatė apygarda,49.04%,47.60%,5639,802
Edvardas ŽAKARIS,Aušros (Nr.23) vienmandatė apygarda,59.30%,57.27%,6796,1003
Aidas GEDVILAS,Aušros (Nr.23) vienmandatė apygarda,40.70%,39.31%,4788,565
Raimundas PALAITIS,Pajūrio (Nr.22) vienmandatė apygarda,50.44%,48.76%,6388,998
Stasys MIKELIS,Pajūrio (Nr.22) vienmandatė apygarda,49.56%,47.92%,6340,918
Vaclav STANKEVIČ,Marių (Nr.21) vienmandatė apygarda,61.64%,55.27%,6348,448
Eligijus MASIULIS,Marių (Nr.21) vienmandatė apygarda,38.36%,34.40%,3813,417
Antanas BOSAS,Baltijos (Nr.20) vienmandatė apygarda,51.22%,49.70%,6780,732
Vytautas ČEPAS,Baltijos (Nr.20) vienmandatė apygarda,48.78%,47.33%,6361,792
Vytautas GRUBLIAUSKAS,Danės (Nr.19) vienmandatė apygarda,52.46%,50.79%,7186,1102
Ivanas ROMANOVAS,Danės (Nr.19) vienmandatė apygarda,47.54%,46.04%,6267,1245
Vida Marija ČIGRIEJIENĖ,Panemunės (Nr.18) vienmandatė apygarda,58.63%,57.05%,7212,963
Saulius GIRDAUSKAS,Panemunės (Nr.18) vienmandatė apygarda,41.37%,40.26%,5107,662
Kazys STARKEVIČIUS,Pramonės (Nr.17) vienmandatė apygarda,61.88%,60.29%,7546,991
Pranas PAŠKEVIČIUS,Pramonės (Nr.17) vienmandatė apygarda,38.12%,37.15%,4610,650
Kęstutis GLAVECKAS,Dainavos (Nr.16) vienmandatė apygarda,62.84%,61.59%,8122,861
Virginijus DYRA,Dainavos (Nr.16) vienmandatė apygarda,37.16%,36.42%,4812,500
Arimantas DUMČIUS,Kalniečių (Nr.15) vienmandatė apygarda,58.92%,57.62%,7343,792
Rytis ŠATKAUSKAS,Kalniečių (Nr.15) vienmandatė apygarda,41.08%,40.17%,5157,514
Rasa JUKNEVIČIENĖ,Žaliakalnio (Nr.14) vienmandatė apygarda,64.12%,62.47%,8292,859
Vydas GEDVILAS,Žaliakalnio (Nr.14) vienmandatė apygarda,35.88%,34.95%,4691,429
Vincė Vaidevutė MARGEVIČIENĖ,Centro (Nr.13) vienmandatė apygarda,63.21%,61.03%,7507,1119
Gintaras Jonas FURMANAVIČIUS,Centro (Nr.13) vienmandatė apygarda,36.79%,35.52%,4398,623
Rytas KUPČINSKAS,Aleksoto -  Vilijampolės (Nr.12) vienmandatė apygarda,59.03%,57.43%,8049,1191
Mindaugas SUBAČIUS,Aleksoto -  Vilijampolės (Nr.12) vienmandatė apygarda,40.97%,39.86%,5540,872
Rimantas Jonas DAGYS,Šilainių (Nr.11) vienmandatė apygarda,59.94%,58.35%,9155,770
Vilma MARTINKAITIENĖ,Šilainių (Nr.11) vienmandatė apygarda,40.06%,39.00%,6079,555
Jadvyga ZINKEVIČIŪTĖ,Naujosios Vilnios (Nr.10) vienmandatė apygarda,58.90%,57.46%,5941,830
Artūras MELIANAS,Naujosios Vilnios (Nr.10) vienmandatė apygarda,41.10%,40.10%,4056,669
Gintaras STEPONAVIČIUS,Lazdynų (Nr.9) vienmandatė apygarda,56.52%,55.37%,8596,1510
Alvydas POCIUS,Lazdynų (Nr.9) vienmandatė apygarda,43.48%,42.60%,6885,890
Danutė BEKINTIENĖ,Karoliniškių (Nr.8) vienmandatė apygarda,53.83%,52.50%,9244,1360
Viačeslav ŠKIL,Karoliniškių (Nr.8) vienmandatė apygarda,46.17%,45.04%,8337,759
Rimantas REMEIKA,Justiniškių (Nr.7) vienmandatė apygarda,56.53%,55.27%,8517,1082
Tautvydas VENCEVIČIUS,Justiniškių (Nr.7) vienmandatė apygarda,43.47%,42.50%,6747,634
Vilija BLINKEVIČIŪTĖ,Šeškinės (Nr.6) vienmandatė apygarda,59.15%,51.28%,6328,960
Audronius AŽUBALIS,Šeškinės (Nr.6) vienmandatė apygarda,40.85%,35.42%,4321,713
Raimondas ŠUKYS,Fabijoniškių (Nr.5) vienmandatė apygarda,59.13%,53.16%,7557,947
Artūras PAULAUSKAS,Fabijoniškių (Nr.5) vienmandatė apygarda,40.87%,36.75%,5127,751
Algis ČAPLIKAS,Žirmūnų (Nr.4) vienmandatė apygarda,52.58%,44.17%,6391,1099
Vilija ALEKNAITĖ ABRAMIKIENĖ,Žirmūnų (Nr.4) vienmandatė apygarda,47.42%,39.84%,5566,1190
Andrius KUBILIUS,Antakalnio (Nr.3) vienmandatė apygarda,61.16%,59.71%,9560,1836
Romualda KŠANIENĖ,Antakalnio (Nr.3) vienmandatė apygarda,38.84%,37.92%,6037,1200
Petras AUŠTREVIČIUS,Senamiesčio (Nr.2) vienmandatė apygarda,59.71%,51.41%,5649,1097
Jurgis RAZMA,Senamiesčio (Nr.2) vienmandatė apygarda,40.29%,34.68%,3686,865
