kandidatas,apygarda,nuo_galiojanciu_biuleteniu,nuo_rinkeju,apylinkese,pastu
Irena DEGUTIENĖ,Naujamiesčio (Nr.1) vienmandatė apygarda,57.96%,52.01%,6566,5877
Algirdas GRICIUS,Naujamiesčio (Nr.1) vienmandatė apygarda,42.04%,37.72%,5717,3307
Justinas KAROSAS,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,58.69%,56.60%,7496,2479
Algis BARANAUSKAS,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,41.31%,39.84%,4484,2538
Algis KAŠĖTA,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,51.12%,49.53%,4612,2830
Gediminas JAKAVONIS,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,48.88%,47.37%,4540,2577
Algirdas VRUBLIAUSKAS,Dzūkijos (Nr.69) vienmandatė apygarda,58.64%,57.05%,5967,2489
Arturas JUŠKAUSKAS,Dzūkijos (Nr.69) vienmandatė apygarda,41.36%,40.24%,4668,1297
Donatas JANKAUSKAS,Kauno kaimiškoji (Nr.66) vienmandatė apygarda,60.56%,58.99%,7194,1481
Antanas MAKAREVIČIUS,Kauno kaimiškoji (Nr.66) vienmandatė apygarda,39.44%,38.41%,4772,877
Viktoras MUNTIANAS,Kauno - Kėdainių (Nr.65) vienmandatė apygarda,60.62%,59.05%,7948,2201
Petras MIKELIONIS,Kauno - Kėdainių (Nr.65) vienmandatė apygarda,39.38%,38.36%,5246,1346
Jonas RAMONAS,Šakių (Nr.64) vienmandatė apygarda,64.40%,62.50%,6277,2855
Arvydas VIDŽIŪNAS,Šakių (Nr.64) vienmandatė apygarda,35.60%,34.55%,3541,1507
Vytautas Sigitas DRAUGELIS,Suvalkijos (Nr.63) vienmandatė apygarda,50.03%,48.76%,5043,2222
Juozas OLEKAS,Suvalkijos (Nr.63) vienmandatė apygarda,49.97%,48.71%,4855,2402
Saulius LAPĖNAS,Jurbarko (Nr.62) vienmandatė apygarda,59.12%,57.79%,5228,2679
Darius DRAGŪNAVIČIUS,Jurbarko (Nr.62) vienmandatė apygarda,40.88%,39.96%,3671,1797
Julius VESELKA,Ukmergės (Nr.61) vienmandatė apygarda,52.09%,47.83%,4824,1866
Loreta GRAUŽINIENĖ,Ukmergės (Nr.61) vienmandatė apygarda,47.91%,43.99%,4549,1604
Juozas JARUŠEVIČIUS,Jonavos (Nr.60) vienmandatė apygarda,50.91%,50.10%,6183,1177
Rimantas SINKEVIČIUS,Jonavos (Nr.60) vienmandatė apygarda,49.09%,48.31%,5885,1212
Bronius BRADAUSKAS,Kaišiadorių - Elektrėnų (Nr.59) vienmandatė apygarda,61.07%,59.58%,7038,2924
Juozas URBANAVIČIUS,Kaišiadorių - Elektrėnų (Nr.59) vienmandatė apygarda,38.93%,37.98%,4841,1510
Dangutė MIKUTIENĖ,Trakų - Elektrėnų (Nr.58) vienmandatė apygarda,54.11%,51.54%,3970,1923
Leonard KLIMOVIČ,Trakų - Elektrėnų (Nr.58) vienmandatė apygarda,45.89%,43.70%,3459,1538
