apygarda,gimimo_data,seimynine_padetis,sunkus_nusikaltimas,darboviete,kandidatas,gyvena,issilavinimas,pomegiai,gimimo_vieta,iskele,tautybe,saraso_numeris,uzsienio_kalbos,pripazintas_kaltu,neatlikta_bausme
Ukmergės,1943-02-08,vedęs / ištekėjusi,Ne,Lietuvos Respublikos Seimas.,Julius    VESELKA,Vilnius,Aukštasis;Vilniaus universitetas;Ekonomistas;1972,"Bitininkystė, Sportas, Knygų skaitymas","Ukmergės raj., Siesikų miestelis","Partija Tvarka ir teisingumas, išsikėlė pats",Lietuvis (-ė) ,10,"Vokiečių, Rusų",Ne,Neturiu
Jonavos,1951-08-10,Išsiskyręs(-usi),Ne,bedarbis,Vladislovas    VATĖNAS,Jonava,Aukštasis;Kauno Antano Sniečkaus politechnikos institutas;inžinierius-elektrikas;1975,"žvejyba, kelionės",Jonava,"""Fronto"" partija",Lietuvis (-ė) ,65,"Rusų, Lenkų, Vokiečių",Ne,Neturiu
Kaišiadorių - Elektrėnų,1962-07-26,Išsiskyręs(-usi),Ne,"UAB ""Urbanta"" Gen. direktorius",Rimas    URBUS,Vievis,Aukštasis;VPU;sociologija;2008,"turizmas, žūklė, sportas, domėjimasis psichologijos temomis","Trakų rajonas, Vievis, Pagrendos kaimas","""Fronto"" partija",Lietuvis (-ė) ,54,"Rusų, Vokiečių, Lenkų",Ne,Neturiu
Trakų - Elektrėnų,1969-06-19,vedęs / ištekėjusi,Ne,Trakų rajono savivaldybės administracijos Trakų seniūnas,Kęstutis    VILKAUSKAS,Lentvaris,"Aukštasis;Lietuvos teisės universitetas;Valstybės valdymo ir teisės fakultetas, teisininkas;2003;Aukštasis;Vilniaus pedagoginis universitetas;Rusų kalba ir literatūra ir psichologijos mokytojas;1993","Trakų Karališkojo rūmų teatro aktorius, Folkloro klasikinės muzikos mėgėjas, Laisvalaikiu vedu ir organizuoju renginius, Liaudies šokių kolektyvo ","Lankakiemio kaimas, Kruonio seniūnija, Kaišiadorių raj.",Lietuvos socialdemokratų partija,Lietuvis (-ė) ,99,"Anglų, Rusų, Lenkų",Ne,Neturiu
Vilniaus - Trakų,1952-01-07,vedęs / ištekėjusi,Ne,"ŽŪB ""Kyviškės"", pirmininkas",Sergej    URSUL,Vilnius,Aukštasis;Lietuvos žemės ūkio akademija;agronomas;1977,"s"", pirmininkas","Lipeckoje k., Kotovskio r., Odesos sr., Ukraina",Darbo partija,Moldavas (-ė) ,79,"Rusų, Lenkų, Ukrainiečių, Moldavų",Ne,Neturiu
Vilniaus - Šalčininkų,1962-01-01,vedęs / ištekėjusi,Ne,"Vilniaus energetinė statyba, direktorius",Arvydas    VALIUKEVIČIUS,Vilnius,Aukštasis;Vilniaus universitetas;Verslo administravimas ir vadyba;1994,"knygų skaitymas, Kelionės",Šalčininkai,Lietuvos Respublikos liberalų sąjūdis,Lietuvis (-ė) ,26,"Rusų, Lenkų",Ne,Neturiu
Vilniaus - Šalčininkų,1965-03-03,vedęs / ištekėjusi,Ne,"Lietuvos Respublikos Seimas, Seimo narys",Valdemar    TOMAŠEVSKI,Sudervės k.,Aukštasis;Vilniaus inžinerinis statybos institutas;Inžinierius mechanikas;1990,"Sportas, Žvejyba",Vilnius,Lietuvos lenkų rinkimų akcija,Lenkas (-ė) ,1,"Lenkų, Vokiečių, Rusų",Ne,Neturiu
Vilniaus - Šalčininkų,1953-12-06,vedęs / ištekėjusi,Ne,"Lietuvos Respublikos Seimo kanceliarija, Seimo nario padėjėja-sekretorė",Leonarda    STANČIKIENĖ,Šalčininkai,Aukštasis;Vilniaus Valstybinis pedagoginis institutas;rusų kalbos ir literatūros mokytoja;1975,"ikos Seimo kanceliarija, Seimo nario padėjėja-sekretorė","Marcinkiškių kaimas, Šalčininkų rajonas",Liberalų ir centro sąjunga,Lenkas (-ė) ,74,Rusų,Ne,Neturiu
Vilniaus - Šalčininkų,1974-06-25,Nenurodė,Ne,"Šalčininkų specialioji mokykla, direktorė",Ana    ORNOVSKA,Didžiųjų Baušių k.,"Aukštasis;Varšuvos universitetas, Tarptautinių santykių institutas;1999","Istorija, Politika, Menas","Baušių kaimas, Šalčininkų rajonas",Lietuvos socialdemokratų partija,Lenkas (-ė) ,55,"Rusų, Anglų",Ne,Neturiu
Vilniaus - Šalčininkų,1977-03-24,vedęs / ištekėjusi,Ne,"Vilniaus miesto savivaldybė, Tarybos sekretoriato vyr. specialistė.",Solveiga    MAKARENKIENĖ,Rudaminos k.,Aukštasis;Vilniaus pedagoginis universitetas;Psichologo kvalifikacija;2007;Aukštesnysis;Vilniaus aukštesnioji prekybos mokykla;Maitinimo įmonės vadybininko kvalifikacija;1999,"Politika, Sportas, Teatras",Vilnius,Partija Tvarka ir teisingumas,Lietuvis (-ė) ,75,"Rusų, Anglų",Ne,Neturiu
Vilniaus - Šalčininkų,1982-05-29,nevedęs / netekėjusi,Ne,Vilniaus mokytojų namai vairuotojas - ūkio darbuotojas,Jaroslav    KOZLOVSKI,Rūdninkų k.,Vidurinis;Vilniaus aukštesnioji žemės ūkio mokykla;namų ūkio ekonomas;2001,knygų skaitymas,"Rūdininnkų kaimas, Šalčininkų rajonas","""Fronto"" partija",Lenkas (-ė) ,43,"Rusų, Lenkų",Ne,Neturiu
Vilniaus - Šalčininkų,1958-02-22,Išsiskyręs(-usi),Ne,Nenurodė,Algis    GRIDZIUŠKA,Vilnius,Vidurinis;Grigiškių vidurinė mokykla;Nenurodė;1977,"Automobilių sportas, politika, kelionės","Trakų rajonas, Grigiškės",Tautos prisikėlimo partija,Lietuvis (-ė) ,70,"Lenkų, Ukrainiečių, Rusų",Ne,Neturiu
Vilniaus - Šalčininkų,1959-03-27,vedęs / ištekėjusi,Ne,"Ind. Įmonė V. Gorevojus, vadybininkė",Alina    GOREVAJA,Šalčininkai,Aukštasis;LIŽT (Leningrade);inžinierė;1990;Aukštesnysis;Vilniaus politechnikumas;elektros ryšio technika;1980;Vidurinis;Šalčininkų vidurinė ;1977,knygų mėgėja,Šalčininkų miestas,Darbo partija,Lenkas (-ė) ,80,"Rusų, Lenkų",Ne,Neturiu
Vilniaus - Šalčininkų,1958-07-08,vedęs / ištekėjusi,Ne,"UAB ""Matininko konsultacijų biuras"", direktoriaus pavaduotojas",Jonas    CIMBOLAITIS,Grigiškės,"Aukštasis;KPI;Šilumos, dujų tiekimas, vėdinimas;1981","Automobiliai, Antikvariatas, Knygos","Tiumenė, Rusija",Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,121,"Rusų, Lenkų, Anglų",Ne,Neturiu
Vilniaus - Šalčininkų,1957-12-29,vedęs / ištekėjusi,Ne,"UAB ""Artanas"", direktorius",Arvydas    BANIULIS,Vilnius,Aukštasis;VVU;Istorikas;1984,Teatras,"Ryga, Latvija",Lietuvos socialdemokratų sąjunga,Lietuvis (-ė) ,44,"Latvių, Rusų, Prancūzų",Ne,Neturiu
Vilniaus - Trakų,1968-02-16,vedęs / ištekėjusi,Ne,"Darbas pagal verslo liudijimą ""Gariūnų prekyvietė""",Algis    ŠUMSKAS,Vilnius,Aukštesnysis;Vilniaus miesto politechnikumas;Elektromechanikas;1987,"Sodininkystė, sportas, automobiliai, žvejyba, šokiai",Vilnius,"""Fronto"" partija",Lietuvis (-ė) ,4,"Anglų, Rusų, Lenkų",Ne,Neturiu
Vilniaus - Trakų,1977-09-24,nevedęs / netekėjusi,Ne,"Žilvino Mišeikio advokatų kontrora, advokatas",Aleksandr    SACHARUK,Vilnius,Nebaigtas aukštasis;Vilniaus universitetas;ekonomikos magistrantūra;2003;Aukštasis;Lietuvos Teisės universitetas;teisės magistras;2001,sportas,Vilniaus rajonas,Tautos prisikėlimo partija,Lenkas (-ė) ,9,"Lenkų, Rusų, Vokiečių",Ne,Neturiu
Vilniaus - Trakų,1961-08-11,vedęs / ištekėjusi,Ne,"Trakų rajono savivaldybės administracijos švietimo ir kultūros skyrius, vedėjas",Vytas    RUKŠĖNAS,Lentvaris,Aukštasis;VVU;matematikos dėstytojas;1984,"sportas, žūklė",Trakai,Liberalų ir centro sąjunga,Lietuvis (-ė) ,78,"Rusų, Lenkų, Vokiečių",Ne,Neturiu
Vilniaus - Trakų,1967-11-09,vedęs / ištekėjusi,Ne,"UAB ""Žvaigždžių planeta"", prezidentas",Zigmunt    ROMANOVSKIJ,Gineitiškių k.,Aukštesnysis;Vilniaus elektrotechnikos technikumas;Elektrotechniko;1987,"Sportas, Kelionės, Žvejyba",Vilniaus r. Rukainių k.,Naujoji sąjunga (socialliberalai),Lenkas (-ė) ,53,"Vokiečių, Rusų, Lenkų",Ne,Neturiu
Vilniaus - Trakų,1959-05-30,Išsiskyręs(-usi),Ne,"UAB ""Statybų paslaugos"", direktorius",Michailas    OLISOVAS,Raudondvario k.,Aukštasis;Vilniaus statybos inžinerinis institutas (VGTU);inžinierius;1988;spec. vidurinis;Leningrado TSRS VRM priešgaisrinė techninė m-kla;gaisrinis technikas;1980,"Povandeninis plaukiojimas, Medžioklė, Krepšinis, Ūkininkavimas",Vilnius,Lietuvos socialdemokratų partija,Rusas (-ė) ,56,"Anglų, Rusų, Lenkų",Ne,Neturiu
Vilniaus - Trakų,1962-01-01,vedęs / ištekėjusi,Ne,"Vilniaus miesto savivaldybės administracija, direktoriaus pavaduotojas",Jaroslav    NARKEVIČ,Trakai,Aukštasis;VVPI;Matematikos mokytojas;1983,"savivaldybės administracija, direktoriaus pavaduotojas",Trakai,Lietuvos lenkų rinkimų akcija,Lenkas (-ė) ,139,"Rusų, Lenkų, Prancūzų",Ne,Neturiu
Vilniaus - Trakų,1962-09-02,vedęs / ištekėjusi,Ne,UAB Roadcargo trans,Raimundas    KAVALIAUSKAS,Kalviškių k.,Aukštasis;Vilniaus inžinerinis statybos institutas;Automobilių transporto ekonomika ir organizavimas;1985,"Knygos, Turizmas",Alytus,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,77,"Anglų, Rusų",Ne,Neturiu
Vilniaus - Trakų,1945-01-17,Našlys(-ė),Ne,"Lietuvos Respublikos ūkio ministerija, vyr. specialistas",Antanas    KARTUNAVIČIUS,Sakiškių k.,Aukštasis;Maskvos liaudies ūkio valdymo institutas;Ekonomistas;1982;Aukštasis;LŽŪU;Inž.-mechanikas;1973,"ikos ūkio ministerija, vyr. specialistas","Paberžės km. Žąslių valsč. Trakų apsk., Lietuva",Lietuvos valstiečių liaudininkų sąjunga,Lietuvis (-ė) ,82,"Anglų, Rusų, Lenkų",Ne,Neturiu
Vilniaus - Trakų,1961-02-23,vedęs / ištekėjusi,Ne,"UAB ""Admirable"", direktorės pavaduotoja.",Irena    KALKIENĖ,Lentvaris,Aukštasis universitetinis;Vilniaus universitetas;Socialinis darbas;2009,"Gėlių dizainas, Skaitymas",Vilniaus m.,Partija Tvarka ir teisingumas,Lenkas (-ė) ,59,"Rusų, Lenkų, Anglų",Ne,Neturiu
Vilniaus - Trakų,1971-01-14,vedęs / ištekėjusi,Ne,"UAB ""MCh granitas"", Direktorius",Modestas    CHMIELIAUSKAS,Lentvaris,Aukštasis;Vilniaus pedagoginis universitetas;Istorijos mokytojas;1994,"kelionės, sportas, senų monetų kolekcionavimas",Alytus,Lietuvos Respublikos liberalų sąjūdis,Lietuvis (-ė) ,73,"Rusų, Lenkų",Ne,Neturiu
Trakų - Elektrėnų,1964-11-15,vedęs / ištekėjusi,Ne,Individuali interesų atstovavimo valstybės institucijose veikla.,Romas    STUMBRYS,Grigiškės,Nebaigtas aukštasis;Vilniaus universitetas;Ekonomika ir gamybos valdymas,"Sportas, Knygos, Kelionės","Vilkaviškio rajonas, Klausučių kaimas",Lietuvos Respublikos liberalų sąjūdis,Lietuvis (-ė) ,74,"Rusų, Vokiečių",Ne,Neturiu
Trakų - Elektrėnų,1974-04-13,vedęs / ištekėjusi,Ne,"LR Seimo kanceliarija, Švietimo, mokslo ir kultūros komiteto sekretoriatas, patarėjas (ES)",Audrius    SKAISTYS,Trakai,Doktorantūra;Mykolo Romerio universitetas;Teisės krypties mokslininkas;Aukštasis;Mykolo Romerio universitetas (Teisės universitetas);Teisininkas;1998;Aukštasis;Lietuvos policijos akademija;Teisininkas;1995;Vidurinis;Vilniaus 43 (Ryto) vidurinė mokykla;1992,"Sportas, Menas, Kinas, Teatras, Karyba",Vilnius,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,54,"Rusų, Lenkų, Anglų",Ne,Neturiu
Trakų - Elektrėnų,1942-07-04,vedęs / ištekėjusi,Ne,"Vilniaus Gedimino technikos universitetas, docentas",Jurgis    SAMULEVIČIUS,Vilnius,Aukštasis;VU;Ekonomistas;1965,"Sportas: futbolas, žirgai","Lietuva, Šiauliai",Lietuvos valstiečių liaudininkų sąjunga,Lietuvis (-ė) ,81,"Anglų, Rusų",Ne,Neturiu
Trakų - Elektrėnų,1962-03-09,Nenurodė,Ne,LR Seimas Seimo nario padejėjas,Jonas    SADOVSKIS,Naujojo Lentvario k.,Aukštesnysis;Elektrėnų energetikų mokykla;energetikas;1980,sportas,"Trakų rajonas, Naujasis Lentvaris","""Fronto"" partija",Lenkas (-ė) ,13,"Rusų, Lenkų, Prancūzų",Ne,Neturiu
Trakų - Elektrėnų,1960-09-14,vedęs / ištekėjusi,Ne,nėra,Kęstutis    RUPULEVIČIUS,Bražuolės k.,Aukštasis;Lietuvos teisės universitetas;teisės ir valdymo magistras;2003;Aukštasis;tautų draugystės ordino valstybinė Konservatorija;teatro režisierius;1987,"jojimas, aktyvus poilsis",Vilnius,Tautos prisikėlimo partija,Lietuvis (-ė) ,16,"Rusų, Anglų",Ne,Neturiu
Trakų - Elektrėnų,1966-08-06,vedęs / ištekėjusi,Ne,"LR Seimas, Sveikatos raiekalų k-to pirmininko pavaduotoja",Dangutė    MIKUTIENĖ,Trakai,Aukštasis universitetinis;M. Romerio universitetas;Viešasis administravimas;2007;Aukštasis;Valstybinės konservatorijos Klaipėdos teatro f-tas;Režisierė;1988;Aukštasis;Maskvos liaudies menų universitetas;-;1984;Vidurinis;Panevėžio J. Balčikonio vidurinė (dabar gimnazija);-;1984,"Kalnų sportas, turizmas, Politologija, Filosofija, Psichologija",Rokiškis,Leiboristų partija,Lietuvis (-ė) ,8,"Anglų, Rusų",Ne,Neturiu
Trakų - Elektrėnų,1952-02-24,vedęs / ištekėjusi,Ne,"Trakų r. savivaldybės administracija, Administracijos direktorius",Jonas    LIESYS,Rūdiškės,Aukštasis;Kauno kūno kultūros institutas;kūno kultūros mokytojas;1978,"sportas, turizmas, žvejyba",Molėtų r. Šiaudžių km.,Liberalų ir centro sąjunga,Lietuvis (-ė) ,49,"Rusų, Lenkų",Ne,Neturiu
Trakų - Elektrėnų,1940-09-01,vedęs / ištekėjusi,Ne,"Trakų rajono savivaldybės adm., mero pavaduotojas",Henrik    JANKOVSKI,Trakai,Agrarinių mokslų daktaras;Lietuvos Žemės Ūkio Akademija;Daktaras;1990;Aukštasis;Vilniaus žemės ūkio institutas;Ekonomistas;1973;Aukštasis;Lietuvis žemės ūkio akad.;Agronomas;1965;Aukštesnysis;Vilniaus Agrozootechnik.;Zootechnikas;1960,"Žūklė, Bitininkystė, Darbas sode","D. Lygainiai, Trakų raj.",Lietuvos lenkų rinkimų akcija,Lenkas (-ė) ,8,Rusų,Ne,Neturiu
Trakų - Elektrėnų,1953-11-29,vedęs / ištekėjusi,Ne,"Trakų rajono savivaldybės administracijos Aukštadvario seniūnija, seniūninė",Jadvyga    DZENCEVIČIENĖ,Aukštadvario mstl.,Aukštasis;LŽŪU;Ž. ū. gamybos organizatorė;1981,"Žurnalistika, Automobilio-motociklo vairavimas, Kelionės",Krunio kaimas Aukštadvario seniūnija Tarkų rajono savivaldybė,Naujoji sąjunga (socialliberalai),Lietuvis (-ė) ,55,"Vokiečių, Anglų, Rusų, Lenkų",Ne,Neturiu
Trakų - Elektrėnų,1959-11-10,Išsiskyręs(-usi),Ne,"PO ""Lietuvos rusų sąjunga"", Pirmininkas",Sergej    DMITRIJEV,Vilnius,"Aukštasis;Smolensko pedagoginis institutas;Istorija, anglų kalba, pedagogas;1983",Sportas,Vilnius,Lietuvos rusų sąjunga,Rusas (-ė) ,1,"Rusų, Anglų",Ne,Neturiu
Trakų - Elektrėnų,1948-07-19,vedęs / ištekėjusi,Ne,"Elektrėnų savivaldybė, mero pavaduotojas.",Algimantas    ADOMAITIS,Elektrėnai,Magistras;Kauno medicinos institutas;Gydytojas;1972,"Istorija, Publicistika, Faktų analizavimas, Mėgstu spręsti iš pirmo žvilgsnio neišsprendžiamas","Balninkai, Molėtų raj.",Partija Tvarka ir teisingumas,Lietuvis (-ė) ,52,"Rusų, Lenkų, Anglų",Ne,Neturiu
Kaišiadorių - Elektrėnų,1951-03-04,Išsiskyręs(-usi),Ne,Nenurodė,Kazimieras    UOKA,Vilnius,Aukštasis;Vilniaus universitetas;Istorija;1976,"Sportas, Turizmas",Kaunas,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,40,"Rusų, Vokiečių, Lenkų",Ne,Neturiu
Kaišiadorių - Elektrėnų,1955-08-23,vedęs / ištekėjusi,Ne,"UAB ""Scan Technika"", direktorius",Mindaugas    ŠIMKŪNAS,Žiežmariai,Aukštasis;LŽŪU ;inžinierius;1979;Vidurinis;Kauno 21 vid. (Nemuno) mokykla;Nenurodė;1973,Fotografija,Kaunas,Lietuvos Respublikos liberalų sąjūdis,Lietuvis (-ė) ,67,"Anglų, Rusų, Lenkų",Ne,Neturiu
Kaišiadorių - Elektrėnų,1963-05-05,vedęs / ištekėjusi,Ne,Kaišiadorių savivaldybės tarybos narė,Audrė    PREIKŠAITIENĖ,Kaišiadorys,Aukštasis;VPU;Lietuvių filologija;2007;Vidurinis;Kaišiadorių II vidurinė;-;1981,"Sveika gyvensena, Sportas, Mokslinės literatūros studijavimas",Kaunas,Leiboristų partija,Lietuvis (-ė) ,73,"Anglų, Rusų, Latvių, Lotynų",Ne,Neturiu
Kaišiadorių - Elektrėnų,1962-01-02,vedęs / ištekėjusi,Ne,"LVLS, koordinatorius",Kazimieras    NAUSĖDA,Kaunas,Aukštesnysis;Šilutės Tarybinio ūkio technikumas;Zooinžinierius;1982,"Sportas, Turizmas, Aktyvus poilsis, Filosofija","Šilutės rajonas, Versmininkų kaimas",Lietuvos valstiečių liaudininkų sąjunga,Lietuvis (-ė) ,71,"Rusų, Anglų",Ne,Neturiu
Kaišiadorių - Elektrėnų,1960-12-12,vedęs / ištekėjusi,Ne,"Trakų rajono savivaldybės administracija, direktoriaus pavaduotoja",Irena    NARKEVIČ,Trakai,Aukštasis;Vilniaus Valstybinis Universitetas;Ekonomistė;1983,"Rankdarbiai, Kelionės, Sodas",Trakai,Lietuvos lenkų rinkimų akcija,Lenkas (-ė) ,,"Rusų, Prancūzų",Ne,Neturiu
Kaišiadorių - Elektrėnų,1951-05-19,vedęs / ištekėjusi,Ne,"UAB Kaišiadorių autobusų parkas, vadybininkas",Antanas    LUKOŠEVIČIUS,Kaišiadorys,Aukštasis;Kauno A. Sniečkaus politechnikos institutas;inžinierius technologas;1977,"žvejyba, sportas","Lietuva, Kaišiadorių m.",Liberalų ir centro sąjunga,Lenkas (-ė) ,76,"Rusų, Lenkų",Ne,Neturiu
Kaišiadorių - Elektrėnų,1978-05-05,vedęs / ištekėjusi,Ne,"Mykolo Romerio universitetas, lektorius",Vytautas    KURPUVESAS,Vilnius,,"niversitetas, lektorius",Vilniaus rajonas,Tautos prisikėlimo partija,Lietuvis (-ė) ,2,"Rusų, Vokiečių",Ne,Neturiu
Kaišiadorių - Elektrėnų,1940-08-20,vedęs / ištekėjusi,Ne,"Kaišiadorių rajono savivaldybė, tarybos narys.",Stasys    DANIUS,Padūmio k.,Aukštasis;Lietuvos Veterinarijos akad.;mokslinis zootechnikas;1963,"Sodininkystė, Bitininkystė, Žvejyba",Tauragės rajonas Šaukėnų kaimas,Partija Tvarka ir teisingumas,Lietuvis (-ė) ,76,"Rusų, Anglų",Ne,Neturiu
Kaišiadorių - Elektrėnų,1944-02-20,vedęs / ištekėjusi,Ne,"Lietuvos Respublikos Seimas, Seimo narys, aplinkos apsaugos k-to pirmininkas",Bronius    BRADAUSKAS,Vilnius,Aukštasis;Leningrado aukštoji partinė mokykla;Valstybės valdymas;1984;Aukštasis;Vilniaus Universitetas;Ekonomistas;1966,"Medžioklė, Turizmas, Grybavimas","Lietuva, Ukmergės raj. Siesikų m-lis",Lietuvos socialdemokratų partija,Lietuvis (-ė) ,16,"Rusų, Lenkų, Vokiečių",Ne,Neturiu
Kaišiadorių - Elektrėnų,1952-05-29,Išsiskyręs(-usi),Ne,"DNSB S. Konarskio 8, pirmininkė",Lina    BARKUVIENĖ,Vilnius,Aukštasis;VU;Teisė;1976;Diplomatijos kursai;Maskvos universitetas;Diplomatija;1974,"Politika, Knygų skaitymas, Kelionės","Lietuva, Antaleptė, Zarasų rajonas",Naujoji sąjunga (socialliberalai),Lietuvis (-ė) ,90,"Anglų, Rusų, Lenkų",Ne,Neturiu
Jonavos,1967-05-31,vedęs / ištekėjusi,Ne,"VŠĮ Jonavos suaugusiųjų švietimo centras, direktorius.",Vytas    VAICEKAUSKAS,Jonava,Aukštasis;Kauno technologijos universitetas;Edukologijos magistras;2001;Aukštasis;Vilniaus universitetas;Istorijos dėstytojas;1992,"Sportas, Kelionės, Aktyvus laisvalaikis",Jonavos raj. Normainių kaimas,Partija Tvarka ir teisingumas,Lietuvis (-ė) ,49,"Rusų, Lenkų, Vokiečių, Anglų",Ne,Neturiu
Jonavos,1983-08-16,nevedęs / netekėjusi,Ne,Nenurodė,Valdas    SKARBALIUS,Jonava,Aukštasis neuniversitetinis;Kauno verslo kolegija;Vadybininkas;2005;Vidurinis;Raimundo Samulevičiaus vidurinė mokykla;2001,"Automobiliai, Lotynų Amerikos šokiai",Kauno miestas,Leiboristų partija,Lietuvis (-ė) ,53,"Anglų, Rusų",Ne,Neturiu
Jonavos,1952-04-03,vedęs / ištekėjusi,Ne,"UAB koncernas ""Achemos grupė"", vystymo direktorius - verslo vystymo departamento direktorius",Rimantas    SINKEVIČIUS,Jonava,Aukštasis universitetinis;Kauno technologijų universitetas;Neorganinių medž. ir trąšų cheminė technologija;1975,"Buvimas gamtoje, Darbas sode, Medžioklė","Anykščių raj., Jūsiškių km.",Lietuvos socialdemokratų partija,Lietuvis (-ė) ,63,"Anglų, Rusų",Ne,Neturiu
