apygarda,gimimo_data,seimynine_padetis,sunkus_nusikaltimas,darboviete,kandidatas,gyvena,issilavinimas,pomegiai,gimimo_vieta,iskele,tautybe,saraso_numeris,uzsienio_kalbos,pripazintas_kaltu,neatlikta_bausme
Naujamiesčio,1978-06-01,vedęs / ištekėjusi,Ne,"Lietuvos Informacijos Mainų Centras Ltd., Generalinė direktorė",Jurga    VIDUGIRIENĖ,Panevėžys,Aukštasis;VU KHF;Lietuvių filologija;2001,"Grožinė literatūra, klasikinė muzika, kelionės",KAUNAS,Lietuvos Respublikos liberalų sąjūdis,Lietuvis (-ė) ,7,"Anglų, Rusų",Ne,Neturiu
Lazdijų - Druskininkų,1968-04-02,vedęs / ištekėjusi,Ne,"Muitinės kriminalinė tarnyba, Marijampolės skyrius, vyriausiasis inspektorius",Renaldas    ŽILINSKAS,Marijampolė,Aukštasis;Vilniaus universitetas;Istorija;1994,Žvejyba,Marijampolė,Lietuvos socialdemokratų sąjunga,Lietuvis (-ė) ,17,"Anglų, Rusų, Lenkų",Ne,Neturiu
Varėnos - Eišiškių,1956-11-06,vedęs / ištekėjusi,Ne,"Šalčininkų rajono savivaldybės adm., meras",Leonard    TALMONT,Eišiškės,Aukštasis;Lietuvos Žemės ūkio universitetas;Agronomija;1979;Vidurinis;Eisiškių vid mokykla;1974,"Sportas, Medžioklė",Eisiškės,Lietuvos lenkų rinkimų akcija,Lenkas (-ė) ,141,Rusų,Ne,Neturiu
Dzūkijos,1950-12-04,Išsiskyręs(-usi),Ne,"Lietuvos Respublikos Seimas, Seimo narys",Vidmantas    ŽIEMELIS,Melkio k.,Aukštasis;Vilniaus Valstybinis universitetas;Teisininkas;1977,"Sportas, Filosofinės literatūros skaitymas","Gališkių km., Molėtų raj.",Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,141,"Rusų, Prancūzų, Anglų",Ne,Neturiu
Vilkaviškio,1961-11-01,Išsiskyręs(-usi),Ne,"Marijampolės advokatų kontora, advokato padėjėjas",Kęstutis    ŽIEMYS,Vilkaviškis,Aukštasis;Vytauto Didžiojo universitetas;teisė;2004;Aukštasis;Michigan State University;transnacionalinė teisė;2004;Aukštasis;Vytauto Didžiojo universitetas;vadyba;1997;Aukštasis;Kauno Politechnikos institutas;inžinierius;1990,"sportas, turizmas",Vilkaviškis,Liberalų ir centro sąjunga,Lietuvis (-ė) ,56,"Rusų, Anglų",Ne,Neturiu
Prienų,1970-01-03,vedęs / ištekėjusi,Ne,"Prienų raj. savivaldybė, mero patarėja",Rima    ZABLACKIENĖ,Pakuonio mstl.,Aukštasis universitetinis;Vilniaus pedagoginis universitetas;matematikos-informatikos mokyt.;1993;Vidurinis;Prienų r. Pakuonio vid. m-kla;1988,"kelionės, IT naujovės, kultūra",PRIENAI,Darbo partija,Lietuvis (-ė) ,94,"Rusų, Anglų",Ne,Neturiu
Kauno kaimiškoji,1956-01-13,vedęs / ištekėjusi,Ne,"VšĮ ""Kilnūs siekiai"", direktoriaus pavaduotojas socialiniams reikal.",Algirdas    ŽANDARAS,Mitkūnų k.,Aukštasis;Kauno kolegija;Kraštotvarkos inžinierius;2007;Aukštesnysis;Kauno 23-oji technikos mokykla;Technikas;1975;Vidurinis;Kauno II-oji vid. m-kla;Nenurodė;1974,"Istorija, Politika, Sportas",Kaunas,Partija Tvarka ir teisingumas,Lietuvis (-ė) ,77,"Rusų, Lenkų",Ne,Neturiu
Kauno - Kėdainių,1946-09-29,vedęs / ištekėjusi,Ne,"Kauno medicinos universitetas, profesorius.",Aleksandras    VITKUS,Garliava,Aukštasis;Kauno medicinos institutas;gydytojas;1970,Istorija,Kauno m.,Partija Tvarka ir teisingumas,Lietuvis (-ė) ,58,"Anglų, Rusų",Ne,Neturiu
Šakių,1953-07-31,vedęs / ištekėjusi,Ne,"UAB ""Bionovus"", mokslinių tyrimų departamento direktoriaus pavaduotojas",Jonas    ŠIMĖNAS,Vilnius,Aukštasis;Vilniaus universitetas;Hidrogeologija ir inžinerinė geologija;1978,"Folkloras, Progresyvių naujovių paieška ir diegimas, Sakralinė muzika, Gamta, Sportas","Papilių km., Anykščių raj.",Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,17,"Anglų, Prancūzų, Rusų",Ne,Neturiu
Suvalkijos,1979-05-26,nevedęs / netekėjusi,Ne,"LR Teisingumo ministerija, ministro patarėjas",Mantas    VARAŠKA,Vilnius,Teisės magistras;Lietuvos teisės universitetas;Teisininkas;2002;Teisės bakalauras;Lietuvos teisės universitetas;Teisininkas;2000,"Politika, Visuomeninė veikla, Literatūra",Kazlų Rūda,Išsikėlė  pats  ,Lietuvis (-ė) ,,"Rusų, Anglų",Ne,Neturiu
Jurbarko,1969-03-30,Išsiskyręs(-usi),Ne,"Darbas pagal autorinę sutartį, renginių vedimas, dainų atlikėja ",Eglija    VAITKEVIČĖ,Kaunas,Aukštasis;VPU;Slavistika;1992,"Skaitymas, Dainų kūrimas, Klasikinė muzika, Džiazas",Potsdamas (Vokietija),Naujoji sąjunga (socialliberalai),Lietuvis (-ė) ,79,"Vokiečių, Anglų, Rusų",Ne,Neturiu
