apygarda,nuo_galiojanciu_biuleteniu,partija,apylinkese,pastu,apylinke
Varėnos - Eišiškių (Nr. 70),0.0034,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",2,-,Senosios Varėnos (Nr. 39)
Varėnos - Eišiškių (Nr. 70),0.0017,Lietuvos laisvės sąjunga,1,-,Senosios Varėnos (Nr. 39)
Varėnos - Eišiškių (Nr. 70),,Lietuvos lenkų rinkimų akcija,-,-,Senosios Varėnos (Nr. 39)
Dzūkijos (Nr. 69),0.3086,A.Brazausko socialdemokratinė koalicija,143,7,Nemunaičio (Nr. 50)
Dzūkijos (Nr. 69),0.1872,Naujoji sąjunga (socialliberalai),88,3,Nemunaičio (Nr. 50)
Dzūkijos (Nr. 69),0.1564,Tėvynės sąjunga  (Lietuvos konservatoriai),66,10,Nemunaičio (Nr. 50)
Dzūkijos (Nr. 69),0.142,Lietuvos liberalų sąjunga,64,5,Nemunaičio (Nr. 50)
Dzūkijos (Nr. 69),0.0823,Krikščionių demokratų sąjunga,39,1,Nemunaičio (Nr. 50)
Dzūkijos (Nr. 69),0.037,Lietuvos valstiečių partija,16,2,Nemunaičio (Nr. 50)
Dzūkijos (Nr. 69),0.0226,Lietuvos centro sąjunga,11,-,Nemunaičio (Nr. 50)
Dzūkijos (Nr. 69),0.0185,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",9,-,Nemunaičio (Nr. 50)
Dzūkijos (Nr. 69),0.0144,Lietuvos krikščionių demokratų partija,6,1,Nemunaičio (Nr. 50)
Dzūkijos (Nr. 69),0.0123,Nuosaikiųjų konservatorių sąjunga,5,1,Nemunaičio (Nr. 50)
Dzūkijos (Nr. 69),0.0103,Lietuvių tautininkų sąjunga,3,2,Nemunaičio (Nr. 50)
Dzūkijos (Nr. 69),0.0041,Lietuvos laisvės sąjunga,2,-,Nemunaičio (Nr. 50)
Dzūkijos (Nr. 69),0.0021,Lietuvos lenkų rinkimų akcija,1,-,Nemunaičio (Nr. 50)
Dzūkijos (Nr. 69),0.0021,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",1,-,Nemunaičio (Nr. 50)
Dzūkijos (Nr. 69),,"Lietuvos partija ""Socialdemokratija 2000""",-,-,Nemunaičio (Nr. 50)
Vilkaviškio (Nr. 68),0.4155,A.Brazausko socialdemokratinė koalicija,106,12,Gudelių (Nr. 44)
Vilkaviškio (Nr. 68),0.2394,Naujoji sąjunga (socialliberalai),64,4,Gudelių (Nr. 44)
Vilkaviškio (Nr. 68),0.1056,Lietuvos liberalų sąjunga,30,-,Gudelių (Nr. 44)
Vilkaviškio (Nr. 68),0.0563,Lietuvos valstiečių partija,16,-,Gudelių (Nr. 44)
Vilkaviškio (Nr. 68),0.0423,Krikščionių demokratų sąjunga,9,3,Gudelių (Nr. 44)
Vilkaviškio (Nr. 68),0.0352,Tėvynės sąjunga  (Lietuvos konservatoriai),10,-,Gudelių (Nr. 44)
Vilkaviškio (Nr. 68),0.0317,Lietuvos krikščionių demokratų partija,7,2,Gudelių (Nr. 44)
Vilkaviškio (Nr. 68),0.0282,Nuosaikiųjų konservatorių sąjunga,7,1,Gudelių (Nr. 44)
Vilkaviškio (Nr. 68),0.0141,Lietuvių tautininkų sąjunga,3,1,Gudelių (Nr. 44)
Vilkaviškio (Nr. 68),0.0106,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",3,-,Gudelių (Nr. 44)
Vilkaviškio (Nr. 68),0.0106,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",3,-,Gudelių (Nr. 44)
Vilkaviškio (Nr. 68),0.007,Lietuvos centro sąjunga,2,-,Gudelių (Nr. 44)
Vilkaviškio (Nr. 68),0.0035,Lietuvos laisvės sąjunga,1,-,Gudelių (Nr. 44)
Vilkaviškio (Nr. 68),,"Lietuvos partija ""Socialdemokratija 2000""",-,-,Gudelių (Nr. 44)
Vilkaviškio (Nr. 68),,Lietuvos lenkų rinkimų akcija,-,-,Gudelių (Nr. 44)
Prienų (Nr. 67),0.2697,A.Brazausko socialdemokratinė koalicija,131,13,Stakliškių (Nr. 34)
Prienų (Nr. 67),0.264,Naujoji sąjunga (socialliberalai),119,22,Stakliškių (Nr. 34)
Prienų (Nr. 67),0.1067,Lietuvos liberalų sąjunga,52,5,Stakliškių (Nr. 34)
Prienų (Nr. 67),0.0805,Tėvynės sąjunga  (Lietuvos konservatoriai),40,3,Stakliškių (Nr. 34)
Prienų (Nr. 67),0.0674,"Lietuvos partija ""Socialdemokratija 2000""",35,1,Stakliškių (Nr. 34)
Prienų (Nr. 67),0.0562,Krikščionių demokratų sąjunga,26,4,Stakliškių (Nr. 34)
Prienų (Nr. 67),0.0412,Lietuvos centro sąjunga,19,3,Stakliškių (Nr. 34)
Prienų (Nr. 67),0.0337,Lietuvos valstiečių partija,16,2,Stakliškių (Nr. 34)
Prienų (Nr. 67),0.0318,Nuosaikiųjų konservatorių sąjunga,17,-,Stakliškių (Nr. 34)
Prienų (Nr. 67),0.0262,Lietuvos krikščionių demokratų partija,11,3,Stakliškių (Nr. 34)
Prienų (Nr. 67),0.0112,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",5,1,Stakliškių (Nr. 34)
Prienų (Nr. 67),0.0056,Lietuvos laisvės sąjunga,3,-,Stakliškių (Nr. 34)
Prienų (Nr. 67),0.0037,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",2,-,Stakliškių (Nr. 34)
Prienų (Nr. 67),0.0019,Lietuvių tautininkų sąjunga,-,1,Stakliškių (Nr. 34)
Prienų (Nr. 67),,Lietuvos lenkų rinkimų akcija,-,-,Stakliškių (Nr. 34)
Kauno kaimiškoji (Nr. 66),0.2929,Naujoji sąjunga (socialliberalai),68,2,Linksmakalnio (Nr. 47)
Kauno kaimiškoji (Nr. 66),0.2552,Lietuvos liberalų sąjunga,60,1,Linksmakalnio (Nr. 47)
Kauno kaimiškoji (Nr. 66),0.2343,A.Brazausko socialdemokratinė koalicija,56,-,Linksmakalnio (Nr. 47)
Kauno kaimiškoji (Nr. 66),0.0879,Tėvynės sąjunga  (Lietuvos konservatoriai),20,1,Linksmakalnio (Nr. 47)
Kauno kaimiškoji (Nr. 66),0.0251,Lietuvos centro sąjunga,6,-,Linksmakalnio (Nr. 47)
Kauno kaimiškoji (Nr. 66),0.0251,Krikščionių demokratų sąjunga,6,-,Linksmakalnio (Nr. 47)
Kauno kaimiškoji (Nr. 66),0.0251,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",6,-,Linksmakalnio (Nr. 47)
Kauno kaimiškoji (Nr. 66),0.0167,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",4,-,Linksmakalnio (Nr. 47)
Kauno kaimiškoji (Nr. 66),0.0126,Lietuvos laisvės sąjunga,3,-,Linksmakalnio (Nr. 47)
Kauno kaimiškoji (Nr. 66),0.0084,Lietuvos krikščionių demokratų partija,2,-,Linksmakalnio (Nr. 47)
Kauno kaimiškoji (Nr. 66),0.0084,Nuosaikiųjų konservatorių sąjunga,2,-,Linksmakalnio (Nr. 47)
Kauno kaimiškoji (Nr. 66),0.0042,Lietuvos valstiečių partija,1,-,Linksmakalnio (Nr. 47)
Kauno kaimiškoji (Nr. 66),0.0042,"Lietuvos partija ""Socialdemokratija 2000""",1,-,Linksmakalnio (Nr. 47)
Kauno kaimiškoji (Nr. 66),,Lietuvių tautininkų sąjunga,-,-,Linksmakalnio (Nr. 47)
Kauno kaimiškoji (Nr. 66),,Lietuvos lenkų rinkimų akcija,-,-,Linksmakalnio (Nr. 47)
Kauno - Kėdainių (Nr. 65),0.3462,Naujoji sąjunga (socialliberalai),80,1,Vainikų (Nr. 49)
Kauno - Kėdainių (Nr. 65),0.3034,A.Brazausko socialdemokratinė koalicija,71,-,Vainikų (Nr. 49)
