apygarda,nuo_galiojanciu_biuleteniu,partija,apylinkese,pastu,apylinke
Kauno - Kėdainių (Nr. 65),0.0495,Lietuvos valstiečių partija,57,5,Vilkijos (Nr. 46)
Kauno - Kėdainių (Nr. 65),0.0487,Krikščionių demokratų sąjunga,59,2,Vilkijos (Nr. 46)
Kauno - Kėdainių (Nr. 65),0.0415,Lietuvos centro sąjunga,35,17,Vilkijos (Nr. 46)
Kauno - Kėdainių (Nr. 65),0.0391,Lietuvos krikščionių demokratų partija,45,4,Vilkijos (Nr. 46)
Kauno - Kėdainių (Nr. 65),0.0208,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",24,2,Vilkijos (Nr. 46)
Kauno - Kėdainių (Nr. 65),0.02,Nuosaikiųjų konservatorių sąjunga,23,2,Vilkijos (Nr. 46)
Kauno - Kėdainių (Nr. 65),0.0088,Lietuvių tautininkų sąjunga,10,1,Vilkijos (Nr. 46)
Kauno - Kėdainių (Nr. 65),0.0064,Lietuvos laisvės sąjunga,8,-,Vilkijos (Nr. 46)
Kauno - Kėdainių (Nr. 65),0.0016,"Lietuvos partija ""Socialdemokratija 2000""",2,-,Vilkijos (Nr. 46)
Kauno - Kėdainių (Nr. 65),0.0008,Lietuvos lenkų rinkimų akcija,1,-,Vilkijos (Nr. 46)
Kauno - Kėdainių (Nr. 65),0.0008,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",1,-,Vilkijos (Nr. 46)
Kauno - Kėdainių (Nr. 65),0.2488,Lietuvos liberalų sąjunga,143,10,Kulautuvos (Nr. 45)
Kauno - Kėdainių (Nr. 65),0.2423,A.Brazausko socialdemokratinė koalicija,143,6,Kulautuvos (Nr. 45)
Kauno - Kėdainių (Nr. 65),0.2049,Tėvynės sąjunga  (Lietuvos konservatoriai),117,9,Kulautuvos (Nr. 45)
Kauno - Kėdainių (Nr. 65),0.0894,Naujoji sąjunga (socialliberalai),52,3,Kulautuvos (Nr. 45)
Kauno - Kėdainių (Nr. 65),0.0585,Lietuvos krikščionių demokratų partija,31,5,Kulautuvos (Nr. 45)
Kauno - Kėdainių (Nr. 65),0.0358,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",19,3,Kulautuvos (Nr. 45)
Kauno - Kėdainių (Nr. 65),0.0341,Lietuvos centro sąjunga,20,1,Kulautuvos (Nr. 45)
Kauno - Kėdainių (Nr. 65),0.0325,Krikščionių demokratų sąjunga,18,2,Kulautuvos (Nr. 45)
Kauno - Kėdainių (Nr. 65),0.0228,Nuosaikiųjų konservatorių sąjunga,14,-,Kulautuvos (Nr. 45)
Kauno - Kėdainių (Nr. 65),0.013,Lietuvos laisvės sąjunga,8,-,Kulautuvos (Nr. 45)
Kauno - Kėdainių (Nr. 65),0.0114,Lietuvos valstiečių partija,7,-,Kulautuvos (Nr. 45)
Kauno - Kėdainių (Nr. 65),0.0049,Lietuvių tautininkų sąjunga,3,-,Kulautuvos (Nr. 45)
Kauno - Kėdainių (Nr. 65),0.0016,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",1,-,Kulautuvos (Nr. 45)
Kauno - Kėdainių (Nr. 65),,"Lietuvos partija ""Socialdemokratija 2000""",-,-,Kulautuvos (Nr. 45)
Kauno - Kėdainių (Nr. 65),,Lietuvos lenkų rinkimų akcija,-,-,Kulautuvos (Nr. 45)
Kauno - Kėdainių (Nr. 65),0.4527,Naujoji sąjunga (socialliberalai),62,5,Skaistgirių (Nr. 40)
Kauno - Kėdainių (Nr. 65),0.3108,A.Brazausko socialdemokratinė koalicija,42,4,Skaistgirių (Nr. 40)
Kauno - Kėdainių (Nr. 65),0.0676,Lietuvos liberalų sąjunga,7,3,Skaistgirių (Nr. 40)
Kauno - Kėdainių (Nr. 65),0.0608,Lietuvos valstiečių partija,7,2,Skaistgirių (Nr. 40)
Kauno - Kėdainių (Nr. 65),0.0338,Tėvynės sąjunga  (Lietuvos konservatoriai),2,3,Skaistgirių (Nr. 40)
Kauno - Kėdainių (Nr. 65),0.027,Lietuvos centro sąjunga,4,-,Skaistgirių (Nr. 40)
Kauno - Kėdainių (Nr. 65),0.027,Nuosaikiųjų konservatorių sąjunga,3,1,Skaistgirių (Nr. 40)
Kauno - Kėdainių (Nr. 65),0.0203,Krikščionių demokratų sąjunga,2,1,Skaistgirių (Nr. 40)
Kauno - Kėdainių (Nr. 65),,Lietuvių tautininkų sąjunga,-,-,Skaistgirių (Nr. 40)
Kauno - Kėdainių (Nr. 65),,Lietuvos laisvės sąjunga,-,-,Skaistgirių (Nr. 40)
Kauno - Kėdainių (Nr. 65),,Lietuvos krikščionių demokratų partija,-,-,Skaistgirių (Nr. 40)
Kauno - Kėdainių (Nr. 65),,"Lietuvos partija ""Socialdemokratija 2000""",-,-,Skaistgirių (Nr. 40)
Kauno - Kėdainių (Nr. 65),,Lietuvos lenkų rinkimų akcija,-,-,Skaistgirių (Nr. 40)
Kauno - Kėdainių (Nr. 65),,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",-,-,Skaistgirių (Nr. 40)
Kauno - Kėdainių (Nr. 65),,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",-,-,Skaistgirių (Nr. 40)
Kauno - Kėdainių (Nr. 65),0.569,Naujoji sąjunga (socialliberalai),59,7,Saviečių (Nr. 37)
Kauno - Kėdainių (Nr. 65),0.1466,A.Brazausko socialdemokratinė koalicija,15,2,Saviečių (Nr. 37)
Kauno - Kėdainių (Nr. 65),0.0948,Lietuvos valstiečių partija,10,1,Saviečių (Nr. 37)
Kauno - Kėdainių (Nr. 65),0.0603,Lietuvos liberalų sąjunga,4,3,Saviečių (Nr. 37)
Kauno - Kėdainių (Nr. 65),0.0345,Tėvynės sąjunga  (Lietuvos konservatoriai),1,3,Saviečių (Nr. 37)
Kauno - Kėdainių (Nr. 65),0.0345,Nuosaikiųjų konservatorių sąjunga,2,2,Saviečių (Nr. 37)
Kauno - Kėdainių (Nr. 65),0.0259,Krikščionių demokratų sąjunga,2,1,Saviečių (Nr. 37)
Kauno - Kėdainių (Nr. 65),0.0172,Lietuvos centro sąjunga,2,-,Saviečių (Nr. 37)
Kauno - Kėdainių (Nr. 65),0.0086,Lietuvos krikščionių demokratų partija,1,-,Saviečių (Nr. 37)
Kauno - Kėdainių (Nr. 65),0.0086,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",1,-,Saviečių (Nr. 37)
Kauno - Kėdainių (Nr. 65),,Lietuvių tautininkų sąjunga,-,-,Saviečių (Nr. 37)
Kauno - Kėdainių (Nr. 65),,Lietuvos laisvės sąjunga,-,-,Saviečių (Nr. 37)
Kauno - Kėdainių (Nr. 65),,"Lietuvos partija ""Socialdemokratija 2000""",-,-,Saviečių (Nr. 37)
Kauno - Kėdainių (Nr. 65),,Lietuvos lenkų rinkimų akcija,-,-,Saviečių (Nr. 37)
Kauno - Kėdainių (Nr. 65),,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",-,-,Saviečių (Nr. 37)
Kauno - Kėdainių (Nr. 65),0.3931,A.Brazausko socialdemokratinė koalicija,66,2,Daugėliškių (Nr. 37)
Kauno - Kėdainių (Nr. 65),0.2601,Lietuvos valstiečių partija,44,1,Daugėliškių (Nr. 37)
Kauno - Kėdainių (Nr. 65),0.1734,Naujoji sąjunga (socialliberalai),26,4,Daugėliškių (Nr. 37)
Kauno - Kėdainių (Nr. 65),0.052,Lietuvos liberalų sąjunga,9,-,Daugėliškių (Nr. 37)
Kauno - Kėdainių (Nr. 65),0.0347,Tėvynės sąjunga  (Lietuvos konservatoriai),6,-,Daugėliškių (Nr. 37)
Kauno - Kėdainių (Nr. 65),0.0347,Krikščionių demokratų sąjunga,6,-,Daugėliškių (Nr. 37)
Kauno - Kėdainių (Nr. 65),0.0231,Lietuvių tautininkų sąjunga,3,1,Daugėliškių (Nr. 37)
Kauno - Kėdainių (Nr. 65),0.0116,Lietuvos centro sąjunga,1,1,Daugėliškių (Nr. 37)
Kauno - Kėdainių (Nr. 65),0.0058,Lietuvos laisvės sąjunga,1,-,Daugėliškių (Nr. 37)
Kauno - Kėdainių (Nr. 65),0.0058,Lietuvos krikščionių demokratų partija,1,-,Daugėliškių (Nr. 37)
Kauno - Kėdainių (Nr. 65),0.0058,Nuosaikiųjų konservatorių sąjunga,1,-,Daugėliškių (Nr. 37)
Kauno - Kėdainių (Nr. 65),,"Lietuvos partija ""Socialdemokratija 2000""",-,-,Daugėliškių (Nr. 37)
Kauno - Kėdainių (Nr. 65),,Lietuvos lenkų rinkimų akcija,-,-,Daugėliškių (Nr. 37)
Kauno - Kėdainių (Nr. 65),,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",-,-,Daugėliškių (Nr. 37)
Kauno - Kėdainių (Nr. 65),,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",-,-,Daugėliškių (Nr. 37)
Kauno - Kėdainių (Nr. 65),0.2171,A.Brazausko socialdemokratinė koalicija,54,2,Saulėtekių (Nr. 36)
Kauno - Kėdainių (Nr. 65),0.1705,Lietuvos valstiečių partija,40,4,Saulėtekių (Nr. 36)
Kauno - Kėdainių (Nr. 65),0.1667,Naujoji sąjunga (socialliberalai),40,3,Saulėtekių (Nr. 36)
Kauno - Kėdainių (Nr. 65),0.1473,Lietuvos liberalų sąjunga,38,-,Saulėtekių (Nr. 36)
Kauno - Kėdainių (Nr. 65),0.1008,Tėvynės sąjunga  (Lietuvos konservatoriai),22,4,Saulėtekių (Nr. 36)
Kauno - Kėdainių (Nr. 65),0.0659,Lietuvos krikščionių demokratų partija,14,3,Saulėtekių (Nr. 36)
Kauno - Kėdainių (Nr. 65),0.0349,Krikščionių demokratų sąjunga,9,-,Saulėtekių (Nr. 36)
Kauno - Kėdainių (Nr. 65),0.0271,Lietuvos centro sąjunga,7,-,Saulėtekių (Nr. 36)
Kauno - Kėdainių (Nr. 65),0.0233,Lietuvos laisvės sąjunga,6,-,Saulėtekių (Nr. 36)
Kauno - Kėdainių (Nr. 65),0.0233,Nuosaikiųjų konservatorių sąjunga,6,-,Saulėtekių (Nr. 36)
Kauno - Kėdainių (Nr. 65),0.0155,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",4,-,Saulėtekių (Nr. 36)
Kauno - Kėdainių (Nr. 65),0.0039,Lietuvių tautininkų sąjunga,-,1,Saulėtekių (Nr. 36)
Kauno - Kėdainių (Nr. 65),0.0039,"Lietuvos partija ""Socialdemokratija 2000""",1,-,Saulėtekių (Nr. 36)
Kauno - Kėdainių (Nr. 65),,Lietuvos lenkų rinkimų akcija,-,-,Saulėtekių (Nr. 36)
Kauno - Kėdainių (Nr. 65),,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",-,-,Saulėtekių (Nr. 36)
Kauno - Kėdainių (Nr. 65),0.4167,A.Brazausko socialdemokratinė koalicija,73,2,Padauguvos (Nr. 35)
Kauno - Kėdainių (Nr. 65),0.1667,Naujoji sąjunga (socialliberalai),28,2,Padauguvos (Nr. 35)
Kauno - Kėdainių (Nr. 65),0.1333,Lietuvos valstiečių partija,24,-,Padauguvos (Nr. 35)
Kauno - Kėdainių (Nr. 65),0.0778,Lietuvos centro sąjunga,13,1,Padauguvos (Nr. 35)
Kauno - Kėdainių (Nr. 65),0.05,Lietuvos krikščionių demokratų partija,9,-,Padauguvos (Nr. 35)
Kauno - Kėdainių (Nr. 65),0.05,Tėvynės sąjunga  (Lietuvos konservatoriai),8,1,Padauguvos (Nr. 35)
Kauno - Kėdainių (Nr. 65),0.0333,Lietuvos liberalų sąjunga,6,-,Padauguvos (Nr. 35)
Kauno - Kėdainių (Nr. 65),0.0278,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",5,-,Padauguvos (Nr. 35)
Kauno - Kėdainių (Nr. 65),0.0222,Nuosaikiųjų konservatorių sąjunga,4,-,Padauguvos (Nr. 35)
Kauno - Kėdainių (Nr. 65),0.0111,Lietuvos laisvės sąjunga,1,1,Padauguvos (Nr. 35)
Kauno - Kėdainių (Nr. 65),0.0056,Krikščionių demokratų sąjunga,1,-,Padauguvos (Nr. 35)
Kauno - Kėdainių (Nr. 65),0.0056,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",1,-,Padauguvos (Nr. 35)
Kauno - Kėdainių (Nr. 65),,Lietuvių tautininkų sąjunga,-,-,Padauguvos (Nr. 35)
Kauno - Kėdainių (Nr. 65),,"Lietuvos partija ""Socialdemokratija 2000""",-,-,Padauguvos (Nr. 35)
Kauno - Kėdainių (Nr. 65),,Lietuvos lenkų rinkimų akcija,-,-,Padauguvos (Nr. 35)
Kauno - Kėdainių (Nr. 65),0.381,A.Brazausko socialdemokratinė koalicija,222,15,Vandžiogalos (Nr. 34)
Kauno - Kėdainių (Nr. 65),0.2444,Naujoji sąjunga (socialliberalai),143,9,Vandžiogalos (Nr. 34)
Kauno - Kėdainių (Nr. 65),0.1093,Lietuvos valstiečių partija,57,11,Vandžiogalos (Nr. 34)
Kauno - Kėdainių (Nr. 65),0.0659,Lietuvos liberalų sąjunga,33,8,Vandžiogalos (Nr. 34)
Kauno - Kėdainių (Nr. 65),0.0498,Krikščionių demokratų sąjunga,28,3,Vandžiogalos (Nr. 34)
Kauno - Kėdainių (Nr. 65),0.045,Tėvynės sąjunga  (Lietuvos konservatoriai),24,4,Vandžiogalos (Nr. 34)
Kauno - Kėdainių (Nr. 65),0.0257,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",13,3,Vandžiogalos (Nr. 34)
Kauno - Kėdainių (Nr. 65),0.0241,Lietuvos laisvės sąjunga,14,1,Vandžiogalos (Nr. 34)
Kauno - Kėdainių (Nr. 65),0.0177,Nuosaikiųjų konservatorių sąjunga,9,2,Vandžiogalos (Nr. 34)
Kauno - Kėdainių (Nr. 65),0.0113,Lietuvos krikščionių demokratų partija,5,2,Vandžiogalos (Nr. 34)
Kauno - Kėdainių (Nr. 65),0.0096,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",4,2,Vandžiogalos (Nr. 34)
Kauno - Kėdainių (Nr. 65),0.0064,Lietuvių tautininkų sąjunga,3,1,Vandžiogalos (Nr. 34)
Kauno - Kėdainių (Nr. 65),0.0064,Lietuvos centro sąjunga,4,-,Vandžiogalos (Nr. 34)
Kauno - Kėdainių (Nr. 65),0.0016,"Lietuvos partija ""Socialdemokratija 2000""",1,-,Vandžiogalos (Nr. 34)
Kauno - Kėdainių (Nr. 65),0.0016,Lietuvos lenkų rinkimų akcija,1,-,Vandžiogalos (Nr. 34)
Kauno - Kėdainių (Nr. 65),0.3699,Naujoji sąjunga (socialliberalai),76,5,Pernaravos (Nr. 34)
Kauno - Kėdainių (Nr. 65),0.3105,A.Brazausko socialdemokratinė koalicija,60,8,Pernaravos (Nr. 34)
Kauno - Kėdainių (Nr. 65),0.0959,Lietuvos valstiečių partija,16,5,Pernaravos (Nr. 34)
Kauno - Kėdainių (Nr. 65),0.0685,Lietuvos krikščionių demokratų partija,14,1,Pernaravos (Nr. 34)
Kauno - Kėdainių (Nr. 65),0.0548,Tėvynės sąjunga  (Lietuvos konservatoriai),10,2,Pernaravos (Nr. 34)
Kauno - Kėdainių (Nr. 65),0.0457,Lietuvos liberalų sąjunga,9,1,Pernaravos (Nr. 34)
Kauno - Kėdainių (Nr. 65),0.0228,Nuosaikiųjų konservatorių sąjunga,5,-,Pernaravos (Nr. 34)
Kauno - Kėdainių (Nr. 65),0.0091,Krikščionių demokratų sąjunga,2,-,Pernaravos (Nr. 34)
Kauno - Kėdainių (Nr. 65),0.0091,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",2,-,Pernaravos (Nr. 34)
Kauno - Kėdainių (Nr. 65),0.0046,Lietuvių tautininkų sąjunga,1,-,Pernaravos (Nr. 34)
Kauno - Kėdainių (Nr. 65),0.0046,Lietuvos centro sąjunga,1,-,Pernaravos (Nr. 34)
Kauno - Kėdainių (Nr. 65),0.0046,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",1,-,Pernaravos (Nr. 34)
Kauno - Kėdainių (Nr. 65),,Lietuvos laisvės sąjunga,-,-,Pernaravos (Nr. 34)
Kauno - Kėdainių (Nr. 65),,"Lietuvos partija ""Socialdemokratija 2000""",-,-,Pernaravos (Nr. 34)
Kauno - Kėdainių (Nr. 65),,Lietuvos lenkų rinkimų akcija,-,-,Pernaravos (Nr. 34)
Kauno - Kėdainių (Nr. 65),0.3499,A.Brazausko socialdemokratinė koalicija,204,36,Užliedžių (Nr. 33)
Kauno - Kėdainių (Nr. 65),0.1837,Lietuvos liberalų sąjunga,126,-,Užliedžių (Nr. 33)
Kauno - Kėdainių (Nr. 65),0.1414,Naujoji sąjunga (socialliberalai),93,4,Užliedžių (Nr. 33)
Kauno - Kėdainių (Nr. 65),0.0875,Tėvynės sąjunga  (Lietuvos konservatoriai),52,8,Užliedžių (Nr. 33)
Kauno - Kėdainių (Nr. 65),0.0481,Lietuvos valstiečių partija,30,3,Užliedžių (Nr. 33)
Kauno - Kėdainių (Nr. 65),0.0481,Krikščionių demokratų sąjunga,30,3,Užliedžių (Nr. 33)
Kauno - Kėdainių (Nr. 65),0.0292,Nuosaikiųjų konservatorių sąjunga,19,1,Užliedžių (Nr. 33)
Kauno - Kėdainių (Nr. 65),0.0277,Lietuvos centro sąjunga,19,-,Užliedžių (Nr. 33)
Kauno - Kėdainių (Nr. 65),0.0204,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",14,-,Užliedžių (Nr. 33)
Kauno - Kėdainių (Nr. 65),0.019,Lietuvos laisvės sąjunga,13,-,Užliedžių (Nr. 33)
Kauno - Kėdainių (Nr. 65),0.0146,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",10,-,Užliedžių (Nr. 33)
Kauno - Kėdainių (Nr. 65),0.0131,Lietuvos krikščionių demokratų partija,9,-,Užliedžių (Nr. 33)
Kauno - Kėdainių (Nr. 65),0.0117,Lietuvių tautininkų sąjunga,7,1,Užliedžių (Nr. 33)
Kauno - Kėdainių (Nr. 65),0.0044,"Lietuvos partija ""Socialdemokratija 2000""",3,-,Užliedžių (Nr. 33)
Kauno - Kėdainių (Nr. 65),0.0015,Lietuvos lenkų rinkimų akcija,1,-,Užliedžių (Nr. 33)
Kauno - Kėdainių (Nr. 65),0.3204,A.Brazausko socialdemokratinė koalicija,58,-,Pelutavos (Nr. 32)
Kauno - Kėdainių (Nr. 65),0.2707,Naujoji sąjunga (socialliberalai),47,2,Pelutavos (Nr. 32)
Kauno - Kėdainių (Nr. 65),0.1492,Lietuvos valstiečių partija,24,3,Pelutavos (Nr. 32)
Kauno - Kėdainių (Nr. 65),0.105,Lietuvos krikščionių demokratų partija,18,1,Pelutavos (Nr. 32)
Kauno - Kėdainių (Nr. 65),0.0608,Krikščionių demokratų sąjunga,11,-,Pelutavos (Nr. 32)
Kauno - Kėdainių (Nr. 65),0.0442,Nuosaikiųjų konservatorių sąjunga,8,-,Pelutavos (Nr. 32)
Kauno - Kėdainių (Nr. 65),0.0221,Lietuvos liberalų sąjunga,4,-,Pelutavos (Nr. 32)
Kauno - Kėdainių (Nr. 65),0.0166,Tėvynės sąjunga  (Lietuvos konservatoriai),3,-,Pelutavos (Nr. 32)
Kauno - Kėdainių (Nr. 65),0.011,Lietuvos laisvės sąjunga,2,-,Pelutavos (Nr. 32)
Kauno - Kėdainių (Nr. 65),,Lietuvių tautininkų sąjunga,-,-,Pelutavos (Nr. 32)
Kauno - Kėdainių (Nr. 65),,Lietuvos centro sąjunga,-,-,Pelutavos (Nr. 32)
Kauno - Kėdainių (Nr. 65),,"Lietuvos partija ""Socialdemokratija 2000""",-,-,Pelutavos (Nr. 32)
Kauno - Kėdainių (Nr. 65),,Lietuvos lenkų rinkimų akcija,-,-,Pelutavos (Nr. 32)
Kauno - Kėdainių (Nr. 65),,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",-,-,Pelutavos (Nr. 32)
Kauno - Kėdainių (Nr. 65),,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",-,-,Pelutavos (Nr. 32)
Kauno - Kėdainių (Nr. 65),0.4896,Naujoji sąjunga (socialliberalai),255,5,Pelėdnagių (Nr. 31)
Kauno - Kėdainių (Nr. 65),0.2166,A.Brazausko socialdemokratinė koalicija,111,4,Pelėdnagių (Nr. 31)
Kauno - Kėdainių (Nr. 65),0.0998,Tėvynės sąjunga  (Lietuvos konservatoriai),43,10,Pelėdnagių (Nr. 31)
Kauno - Kėdainių (Nr. 65),0.0697,Lietuvos liberalų sąjunga,35,2,Pelėdnagių (Nr. 31)
Kauno - Kėdainių (Nr. 65),0.0395,Lietuvos valstiečių partija,20,1,Pelėdnagių (Nr. 31)
Kauno - Kėdainių (Nr. 65),0.0245,Lietuvos centro sąjunga,13,-,Pelėdnagių (Nr. 31)
Kauno - Kėdainių (Nr. 65),0.0169,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",8,1,Pelėdnagių (Nr. 31)
Kauno - Kėdainių (Nr. 65),0.0151,Krikščionių demokratų sąjunga,8,-,Pelėdnagių (Nr. 31)
Kauno - Kėdainių (Nr. 65),0.0132,Lietuvos krikščionių demokratų partija,7,-,Pelėdnagių (Nr. 31)
Kauno - Kėdainių (Nr. 65),0.0094,Nuosaikiųjų konservatorių sąjunga,5,-,Pelėdnagių (Nr. 31)
Kauno - Kėdainių (Nr. 65),0.0056,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",2,1,Pelėdnagių (Nr. 31)
Kauno - Kėdainių (Nr. 65),,Lietuvių tautininkų sąjunga,-,-,Pelėdnagių (Nr. 31)
Kauno - Kėdainių (Nr. 65),,Lietuvos laisvės sąjunga,-,-,Pelėdnagių (Nr. 31)
Kauno - Kėdainių (Nr. 65),,"Lietuvos partija ""Socialdemokratija 2000""",-,-,Pelėdnagių (Nr. 31)
Kauno - Kėdainių (Nr. 65),,Lietuvos lenkų rinkimų akcija,-,-,Pelėdnagių (Nr. 31)
Kauno - Kėdainių (Nr. 65),0.506,Naujoji sąjunga (socialliberalai),119,7,Pašušvio (Nr. 30)
Kauno - Kėdainių (Nr. 65),0.2851,A.Brazausko socialdemokratinė koalicija,65,6,Pašušvio (Nr. 30)
Kauno - Kėdainių (Nr. 65),0.0843,Lietuvos valstiečių partija,18,3,Pašušvio (Nr. 30)
Kauno - Kėdainių (Nr. 65),0.0361,Tėvynės sąjunga  (Lietuvos konservatoriai),8,1,Pašušvio (Nr. 30)
Kauno - Kėdainių (Nr. 65),0.0281,Lietuvos liberalų sąjunga,6,1,Pašušvio (Nr. 30)
Kauno - Kėdainių (Nr. 65),0.0241,Krikščionių demokratų sąjunga,5,1,Pašušvio (Nr. 30)
Kauno - Kėdainių (Nr. 65),0.0201,Lietuvos krikščionių demokratų partija,5,-,Pašušvio (Nr. 30)
Kauno - Kėdainių (Nr. 65),0.012,Lietuvos centro sąjunga,-,3,Pašušvio (Nr. 30)
Kauno - Kėdainių (Nr. 65),0.004,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",1,-,Pašušvio (Nr. 30)
Kauno - Kėdainių (Nr. 65),,Lietuvių tautininkų sąjunga,-,-,Pašušvio (Nr. 30)
Kauno - Kėdainių (Nr. 65),,Lietuvos laisvės sąjunga,-,-,Pašušvio (Nr. 30)
Kauno - Kėdainių (Nr. 65),,"Lietuvos partija ""Socialdemokratija 2000""",-,-,Pašušvio (Nr. 30)
Kauno - Kėdainių (Nr. 65),,Nuosaikiųjų konservatorių sąjunga,-,-,Pašušvio (Nr. 30)
Kauno - Kėdainių (Nr. 65),,Lietuvos lenkų rinkimų akcija,-,-,Pašušvio (Nr. 30)
Kauno - Kėdainių (Nr. 65),,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",-,-,Pašušvio (Nr. 30)
Kauno - Kėdainių (Nr. 65),0.2981,Naujoji sąjunga (socialliberalai),71,8,Pajieslio (Nr. 28)
Kauno - Kėdainių (Nr. 65),0.2981,A.Brazausko socialdemokratinė koalicija,68,11,Pajieslio (Nr. 28)
Kauno - Kėdainių (Nr. 65),0.1925,Lietuvos valstiečių partija,48,3,Pajieslio (Nr. 28)
Kauno - Kėdainių (Nr. 65),0.0491,Krikščionių demokratų sąjunga,13,-,Pajieslio (Nr. 28)
Kauno - Kėdainių (Nr. 65),0.0453,Tėvynės sąjunga  (Lietuvos konservatoriai),8,4,Pajieslio (Nr. 28)
Kauno - Kėdainių (Nr. 65),0.0453,Lietuvos liberalų sąjunga,12,-,Pajieslio (Nr. 28)
Kauno - Kėdainių (Nr. 65),0.0189,Lietuvių tautininkų sąjunga,3,2,Pajieslio (Nr. 28)
Kauno - Kėdainių (Nr. 65),0.0189,Lietuvos krikščionių demokratų partija,5,-,Pajieslio (Nr. 28)
Kauno - Kėdainių (Nr. 65),0.0151,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",4,-,Pajieslio (Nr. 28)
Kauno - Kėdainių (Nr. 65),0.0113,Lietuvos centro sąjunga,3,-,Pajieslio (Nr. 28)
Kauno - Kėdainių (Nr. 65),0.0075,Nuosaikiųjų konservatorių sąjunga,-,2,Pajieslio (Nr. 28)
Kauno - Kėdainių (Nr. 65),,Lietuvos laisvės sąjunga,-,-,Pajieslio (Nr. 28)
Kauno - Kėdainių (Nr. 65),,"Lietuvos partija ""Socialdemokratija 2000""",-,-,Pajieslio (Nr. 28)
Kauno - Kėdainių (Nr. 65),,Lietuvos lenkų rinkimų akcija,-,-,Pajieslio (Nr. 28)
Kauno - Kėdainių (Nr. 65),,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",-,-,Pajieslio (Nr. 28)
Kauno - Kėdainių (Nr. 65),0.4144,Naujoji sąjunga (socialliberalai),71,4,Paaluonio (Nr. 26)
Kauno - Kėdainių (Nr. 65),0.2873,A.Brazausko socialdemokratinė koalicija,48,4,Paaluonio (Nr. 26)
Kauno - Kėdainių (Nr. 65),0.0939,Lietuvos valstiečių partija,17,-,Paaluonio (Nr. 26)
Kauno - Kėdainių (Nr. 65),0.0442,Tėvynės sąjunga  (Lietuvos konservatoriai),7,1,Paaluonio (Nr. 26)
Kauno - Kėdainių (Nr. 65),0.0387,Lietuvos krikščionių demokratų partija,6,1,Paaluonio (Nr. 26)
Kauno - Kėdainių (Nr. 65),0.0331,Lietuvos liberalų sąjunga,4,2,Paaluonio (Nr. 26)
Kauno - Kėdainių (Nr. 65),0.0331,Krikščionių demokratų sąjunga,5,1,Paaluonio (Nr. 26)
Kauno - Kėdainių (Nr. 65),0.0166,Lietuvos centro sąjunga,3,-,Paaluonio (Nr. 26)
Kauno - Kėdainių (Nr. 65),0.011,Lietuvių tautininkų sąjunga,2,-,Paaluonio (Nr. 26)
Kauno - Kėdainių (Nr. 65),0.011,"Lietuvos partija ""Socialdemokratija 2000""",2,-,Paaluonio (Nr. 26)
Kauno - Kėdainių (Nr. 65),0.011,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",2,-,Paaluonio (Nr. 26)
Kauno - Kėdainių (Nr. 65),0.0055,Lietuvos laisvės sąjunga,1,-,Paaluonio (Nr. 26)
Kauno - Kėdainių (Nr. 65),,Nuosaikiųjų konservatorių sąjunga,-,-,Paaluonio (Nr. 26)
Kauno - Kėdainių (Nr. 65),,Lietuvos lenkų rinkimų akcija,-,-,Paaluonio (Nr. 26)
