kandidatas,apygarda,nuo_galiojanciu_biuleteniu,balsadezeje,nuo_rinkeju,pastu,apylinke
Vytautas Kvietkauskas,Naujamiesčio (Nr. 1) vienmandatės apygardos,0.4181,422,0.3834,7,Gimnazijos (Nr. 459) apylinkė
Nijolė Oželytė,Naujamiesčio (Nr. 1) vienmandatės apygardos,0.153,149,0.1403,8,Gimnazijos (Nr. 459) apylinkė
Algirdas Gricius,Naujamiesčio (Nr. 1) vienmandatės apygardos,0.1452,142,0.1332,7,Gimnazijos (Nr. 459) apylinkė
Giedrė Purvaneckienė,Naujamiesčio (Nr. 1) vienmandatės apygardos,0.1004,102,0.092,1,Gimnazijos (Nr. 459) apylinkė
Andrejus Gotto,Naujamiesčio (Nr. 1) vienmandatės apygardos,0.0721,70,0.0661,4,Gimnazijos (Nr. 459) apylinkė
Medardas Čobotas,Naujamiesčio (Nr. 1) vienmandatės apygardos,0.0507,51,0.0465,1,Gimnazijos (Nr. 459) apylinkė
Albertas Šimėnas,Naujamiesčio (Nr. 1) vienmandatės apygardos,0.0487,48,0.0447,2,Gimnazijos (Nr. 459) apylinkė
Giedrė Kvieskienė,Naujamiesčio (Nr. 1) vienmandatės apygardos,0.0234,24,0.0214,-,Gimnazijos (Nr. 459) apylinkė
Vitas Karčiauskas,Naujamiesčio (Nr. 1) vienmandatės apygardos,0.0127,13,0.0116,-,Gimnazijos (Nr. 459) apylinkė
Kristina Daraškevičienė,Naujamiesčio (Nr. 1) vienmandatės apygardos,0.0049,5,0.0045,-,Gimnazijos (Nr. 459) apylinkė
Irena Degutienė,Lazdijų - Druskininkų (Nr. 71) vienmandatės apygardos,0.2532,56,0.2305,3,Varnėnų (Nr. 33) apylinkė
Justinas Karosas,Lazdijų - Druskininkų (Nr. 71) vienmandatės apygardos,0.176,38,0.1602,3,Varnėnų (Nr. 33) apylinkė
Jonas Matulevičius,Lazdijų - Druskininkų (Nr. 71) vienmandatės apygardos,0.1502,31,0.1367,4,Varnėnų (Nr. 33) apylinkė
Juozas Šarkus,Lazdijų - Druskininkų (Nr. 71) vienmandatės apygardos,0.1373,30,0.125,2,Varnėnų (Nr. 33) apylinkė
Alvydas Baležentis,Lazdijų - Druskininkų (Nr. 71) vienmandatės apygardos,0.0901,21,0.082,-,Varnėnų (Nr. 33) apylinkė
Vidmantas Dambrauskas,Lazdijų - Druskininkų (Nr. 71) vienmandatės apygardos,0.0773,17,0.0703,1,Varnėnų (Nr. 33) apylinkė
Egidijus Žičkus,Lazdijų - Druskininkų (Nr. 71) vienmandatės apygardos,0.0644,15,0.0586,-,Varnėnų (Nr. 33) apylinkė
Vytautas Dabrukas,Lazdijų - Druskininkų (Nr. 71) vienmandatės apygardos,0.0429,10,0.0391,-,Varnėnų (Nr. 33) apylinkė
Sigitas Daugirda,Lazdijų - Druskininkų (Nr. 71) vienmandatės apygardos,0.03,6,0.0273,1,Varnėnų (Nr. 33) apylinkė
Algirdas Radvila,Lazdijų - Druskininkų (Nr. 71) vienmandatės apygardos,0.0215,5,0.0195,-,Varnėnų (Nr. 33) apylinkė
