kandidatas,apygarda,nuo_galiojanciu_biuleteniu,balsadezeje,nuo_rinkeju,pastu,apylinke
Algina Ražanskienė,Lazdijų - Druskininkų (Nr. 71) vienmandatės apygardos,0.0086,2,0.0078,-,Varnėnų (Nr. 33) apylinkė
Algirdas Rimgaila,Lazdijų - Druskininkų (Nr. 71) vienmandatės apygardos,0.0043,1,0.0039,-,Varnėnų (Nr. 33) apylinkė
Jonas Truska,Lazdijų - Druskininkų (Nr. 71) vienmandatės apygardos,0.0043,1,0.0039,-,Varnėnų (Nr. 33) apylinkė
Algis Kašėta,Varėnos - Eišiškių (Nr. 70) vienmandatės apygardos,0.3081,175,0.2864,8,Senosios Varėnos (Nr. 39) apylinkė
Jonas Semsė,Varėnos - Eišiškių (Nr. 70) vienmandatės apygardos,0.2424,142,0.2254,2,Senosios Varėnos (Nr. 39) apylinkė
Imantas Lazdinis,Varėnos - Eišiškių (Nr. 70) vienmandatės apygardos,0.2222,128,0.2066,4,Senosios Varėnos (Nr. 39) apylinkė
Gintaras Šurkus,Varėnos - Eišiškių (Nr. 70) vienmandatės apygardos,0.0707,42,0.0657,-,Senosios Varėnos (Nr. 39) apylinkė
Mindaugas Lužys,Varėnos - Eišiškių (Nr. 70) vienmandatės apygardos,0.0657,39,0.061,-,Senosios Varėnos (Nr. 39) apylinkė
Algimantas Černiauskas,Varėnos - Eišiškių (Nr. 70) vienmandatės apygardos,0.0539,29,0.0501,3,Senosios Varėnos (Nr. 39) apylinkė
Kristina Krupavičienė,Varėnos - Eišiškių (Nr. 70) vienmandatės apygardos,0.0236,14,0.0219,-,Senosios Varėnos (Nr. 39) apylinkė
Antanas Soraka,Varėnos - Eišiškių (Nr. 70) vienmandatės apygardos,0.0219,12,0.0203,1,Senosios Varėnos (Nr. 39) apylinkė
Alvydas Mikelionis,Varėnos - Eišiškių (Nr. 70) vienmandatės apygardos,0.0101,6,0.0094,-,Senosios Varėnos (Nr. 39) apylinkė
Jonas Juknevičius,Varėnos - Eišiškių (Nr. 70) vienmandatės apygardos,0.0067,4,0.0063,-,Senosios Varėnos (Nr. 39) apylinkė
Leonard Talmont,Varėnos - Eišiškių (Nr. 70) vienmandatės apygardos,0.0051,3,0.0047,-,Senosios Varėnos (Nr. 39) apylinkė
Vydas Baravykas,Dzūkijos (Nr. 69) vienmandatės apygardos,0.2517,110,0.2238,3,Nemunaičio (Nr. 50) apylinkė
Ignas Aleškevičius,Dzūkijos (Nr. 69) vienmandatės apygardos,0.2316,90,0.2059,14,Nemunaičio (Nr. 50) apylinkė
Arturas Juškauskas,Dzūkijos (Nr. 69) vienmandatės apygardos,0.1737,75,0.1545,3,Nemunaičio (Nr. 50) apylinkė
Leonas Karpalavičius,Dzūkijos (Nr. 69) vienmandatės apygardos,0.1203,51,0.1069,3,Nemunaičio (Nr. 50) apylinkė
Albinas Buzūnas,Dzūkijos (Nr. 69) vienmandatės apygardos,0.0913,38,0.0812,3,Nemunaičio (Nr. 50) apylinkė
Algis Žėkas,Dzūkijos (Nr. 69) vienmandatės apygardos,0.078,32,0.0693,3,Nemunaičio (Nr. 50) apylinkė
Vidmantas Žiemelis,Dzūkijos (Nr. 69) vienmandatės apygardos,0.0468,20,0.0416,1,Nemunaičio (Nr. 50) apylinkė
Juozas Pilvelis,Dzūkijos (Nr. 69) vienmandatės apygardos,0.0312,14,0.0277,-,Nemunaičio (Nr. 50) apylinkė
Rimas Supranavičius,Dzūkijos (Nr. 69) vienmandatės apygardos,0.0245,11,0.0218,-,Nemunaičio (Nr. 50) apylinkė
Juozas Listavičius,Dzūkijos (Nr. 69) vienmandatės apygardos,0.02,8,0.0178,1,Nemunaičio (Nr. 50) apylinkė
Algirdas Butkevičius,Vilkaviškio (Nr. 68) vienmandatės apygardos,0.6453,162,0.5797,9,Gudelių (Nr. 44) apylinkė
Jonas Ščeponis,Vilkaviškio (Nr. 68) vienmandatės apygardos,0.1509,38,0.1356,2,Gudelių (Nr. 44) apylinkė
Jonas Mačys,Vilkaviškio (Nr. 68) vienmandatės apygardos,0.1283,30,0.1153,4,Gudelių (Nr. 44) apylinkė
Antanas Amšiejus,Vilkaviškio (Nr. 68) vienmandatės apygardos,0.0453,11,0.0407,1,Gudelių (Nr. 44) apylinkė
Sigitas Plečkaitis,Vilkaviškio (Nr. 68) vienmandatės apygardos,0.0453,10,0.0407,2,Gudelių (Nr. 44) apylinkė
Eugenijus Ramanauskas,Vilkaviškio (Nr. 68) vienmandatės apygardos,0.0415,11,0.0373,-,Gudelių (Nr. 44) apylinkė
Remigijus Dragašius,Vilkaviškio (Nr. 68) vienmandatės apygardos,0.0151,3,0.0136,1,Gudelių (Nr. 44) apylinkė
Juozas Palionis,Prienų (Nr. 67) vienmandatės apygardos,0.2845,115,0.2442,23,Stakliškių (Nr. 34) apylinkė
Jonas Valatka,Prienų (Nr. 67) vienmandatės apygardos,0.1608,75,0.1381,3,Stakliškių (Nr. 34) apylinkė
Regina Švobienė,Prienų (Nr. 67) vienmandatės apygardos,0.1567,74,0.1345,2,Stakliškių (Nr. 34) apylinkė
Antanas Serafinas Zenkevičius,Prienų (Nr. 67) vienmandatės apygardos,0.1443,60,0.1239,10,Stakliškių (Nr. 34) apylinkė
Antanas Šatas,Prienų (Nr. 67) vienmandatės apygardos,0.1381,60,0.1186,7,Stakliškių (Nr. 34) apylinkė
Arminas Lydeka,Prienų (Nr. 67) vienmandatės apygardos,0.1072,46,0.092,6,Stakliškių (Nr. 34) apylinkė
Sigitas Urbonas,Prienų (Nr. 67) vienmandatės apygardos,0.0742,35,0.0637,1,Stakliškių (Nr. 34) apylinkė
Ona Šulcienė,Prienų (Nr. 67) vienmandatės apygardos,0.0412,16,0.0354,4,Stakliškių (Nr. 34) apylinkė
Juozas Ciparis,Prienų (Nr. 67) vienmandatės apygardos,0.0103,4,0.0088,1,Stakliškių (Nr. 34) apylinkė
Dalija Daubarienė,Kauno kaimiškoji (Nr. 66) vienmandatės apygardos,0.312,71,0.2786,2,Linksmakalnio (Nr. 47) apylinkė
Vladas Žalnerauskas,Kauno kaimiškoji (Nr. 66) vienmandatės apygardos,0.2094,48,0.187,1,Linksmakalnio (Nr. 47) apylinkė
Donatas Jankauskas,Kauno kaimiškoji (Nr. 66) vienmandatės apygardos,0.1111,25,0.0992,1,Linksmakalnio (Nr. 47) apylinkė
Antanas Karoblis,Kauno kaimiškoji (Nr. 66) vienmandatės apygardos,0.0855,20,0.0763,-,Linksmakalnio (Nr. 47) apylinkė
Asta Sederevičiūtė,Kauno kaimiškoji (Nr. 66) vienmandatės apygardos,0.0726,17,0.0649,-,Linksmakalnio (Nr. 47) apylinkė
Juozas Mozeris,Kauno kaimiškoji (Nr. 66) vienmandatės apygardos,0.0513,12,0.0458,-,Linksmakalnio (Nr. 47) apylinkė
Renata Smailytė,Kauno kaimiškoji (Nr. 66) vienmandatės apygardos,0.0427,10,0.0382,-,Linksmakalnio (Nr. 47) apylinkė
Irena Puniškienė,Kauno kaimiškoji (Nr. 66) vienmandatės apygardos,0.0385,9,0.0344,-,Linksmakalnio (Nr. 47) apylinkė
Paulius Bernotas,Kauno kaimiškoji (Nr. 66) vienmandatės apygardos,0.0342,8,0.0305,-,Linksmakalnio (Nr. 47) apylinkė
Zenonas Rimkus,Kauno kaimiškoji (Nr. 66) vienmandatės apygardos,0.0342,8,0.0305,-,Linksmakalnio (Nr. 47) apylinkė
Dalius Tumynas,Kauno kaimiškoji (Nr. 66) vienmandatės apygardos,0.0171,4,0.0153,-,Linksmakalnio (Nr. 47) apylinkė
Bronius Simanavičius,Kauno kaimiškoji (Nr. 66) vienmandatės apygardos,0.0085,2,0.0076,-,Linksmakalnio (Nr. 47) apylinkė
Algimantas Dagys,Kauno - Kėdainių (Nr. 65) vienmandatės apygardos,0.4018,90,0.36,-,Vainikų (Nr. 49) apylinkė
Gintautas Šivickas,Kauno - Kėdainių (Nr. 65) vienmandatės apygardos,0.2768,61,0.248,1,Vainikų (Nr. 49) apylinkė
Antanas Nesteckis,Kauno - Kėdainių (Nr. 65) vienmandatės apygardos,0.125,28,0.112,-,Vainikų (Nr. 49) apylinkė
Vladas Vilimas,Kauno - Kėdainių (Nr. 65) vienmandatės apygardos,0.0759,17,0.068,-,Vainikų (Nr. 49) apylinkė
Gediminas Staugaitis,Kauno - Kėdainių (Nr. 65) vienmandatės apygardos,0.0625,14,0.056,-,Vainikų (Nr. 49) apylinkė
Arūnas Grumadas,Kauno - Kėdainių (Nr. 65) vienmandatės apygardos,0.0313,7,0.028,-,Vainikų (Nr. 49) apylinkė
Jurgita Kaminskaitė-Gaigalienė,Kauno - Kėdainių (Nr. 65) vienmandatės apygardos,0.0223,5,0.02,-,Vainikų (Nr. 49) apylinkė
Kęstutis Juknis,Kauno - Kėdainių (Nr. 65) vienmandatės apygardos,0.0089,2,0.008,-,Vainikų (Nr. 49) apylinkė
Mindaugas Bastys,Šakių (Nr. 64) vienmandatės apygardos,0.3652,306,0.2977,34,Kudirkos Naumiesčio (Nr. 38) apylinkė
Arvydas Vidžiūnas,Šakių (Nr. 64) vienmandatės apygardos,0.2513,210,0.2049,24,Kudirkos Naumiesčio (Nr. 38) apylinkė
Jonas Rekešius,Šakių (Nr. 64) vienmandatės apygardos,0.189,145,0.1541,31,Kudirkos Naumiesčio (Nr. 38) apylinkė
Juozas Bertašius,Šakių (Nr. 64) vienmandatės apygardos,0.1235,102,0.1007,13,Kudirkos Naumiesčio (Nr. 38) apylinkė
Eduardas Zelba,Šakių (Nr. 64) vienmandatės apygardos,0.0591,48,0.0482,7,Kudirkos Naumiesčio (Nr. 38) apylinkė
Romaldas Petras Damušis,Šakių (Nr. 64) vienmandatės apygardos,0.0462,30,0.0377,13,Kudirkos Naumiesčio (Nr. 38) apylinkė
Viktoras Petravičius,Šakių (Nr. 64) vienmandatės apygardos,0.0419,35,0.0342,4,Kudirkos Naumiesčio (Nr. 38) apylinkė
Juozas Grinkevičius,Šakių (Nr. 64) vienmandatės apygardos,0.0333,25,0.0271,6,Kudirkos Naumiesčio (Nr. 38) apylinkė
Gintaras Arminas,Šakių (Nr. 64) vienmandatės apygardos,0.0215,18,0.0175,2,Kudirkos Naumiesčio (Nr. 38) apylinkė
Algimantas Bublaitis,Šakių (Nr. 64) vienmandatės apygardos,0.0161,12,0.0131,3,Kudirkos Naumiesčio (Nr. 38) apylinkė
Ritutis Balčiūnas,Suvalkijos (Nr. 63) vienmandatės apygardos,0.3846,66,0.359,4,Gavaltuvos (Nr. 41) apylinkė
Juozas Olekas,Suvalkijos (Nr. 63) vienmandatės apygardos,0.2088,38,0.1949,-,Gavaltuvos (Nr. 41) apylinkė
Stanislovas Algimantas Jokūbėnas,Suvalkijos (Nr. 63) vienmandatės apygardos,0.1758,30,0.1641,2,Gavaltuvos (Nr. 41) apylinkė
Juozas Kastantas Klimavičius,Suvalkijos (Nr. 63) vienmandatės apygardos,0.0824,15,0.0769,-,Gavaltuvos (Nr. 41) apylinkė
Eugenijus Misiūnas,Suvalkijos (Nr. 63) vienmandatės apygardos,0.0604,11,0.0564,-,Gavaltuvos (Nr. 41) apylinkė
Algimantas Belzus,Suvalkijos (Nr. 63) vienmandatės apygardos,0.0385,7,0.0359,-,Gavaltuvos (Nr. 41) apylinkė
Arūnas Jasionis,Suvalkijos (Nr. 63) vienmandatės apygardos,0.0385,7,0.0359,-,Gavaltuvos (Nr. 41) apylinkė
Jonas Matulevičius,Suvalkijos (Nr. 63) vienmandatės apygardos,0.0275,5,0.0256,-,Gavaltuvos (Nr. 41) apylinkė
Virgilijus Žibūda,Suvalkijos (Nr. 63) vienmandatės apygardos,0.0165,3,0.0154,-,Gavaltuvos (Nr. 41) apylinkė
Saulius Lapėnas,Jurbarko (Nr. 62) vienmandatės apygardos,0.4547,631,0.417,22,Naujamiesčio (Nr. 31) apylinkė
Arūnas Stoškus,Jurbarko (Nr. 62) vienmandatės apygardos,0.1636,220,0.1501,15,Naujamiesčio (Nr. 31) apylinkė
Stanislovas Gediminas Ilgūnas,Jurbarko (Nr. 62) vienmandatės apygardos,0.124,166,0.1137,12,Naujamiesčio (Nr. 31) apylinkė
Antanas Juozas Kazakevičius,Jurbarko (Nr. 62) vienmandatės apygardos,0.1086,145,0.0996,11,Naujamiesčio (Nr. 31) apylinkė
Jonas Bučinskas,Jurbarko (Nr. 62) vienmandatės apygardos,0.0669,91,0.0613,5,Naujamiesčio (Nr. 31) apylinkė
Mindaugas Šlepševičius,Jurbarko (Nr. 62) vienmandatės apygardos,0.0613,77,0.0562,11,Naujamiesčio (Nr. 31) apylinkė
Birutė Valionytė,Jurbarko (Nr. 62) vienmandatės apygardos,0.0592,80,0.0543,5,Naujamiesčio (Nr. 31) apylinkė
Kristina Vančienė,Jurbarko (Nr. 62) vienmandatės apygardos,0.0209,26,0.0192,4,Naujamiesčio (Nr. 31) apylinkė
Steponas Jankeliūnas,Ukmergės (Nr. 61) vienmandatės apygardos,0.2677,95,0.2112,7,Žemaitkiemio (Nr. 40) apylinkė
Arvydas Mikutis,Ukmergės (Nr. 61) vienmandatės apygardos,0.2205,58,0.1739,26,Žemaitkiemio (Nr. 40) apylinkė
Julius Veselka,Ukmergės (Nr. 61) vienmandatės apygardos,0.168,48,0.1325,16,Žemaitkiemio (Nr. 40) apylinkė
Alfonsas Macaitis,Ukmergės (Nr. 61) vienmandatės apygardos,0.1207,41,0.0952,5,Žemaitkiemio (Nr. 40) apylinkė
Vytautas Grušauskas,Ukmergės (Nr. 61) vienmandatės apygardos,0.1155,38,0.0911,6,Žemaitkiemio (Nr. 40) apylinkė
Albertas Lingė,Ukmergės (Nr. 61) vienmandatės apygardos,0.1129,33,0.089,10,Žemaitkiemio (Nr. 40) apylinkė
Rimantas Smetona,Ukmergės (Nr. 61) vienmandatės apygardos,0.0919,31,0.0725,4,Žemaitkiemio (Nr. 40) apylinkė
Sigitas Masiulionis,Ukmergės (Nr. 61) vienmandatės apygardos,0.0341,11,0.0269,2,Žemaitkiemio (Nr. 40) apylinkė
Regina Šaltinienė,Ukmergės (Nr. 61) vienmandatės apygardos,0.0341,12,0.0269,1,Žemaitkiemio (Nr. 40) apylinkė
Regimantas Baravykas,Ukmergės (Nr. 61) vienmandatės apygardos,0.0315,12,0.0248,-,Žemaitkiemio (Nr. 40) apylinkė
Algimantas Velička,Ukmergės (Nr. 61) vienmandatės apygardos,0.0105,2,0.0083,2,Žemaitkiemio (Nr. 40) apylinkė
Rimantas Sinkevičius,Jonavos (Nr. 60) vienmandatės apygardos,0.3111,161,0.275,7,Šveicarijos (Nr. 27) apylinkė
Jonas Čekuolis,Jonavos (Nr. 60) vienmandatės apygardos,0.213,108,0.1882,7,Šveicarijos (Nr. 27) apylinkė
Andrejus Štombergas,Jonavos (Nr. 60) vienmandatės apygardos,0.1389,68,0.1227,7,Šveicarijos (Nr. 27) apylinkė
Romualdas Kęstutis Ancuta,Jonavos (Nr. 60) vienmandatės apygardos,0.137,70,0.1211,4,Šveicarijos (Nr. 27) apylinkė
Ona Antanavičienė,Jonavos (Nr. 60) vienmandatės apygardos,0.0611,28,0.054,5,Šveicarijos (Nr. 27) apylinkė
Gintas Jasiulionis,Jonavos (Nr. 60) vienmandatės apygardos,0.0519,25,0.0458,3,Šveicarijos (Nr. 27) apylinkė
Klemensas Algimantas Gaižauskas,Jonavos (Nr. 60) vienmandatės apygardos,0.037,17,0.0327,3,Šveicarijos (Nr. 27) apylinkė
Rimvydas Paškauskas,Jonavos (Nr. 60) vienmandatės apygardos,0.0333,18,0.0295,-,Šveicarijos (Nr. 27) apylinkė
Salomėja Vida Valatkevičienė,Jonavos (Nr. 60) vienmandatės apygardos,0.0259,14,0.0229,-,Šveicarijos (Nr. 27) apylinkė
Algimantas Žerolis,Jonavos (Nr. 60) vienmandatės apygardos,0.0259,10,0.0229,4,Šveicarijos (Nr. 27) apylinkė
Kazimieras Petraitis,Jonavos (Nr. 60) vienmandatės apygardos,0.0241,12,0.0213,1,Šveicarijos (Nr. 27) apylinkė
Arūnas Grušeckas,Jonavos (Nr. 60) vienmandatės apygardos,0.0185,9,0.0164,1,Šveicarijos (Nr. 27) apylinkė
Bronius Bradauskas,Kaišiadorių - Elektrėnų (Nr. 59) vienmandatės apygardos,0.6164,56,0.3525,42,Mūro Strėvininkų (Nr. 30) apylinkė
Juozas Matulevičius,Kaišiadorių - Elektrėnų (Nr. 59) vienmandatės apygardos,0.4906,51,0.2806,27,Mūro Strėvininkų (Nr. 30) apylinkė
Juozas Virmantas Jurgaitis,Kaišiadorių - Elektrėnų (Nr. 59) vienmandatės apygardos,0.1824,19,0.1043,10,Mūro Strėvininkų (Nr. 30) apylinkė
Rimantas Jonas Dagys,Kaišiadorių - Elektrėnų (Nr. 59) vienmandatės apygardos,0.0943,11,0.054,4,Mūro Strėvininkų (Nr. 30) apylinkė
Vytautas Vyčinas,Kaišiadorių - Elektrėnų (Nr. 59) vienmandatės apygardos,0.0755,11,0.0432,1,Mūro Strėvininkų (Nr. 30) apylinkė
Zita Marijona Juodeikienė,Kaišiadorių - Elektrėnų (Nr. 59) vienmandatės apygardos,0.0629,6,0.036,4,Mūro Strėvininkų (Nr. 30) apylinkė
Saulius Pečeliūnas,Kaišiadorių - Elektrėnų (Nr. 59) vienmandatės apygardos,0.0314,5,0.018,-,Mūro Strėvininkų (Nr. 30) apylinkė
Tadeuš Tučkovski,Trakų - Elektrėnų (Nr. 58) vienmandatės apygardos,0.3621,241,0.3302,2,Liudvinavo (Nr. 78) apylinkė
Dangutė Mikutienė,Trakų - Elektrėnų (Nr. 58) vienmandatės apygardos,0.3398,227,0.3098,1,Liudvinavo (Nr. 78) apylinkė
Zita Okunevičienė,Trakų - Elektrėnų (Nr. 58) vienmandatės apygardos,0.0835,55,0.0761,1,Liudvinavo (Nr. 78) apylinkė
Danutė Aleksiūnienė,Trakų - Elektrėnų (Nr. 58) vienmandatės apygardos,0.076,51,0.0693,-,Liudvinavo (Nr. 78) apylinkė
Vladislav Jankovskij,Trakų - Elektrėnų (Nr. 58) vienmandatės apygardos,0.0447,29,0.0408,1,Liudvinavo (Nr. 78) apylinkė
Arvydas Pečiulis,Trakų - Elektrėnų (Nr. 58) vienmandatės apygardos,0.0313,21,0.0285,-,Liudvinavo (Nr. 78) apylinkė
Rimvydas Raimondas Survila,Trakų - Elektrėnų (Nr. 58) vienmandatės apygardos,0.0149,9,0.0136,1,Liudvinavo (Nr. 78) apylinkė
Albertas Malašauskas,Trakų - Elektrėnų (Nr. 58) vienmandatės apygardos,0.0134,9,0.0122,-,Liudvinavo (Nr. 78) apylinkė
Kęstutis Vaclovas Baravykas,Trakų - Elektrėnų (Nr. 58) vienmandatės apygardos,0.0119,8,0.0109,-,Liudvinavo (Nr. 78) apylinkė
Valerija Brazienė Gitelman,Trakų - Elektrėnų (Nr. 58) vienmandatės apygardos,0.0089,6,0.0082,-,Liudvinavo (Nr. 78) apylinkė
Stasė Žabienė,Trakų - Elektrėnų (Nr. 58) vienmandatės apygardos,0.0089,6,0.0082,-,Liudvinavo (Nr. 78) apylinkė
Raimondas Ivaškevičius,Trakų - Elektrėnų (Nr. 58) vienmandatės apygardos,0.006,4,0.0054,-,Liudvinavo (Nr. 78) apylinkė
Viktoras Mongirdas,Trakų - Elektrėnų (Nr. 58) vienmandatės apygardos,0.0045,3,0.0041,-,Liudvinavo (Nr. 78) apylinkė
Steponas Puipa,Trakų - Elektrėnų (Nr. 58) vienmandatės apygardos,0.003,2,0.0027,-,Liudvinavo (Nr. 78) apylinkė
Vacys Ramanauskas,Vilniaus - Trakų (Nr. 57) vienmandatės apygardos,0.253,336,0.2292,19,Melioratorių (Nr. 50) apylinkė
Aleksander Poplavski,Vilniaus - Trakų (Nr. 57) vienmandatės apygardos,0.1981,269,0.1795,9,Melioratorių (Nr. 50) apylinkė
Jan Zachaževski,Vilniaus - Trakų (Nr. 57) vienmandatės apygardos,0.1176,163,0.1065,2,Melioratorių (Nr. 50) apylinkė
Sofija Daubaraitė,Vilniaus - Trakų (Nr. 57) vienmandatės apygardos,0.1083,145,0.0981,7,Melioratorių (Nr. 50) apylinkė
Albinas Pocevičius,Vilniaus - Trakų (Nr. 57) vienmandatės apygardos,0.0962,132,0.0872,3,Melioratorių (Nr. 50) apylinkė
Česlav Mickievič,Vilniaus - Trakų (Nr. 57) vienmandatės apygardos,0.0834,111,0.0755,6,Melioratorių (Nr. 50) apylinkė
Henrik Jankovski,Vilniaus - Trakų (Nr. 57) vienmandatės apygardos,0.0699,98,0.0633,-,Melioratorių (Nr. 50) apylinkė
Viktoras Leonas Pakalnis,Vilniaus - Trakų (Nr. 57) vienmandatės apygardos,0.0478,65,0.0433,2,Melioratorių (Nr. 50) apylinkė
Žilvinas Cibas,Vilniaus - Trakų (Nr. 57) vienmandatės apygardos,0.0271,34,0.0245,4,Melioratorių (Nr. 50) apylinkė
Anicet Brodavski,Vilniaus - Trakų (Nr. 57) vienmandatės apygardos,0.0264,35,0.0239,2,Melioratorių (Nr. 50) apylinkė
Mykolas Okulič Kazarinas,Vilniaus - Trakų (Nr. 57) vienmandatės apygardos,0.0107,15,0.0097,-,Melioratorių (Nr. 50) apylinkė
Valdemar Tomaševski,Vilniaus - Šalčininkų (Nr. 56) vienmandatės apygardos,0.8679,217,0.7516,13,Rakonių (Nr. 55) apylinkė
Valerij Tretjakov,Vilniaus - Šalčininkų (Nr. 56) vienmandatės apygardos,0.0906,24,0.0784,-,Rakonių (Nr. 55) apylinkė
Artur Plokšto,Vilniaus - Šalčininkų (Nr. 56) vienmandatės apygardos,0.0377,10,0.0327,-,Rakonių (Nr. 55) apylinkė
Ilona Paškevič,Vilniaus - Šalčininkų (Nr. 56) vienmandatės apygardos,0.0226,6,0.0196,-,Rakonių (Nr. 55) apylinkė
Romas Kalcas,Vilniaus - Šalčininkų (Nr. 56) vienmandatės apygardos,0.0151,4,0.0131,-,Rakonių (Nr. 55) apylinkė
Victor Vitold Vytautas Laugalis,Vilniaus - Šalčininkų (Nr. 56) vienmandatės apygardos,0.0075,2,0.0065,-,Rakonių (Nr. 55) apylinkė
Jolanta Bogdelienė,Vilniaus - Šalčininkų (Nr. 56) vienmandatės apygardos,0.0038,1,0.0033,-,Rakonių (Nr. 55) apylinkė
Aleksandr Tuguši,Vilniaus - Šalčininkų (Nr. 56) vienmandatės apygardos,0.0038,1,0.0033,-,Rakonių (Nr. 55) apylinkė
Valdemar Tomaševski,Vilniaus - Šalčininkų (Nr. 56) vienmandatės apygardos,0.3346,352,0.3066,11,Neries (Nr. 52) apylinkė
Valerij Tretjakov,Vilniaus - Šalčininkų (Nr. 56) vienmandatės apygardos,0.3088,324,0.2829,11,Neries (Nr. 52) apylinkė
Artur Plokšto,Vilniaus - Šalčininkų (Nr. 56) vienmandatės apygardos,0.1438,155,0.1318,1,Neries (Nr. 52) apylinkė
Ilona Paškevič,Vilniaus - Šalčininkų (Nr. 56) vienmandatės apygardos,0.1069,113,0.098,3,Neries (Nr. 52) apylinkė
Victor Vitold Vytautas Laugalis,Vilniaus - Šalčininkų (Nr. 56) vienmandatės apygardos,0.0433,47,0.0397,-,Neries (Nr. 52) apylinkė
Jolanta Bogdelienė,Vilniaus - Šalčininkų (Nr. 56) vienmandatės apygardos,0.0396,38,0.0363,5,Neries (Nr. 52) apylinkė
Romas Kalcas,Vilniaus - Šalčininkų (Nr. 56) vienmandatės apygardos,0.0369,39,0.0338,1,Neries (Nr. 52) apylinkė
Aleksandr Tuguši,Vilniaus - Šalčininkų (Nr. 56) vienmandatės apygardos,0.0166,17,0.0152,1,Neries (Nr. 52) apylinkė
Valdemar Tomaševski,Vilniaus - Šalčininkų (Nr. 56) vienmandatės apygardos,0.3308,385,0.3026,9,Nemenčinės (Nr. 51) apylinkė
Valerij Tretjakov,Vilniaus - Šalčininkų (Nr. 56) vienmandatės apygardos,0.2427,281,0.222,8,Nemenčinės (Nr. 51) apylinkė
Artur Plokšto,Vilniaus - Šalčininkų (Nr. 56) vienmandatės apygardos,0.22,254,0.2012,8,Nemenčinės (Nr. 51) apylinkė
Ilona Paškevič,Vilniaus - Šalčininkų (Nr. 56) vienmandatės apygardos,0.1117,133,0.1022,-,Nemenčinės (Nr. 51) apylinkė
Romas Kalcas,Vilniaus - Šalčininkų (Nr. 56) vienmandatės apygardos,0.0495,56,0.0453,3,Nemenčinės (Nr. 51) apylinkė
Jolanta Bogdelienė,Vilniaus - Šalčininkų (Nr. 56) vienmandatės apygardos,0.0336,37,0.0307,3,Nemenčinės (Nr. 51) apylinkė
