apygarda,gimimo_data,seimynine_padetis,sunkus_nusikaltimas,darboviete,kandidatas,gyvena,issilavinimas,pomegiai,gimimo_vieta,iskele,tautybe,saraso_numeris,uzsienio_kalbos,pripazintas_kaltu,neatlikta_bausme
Pramonės,1932 01 01,Vedęs,Nebuvo,"Kauno miesto savivaldybė, miesto tvarkymo vyriausiasis inžinierius",Alfonsas ŠULCAS,Kaunas ,"1960 - Kauno politechnikos institutas, Pramoninė ir civilinė statyba",Medžioklė,,Lietuvių tautininkų sąjunga,,,Rusų,Nėra,Neturi
Dzūkijos,1950 12 04,Vedęs,Nebuvo,"Lietuvos Respublikos Seimas, Seimo narys",Vidmantas ŽIEMELIS,Vilnius ,"1977 - VVU, Teisininkas",Literatūra,,Tėvynės liaudies partija,,,Anglų,Nėra,Neturi
Jonavos,1927 02 01,Vedęs,Nebuvo,Pensininkas,Kazimieras PETRAITIS,"Garšvių k. , Panevėžio raj.","1955 - Kauno politechnikos institutas, Inžinierius statybininkas",Gyvuliai,,Respublikonų partija,,,Rusų,Nėra,Neturi
Daugiamandatė,1947 01 15,Išsiskyrusi,Nebuvo,"Ukmergės jaunimo mokykla, socialinė peagoė",Ona Anastazija VŽESNIAUSKIENĖ,"Ukmergė , Ukmergės raj.",1981 - VAPM,Menas,,A.Brazausko socialdemokratinė koalicija,,,Rusų,Nėra,Neturi
Marių,1963 11 24,,Nebuvo,"VĮ Klaipėdos ligoninė, personalo sk. vyresnioji inspektorė",Lolita ŽILIUVIENĖ,Klaipėda ,"1986 - Lietuvos veterinarijos akademija, zooinžinerija",Biologija,,Moderniųjų krikščionių demokratų sąjunga,,,Rusų,Nėra,Neturi
Panemunės,1939 10 09,,Nebuvo,"Kauno technologijos universitetas, docentas",Kiprijonas Kastytis ŠARKAUSKAS,Kaunas ,"1963 - Kauno politechnikos institutas, Inžinierius elektrikas",Literatūra,,Lietuvos teisingumo partija,,,Rusų,Nėra,Neturi
Zarasų - Visagino,1953 02 02,Vedęs,Nebuvo,"""Santaros"" vid. m-la, psichologas",Rafael MUKSINOV,Vilnius ,"1981 - filosofijos, socialogijos ir teisės institutas, LR Vilnius, Sociologas;1976 - Leningrado kultūros institutas, Bibliografas;1974 - Leningrado pedagoginis institutas, Soc. psichologas",,,Lietuvos socialistų partija,,,Anglų,Nėra,Neturi
Daugiamandatė,1957 03 24,Vedęs,Nebuvo,"UAB ""Kelių tiesėjų atestavimo centras"", ekspertas",Paulius GIRČYS,Vilnius ,"1980 - Vilniaus Gedimino technikos universitetas, inžinierius statybininkas",Kelionės,,A.Brazausko socialdemokratinė koalicija,,,Rusų,Nėra,Neturi
Daugiamandatė,1962 07 24,Nevedęs,Nebuvo,Laikinai bedarbis,Oleg GLUCHOV,Vilnius ,"1984 - Vilniaus inžinerinis statybos institutas, Inžinierius statybininkas",,,A.Brazausko socialdemokratinė koalicija,,,Rusų,Nėra,Neturi
Daugiamandatė,1936 08 09,Vedęs,Nebuvo,"Pensininkas, iki 1996 m. rugpjūčio dirbęs Kretingos raj. centrinėje ligoninėje, nuo 1996 m. - LRS narys, SRK pirmininko pavaduotojas",Antanas ŠVITRA,"Dainaviškių k. , Lazdijų raj.","1960 - Vilniaus universitetas, Gydytojas",Sodininkas mėgėjas,,Tėvynės sąjunga  (Lietuvos konservatoriai),,,Rusų,Nėra,Neturi
