apygarda,gimimo_data,seimynine_padetis,sunkus_nusikaltimas,darboviete,kandidatas,gyvena,issilavinimas,pomegiai,gimimo_vieta,iskele,tautybe,saraso_numeris,uzsienio_kalbos,pripazintas_kaltu,neatlikta_bausme
Daugiamandatė,1982-04-12,nevedęs / netekėjusi,Ne ,"Jaunimo reikalų departamentas prie SADM, direktorius",Juras    POŽELA,Vilnius,Aukštasis;Vilniaus universitetas;žurnalistika;2006;Aukštasis;Vilniaus universitetas;informologija;2004;Vidurinis;Vilniaus Antakalnio m-kla;2000,"knygos, plaukimas, politinė filosofija",Vilnius,Lietuvos socialdemokratų partija,Lietuvis (-ė) ,,"Anglų, Rusų",Ne ,Neturiu 
Zarasų - Visagino,1950-08-02,vedęs / ištekėjusi,Ne ,"UAB ""Liaudies kuras"", direktorius",Jurijus    SUBOTINAS,Vilnius,Aukštasis;Kauno Politechnikos ins.;inžinierius;1978,sportas,"Lietuva, Kaunas","Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",Rusas (-ė) ,,Rusų,Taip ,Neturiu 
Šilainių,1945-03-19,Išsiskyręs(-usi),Ne ,"UAB ""žaibiškas greitis"", taksi vairuotojas",VYTAUTAS    ŠUSTAUSKAS,Kaunas,Aukštasis universitetinis;Klaipėdos universitetas;vadybos ir viešo administravimo bakalauras;2005,"politikuoti, greitai važinėti, rašyti, kurti","Lietuva, Kelmės raj. Kražiai",Lietuvos laisvės sąjunga,Lietuvis (-ė) ,,"Rusų, Vokiečių",Ne ,Neturiu 
Kalniečių,1969-04-04,vedęs / ištekėjusi,Ne ,"UAB ""Sabelijos prekyba"" departamento direktorius",Rytis    ŠATKAUSKAS,Kaunas,Aukštasis;KTU;ekonomikos magistras;2001;Aukštasis;KTU;telekomunikacijų inžinierius;1994;Vidurinis;Klaipėdos 14-ta vidurinė mokykla;1987,"psichologija, skaitymas, technologijos, sportas",Klaipėda,Leiboristų partija,Lietuvis (-ė) ,,"Rusų, Anglų",Ne ,Neturiu 
Daugiamandatė,1958-09-17,vedęs / ištekėjusi,Ne ,"V. Zuzevičienės IĮ, savininkė",Virginija    ZUZEVIČIENĖ,Druskininkai,Aukštasis universitetinis;Šiaulių pedagoginis institutas;Spec. pedagogas;1981,"Gamta, Muzika, Kelionės",Alytaus rajonas,Koalicija Darbo partija + jaunimas,Lietuvis (-ė) ,,"Rusų, Lenkų, Prancūzų",Ne ,Neturiu 
Daugiamandatė,1941-08-19,Išsiskyręs(-usi),Ne ,Pensininkas,Andrius    AŠMONTAS,Spurganų k.,Aukštesnysis;Orechovo Zujevo institutas pedagoginis technikumas;Žemės ūkis elektrifikavimas;1970,Sodininkas,"Raseinių km., Klaipėdos raj.",Lietuvos socialdemokratų sąjunga,Lietuvis (-ė) ,,Rusų,Ne ,Neturiu 
Senamiesčio,1971-01-28,Nenurodė,Ne ,Nenurodė,Giedrius    ŠARKANAS,Vilnius,Magistras;TSPMI;politikos mokslai;2001;Bakalauras;Tarptautinių santykių ir politikos mokslų institutas (TSPMI);politikos mokslai;1999;Vidurinis;Vilniaus 40 vid. m-la;1988,"bridžas, dienoraštis internete, užsienio kalbos, Lietuvos ir pasaulinė istorija, filosofija, etika, grybavimas, fantazija",Vilnius,"Partija ""Jaunoji Lietuva""",Lietuvis (-ė) ,,"Anglų, Lenkų, Rusų, Vokiečių, Prancūzų, Italų, Ispanų",Ne ,Neturiu 
Daugiamandatė,1971-07-31,vedęs / ištekėjusi,Ne ,"VšĮ ""AZZARA"", direktorė",Agnė    ZUOKIENĖ,Vilnius,Aukštasis;VU;Žurnalistika;1994,,Vilnius,Liberalų ir centro sąjunga,Lietuvis (-ė) ,,"Anglų, Rusų",Ne ,Neturiu 
Daugiamandatė,1956-09-28,Išsiskyręs(-usi),Ne ,"UAB ""Litera"" laikraštis ""Pamarys"" korespondentas",Edmundas    MIELIULIS,Pagėgiai,Aukštesnysis;Šilutės žemės ūkio technikumas;zootechnikas;1975,sportas,Šilutė,Partija Tvarka ir teisingumas,Lietuvis (-ė) ,,"Anglų, Rusų",Ne ,Neturiu 
Daugiamandatė,1953-03-26,vedęs / ištekėjusi,Ne ,"Lietuvos Respublikos Vyriausybė, URM",Petras    VAITIEKŪNAS,Vilnius,Aukštasis;VU;Teorinė fizika;1974,,"Liudvinavas, Marijampolės raj.",Lietuvos valstiečių liaudininkų sąjunga,Lietuvis (-ė) ,,"Anglų, Rusų, Latvių",Ne ,Neturiu 
Vakarinė,1960-05-16,vedęs / ištekėjusi,Ne ,"Lietuvos Respublikos Seimas, Seimo narys",Gintaras    ŠILEIKIS,Panevėžys,Aukštasis;Vilniaus pedagoginis institutas (dabar - Vilniaus pedagoginis universitetas);Mokytojas;1984,Kelionės,Ukmergės rajono Užulėnio kaimas,Lietuvos Respublikos liberalų sąjūdis,Lietuvis (-ė) ,,"Rusų, Anglų",Ne ,Neturiu 
Daugiamandatė,1970-04-25,vedęs / ištekėjusi,Ne ,"R.Bražinsko individuali veikla, konsultantas",Rolandas    BRAŽINSKAS,Peskojų k.,Aukštasis;Klaipėdos universitetas;Rekreacija;1995,"Žūklė, skvošas, kelionės",Klaipėda,Lietuvos Respublikos liberalų sąjūdis,Lietuvis (-ė) ,,"Anglų, Rusų, Italų",Ne ,Neturiu 
Daugiamandatė,1966-01-09,vedęs / ištekėjusi,Ne ,"LNK (laisvas nepriklausomas kanalas, laidos vyr. redaktorė, vedėja",Daiva    TAMOŠIŪNAITĖ,Vilnius,Aukštasis;VVPI;Prancūzų kalba ir literatūra;1988,,"Plungės raj., Vydeikių km.",Tautos prisikėlimo partija,Lietuvis (-ė) ,,"Prancūzų, Rusų",Ne ,Neturiu 
Kaišiadorių - Elektrėnų,1960-12-12,vedęs / ištekėjusi,Ne ,"Trakų rajono savivaldybės administracija, direktoriaus pavaduotoja",Irena    NARKEVIČ,Trakai,Aukštasis;Vilniaus Valstybinis Universitetas;Ekonomistė;1983,"Rankdarbiai, Kelionės, Sodas",Trakai,Lietuvos lenkų rinkimų akcija,Lenkas (-ė) ,,"Rusų, Prancūzų",Ne ,Neturiu 
Kėdainių,1951-11-11,vedęs / ištekėjusi,Ne ,"Lietuvos Respublikos Seimas, Seimo narys",Viktoras    MUNTIANAS,Bartkūniškių k.,Aukštasis;Vilniaus aukštoji partinė mokykla;Politologas;1987;Aukštasis;Vilniaus inžinerinis statybos institutas;Inžinierius-statybininkas;1978;Vidurinis;Marijampolės 3-ioji vid. mokykla;Nenurodė;1968,,Marijampolė,Pilietinės demokratijos partija,Lietuvis (-ė) ,,"Rusų, Anglų",Ne ,Neturiu 
Daugiamandatė,1940-11-02,vedęs / ištekėjusi,Ne ,"UAB ""Bacchus"", wine expert",Domininkas    VELIČKA,Vilnius,-;Barselonos Somelje m-la;somelje;2005;-;Vilniaus vadybos akademija;vadyba;1999;Aukštasis;Vilniaus valstybinis universitetas;atominė spektrosk.;1966,fotografija,Kaunas (Vilijampolė),Naujoji sąjunga (socialliberalai),Lietuvis (-ė) ,,"Anglų, Rusų, Ispanų",Ne ,Neturiu 
Telšių,1948-01-01,vedęs / ištekėjusi,Ne ,"UAB „LESTEMA“, direktorius",Juozas    BUTKEVIČIUS,Telšiai,Aukštasis;KPI;Inžinierius-statybininkas;1971,,Dovainių k. Plungės sav.,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Rusų, Anglų",Taip ,Neturiu 
Dzūkijos,1950-12-04,Išsiskyręs(-usi),Ne ,"Lietuvos Respublikos Seimas, Seimo narys",Vidmantas    ŽIEMELIS,Melkio k.,Aukštasis;Vilniaus Valstybinis universitetas;Teisininkas;1977,"Sportas, Filosofinės literatūros skaitymas","Gališkių km., Molėtų raj.",Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Rusų, Prancūzų, Anglų",Ne ,Neturiu 
Daugiamandatė,1977-06-16,vedęs / ištekėjusi,Ne ,"Individuali įmonė ""Paslauguva"", vadovas",Artūras    MICKEVIČIUS,Vilkaviškis,Aukštesnysis;Kauno kolegija Kraštotvarkos fakultetas;Žemėtvarka-geodezija;2005,,Vilkaviškis,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Lenkų, Rusų, Anglų",Ne ,Neturiu 
Daugiamandatė,1962-03-15,vedęs / ištekėjusi,Ne ,"Šalčininkų Lietuvos tūkstantmečio gimnazija, direktorius",Vidmantas    ŽILIUS,Šalčininkai,Aukštasis;VVPI;Matematikos mokytojas;1984,Žūklė,Rietavas,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,,Ne ,Neturiu 
Daugiamandatė,1937-05-19,vedęs / ištekėjusi,Taip ,"Radviliškio vaikų muzikos mokykla, muzikos instr. derintojas",Algirdas Donatas    KULIKAUSKAS,Šiauliai,Aukštasis;Šiaulių pedagoginis institutas;Mokytojas;1987;Vidurinis;Buivydiškių ŽŪT;Žuvininkas;1966;Vidurinis;Klaipėdos jūrininkų mokykla;Laivavedys;1956,"Filmavimas, Lietuvių liaudies muzikos instrumentų gamyba, Fotografija","Ambrasų km., Vilkaviškio raj.",Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,,Ne ,Neturiu 
Daugiamandatė,1946-11-09,vedęs / ištekėjusi,Ne ,"VšĮ Šiaulių apskrities Šaukėnų psichiatrijos ligoninė, direktorius",Stasys    LEKŠAS,Kelmė,Aukštasis;Kauno medicinos institutas;Gydytojas;1972,"Šachmatai, Fantastinė literatūra",Žagatų k. Šilutės rajonas,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Rusų, Anglų",Ne ,Neturiu 
Raseinių,1969-12-29,vedęs / ištekėjusi,Ne ,"Raseinių „Žemaičio“ gimnazija, mokytojas",Linas    DARGEVIČIUS,Raseiniai,Aukštasis;Vilniaus pedagoginis universitetas;Istorija-pedagogika;1993,"informacinės technologijos, literatūra, sportas",Šilalė,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Rusų, Anglų",Ne ,Neturiu 
Daugiamandatė,1954-12-20,vedęs / ištekėjusi,Ne ,"Žirmūnų seniūnija, vyr. specialistas",Algimantas    VAITKUS,Vilnius,Aukštasis;VISI;Inžinierius-statybininkas;1978,"Sportas, Politika, Istorija","Rusija, Tomsko sritis",Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Rusų, Vokiečių",Ne ,Neturiu 
Saulės,1955-08-27,vedęs / ištekėjusi,Ne ,"Lietuvos Respublikos Seimas, padėjėjas - sekretorius",Vladas    DAMULEVIČIUS,Šiauliai,Aukštasis;Vilniaus inžinerinis statybos institutas;inžinierius - statybininkas;1979,gamta,Rusija,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Rusų, Anglų",Ne ,Neturiu 
Fabijoniškių,1960-06-10,vedęs / ištekėjusi,Ne ,Nenurodė,Rūta    RUTKELYTĖ,Vilnius,"Aukštasis;VVU, Vilniaus valstybinis universitetas;Filologija;1985",Sportas,Marijampolė,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Anglų, Vokiečių, Rusų, Italų, Prancūzų, Ispanų",Ne ,Neturiu 
