apygarda,gimimo_data,seimynine_padetis,sunkus_nusikaltimas,darboviete,kandidatas,gyvena,issilavinimas,pomegiai,gimimo_vieta,iskele,tautybe,saraso_numeris,uzsienio_kalbos,pripazintas_kaltu,neatlikta_bausme
Daugiamandatė,1963-08-29,vedęs / ištekėjusi,Ne ,"Baltijos labdaros fondas, mokymo programų vadovė",Gražina    MONGIRDIENĖ,Žaizdrių k.,Aukštasis;Gedimino technikos universitetas;Edukologė;2001;Aukštasis;Kauno politechnikos institutas;Inžinierė;1986,"Piešti, Sportuoti, Skaityti",Pasvalys,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Anglų, Lenkų, Rusų",Ne ,Neturiu 
Radviliškio,1957-05-20,vedęs / ištekėjusi,Ne ,Radviliškio DSPC direktoriaus pavaduotojas medicinai,Aloyzas    JUODIS,Radviliškis,Aukštasis;Kauno medicinos institutas;gydytojas;1982,"sportas, žvejyba, medžiokė",Kaunas,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Anglų, Lenkų, Rusų",Ne ,Neturiu 
Daugiamandatė,1981-03-27,vedęs / ištekėjusi,Ne ,"UAB ""RS HOUSES"", direktorius",Romas    JONKUS,Šiauliai,Nebaigtas vidurinis;Telšių suaugusiųjų vidurinė mokykla;Nenurodė,"Sportas, Keliauti",Šiauliai,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Rusų, Anglų",Ne ,Neturiu 
Rokiškio,1962-08-26,vedęs / ištekėjusi,Ne ,"Rokiškio rajono savivaldybė, mero pavaduotojas",Algis    KAZULĖNAS,Rokiškis,Aukštasis;Vilniaus pedagoginis universitetas;Mokytojas;1986,"Sportas, Istorija, Muzika",Rokiškis,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Rusų, Vokiečių",Ne ,Neturiu 
Varėnos - Eišiškių,1966-03-03,vedęs / ištekėjusi,Ne ,"Varėnos ""Ryto"" vid. m-kla, mokytojas",Giedrius    SAMULEVIČIUS,Varėna,Aukštasis;VPU;Istorija-pedagogika;1996,Turizmas,Varėna,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Rusų, Anglų",Ne ,Neturiu 
Daugiamandatė,1960-01-13,vedęs / ištekėjusi,Ne ,"Lino Bieliausko šeimos klinika savininkas, šeimos gydytojas ",Linas    BIELIAUSKAS,Marijampolė,Aukštasis;Kauno medicinos institutas;Gydytojas;1984,Literatūra,Lazdijai,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Rusų, Anglų",Ne ,Neturiu 
Daugiamandatė,1969-05-14,vedęs / ištekėjusi,Ne ,"Marijampolės kolegija, Edukologijos ir socialinio darbo fakulteto dekanas ",Kęstutis    TRAŠKEVIČIUS,Marijampolė,Aukštasis;Vytauto Didžiojo universitetas;Profesinio mokymo vadybos magistrantūra;2005;Aukštasis;Vilniaus universitetas;Matematika;1992,"Muzika, Sportas",Marijampolė,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,Rusų,Ne ,Neturiu 
Daugiamandatė,1952-09-16,vedęs / ištekėjusi,Ne ,"VšĮ Panevėžio Kazimiero Paltaroko gimnazija, istorijos mokytojas ekspertas",Juozas    BRAZAUSKAS,Panevėžys,Aukštasis;Vilniaus universitetas;Istorija;1976,"Kelionės, Domėjimasis sporto (olimpinių žaidynių) istorija, Bendradarbiavimas spaudoje, Kraštotyra",Kėdainių miestas,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Anglų, Rusų",Ne ,Neturiu 
Daugiamandatė,1964-09-27,vedęs / ištekėjusi,Ne ,"Dirbu pagal autorines sutartis, estrados dainininkė",Liveta    KAZLAUSKIENĖ,Karmėlavos II k.,Aukštesnysis;Tauragės politechnikumas;ŽŪE;1984,"Tapyba, Eilių kūryba, Dainavimas, Šaudymas, Žvejyba",Tauragės miestas,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,Rusų,Ne ,Neturiu 
Daugiamandatė,1969-07-17,vedęs / ištekėjusi,Ne ,"Tauragės profesinio rengimo centras, profesinio rengimo skyriaus vedėjas",Darius    BREDELIS,Tauragė,Aukštasis;Kauno technologijos universitetas;Viešojo administravimo magistras;2005;Aukštasis;Klaipėdos universitetas;Informatikos mokytojas;2002;Aukštasis;Klaipėdos universitetas;Pedagogas;2001;Aukštasis;Kauno technologijos universitetas;Inžinierius-mechanikas;1997;Specialus vidurinis;Tauragės politechnikumas;Technikas-mechanikas;1988,"Knygų skaitymas, Krepšinis",Tauragė,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Rusų, Anglų",Ne ,Neturiu 
Daugiamandatė,1942-05-15,vedęs / ištekėjusi,Ne ,"Lietuvos advokatūra, advokatas-koordinatorius",Jonas    RAMANAUSKAS,Ignalina,Aukštasis;Vilniaus valstybinis universitetas;Teisė;1978,"Grojimas akordeonu, bajanu, Muzika","Medeišių kaimas, Ignalinos raj.",Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Rusų, Lenkų",Ne ,Neturiu 
Vilniaus - Šalčininkų,1958-07-08,vedęs / ištekėjusi,Ne ,"UAB ""Matininko konsultacijų biuras"", direktoriaus pavaduotojas",Jonas    CIMBOLAITIS,Grigiškės,"Aukštasis;KPI;Šilumos, dujų tiekimas, vėdinimas;1981","Automobiliai, Antikvariatas, Knygos","Tiumenė, Rusija",Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Rusų, Lenkų, Anglų",Ne ,Neturiu 
Daugiamandatė,1958-12-26,Išsiskyręs(-usi),Ne ,"Muzikos ir teatro akademija, Muzikologijos inst. Etnomuzikologijos sk. vedėja, vyresnioji mokslo darb.",Dalia    URBANAVIČIENĖ,Vilnius,Aukštasis;Lietuvos muzikos ir teatro akademija (buv. Lietuvos TSR konservatorija);Muzikologija;1986,"Turizmas, Tradiciniai šokiai, dainos",Vilnius,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Anglų, Rusų, Lenkų, Vokiečių",Ne ,Neturiu 
Lazdynų,1960-09-07,vedęs / ištekėjusi,Ne ,"Vilniaus miesto savivaldybės administracijos Lazdynų seniūnija, seniūnas ",Algis    STRELČIŪNAS,Vilnius,Aukštasis;Vilniaus inžinerinis statybos institutas;Automobilių ir autoūkio specialybė;1987,"Kelionės, Knygos, Biliardas, Žvejyba",Vilnius,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,Rusų,Ne ,Neturiu 
Daugiamandatė,1954-06-05,nevedęs / netekėjusi,Ne ,"Akmenės rajono savivaldybės administracija, administracijos direktorė",Jadvyga    DUNAUSKAITĖ,Kanteikių k.,Aukštasis;Mykolo Romerio universitetas;Teisės bakalauras;2002;Aukštasis;KPI (Technologijos universitetas);Inžinierė statybininkė;1990,,Kanteikių k. Akmenės raj.,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Rusų, Anglų",Ne ,Neturiu 
Daugiamandatė,1939-09-16,vedęs / ištekėjusi,Ne ,Pensininkas,Arūnas Domininkas    GRABAŽIS,Mielagėnų mstl.,Aukštasis;Lietuvos Kūno kultūros institutas;Fizinio lavinimo dėstytojas;1961,"Sportas, Muzika",Kaunas,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Lenkų, Anglų, Rusų",Ne ,Neturiu 
Daugiamandatė,1953-10-26,vedęs / ištekėjusi,Ne ,"Alytaus rajono savivaldybė, mero pavaduotojas ",Gediminas    KRASAUSKAS,Krokialaukio mstl.,Aukštasis;Lietuvos veterinarijos akademija;Zooinžinierius;1977,"Kelionės, Žvejyba",Čiurlionių k. Krokialaukio sen. Alytaus rajonas,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Rusų, Anglų",Ne ,Neturiu 
Daugiamandatė,1952-09-25,vedęs / ištekėjusi,Ne ,"AB bankas ""Snoras"", Alytaus filialo direktorius",Pranas    JACIUNSKAS,Alytus,Aukštasis;Kauno technologijos universitetas;Vadybos magistras;2002;Aukštasis;Lietuvos žemės ūkio universitetas;Inžinierius elektrikas;1975,"Kelionės, Gamta","Seimeniškių km., Miroslavo seniūnija, Alytaus raj.",Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Rusų, Prancūzų",Ne ,Neturiu 
Karoliniškių,1944-02-27,vedęs / ištekėjusi,Ne ,"LR Seimas, Seimo narė",Danutė    BEKINTIENĖ,Vilnius,Aukštasis;Vilniaus universitetas;biologijos-chemijos dėstytoja;1967,"Grybavimas, Gėlių auginimas","Puvočių kaimas, Varėnos raj.",Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Prancūzų, Lenkų, Rusų",Ne ,Neturiu 
Daugiamandatė,1958-03-24,Našlys(-ė),Ne ,"Kauno rajono savivaldybė, administracijos direktoriaus pavaduotoja",Regina    LUKOŠEVIČIENĖ,Ringaudų k.,Aukštasis;Kauno technologijos universitetas;Edukologijos magistras;2003;Aukštasis;Kauno politechnikos institutas;Inžinierė technologė;1981,"Literatūra, Žaisti šachmatais",Kauno raj. Noreikiškių k.,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Anglų, Rusų",Ne ,Neturiu 
Daugiamandatė,1969-03-23,Išsiskyręs(-usi),Ne ,"Šilalės rajono savivaldybės administracija, vyriausiasis specialistas",Rytis    AUŠRA,Šilalė,Aukštasis;Šiaulių pedagoginis institutas;Fizika ir pedagogika;1992,"Žvejyba, Filatelija, Tautiniai šokiai",Šilalė,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Anglų, Rusų",Ne ,Neturiu 
Daugiamandatė,1951-11-05,vedęs / ištekėjusi,Ne ,"Panevėžio aps. viršininko adm.,Žemės tvarkymo departamento Žemėtvarkos vadybos, kadastro ir geodezijos sk. vedėja",Zinaida    MARMOKIENĖ,Panevėžys,Aukštasis;Lietuvos žemės ūkio akademija;Inžinierė žemėtvarkininkė;1974,"Literatūra, Istorija, Kelionės","Petrovskoje kaimas, Tuluno rajonas, Irkutsko sritis, Rusija",Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Rusų, Prancūzų",Ne ,Neturiu 
Daugiamandatė,1949-03-21,vedęs / ištekėjusi,Ne ,"Individuali veikla, konsultantas pagal Lietuvos kaimo plėtros 2007-2013 metų programą",Jonas    ALEKNAVIČIUS,Vilnius,Aukštasis;Kauno politechnikos institutas;Inžinierius elektrikas;1972,"Lietuvos gamtos, istorijos, kultūros pažinimas, Turizmas","Prienų raj., Šmitiškių k.",Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Anglų, Rusų",Ne ,Neturiu 
Ukmergės,1954-11-28,vedęs / ištekėjusi,Ne ,"Ukmergės pirminės sveikatos priežiūros centras, vyriausioji gydytoja",Janina    GALIAUSKIENĖ,Ukmergė,Aukštasis;Kauno Medicinos institutas;Gydytoja;1979,"Kelionės, Knygos, Gėlės","Pijorų kaimas, Ukmergės rajonas",Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Rusų, Anglų",Ne ,Neturiu 
Mažeikių,1964-02-13,vedęs / ištekėjusi,Ne ,"Mažeikių r. Viekšnių gimnazija, direktorius",Rimantas    GRICIUS,Viekšniai,Aukštasis;LVKKI;Kūno kultūros dėstytojas;1988,"muzika, sportas, statyta",Tauragė,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Rusų, Vokiečių",Ne ,Neturiu 
Daugiamandatė,1961-01-12,vedęs / ištekėjusi,Ne ,"Marijampolės savivaldybės administracija, Mokolų seniūnijos seniūnė",Eglė    PLIKAITIENĖ,Marijampolė,Aukštasis;Kauno technologijos universitetas;Viešojo administravimo magistras;2007;Aukštesnysis;Marijampolės kolegija;Buhalterinė apskaita;2002;Aukštasis;Kauno Antano Sniečkaus politechnikos institutas;Inžinierius technologas;1984,"Literatūra, Kelionės",Marijampolė,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Rusų, Anglų",Ne ,Neturiu 
Daugiamandatė,1959-08-18,vedęs / ištekėjusi,Ne ,nuo 2004 m. iki dabar Europarlamentaro V. Landsbergio patarėjas,Andrius    TUČKUS,Vilnius,Nebaigtas aukštasis;VU Prekybos ekonomikos fakultetas;Nenurodė;1988;Vidurinis;Vilniaus m. 39-oji vid. mokykla;Nenurodė;1977,"Sportas(ledo ritulys,buriavimas,šachmatai,regbis), Maisto ruoša",Vilnius,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Anglų, Rusų, Lenkų",Ne ,Neturiu 
Daugiamandatė,1958-11-07,vedęs / ištekėjusi,Ne ,"AB Šiaulių bankas, Verslo plėtros tarnybos vadovas",Jonas    BARTKUS,Šiauliai,Aukštasis;Vilniaus universitetas;Matematikas;1982,"Kompiuteriai, Sportas","Pauparių kaimas, Šilutės raj.",Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Rusų, Anglų",Ne ,Neturiu 
Daugiamandatė,1955-06-25,vedęs / ištekėjusi,Ne ,"Mažeikių savivaldybė, meras",Vilhelmas    DŽIUGELIS,Mažeikiai,"Aukštasis;Vytauto Didžiojo universitetas, Medicinos fakultetas;Gydytojas pediatras;1979","Sportas, Joga, Rytų filosofija ir medicina",Vilniaus m.,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Rusų, Anglų",Ne ,Neturiu 
Daugiamandatė,1955-03-02,vedęs / ištekėjusi,Ne ,"Lietuvos metrologijos inspekcija, Finansų skyriaus viršininko pavaduotojas",Juozas    ŠILANSKAS,Varėna,Aukštasis;Vilniaus valstybinis universitetas;Ekonomistas;1978,"Žvejoti, Grybauti","Novaja Lialia mieste, Sverdlovsko sritis, Rusija",Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,Rusų,Ne ,Neturiu 
Daugiamandatė,1968-12-16,vedęs / ištekėjusi,Ne ,"AB „Klaipėdos jūrų krovinių kompanija“, ekonomikos ir finansų direktorius",Linas    LIEKIS,Klaipėda,Aukštasis;Vilniaus universitetas;Verslo administravimas ir vadyba;1998;Aukštasis;Klaipėdos universitetas;Automatizuotas mašinų projektavimas;1993,"Tautiniai šokiai, Krepšinis",Klaipėda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Anglų, Rusų",Ne ,Neturiu 
Daugiamandatė,1965-09-07,vedęs / ištekėjusi,Ne ,"UAB „Lindstrom“, prekybos vadybininkas",Raimondas    MATEMAITIS,Reksčių k.,Aukštasis;Vilniaus universitetas;Socialinis darbuotojas;1998;Aukštasis;Lietuvos žemės ūkio universitetas;Miškų ūkio inžinierius;1991,"Istorija, Geografija, Literatūra","Trumpiškių k., Žygaičių sen., Tauragės r.",Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Rusų, Anglų",Ne ,Neturiu 
Daugiamandatė,1963-05-27,Išsiskyręs(-usi),Ne ,"PĮ „In via“, vadybininkas",Ričardas    GARUOLIS,Vilnius,Aukštasis;Vilniaus universitetas;Ekonomistas;1987,"Bendravimas su žmonėmis, Knygų skaitymas, Kalbų mokymasis",Vilnius,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Anglų, Rusų, Ispanų",Ne ,Neturiu 
Daugiamandatė,1954-04-26,vedęs / ištekėjusi,Ne ,"Individuali įmonė, savininkas",Raimondas    PANKEVIČIUS,Panevėžys,Aukštasis;Vilniaus valstybinis universitetas;Ekonomistas;1979,"Ekonominė politika, Dizainas, Kelionės","Ilka Zaigrajevo rajonas, Buriatija, Rusija",Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,,"Rusų, Vokiečių",Ne ,Neturiu 
