dalyvavo,rinkeju_skaicius,apygarda,negaliojantys_biuleteniai,apylinke
1791,2638,Naujamiesčio (Nr.1) vienmandatė apygarda,306,Kaštonų
404,765,Naujamiesčio (Nr.1) vienmandatė apygarda,50,Gedimino
1164,2727,Naujamiesčio (Nr.1) vienmandatė apygarda,125,Saltoniškių
536,1347,Naujamiesčio (Nr.1) vienmandatė apygarda,63,Sėlių
773,1572,Naujamiesčio (Nr.1) vienmandatė apygarda,77,Liubarto
591,1512,Naujamiesčio (Nr.1) vienmandatė apygarda,87,Vytauto
835,1843,Naujamiesčio (Nr.1) vienmandatė apygarda,81,Birutės
430,1015,Naujamiesčio (Nr.1) vienmandatė apygarda,54,Pamėnkalnio
473,1047,Naujamiesčio (Nr.1) vienmandatė apygarda,58,J.Jasinskio
737,1477,Naujamiesčio (Nr.1) vienmandatė apygarda,101,Taurakalnio
465,1042,Naujamiesčio (Nr.1) vienmandatė apygarda,40,M.K.Čiurlionio
1090,2542,Naujamiesčio (Nr.1) vienmandatė apygarda,125,S.Konarskio
622,1476,Naujamiesčio (Nr.1) vienmandatė apygarda,93,Mindaugo
384,924,Naujamiesčio (Nr.1) vienmandatė apygarda,59,Švitrigailos
941,2357,Naujamiesčio (Nr.1) vienmandatė apygarda,137,Vytenio
1028,3095,Naujamiesčio (Nr.1) vienmandatė apygarda,245,Naugarduko
788,2254,Naujamiesčio (Nr.1) vienmandatė apygarda,126,Algirdo
362,1230,Naujamiesčio (Nr.1) vienmandatė apygarda,71,Kauno
741,1896,Naujamiesčio (Nr.1) vienmandatė apygarda,167,Naujininkų
750,2326,Naujamiesčio (Nr.1) vienmandatė apygarda,154,Brolių
610,1918,Naujamiesčio (Nr.1) vienmandatė apygarda,140,Gimnazijos
380,768,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,11,Avižienių
674,1634,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,28,Senamiesčio
111,183,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,5,Bartelių
856,1709,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,40,Naujamiesčio
1095,2163,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,37,Atgimimo
76,109,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda, ,Bugiedos
191,347,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,2,Būdviečio
733,2120,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,22,Kloniškių
228,550,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,12,Dumblio
1363,3405,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,50,Kalviškės
599,1779,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,14,Eglės
475,975,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,12,Kapčiamiesčio
291,630,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,12,A.Kirsnos
372,1004,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,6,Ratnyčios
103,286,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,5,Grūto
224,453,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,6,Kirsnos
163,375,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,2,Krikštonių
152,361,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,10,Švendubrės
402,842,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,8,Krosnos
466,1394,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,8,Viečiūnų
257,551,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,4,Kuklių
241,741,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,11,Neravų
310,698,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,14,Kučiūnų
872,1972,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,72,Leipalingio
87,215,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda, ,Lipliūnų
