kandidatas,apygarda,nuo_galiojanciu_biuleteniu,nuo_rinkeju,apylinkese,pastu
Vladimir Jarmolenko,Dainavos (Nr. 16) apygarda,0.5449,0.2034,7285,193
Romas Jonas Kalesinskas,Dainavos (Nr. 16) apygarda,0.4551,0.1698,6108,137
Stanislovas Buškevičius,Kalniečių (Nr. 15) apygarda,0.5289,0.2108,7445,71
Povilas Katilius,Kalniečių (Nr. 15) apygarda,0.4711,0.1878,6594,101
Joana Danguolė Sadeikienė,Žaliakalnio (Nr. 14) apygarda,0.5313,0.2007,6312,142
Algirdas Vaclovas Patackas,Žaliakalnio (Nr. 14) apygarda,0.4687,0.1771,5609,85
Feliksas Palubinskas,Centro (Nr. 13) apygarda,0.5413,0.2265,7011,140
Juozapas Algirdas Katkus,Centro (Nr. 13) apygarda,0.4587,0.192,5886,174
Rytas Kupčinskas,Aleksoto Vilijampolės (Nr. 12) apygarda,0.5201,0.2139,7203,193
Vytautas Šustauskas,Aleksoto Vilijampolės (Nr. 12) apygarda,0.4799,0.1973,6704,119
Alfonsas Vaišnoras,Šilainių (Nr. 11) apygarda,0.5623,0.2189,7961,170
Modestas Rolandas Patašius,Šilainių (Nr. 11) apygarda,0.4377,0.1704,6246,83
Elvyra Janina Kunevičienė,Lazdynų (Nr. 9) apygarda,0.6068,0.2383,9172,165
Rišard Litvinovič,Lazdynų (Nr. 9) apygarda,0.3932,0.1544,5975,76
Algirdas Saudargas,Karoliniškių (Nr. 8) apygarda,0.612,0.3044,11344,151
Viačeslav Škil,Karoliniškių (Nr. 8) apygarda,0.3881,0.1931,7232,58
Egidijus Bičkauskas,Justiniškių (Nr. 7) apygarda,0.6079,0.2371,9592,124
Stasys Stačiokas,Justiniškių (Nr. 7) apygarda,0.3922,0.153,6165,103
Alvydas Medalinskas,Šeškinės (Nr. 6) apygarda,0.6036,0.1339,9486,151
Antanas Napoleonas Stasiškis,Šeškinės (Nr. 6) apygarda,0.3964,0.0879,6229,99
Audronius Ažubalis,Fabijoniškių (Nr. 5) apygarda,0.6329,0.2157,8541,143
Olga Ruducha,Fabijoniškių (Nr. 5) apygarda,0.3671,0.1251,4962,75
Vytenis Povilas Andriukaitis,Žirmūnų (Nr. 4) apygarda,0.5696,0.2741,10590,156
Irena Degutienė,Žirmūnų (Nr. 4) apygarda,0.4304,0.2071,7961,159
Aloyzas Sakalas,Antakalnio (Nr. 3) apygarda,0.5399,0.2267,8381,430
Vidmantas Žiemelis,Antakalnio (Nr. 3) apygarda,0.4601,0.1932,7148,360
Rimantas Pleikys,Senamiesčio (Nr. 2) apygarda,0.5527,0.2085,7711,260
Gediminas Adolfas Paviržis,Senamiesčio (Nr. 2) apygarda,0.4473,0.1687,6281,169
