apygarda,gimimo_data,seimynine_padetis,sunkus_nusikaltimas,darboviete,kandidatas,gyvena,issilavinimas,pomegiai,gimimo_vieta,iskele,tautybe,saraso_numeris,uzsienio_kalbos,pripazintas_kaltu,neatlikta_bausme
Lazdynų,,Vedęs,,,Kazimieras Vytis Atkočiūnas,,,,,,,,Rusų;Vokiečių,,
Naujosios Vilnios,,Vedęs,,,Jevgenij Sazonov,,,,,,,,Lenkų;Vokiečių,,
Naujosios Vilnios,,Vedęs,,,Romualdas Rudzys,,,,,,,,Lenkų;Vokiečių;Rusų,,
Naujosios Vilnios,,Vedęs,,,Petras Musteikis,,Aukštasis,,,,,,Vokiečių;Rusų,,
Naujosios Vilnios,,Vedęs,,,Aleksandras Moliboga,,Aukštasis,,,,,,Rusų,,
Naujosios Vilnios,,Vedęs,,,Artūras Melianas,,Aukštasis,,,,,,Rusų,,
Naujosios Vilnios,,Vedęs,,,Antanas Šarūnas Maliukevičius,,,,,,,,Rusų,,
Naujosios Vilnios,,Vedęs,,,Zygmunt Mackevič,,,,,,,,Anglų;Prancūzų;Lenkų;Vokiečių;Rusų,,
Naujosios Vilnios,,Vedęs,,,Ryšard Maciejkianiec,,Aukštasis,,,,,,Rusų;Vokiečių,,
Naujosios Vilnios,,Vedęs,,,Rimantas Juktonis,,,,,,,,Vokiečių;Rusų,,
Naujosios Vilnios,,Ištekėjusi,,,Romualda Jefremova,,,,,,,,,,
Naujosios Vilnios,,Ištekėjusi,,,Larisa Dmitrijeva,,,,,,,,,,
Naujosios Vilnios,,,,,Michailas Bugakovas,,,,,,,,,,
Naujosios Vilnios,,Vedęs,,,Augustinas Kęstutis Bitlierius,,,,,,,,Rusų;Lenkų;Anglų,,
Naujosios Vilnios,,Ištekėjusi,,,Aldona Baranauskienė,,,,,,,,Lenkų;Rusų;Baltarusių;Vokiečių;Anglų,,
Aleksoto Vilijampolės,,Vedęs,,,Liutauras Varanavičius,,Aukštasis,,,,,,Anglų;Rusų;Lenkų,,
Aleksoto Vilijampolės,,Vedęs,,,Povilas Varanauskas,,,,,,,,Anglų;Rusų,,
Aleksoto Vilijampolės,,Vedęs,,,Vytautas Šustauskas,,,,,,,,,,
Aleksoto Vilijampolės,,Vedęs,,,Arimantas Juvencijus Raškinis,,,,,,,,Anglų;Rusų,,
Aleksoto Vilijampolės,,Vedęs,,,Vasilijus Popovas,,Aukštasis,,,,,,Rusų,,
Aleksoto Vilijampolės,,Vedęs,,,Valentinas Vidmantas Norkus,,,,,,,,Rusų;Lenkų,,
Aleksoto Vilijampolės,,Vedęs,,,Rytas Kupčinskas,,,,,,,,Anglų;Rusų,,
Aleksoto Vilijampolės,,Ištekėjusi,,,Ona Jakubonienė,,Aukštasis,,,,,,Anglų;Rusų,,
Aleksoto Vilijampolės,,Vedęs,,,Algirdas Augustinas Intas,,Aukštasis,,,,,,Vokiečių;Rusų,,
Aleksoto Vilijampolės,,Vedęs,,,Stasys Albinas Girdzijauskas,,Aukštasis,,,,,,Vokiečių,,
Aleksoto Vilijampolės,,,,,Algirdas Pranas Gelčys,,,,,,,,,,
Centro,,Vedęs,,,Rapolas Gediminas Sakalnikas,,Aukštasis,,,,,,Anglų;Rusų;Lenkų,,
Centro,,Vedęs,,,Romualdas Povilaitis,,Aukštasis,,,,,,,,
Centro,,,,,Gintaras Petrikas,,,,,,,,Rusų;Anglų,,
Centro,,Vedęs,,,Feliksas Palubinskas,,,,,,,,Anglų;Vokiečių,,
Centro,,Vedęs,,,Raimundas Lekas,,Aukštasis,,,,,,Anglų;Rusų,,
Centro,,Vedęs,,,Juozapas Algirdas Katkus,,,,,,,,Prancūzų;Rusų,,
