nuo_galiojanciu_biuleteniu,apygarda,partija,pastu,apylinkese
0.006,Varėnos Eišiškių (Nr. 70) apygarda,Lietuvos laisvės sąjunga,5,97
0.0051,Varėnos Eišiškių (Nr. 70) apygarda,Lietuvos rusų sąjunga,7,79
0.0044,Varėnos Eišiškių (Nr. 70) apygarda,Lietuvos socialistų partija,3,72
0.0038,Varėnos Eišiškių (Nr. 70) apygarda,Lietuvos gyvenimo logikos partija,3,61
0.0029,Varėnos Eišiškių (Nr. 70) apygarda,Respublikonų partija,4,45
0.0026,Varėnos Eišiškių (Nr. 70) apygarda,Lietuvos liberalų sąjunga,2,42
0.0021,Varėnos Eišiškių (Nr. 70) apygarda,Lietuvos liaudies partija,3,33
0.0009,Varėnos Eišiškių (Nr. 70) apygarda,Tautos pažangos partija,1,15
0.3521,Dzūkijos (Nr. 69) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),176,6082
0.1447,Dzūkijos (Nr. 69) apygarda,Lietuvos centro sąjunga,58,2514
0.1219,Dzūkijos (Nr. 69) apygarda,Lietuvos krikščionių demokratų partija,109,2058
0.079,Dzūkijos (Nr. 69) apygarda,Lietuvos demokratinė darbo partija,41,1363
0.0753,Dzūkijos (Nr. 69) apygarda,Lietuvos socialdemokratų partija,27,1312
0.041,Dzūkijos (Nr. 69) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",13,716
0.0398,Dzūkijos (Nr. 69) apygarda,Krikščionių demokratų sąjunga,36,672
0.0294,Dzūkijos (Nr. 69) apygarda,Lietuvos  moterų partija,9,513
0.0262,Dzūkijos (Nr. 69) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,15,451
0.0154,Dzūkijos (Nr. 69) apygarda,Lietuvos ūkio partija,16,257
0.0138,Dzūkijos (Nr. 69) apygarda,Lietuvių tautininkų sąjunga,10,235
0.0107,Dzūkijos (Nr. 69) apygarda,Lietuvos socialinio teisingumo sąjunga,7,183
0.0079,Dzūkijos (Nr. 69) apygarda,Lietuvos valstiečių partija,4,137
0.0079,Dzūkijos (Nr. 69) apygarda,Lietuvos laisvės lyga,4,137
0.0073,Dzūkijos (Nr. 69) apygarda,Lietuvos laisvės sąjunga,5,124
0.007,Dzūkijos (Nr. 69) apygarda,Lietuvos socialistų partija,6,119
0.0061,Dzūkijos (Nr. 69) apygarda,Respublikonų partija,6,102
0.0053,Dzūkijos (Nr. 69) apygarda,Lietuvos liberalų sąjunga,2,92
0.002,Dzūkijos (Nr. 69) apygarda,Lietuvos liaudies partija,0,36
0.0017,Dzūkijos (Nr. 69) apygarda,Lietuvos rusų sąjunga,0,31
0.0016,Dzūkijos (Nr. 69) apygarda,Tautos pažangos partija,1,28
0.0015,Dzūkijos (Nr. 69) apygarda,Lietuvos gyvenimo logikos partija,1,26
0.0012,Dzūkijos (Nr. 69) apygarda,Lietuvos piliečių aljansas,0,22
0.001,Dzūkijos (Nr. 69) apygarda,Lietuvos lenkų rinkimų akcija,3,15
0.2715,Vilkaviškio (Nr. 68) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),343,4287
