nuo_galiojanciu_biuleteniu,apygarda,partija,pastu,apylinkese
0.0308,Jonavos (Nr. 60) apygarda,Krikščionių demokratų sąjunga,79,393
0.0164,Jonavos (Nr. 60) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,26,225
0.0163,Jonavos (Nr. 60) apygarda,Lietuvos rusų sąjunga,18,231
0.0105,Jonavos (Nr. 60) apygarda,Lietuvos laisvės sąjunga,15,146
0.0086,Jonavos (Nr. 60) apygarda,Lietuvos laisvės lyga,9,123
0.0082,Jonavos (Nr. 60) apygarda,Lietuvos piliečių aljansas,2,124
0.0082,Jonavos (Nr. 60) apygarda,Lietuvos ūkio partija,10,115
0.0076,Jonavos (Nr. 60) apygarda,Lietuvos socialistų partija,4,113
0.0068,Jonavos (Nr. 60) apygarda,Lietuvos socialinio teisingumo sąjunga,14,90
0.0067,Jonavos (Nr. 60) apygarda,Respublikonų partija,18,84
0.0057,Jonavos (Nr. 60) apygarda,Lietuvos liberalų sąjunga,2,85
0.002,Jonavos (Nr. 60) apygarda,Tautos pažangos partija,1,29
0.0018,Jonavos (Nr. 60) apygarda,Lietuvos lenkų rinkimų akcija,3,24
0.0014,Jonavos (Nr. 60) apygarda,Lietuvos gyvenimo logikos partija,2,20
0.0011,Jonavos (Nr. 60) apygarda,Lietuvos liaudies partija,1,16
0.3021,Kaišiadorių-Elektrėnų (Nr. 59) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),369,5009
0.1072,Kaišiadorių-Elektrėnų (Nr. 59) apygarda,Lietuvos demokratinė darbo partija,129,1779
0.1029,Kaišiadorių-Elektrėnų (Nr. 59) apygarda,Lietuvos krikščionių demokratų partija,141,1690
0.0856,Kaišiadorių-Elektrėnų (Nr. 59) apygarda,Lietuvos centro sąjunga,60,1464
0.0652,Kaišiadorių-Elektrėnų (Nr. 59) apygarda,Lietuvių tautininkų sąjunga,65,1095
0.0549,Kaišiadorių-Elektrėnų (Nr. 59) apygarda,Lietuvos socialdemokratų partija,38,939
0.0498,Kaišiadorių-Elektrėnų (Nr. 59) apygarda,Lietuvos laisvės lyga,66,821
0.0487,Kaišiadorių-Elektrėnų (Nr. 59) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",76,791
0.0465,Kaišiadorių-Elektrėnų (Nr. 59) apygarda,Krikščionių demokratų sąjunga,89,738
0.0421,Kaišiadorių-Elektrėnų (Nr. 59) apygarda,Lietuvos  moterų partija,45,705
0.0136,Kaišiadorių-Elektrėnų (Nr. 59) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,28,214
0.0118,Kaišiadorių-Elektrėnų (Nr. 59) apygarda,Lietuvos valstiečių partija,21,189
0.0117,Kaišiadorių-Elektrėnų (Nr. 59) apygarda,Lietuvos piliečių aljansas,4,205
0.0113,Kaišiadorių-Elektrėnų (Nr. 59) apygarda,Lietuvos rusų sąjunga,11,191
0.009,Kaišiadorių-Elektrėnų (Nr. 59) apygarda,Lietuvos laisvės sąjunga,26,135
0.0077,Kaišiadorių-Elektrėnų (Nr. 59) apygarda,Lietuvos socialistų partija,7,130
0.0071,Kaišiadorių-Elektrėnų (Nr. 59) apygarda,Lietuvos socialinio teisingumo sąjunga,10,117
0.005,Kaišiadorių-Elektrėnų (Nr. 59) apygarda,Respublikonų partija,11,78
0.0048,Kaišiadorių-Elektrėnų (Nr. 59) apygarda,Lietuvos liberalų sąjunga,5,80
0.0047,Kaišiadorių-Elektrėnų (Nr. 59) apygarda,Lietuvos ūkio partija,9,75
0.0029,Kaišiadorių-Elektrėnų (Nr. 59) apygarda,Lietuvos lenkų rinkimų akcija,4,48
0.0021,Kaišiadorių-Elektrėnų (Nr. 59) apygarda,Lietuvos liaudies partija,8,29
0.0017,Kaišiadorių-Elektrėnų (Nr. 59) apygarda,Tautos pažangos partija,3,28
0.0014,Kaišiadorių-Elektrėnų (Nr. 59) apygarda,Lietuvos gyvenimo logikos partija,3,22
0.2149,Trakų (Nr. 58) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),114,2626
0.1328,Trakų (Nr. 58) apygarda,Lietuvos lenkų rinkimų akcija,123,1570
0.1095,Trakų (Nr. 58) apygarda,Lietuvos centro sąjunga,70,1326
0.0878,Trakų (Nr. 58) apygarda,Lietuvos demokratinė darbo partija,82,1038
0.0807,Trakų (Nr. 58) apygarda,Lietuvos krikščionių demokratų partija,31,998
0.0696,Trakų (Nr. 58) apygarda,Lietuvos socialdemokratų partija,14,874
0.0478,Trakų (Nr. 58) apygarda,Lietuvos piliečių aljansas,7,602
0.0446,Trakų (Nr. 58) apygarda,Lietuvos valstiečių partija,26,543
0.0444,Trakų (Nr. 58) apygarda,Lietuvos  moterų partija,27,539
0.0351,Trakų (Nr. 58) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",8,439
0.0346,Trakų (Nr. 58) apygarda,Lietuvos rusų sąjunga,4,437
0.0256,Trakų (Nr. 58) apygarda,Krikščionių demokratų sąjunga,26,301
0.0097,Trakų (Nr. 58) apygarda,Lietuvos socialistų partija,3,121
0.0085,Trakų (Nr. 58) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,4,104
0.0082,Trakų (Nr. 58) apygarda,Lietuvos ūkio partija,7,98
0.0077,Trakų (Nr. 58) apygarda,Lietuvos socialinio teisingumo sąjunga,4,94
0.007,Trakų (Nr. 58) apygarda,Lietuvos laisvės lyga,2,87
0.0067,Trakų (Nr. 58) apygarda,Lietuvių tautininkų sąjunga,1,85
0.0066,Trakų (Nr. 58) apygarda,Lietuvos liberalų sąjunga,1,83
0.0063,Trakų (Nr. 58) apygarda,Lietuvos laisvės sąjunga,3,77
0.0052,Trakų (Nr. 58) apygarda,Respublikonų partija,1,65
0.0038,Trakų (Nr. 58) apygarda,Lietuvos gyvenimo logikos partija,2,47
0.0016,Trakų (Nr. 58) apygarda,Lietuvos liaudies partija,0,20
0.0013,Trakų (Nr. 58) apygarda,Tautos pažangos partija,0,17
0.36,Vilniaus Trakų (Nr. 57) apygarda,Lietuvos lenkų rinkimų akcija,264,4246
0.2065,Vilniaus Trakų (Nr. 57) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),91,2496
0.0724,Vilniaus Trakų (Nr. 57) apygarda,Lietuvos centro sąjunga,7,900
0.0715,Vilniaus Trakų (Nr. 57) apygarda,Lietuvos piliečių aljansas,16,880
0.0512,Vilniaus Trakų (Nr. 57) apygarda,Lietuvos socialdemokratų partija,21,621
0.0421,Vilniaus Trakų (Nr. 57) apygarda,Lietuvos demokratinė darbo partija,39,489
0.0324,Vilniaus Trakų (Nr. 57) apygarda,Lietuvos rusų sąjunga,17,389
0.0302,Vilniaus Trakų (Nr. 57) apygarda,Lietuvos  moterų partija,19,359
0.0247,Vilniaus Trakų (Nr. 57) apygarda,Lietuvos krikščionių demokratų partija,22,288
0.022,Vilniaus Trakų (Nr. 57) apygarda,Krikščionių demokratų sąjunga,13,263
0.0212,Vilniaus Trakų (Nr. 57) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",2,264
0.0096,Vilniaus Trakų (Nr. 57) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,5,115
0.0075,Vilniaus Trakų (Nr. 57) apygarda,Lietuvių tautininkų sąjunga,4,90
0.0073,Vilniaus Trakų (Nr. 57) apygarda,Lietuvos socialistų partija,6,86
0.0067,Vilniaus Trakų (Nr. 57) apygarda,Lietuvos socialinio teisingumo sąjunga,11,73
0.0064,Vilniaus Trakų (Nr. 57) apygarda,Lietuvos liberalų sąjunga,3,77
0.0061,Vilniaus Trakų (Nr. 57) apygarda,Respublikonų partija,3,73
0.0051,Vilniaus Trakų (Nr. 57) apygarda,Lietuvos valstiečių partija,3,61
0.0046,Vilniaus Trakų (Nr. 57) apygarda,Lietuvos laisvės sąjunga,1,56
0.0045,Vilniaus Trakų (Nr. 57) apygarda,Lietuvos laisvės lyga,0,56
0.0032,Vilniaus Trakų (Nr. 57) apygarda,Lietuvos ūkio partija,0,40
0.0023,Vilniaus Trakų (Nr. 57) apygarda,Lietuvos liaudies partija,0,29
0.0018,Vilniaus Trakų (Nr. 57) apygarda,Lietuvos gyvenimo logikos partija,0,22
0.0006,Vilniaus Trakų (Nr. 57) apygarda,Tautos pažangos partija,0,7
0.65,Vilniaus Šalčininkų (Nr. 56) apygarda,Lietuvos lenkų rinkimų akcija,1449,7007
0.0472,Vilniaus Šalčininkų (Nr. 56) apygarda,Lietuvos rusų sąjunga,19,595
0.0471,Vilniaus Šalčininkų (Nr. 56) apygarda,Lietuvos piliečių aljansas,43,570
0.0432,Vilniaus Šalčininkų (Nr. 56) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),27,535
0.0351,Vilniaus Šalčininkų (Nr. 56) apygarda,Lietuvos demokratinė darbo partija,24,433
0.0334,Vilniaus Šalčininkų (Nr. 56) apygarda,Lietuvos valstiečių partija,142,293
0.0269,Vilniaus Šalčininkų (Nr. 56) apygarda,Lietuvos  moterų partija,21,329
0.0183,Vilniaus Šalčininkų (Nr. 56) apygarda,Lietuvos socialdemokratų partija,15,223
0.0145,Vilniaus Šalčininkų (Nr. 56) apygarda,Lietuvos centro sąjunga,5,184
0.0141,Vilniaus Šalčininkų (Nr. 56) apygarda,Lietuvos krikščionių demokratų partija,15,169
0.011,Vilniaus Šalčininkų (Nr. 56) apygarda,Krikščionių demokratų sąjunga,77,66
0.0101,Vilniaus Šalčininkų (Nr. 56) apygarda,Respublikonų partija,15,117
0.0077,Vilniaus Šalčininkų (Nr. 56) apygarda,Lietuvių tautininkų sąjunga,4,96
0.0075,Vilniaus Šalčininkų (Nr. 56) apygarda,Lietuvos socialistų partija,1,97
0.0069,Vilniaus Šalčininkų (Nr. 56) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",9,81
0.0058,Vilniaus Šalčininkų (Nr. 56) apygarda,Lietuvos ūkio partija,3,72
0.0048,Vilniaus Šalčininkų (Nr. 56) apygarda,Lietuvos liberalų sąjunga,3,60
0.0039,Vilniaus Šalčininkų (Nr. 56) apygarda,Lietuvos laisvės lyga,4,47
0.0032,Vilniaus Šalčininkų (Nr. 56) apygarda,Lietuvos liaudies partija,3,38
0.0031,Vilniaus Šalčininkų (Nr. 56) apygarda,Lietuvos laisvės sąjunga,4,36
0.0021,Vilniaus Šalčininkų (Nr. 56) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,2,25
0.002,Vilniaus Šalčininkų (Nr. 56) apygarda,Lietuvos socialinio teisingumo sąjunga,2,24
0.0013,Vilniaus Šalčininkų (Nr. 56) apygarda,Lietuvos gyvenimo logikos partija,0,17
0.0007,Vilniaus Šalčininkų (Nr. 56) apygarda,Tautos pažangos partija,0,9
0.3247,Širvintų Vilniaus (Nr. 55) apygarda,Lietuvos lenkų rinkimų akcija,844,4180
0.1956,Širvintų Vilniaus (Nr. 55) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),172,2854
0.0801,Širvintų Vilniaus (Nr. 55) apygarda,Lietuvos centro sąjunga,48,1191
0.0702,Širvintų Vilniaus (Nr. 55) apygarda,Lietuvos demokratinė darbo partija,79,1007
0.0539,Širvintų Vilniaus (Nr. 55) apygarda,Lietuvos krikščionių demokratų partija,89,745
0.0516,Širvintų Vilniaus (Nr. 55) apygarda,Lietuvos  moterų partija,80,718
0.048,Širvintų Vilniaus (Nr. 55) apygarda,Lietuvos socialdemokratų partija,41,702
0.0302,Širvintų Vilniaus (Nr. 55) apygarda,Lietuvos piliečių aljansas,19,448
0.0221,Širvintų Vilniaus (Nr. 55) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",13,329
0.0208,Širvintų Vilniaus (Nr. 55) apygarda,Krikščionių demokratų sąjunga,42,280
0.0201,Širvintų Vilniaus (Nr. 55) apygarda,Lietuvos valstiečių partija,30,281
0.0184,Širvintų Vilniaus (Nr. 55) apygarda,Lietuvos rusų sąjunga,29,255
0.0136,Širvintų Vilniaus (Nr. 55) apygarda,Lietuvių tautininkų sąjunga,12,198
0.0071,Širvintų Vilniaus (Nr. 55) apygarda,Lietuvos ūkio partija,7,103
0.0068,Širvintų Vilniaus (Nr. 55) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,11,94
0.0057,Širvintų Vilniaus (Nr. 55) apygarda,Lietuvos liberalų sąjunga,0,88
0.0054,Širvintų Vilniaus (Nr. 55) apygarda,Lietuvos laisvės sąjunga,4,80
0.0054,Širvintų Vilniaus (Nr. 55) apygarda,Lietuvos laisvės lyga,3,80
0.0053,Širvintų Vilniaus (Nr. 55) apygarda,Respublikonų partija,6,76
0.0053,Širvintų Vilniaus (Nr. 55) apygarda,Lietuvos socialinio teisingumo sąjunga,8,74
0.0048,Širvintų Vilniaus (Nr. 55) apygarda,Lietuvos socialistų partija,4,71
0.0019,Širvintų Vilniaus (Nr. 55) apygarda,Lietuvos liaudies partija,2,27
0.0017,Širvintų Vilniaus (Nr. 55) apygarda,Lietuvos gyvenimo logikos partija,1,25
0.0014,Širvintų Vilniaus (Nr. 55) apygarda,Tautos pažangos partija,1,20
0.2145,Molėtų Švenčionių (Nr. 54) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),239,3287
0.142,Molėtų Švenčionių (Nr. 54) apygarda,Lietuvos  moterų partija,211,2123
0.1299,Molėtų Švenčionių (Nr. 54) apygarda,Lietuvos krikščionių demokratų partija,183,1953
0.1146,Molėtų Švenčionių (Nr. 54) apygarda,Lietuvos liberalų sąjunga,60,1824
0.0725,Molėtų Švenčionių (Nr. 54) apygarda,Lietuvos demokratinė darbo partija,70,1121
0.0703,Molėtų Švenčionių (Nr. 54) apygarda,Lietuvos lenkų rinkimų akcija,94,1061
0.0524,Molėtų Švenčionių (Nr. 54) apygarda,Lietuvos socialdemokratų partija,36,825
0.0306,Molėtų Švenčionių (Nr. 54) apygarda,Lietuvos centro sąjunga,26,477
0.0289,Molėtų Švenčionių (Nr. 54) apygarda,Krikščionių demokratų sąjunga,33,442
0.0245,Molėtų Švenčionių (Nr. 54) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",6,396
0.0205,Molėtų Švenčionių (Nr. 54) apygarda,Lietuvių tautininkų sąjunga,15,322
0.0175,Molėtų Švenčionių (Nr. 54) apygarda,Lietuvos piliečių aljansas,11,277
0.0157,Molėtų Švenčionių (Nr. 54) apygarda,Lietuvos rusų sąjunga,15,243
0.0113,Molėtų Švenčionių (Nr. 54) apygarda,Lietuvos valstiečių partija,9,177
0.0097,Molėtų Švenčionių (Nr. 54) apygarda,Lietuvos laisvės lyga,2,157
0.0091,Molėtų Švenčionių (Nr. 54) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,21,129
0.0082,Molėtų Švenčionių (Nr. 54) apygarda,Lietuvos socialinio teisingumo sąjunga,8,127
0.0066,Molėtų Švenčionių (Nr. 54) apygarda,Lietuvos ūkio partija,9,100
0.006,Molėtų Švenčionių (Nr. 54) apygarda,Lietuvos laisvės sąjunga,7,91
0.0046,Molėtų Švenčionių (Nr. 54) apygarda,Lietuvos socialistų partija,4,72
0.0039,Molėtų Švenčionių (Nr. 54) apygarda,Respublikonų partija,5,59
0.0034,Molėtų Švenčionių (Nr. 54) apygarda,Lietuvos liaudies partija,3,53
0.002,Molėtų Švenčionių (Nr. 54) apygarda,Lietuvos gyvenimo logikos partija,3,30
0.0013,Molėtų Švenčionių (Nr. 54) apygarda,Tautos pažangos partija,1,21
0.2008,Ignalinos Švenčionių (Nr. 53) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),429,3238
0.1755,Ignalinos Švenčionių (Nr. 53) apygarda,Lietuvos demokratinė darbo partija,224,2981
0.1739,Ignalinos Švenčionių (Nr. 53) apygarda,Lietuvos liberalų sąjunga,543,2633
0.0963,Ignalinos Švenčionių (Nr. 53) apygarda,Lietuvos krikščionių demokratų partija,229,1530
0.0638,Ignalinos Švenčionių (Nr. 53) apygarda,Lietuvos socialdemokratų partija,104,1062
0.0395,Ignalinos Švenčionių (Nr. 53) apygarda,Lietuvos centro sąjunga,54,668
0.0376,Ignalinos Švenčionių (Nr. 53) apygarda,Krikščionių demokratų sąjunga,101,585
0.0354,Ignalinos Švenčionių (Nr. 53) apygarda,Lietuvos  moterų partija,43,603
0.0291,Ignalinos Švenčionių (Nr. 53) apygarda,Lietuvos rusų sąjunga,45,487
0.0244,Ignalinos Švenčionių (Nr. 53) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",13,433
0.0234,Ignalinos Švenčionių (Nr. 53) apygarda,Lietuvos lenkų rinkimų akcija,56,371
0.0223,Ignalinos Švenčionių (Nr. 53) apygarda,Lietuvos valstiečių partija,40,367
0.0128,Ignalinos Švenčionių (Nr. 53) apygarda,Lietuvos ūkio partija,24,210
0.0112,Ignalinos Švenčionių (Nr. 53) apygarda,Lietuvos laisvės lyga,14,190
0.0084,Ignalinos Švenčionių (Nr. 53) apygarda,Lietuvių tautininkų sąjunga,29,124
0.0083,Ignalinos Švenčionių (Nr. 53) apygarda,Lietuvos socialinio teisingumo sąjunga,18,133
0.0074,Ignalinos Švenčionių (Nr. 53) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,19,117
0.0069,Ignalinos Švenčionių (Nr. 53) apygarda,Lietuvos piliečių aljansas,10,116
0.0055,Ignalinos Švenčionių (Nr. 53) apygarda,Lietuvos gyvenimo logikos partija,17,83
0.0049,Ignalinos Švenčionių (Nr. 53) apygarda,Lietuvos laisvės sąjunga,6,84
0.0043,Ignalinos Švenčionių (Nr. 53) apygarda,Lietuvos socialistų partija,3,76
0.0037,Ignalinos Švenčionių (Nr. 53) apygarda,Respublikonų partija,11,56
0.0035,Ignalinos Švenčionių (Nr. 53) apygarda,Lietuvos liaudies partija,4,60
0.0011,Ignalinos Švenčionių (Nr. 53) apygarda,Tautos pažangos partija,3,18
0.2599,Zarasų-Visagino (Nr. 52) apygarda,Lietuvos demokratinė darbo partija,172,3780
0.1461,Zarasų-Visagino (Nr. 52) apygarda,Lietuvos piliečių aljansas,14,2208
0.1309,Zarasų-Visagino (Nr. 52) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),150,1840
0.0835,Zarasų-Visagino (Nr. 52) apygarda,Lietuvos krikščionių demokratų partija,126,1144
0.0574,Zarasų-Visagino (Nr. 52) apygarda,Lietuvos centro sąjunga,45,828
0.0519,Zarasų-Visagino (Nr. 52) apygarda,Lietuvos socialdemokratų partija,52,737
0.0458,Zarasų-Visagino (Nr. 52) apygarda,Lietuvos  moterų partija,25,671
0.0452,Zarasų-Visagino (Nr. 52) apygarda,Lietuvos rusų sąjunga,50,638
0.036,Zarasų-Visagino (Nr. 52) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,31,516
0.0237,Zarasų-Visagino (Nr. 52) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",10,350
0.023,Zarasų-Visagino (Nr. 52) apygarda,Krikščionių demokratų sąjunga,35,314
0.0222,Zarasų-Visagino (Nr. 52) apygarda,Lietuvos valstiečių partija,9,329
0.0134,Zarasų-Visagino (Nr. 52) apygarda,Lietuvių tautininkų sąjunga,13,191
0.0129,Zarasų-Visagino (Nr. 52) apygarda,Lietuvos lenkų rinkimų akcija,16,180
0.008,Zarasų-Visagino (Nr. 52) apygarda,Respublikonų partija,19,102
0.0079,Zarasų-Visagino (Nr. 52) apygarda,Lietuvos socialinio teisingumo sąjunga,7,113
0.0064,Zarasų-Visagino (Nr. 52) apygarda,Lietuvos socialistų partija,6,91
0.0062,Zarasų-Visagino (Nr. 52) apygarda,Lietuvos laisvės lyga,8,87
0.0053,Zarasų-Visagino (Nr. 52) apygarda,Lietuvos laisvės sąjunga,10,70
0.0038,Zarasų-Visagino (Nr. 52) apygarda,Lietuvos ūkio partija,6,52
0.0035,Zarasų-Visagino (Nr. 52) apygarda,Lietuvos liaudies partija,3,50
0.0032,Zarasų-Visagino (Nr. 52) apygarda,Lietuvos gyvenimo logikos partija,3,45
0.0026,Zarasų-Visagino (Nr. 52) apygarda,Lietuvos liberalų sąjunga,1,39
0.0013,Zarasų-Visagino (Nr. 52) apygarda,Tautos pažangos partija,1,19
0.3447,Utenos (Nr. 51) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),302,7238
0.1463,Utenos (Nr. 51) apygarda,Lietuvos krikščionių demokratų partija,342,2858
0.1086,Utenos (Nr. 51) apygarda,Lietuvos demokratinė darbo partija,79,2296
0.0918,Utenos (Nr. 51) apygarda,Lietuvos centro sąjunga,58,1951
0.0686,Utenos (Nr. 51) apygarda,Lietuvos socialdemokratų partija,37,1464
0.0502,Utenos (Nr. 51) apygarda,Lietuvos  moterų partija,28,1070
0.035,Utenos (Nr. 51) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",16,750
0.0328,Utenos (Nr. 51) apygarda,Krikščionių demokratų sąjunga,36,682
0.03,Utenos (Nr. 51) apygarda,Lietuvių tautininkų sąjunga,43,614
0.018,Utenos (Nr. 51) apygarda,Lietuvos socialinio teisingumo sąjunga,16,378
0.0148,Utenos (Nr. 51) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,13,310
0.0122,Utenos (Nr. 51) apygarda,Lietuvos laisvės lyga,6,261
0.008,Utenos (Nr. 51) apygarda,Lietuvos valstiečių partija,5,171
0.0072,Utenos (Nr. 51) apygarda,Lietuvos laisvės sąjunga,6,152
0.0058,Utenos (Nr. 51) apygarda,Respublikonų partija,6,121
0.0054,Utenos (Nr. 51) apygarda,Lietuvos liberalų sąjunga,5,114
0.005,Utenos (Nr. 51) apygarda,Lietuvos socialistų partija,4,106
0.0042,Utenos (Nr. 51) apygarda,Lietuvos rusų sąjunga,5,87
0.0038,Utenos (Nr. 51) apygarda,Lietuvos ūkio partija,5,79
0.0025,Utenos (Nr. 51) apygarda,Lietuvos liaudies partija,4,51
0.0024,Utenos (Nr. 51) apygarda,Lietuvos gyvenimo logikos partija,6,47
0.0011,Utenos (Nr. 51) apygarda,Tautos pažangos partija,2,22
0.001,Utenos (Nr. 51) apygarda,Lietuvos piliečių aljansas,0,22
0.0004,Utenos (Nr. 51) apygarda,Lietuvos lenkų rinkimų akcija,1,7
0.3028,Rokiškio (Nr. 50) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),293,5592
0.1704,Rokiškio (Nr. 50) apygarda,Lietuvos demokratinė darbo partija,102,3209
0.1438,Rokiškio (Nr. 50) apygarda,Lietuvos krikščionių demokratų partija,186,2609
0.0861,Rokiškio (Nr. 50) apygarda,Lietuvos centro sąjunga,57,1616
0.0721,Rokiškio (Nr. 50) apygarda,Lietuvos socialdemokratų partija,36,1365
0.0418,Rokiškio (Nr. 50) apygarda,Lietuvos valstiečių partija,29,783
0.029,Rokiškio (Nr. 50) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",18,546
0.025,Rokiškio (Nr. 50) apygarda,Krikščionių demokratų sąjunga,23,463
0.0243,Rokiškio (Nr. 50) apygarda,Lietuvos  moterų partija,15,457
0.0181,Rokiškio (Nr. 50) apygarda,Lietuvos socialinio teisingumo sąjunga,15,337
0.01,Rokiškio (Nr. 50) apygarda,Lietuvos laisvės lyga,4,191
0.0099,Rokiškio (Nr. 50) apygarda,Lietuvos rusų sąjunga,4,189
0.0092,Rokiškio (Nr. 50) apygarda,Lietuvos socialistų partija,6,173
0.009,Rokiškio (Nr. 50) apygarda,Lietuvių tautininkų sąjunga,4,171
0.0086,Rokiškio (Nr. 50) apygarda,Respublikonų partija,6,162
0.0084,Rokiškio (Nr. 50) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,13,151
0.0081,Rokiškio (Nr. 50) apygarda,Lietuvos liberalų sąjunga,6,152
0.0077,Rokiškio (Nr. 50) apygarda,Lietuvos laisvės sąjunga,10,139
0.007,Rokiškio (Nr. 50) apygarda,Lietuvos ūkio partija,4,132
0.003,Rokiškio (Nr. 50) apygarda,Lietuvos gyvenimo logikos partija,3,56
0.0019,Rokiškio (Nr. 50) apygarda,Lietuvos piliečių aljansas,2,34
0.0016,Rokiškio (Nr. 50) apygarda,Lietuvos liaudies partija,1,31
0.0013,Rokiškio (Nr. 50) apygarda,Tautos pažangos partija,1,25
0.0006,Rokiškio (Nr. 50) apygarda,Lietuvos lenkų rinkimų akcija,1,11
0.3259,Anykščių Kupiškio (Nr. 49) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),486,6405
0.1632,Anykščių Kupiškio (Nr. 49) apygarda,Lietuvos demokratinė darbo partija,152,3299
0.1218,Anykščių Kupiškio (Nr. 49) apygarda,Lietuvos krikščionių demokratų partija,248,2327
0.114,Anykščių Kupiškio (Nr. 49) apygarda,Lietuvos socialdemokratų partija,139,2271
0.0514,Anykščių Kupiškio (Nr. 49) apygarda,Lietuvos centro sąjunga,45,1042
0.0513,Anykščių Kupiškio (Nr. 49) apygarda,Lietuvos valstiečių partija,61,1023
0.0344,Anykščių Kupiškio (Nr. 49) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",26,702
0.0299,Anykščių Kupiškio (Nr. 49) apygarda,Krikščionių demokratų sąjunga,58,574
0.0265,Anykščių Kupiškio (Nr. 49) apygarda,Lietuvos  moterų partija,24,536
0.0112,Anykščių Kupiškio (Nr. 49) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,32,205
0.0107,Anykščių Kupiškio (Nr. 49) apygarda,Lietuvos laisvės lyga,16,210
0.0092,Anykščių Kupiškio (Nr. 49) apygarda,Lietuvos ūkio partija,19,175
0.0088,Anykščių Kupiškio (Nr. 49) apygarda,Lietuvos socialistų partija,9,178
0.0087,Anykščių Kupiškio (Nr. 49) apygarda,Lietuvių tautininkų sąjunga,11,172
0.0081,Anykščių Kupiškio (Nr. 49) apygarda,Lietuvos socialinio teisingumo sąjunga,13,158
0.0072,Anykščių Kupiškio (Nr. 49) apygarda,Lietuvos laisvės sąjunga,7,145
0.0041,Anykščių Kupiškio (Nr. 49) apygarda,Respublikonų partija,15,72
0.0039,Anykščių Kupiškio (Nr. 49) apygarda,Lietuvos liberalų sąjunga,3,79
0.0034,Anykščių Kupiškio (Nr. 49) apygarda,Lietuvos rusų sąjunga,4,68
0.0019,Anykščių Kupiškio (Nr. 49) apygarda,Lietuvos liaudies partija,6,34
0.0019,Anykščių Kupiškio (Nr. 49) apygarda,Lietuvos gyvenimo logikos partija,4,36
0.0018,Anykščių Kupiškio (Nr. 49) apygarda,Tautos pažangos partija,4,34
0.0005,Anykščių Kupiškio (Nr. 49) apygarda,Lietuvos lenkų rinkimų akcija,1,10
0.0002,Anykščių Kupiškio (Nr. 49) apygarda,Lietuvos piliečių aljansas,0,5
0.2651,Biržų Kupiškio (Nr. 48) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),436,4765
0.149,Biržų Kupiškio (Nr. 48) apygarda,Lietuvos krikščionių demokratų partija,362,2561
0.1289,Biržų Kupiškio (Nr. 48) apygarda,Lietuvos demokratinė darbo partija,228,2301
0.1001,Biržų Kupiškio (Nr. 48) apygarda,Lietuvos valstiečių partija,207,1756
0.0931,Biržų Kupiškio (Nr. 48) apygarda,Lietuvos socialdemokratų partija,124,1703
0.0647,Biržų Kupiškio (Nr. 48) apygarda,Lietuvos centro sąjunga,73,1196
0.0309,Biržų Kupiškio (Nr. 48) apygarda,Krikščionių demokratų sąjunga,60,547
0.0305,Biržų Kupiškio (Nr. 48) apygarda,Lietuvos  moterų partija,33,565
0.028,Biržų Kupiškio (Nr. 48) apygarda,Tautos pažangos partija,53,497
