apygarda,gimimo_data,seimynine_padetis,sunkus_nusikaltimas,darboviete,kandidatas,gyvena,issilavinimas,pomegiai,gimimo_vieta,iskele,tautybe,saraso_numeris,uzsienio_kalbos,pripazintas_kaltu,neatlikta_bausme
Naujamiesčio,1971-05-21,ištekėjusi,Ne ,"-,-",NERINGA    VENCKIENĖ,Teleičių k.,,"kelionės, knygų skaitymas",Kaunas,„Drąsos kelias“ politinė partija,lietuvė ,1,"rusų, anglų",Ne ,Neturiu 
Dzūkijos,1959-12-26,vedęs,Ne ,"Alytaus profesinio rengimo centras,direktorius",VYTAUTAS    ZUBRAS,Daugų k.,Aukštasis magistrinis;KTU;Vadyba;2002;Aukštasis magistrinis;LŽŪU;Edukologija;1998;Aukštasis;LVA;Zootechnika - 1506;1984,"kelionės, veikla gamtoje","Peršėkininkų k., Miroslavo sen., Alytaus r. sav.",Lietuvos Respublikos liberalų sąjūdis,lietuvis ,54,"rusų, anglų",Ne ,Neturiu 
Vilkaviškio,1964-09-08,Nenurodė,Ne ,"Didvydžių socialinės globos namai,direktorius",RIMVYDAS    ŽIEMYS,Virbalis,Aukštasis;Lietuvos žemės ūkio akademija;Ž.ū. elektrifikacija;1988,"fotografija, muzika, medžioklė","Opšrūtų k., Vilkaviškio r.",Tėvynės sąjunga - Lietuvos krikščionys demokratai,lietuvis ,78,"rusų, anglų, lenkų",Ne ,Neturiu 
Prienų - Birštono,1970-01-03,ištekėjusi,Ne ,",",RIMA    ZABLACKIENĖ,Pakuonio mstl.,Aukštasis universitetinis;M. Romerio universitetas;Savivaldos institucijų administravimas;2010;Aukštasis universitetinis;Vilniaus pedagoginis universitetas;Matematika - informatika;1993,"KInologija, gėlininkystė, teatras, menas, kelionės",Prienai,Darbo partija,lietuvė ,77,"rusų, anglų",Ne ,Neturiu 
Kauno kaimiškoji,1956-01-13,vedęs,Ne ,"Viešoji įstaiga Kauno rajono priešgaisrinė saugos tarnyba, direktoriaus pavaduotojas",ALGIRDAS    ŽANDARAS,Mitkūnų k.,Aukštasis;Kauno kolegija;Kraštotvarkos inžinierius;2007;Aukštesnysis;Kauno m. technikos mokykla;technikas;1975;Vidurinis;Kauno m. Maironio vid. mokykla;vidurinis;1974,"istorija, politika, sportas",KAUNAS,Partija Tvarka ir teisingumas,lietuvis ,40,"rusų, lenkų",Ne ,Neturiu 
Kauno - Kėdainių,1967-07-25,vedęs,Ne ,"LSMUL Kauno klinikos,vyresnysis inžinierius",DARIJUS    VENSKUS,Kaunas,Aukštasis;Kauno technologijos universitetas;gamybos inžinierius;2006,Literatūra ir kelionės,Kaunas,Tautos vienybės sąjunga,lietuvis ,83,"vokiečių, rusų",Ne ,Neturiu 
Šakių,1945-08-01,ištekėjusi,Ne ,"Lietuvos Respublikos Seimas,Seimo narė",ONA    VALIUKEVIČIŪTĖ,Vilnius,"Aukštasis;Vilniaus valstybinis universitetas (dabar – Vilniaus universitetas), Filologijos fakultetas;Filologė, vokiečių kalbos ir literatūros dėstytoja;1971","– teatras, skaitymas",Šakiai,Partija Tvarka ir teisingumas,lietuvė ,6,"vokiečių, anglų, rusų",Ne ,Neturiu 
Suvalkijos,1949-07-23,vedęs,Ne ,Nenurodė,VYTAUTAS    ZIMINSKAS,Prūsokų k.,Aukštasis universitetinis;Mykolo Romerio universitetas;Teisės magistras;2009;Aukštasis universitetinis;Dabar Kauno technikos universitetas;Elektromechanikas;1976,"Medžioklė, mėgstu lauko tenisą, tenisą, futbolą",Kaunas,Išsikėlė pats,lietuvis ,,"vokiečių, rusų, lenkų",Ne ,Neturiu 
Jurbarko,1986-09-24,netekėjusi,Ne ,"VšĮ Naisių vasaros teatras,aktorė",GERDA    VILIMAITĖ,Šiauliai,Aukštasis;Šiaulių universitetas;aktorė;2009,"skaitymas, siuvimas, tapyba, žvejyba, kelionės, kinas",Šiauliai,Lietuvos valstiečių ir žaliųjų sąjunga,lietuvė ,108,anglų,Ne ,Neturiu 
Ukmergės,1943-02-08,vedęs,Ne ,"Lietuvos Respublikos Seimas,Seimo narys, Ekonomikos komiteto pirmininko pavaduotojas",JULIUS    VESELKA,Vilnius,Aukštasis;Vilniaus universitetas;Ekonomistas;1972,"bitininkavimas, grybavimas, sportas, straipsnių, knygų apie ekonomiką rašymas","Ukmergės rajonas, Siesikų miestelis",Partija Tvarka ir teisingumas,lietuvis ,8,rusų,Ne ,Neturiu 
Jonavos,1976-10-31,ištekėjusi,Ne ,"-,-",RŪTA    ZIENIENĖ,Kaunas,"Nebaigtas aukštasis;Kauno technologijos universitetas, Ekonomikos fakultetas;Ekonomika","Literatūra, kelionės",Kaunas,Respublikonų partija,lietuvė ,26,"rusų, anglų",Ne ,Neturiu 
Kaišiadorių - Elektrėnų,1958-10-29,vedęs,Ne ,"Elektrėnų sav.,meras",KĘSTUTIS    VAITUKAITIS,Elektrėnai,Aukštasis;KPI;Inž. statybininkas-technologas;1981;Vidurinis;Pilviškių vid. mokykla;-;1976,-,Antanavo km. Kazlų Rūdos sav.,Liberalų ir centro sąjunga,lietuvis ,15,"rusų, lenkų, vokiečių",Ne ,Neturiu 
Trakų - Elektrėnų,1962-07-26,nenurodė,Ne ,"UAB,,URBANTA'',GEN  DIREKTORIUS",RIMAS    URBUS,Pakalniškių k.,Aukštasis universitetinis;vpu;sociologija;2008,"LITERATŪROS SKAITYMAS,ŽUKLĖ,TURIZMAS","Lietuva,Vievio raj,Pagrendos km",Tautos vienybės sąjunga,lietuvis ,29,"rusų, lenkų, vokiečių pagrindai",Ne ,Neturiu 
Vilniaus - Trakų,1983-04-22,Nenurodė,Ne ,"LR Seimas,Seimo nario padėjėjas",TOMAS    TOMILINAS,Valų k.,Magistras;M. Romerio universitetas;ES administravimas;2008;Bakalauras;VU Tarptautinių santykių ir politikos mokslų institutas;Politikos mokslai;2005,"istorija, gamtosauga, knygos, laisvalaikis kaime",Vilnius,Lietuvos valstiečių ir žaliųjų sąjunga, ,12,"anglų, lenkų, rusų, baltarusų, vokiečių pagrindai",Ne ,Neturiu 
Vilniaus - Šalčininkų,1962-03-15,vedęs,Ne ,"Šalčininkų Lietuvos tūkstantmečio gimnazija,direktorius",VIDMANTAS    ŽILIUS,Šalčininkai,Aukštasis;VVPI;Matematika;1984,žūklė,Rietavas,Tėvynės sąjunga - Lietuvos krikščionys demokratai,lietuvis ,57,,Ne ,Neturiu 
Širvintų - Vilniaus,1973-09-27,ištekėjusi,Ne ,"Vilniaus rajono savivaldybės administracija,administracijos direktoriaus pavaduotoja",RITA    TAMAŠUNIENĖ,Maišiagalos mstl.,aukštasis universitetinis magistras;M.Romerio universitetas;viešasis administravimas;2007;Aukštasis universitetinis;VPU;vokiečių kalba;2003;aukštasis universitetinis bakalauras;VPU PPF;edukologijos mokslai;2002;Aukštesnysis;Vilniaus konservatorija;etnokultūra;1994,"muzika, literatūra","Maišiagala, Vilniaus r.",Lietuvos lenkų rinkimų akcija, ,,"rusų, vokiečių",Ne ,Neturiu 
Lazdijų - Druskininkų,1984-08-11,ištekėjusi,Ne ,"UAB Vilniaus betono gaminiai,pardavimų skyriaus vadovė",NADEŽDA    VIŠKELIENĖ,Vilnius,Aukštasis universitetinis;VPU;ekonomika ir verslo pagrindai;2012,"sportas, knygos, psichologija",Vilnius,Demokratinė darbo ir vienybės partija, ,77,"rusų, anglų pagrindai, lenkų",Ne ,Neturiu 
Lazdijų - Druskininkų,1959-07-28,vedęs,Ne ,"UAB ""Tikroji turto kaina"",direktorius",SAULIUS    VAIKŠNORAS,Vilnius,Aukštasis;VU;teisė;1989,"žvejyba, pirtis, kelionės, domėjimasis politika.","Kudirkos Naumiestis, Šakių raj.",„Drąsos kelias“ politinė partija,lietuvis ,79,"rusų, lenkų",Ne ,Neturiu 
Lazdijų - Druskininkų,1977-01-06,vedęs,Ne ,"Lietuvos Respublikos Seimas,Seimo nario padėjėjas-sekretorius",VAIDAS    ŠALAŠEVIČIUS,Sakiškių k.,Aukštasis;Mykolo Romerio universitetas;Teisės ir valdymo magistras;2007,"knygos, sportas, gamta",Lazdijų miestas,Tėvynės sąjunga - Lietuvos krikščionys demokratai,lietuvis ,40,"rusų, anglų",Ne ,Neturiu 
Lazdijų - Druskininkų,1947-01-01,vedęs,Taip ,"pensininkas,-",STASYS    ŠADUIKIS,Mikališkės k.,Vidurinis;Kauno 5 vid. m-kla;Šaltkalvis;1964,sportas,LTSR Pasvalio raj. meškausko km.,Socialistinis liaudies Frontas,lietuvis ,18,,Ne ,Neturiu 
Lazdijų - Druskininkų,1956-11-28,vedęs,Ne ,"UAB ""Agrokoncerno grupė"",vadybininkas",BENIUS    RŪTELIONIS,Staidarų k.,Aukštasis;LŽŪA;agronomijos magistas;2009;Aukštasis;LŽŪA;agronomijos bakalauras;2002,medžioklė,"A. Kiršnos km., Lazdijų raj.",Lietuvos valstiečių ir žaliųjų sąjunga,lietuvis ,19,"rusų, lenkų",Ne ,Neturiu 
Lazdijų - Druskininkų,1959-11-20,išsituokusi,Ne ,"Žemės ūkio ministerija,vyriausioji specialistė",ANGELĖ    RUKŠTELIENĖ,Vilnius,Aukštasis magistrinis;Vilniaus M. Riomerio universitetas;teisė;2003;Aukštasis magistrinis;Vilniaus universitetas;geografija;1983,"Lietuvos laisvės kovų paveldo puoselėjimas ir sklaida, gėlių auginimas ir darbas gimtojoje sodyboje.",Kasčiūnų k. Merkinės apyl. Varėnos r.,Politinė partija „Sąjunga Taip“,lietuvė ,29,"anglų, rusų",Ne ,Neturiu 
Lazdijų - Druskininkų,1981-10-30,nevedęs,Ne ,"UAB Vilnius consult,konsultantas-ekspertas",LAURYNAS    OKOCKIS,Druskininkai,Aukštasis;Mykolo Romerio universitetas;ES politika ir viešasis administravimas;2009;Aukštasis;Lietuvos kūno kultūros akademija;lengvosios atletikos treneris;2004,"sportas, aplinkosauga, žvejyba, istorija","Kaunas, Lietuva",Politinė partija „Lietuvos žaliųjų sąjūdis“,lietuvis ,,"anglų, rusų",Ne ,Neturiu 
Lazdijų - Druskininkų,1981-08-27,vedęs,Ne ,"UAB “Norfos mažmena“, padalinys Vytauto g. 21, Druskininkai,direktorius",DONATAS    MIZARAS,Neravų k.,Aukštasis magistrinis;Vilniaus universitetas;Taikomoji matematika;2005,"Sportas, muzika, automobiliai, kelionės",Druskininkai,Partija Tvarka ir teisingumas,lietuvis ,48,"anglų, rusų",Ne ,Neturiu 
