kandidatas,apygarda,nuo_galiojanciu_biuleteniu,nuo_rinkeju,apylinkese,pastu
Irena DEGUTIENĖ,Naujamiesčio (Nr.1) vienmandatė apygarda,33.36%,31.88%,5313,3834
Algirdas GRICIUS,Naujamiesčio (Nr.1) vienmandatė apygarda,15.96%,15.25%,3015,1361
Gintautas BUŽINSKAS,Naujamiesčio (Nr.1) vienmandatė apygarda,13.81%,13.20%,2556,1231
Marija Aušrinė PAVILIONIENĖ,Naujamiesčio (Nr.1) vienmandatė apygarda,8.70%,8.31%,1854,531
Giedrė PURVANECKIENĖ,Naujamiesčio (Nr.1) vienmandatė apygarda,7.14%,6.82%,1287,670
Vytas NAVICKAS,Naujamiesčio (Nr.1) vienmandatė apygarda,3.69%,3.53%,615,397
Nikolajus MANANIKOVAS,Naujamiesčio (Nr.1) vienmandatė apygarda,3.60%,3.44%,770,217
Tadeuš ANDŽEJEVSKI,Naujamiesčio (Nr.1) vienmandatė apygarda,3.23%,3.09%,760,127
Audronė NEKROŠIENĖ,Naujamiesčio (Nr.1) vienmandatė apygarda,3.11%,2.97%,515,337
Gintaras SONGAILA,Naujamiesčio (Nr.1) vienmandatė apygarda,1.95%,1.87%,286,250
Lilijana ASTRA,Naujamiesčio (Nr.1) vienmandatė apygarda,1.59%,1.52%,300,137
Petras RUZGUS,Naujamiesčio (Nr.1) vienmandatė apygarda,1.29%,1.23%,231,122
Liudvikas RAGAUSKIS,Naujamiesčio (Nr.1) vienmandatė apygarda,1.06%,1.01%,157,134
Janina SLAVINSKAJA,Naujamiesčio (Nr.1) vienmandatė apygarda,0.93%,0.89%,216,38
Jurijus PIVORIŪNAS,Naujamiesčio (Nr.1) vienmandatė apygarda,0.59%,0.56%,83,79
Justinas KAROSAS,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,36.02%,34.17%,5632,1111
Algis BARANAUSKAS,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,16.55%,15.70%,2184,915
Vladzė PRUNSKIENĖ,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,15.88%,15.06%,2138,835
Raimundas ALEKNA,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,14.74%,13.98%,2135,624
Algimantas STONCELIS,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,6.89%,6.53%,1003,286
Artūras ORLAUSKAS,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,6.19%,5.87%,982,176
Virginijus PLIUSKYS,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,2.12%,2.01%,302,95
Leonardas Kęstutis JASKELEVIČIUS,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,1.01%,0.96%,133,56
Mečislav PALEVIČ,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,0.61%,0.58%,98,16
Algis KAŠĖTA,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,27.29%,26.01%,3093,1454
Gediminas JAKAVONIS,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,26.06%,24.84%,3307,1036
Leonard TALMONT,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,22.89%,21.82%,2350,1464
Stanislovas RAULUŠAITIS,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,12.03%,11.47%,1373,632
Albertas SEREIKA,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,9.87%,9.40%,1297,347
Albertas AMŠIEJUS,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,1.87%,1.78%,222,89
Algirdas VRUBLIAUSKAS,Dzūkijos (Nr.69) vienmandatė apygarda,40.85%,38.92%,4686,1772
Arturas JUŠKAUSKAS,Dzūkijos (Nr.69) vienmandatė apygarda,22.72%,21.65%,3018,574
Vydas BARAVYKAS,Dzūkijos (Nr.69) vienmandatė apygarda,19.73%,18.80%,2610,509
Albertas JUSAS,Dzūkijos (Nr.69) vienmandatė apygarda,8.79%,8.37%,1133,256
Almantas JAKIMAVIČIUS,Dzūkijos (Nr.69) vienmandatė apygarda,7.92%,7.55%,1043,209
Algirdas IVANAUSKAS,Vilkaviškio (Nr.68) vienmandatė apygarda,22.86%,21.79%,2474,934
Stasys KRUŽINAUSKAS,Vilkaviškio (Nr.68) vienmandatė apygarda,6.58%,6.27%,801,180
Janina SENKIENĖ,Vilkaviškio (Nr.68) vienmandatė apygarda,4.31%,4.10%,511,131
Artūras MICKEVIČIUS,Vilkaviškio (Nr.68) vienmandatė apygarda,3.09%,2.95%,374,87
Jonas KAZALUPSKIS,Vilkaviškio (Nr.68) vienmandatė apygarda,2.80%,2.67%,348,70
Valentinas JARUŠEVIČIUS,Prienų (Nr.67) vienmandatė apygarda,14.74%,14.10%,1699,408
Liudvikas SABUTIS,Prienų (Nr.67) vienmandatė apygarda,11.38%,10.89%,1292,335
Rimas Antanas RUČYS,Prienų (Nr.67) vienmandatė apygarda,9.68%,9.26%,1001,382
Jonas VILIONIS,Prienų (Nr.67) vienmandatė apygarda,4.88%,4.67%,547,150
Vitas KARČIAUSKAS,Prienų (Nr.67) vienmandatė apygarda,4.06%,3.88%,502,78
Leonas SAKALAVIČIUS,Prienų (Nr.67) vienmandatė apygarda,2.34%,2.24%,236,99
Algimantas ŽEROLIS,Prienų (Nr.67) vienmandatė apygarda,0.38%,0.37%,39,16
Donatas JANKAUSKAS,Kauno kaimiškoji (Nr.66) vienmandatė apygarda,25.76%,24.02%,3389,638
Antanas MAKAREVIČIUS,Kauno kaimiškoji (Nr.66) vienmandatė apygarda,23.51%,21.93%,3212,464
Mindaugas KUKLIERIUS,Kauno kaimiškoji (Nr.66) vienmandatė apygarda,14.87%,13.86%,2108,216
Lionė PIKELIENĖ,Kauno kaimiškoji (Nr.66) vienmandatė apygarda,12.19%,11.37%,1676,230
Vladas ŽALNERAUSKAS,Kauno kaimiškoji (Nr.66) vienmandatė apygarda,7.68%,7.16%,1059,141
Jūratė VIZBARAITĖ,Kauno kaimiškoji (Nr.66) vienmandatė apygarda,6.67%,6.22%,933,110
Regina Ona SIRUSIENĖ,Kauno kaimiškoji (Nr.66) vienmandatė apygarda,4.50%,4.20%,615,89
Kazimieras MASIULIONIS,Kauno kaimiškoji (Nr.66) vienmandatė apygarda,3.81%,3.55%,505,90
Mindaugas ŠIMKŪNAS,Kauno kaimiškoji (Nr.66) vienmandatė apygarda,1.01%,0.94%,141,17
