kandidatas,apygarda,nuo_galiojanciu_biuleteniu,nuo_rinkeju,apylinkese,pastu
Viktoras MUNTIANAS,Kauno - Kėdainių (Nr.65) vienmandatė apygarda,46.52%,43.66%,6143,1406
Petras MIKELIONIS,Kauno - Kėdainių (Nr.65) vienmandatė apygarda,17.04%,15.99%,2294,471
Jonas BIELSKIS,Kauno - Kėdainių (Nr.65) vienmandatė apygarda,13.50%,12.67%,1843,347
Romas MAJAUSKAS,Kauno - Kėdainių (Nr.65) vienmandatė apygarda,6.60%,6.19%,942,129
Alvydas BANEVIČIUS,Kauno - Kėdainių (Nr.65) vienmandatė apygarda,6.51%,6.11%,944,112
Vytautas VALAITIS,Kauno - Kėdainių (Nr.65) vienmandatė apygarda,5.12%,4.80%,732,98
Asta SEDEREVIČIŪTĖ,Kauno - Kėdainių (Nr.65) vienmandatė apygarda,3.51%,3.30%,441,129
Juozas VAIKŠNORAS,Kauno - Kėdainių (Nr.65) vienmandatė apygarda,1.20%,1.13%,176,19
Jonas RAMONAS,Šakių (Nr.64) vienmandatė apygarda,28.06%,26.58%,3237,946
Arvydas VIDŽIŪNAS,Šakių (Nr.64) vienmandatė apygarda,20.06%,19.00%,2196,794
Mindaugas BASTYS,Šakių (Nr.64) vienmandatė apygarda,19.50%,18.47%,2096,811
Antanas LITVINAS,Šakių (Nr.64) vienmandatė apygarda,13.86%,13.13%,1580,486
Ona VALIUKEVIČIŪTĖ,Šakių (Nr.64) vienmandatė apygarda,8.39%,7.94%,912,338
Jonas ŠIMĖNAS,Šakių (Nr.64) vienmandatė apygarda,6.25%,5.92%,659,273
Jūratė MATEKONIENĖ,Šakių (Nr.64) vienmandatė apygarda,3.87%,3.67%,460,117
Vytautas Sigitas DRAUGELIS,Suvalkijos (Nr.63) vienmandatė apygarda,27.26%,25.44%,3002,1063
Juozas OLEKAS,Suvalkijos (Nr.63) vienmandatė apygarda,25.81%,24.09%,2864,985
Vytautas ŠUNSKIS,Suvalkijos (Nr.63) vienmandatė apygarda,16.77%,15.65%,1937,564
Birutė KAŽEMĖKAITĖ,Suvalkijos (Nr.63) vienmandatė apygarda,14.64%,13.66%,1537,646
Juozas VAIČIULIS,Suvalkijos (Nr.63) vienmandatė apygarda,13.19%,12.31%,1486,481
Alvydas DIRSĖ,Suvalkijos (Nr.63) vienmandatė apygarda,2.34%,2.18%,258,91
Saulius LAPĖNAS,Jurbarko (Nr.62) vienmandatė apygarda,28.81%,27.02%,3052,893
Darius DRAGŪNAVIČIUS,Jurbarko (Nr.62) vienmandatė apygarda,21.10%,19.79%,2081,808
Vytautas EINORIS,Jurbarko (Nr.62) vienmandatė apygarda,14.73%,13.82%,1358,659
Anzelmas VANČYS,Jurbarko (Nr.62) vienmandatė apygarda,11.05%,10.36%,833,680
Zita SOROKIENĖ,Jurbarko (Nr.62) vienmandatė apygarda,10.91%,10.23%,1114,380
Virgilijus NORKUS,Jurbarko (Nr.62) vienmandatė apygarda,7.63%,7.15%,786,258
Benas ŠIMKUS,Jurbarko (Nr.62) vienmandatė apygarda,3.43%,3.22%,330,140
Albinas POCEVIČIUS,Jurbarko (Nr.62) vienmandatė apygarda,2.33%,2.19%,192,127
Julius VESELKA,Ukmergės (Nr.61) vienmandatė apygarda,29.30%,28.01%,4064,1056
Loreta GRAUŽINIENĖ,Ukmergės (Nr.61) vienmandatė apygarda,24.29%,23.23%,3426,819
Janina GALIAUSKIENĖ,Ukmergės (Nr.61) vienmandatė apygarda,18.80%,17.97%,2466,819
Alfonsas MACAITIS,Ukmergės (Nr.61) vienmandatė apygarda,16.10%,15.40%,2341,473
Regimantas ČIUPAILA,Ukmergės (Nr.61) vienmandatė apygarda,5.68%,5.43%,822,170
Regina ŠALTINIENĖ,Ukmergės (Nr.61) vienmandatė apygarda,2.57%,2.46%,369,80
Aldona MILIUVIENĖ,Ukmergės (Nr.61) vienmandatė apygarda,2.55%,2.44%,306,140
Albertas KOVIERA,Ukmergės (Nr.61) vienmandatė apygarda,0.70%,0.67%,106,17
Rimantas SINKEVIČIUS,Jonavos (Nr.60) vienmandatė apygarda,34.07%,32.51%,4428,704
Juozas JARUŠEVIČIUS,Jonavos (Nr.60) vienmandatė apygarda,24.26%,23.15%,3195,459
Arūnas RIMKUS,Jonavos (Nr.60) vienmandatė apygarda,14.09%,13.44%,1882,240
Vida AUGUSTINIENĖ,Jonavos (Nr.60) vienmandatė apygarda,9.29%,8.86%,1204,195
Žygimantas ŽALNERAUSKAS,Jonavos (Nr.60) vienmandatė apygarda,9.26%,8.83%,1181,213
Jonas ČEKUOLIS,Jonavos (Nr.60) vienmandatė apygarda,5.54%,5.29%,722,113
Artūras ŠALAŠEVIČIUS,Jonavos (Nr.60) vienmandatė apygarda,3.49%,3.33%,483,43
Bronius BRADAUSKAS,Kaišiadorių - Elektrėnų (Nr.59) vienmandatė apygarda,36.97%,35.07%,4898,1564
Juozas URBANAVIČIUS,Kaišiadorių - Elektrėnų (Nr.59) vienmandatė apygarda,20.26%,19.22%,2852,690
Vytautas Ričardas BAČKIS,Kaišiadorių - Elektrėnų (Nr.59) vienmandatė apygarda,13.42%,12.73%,1886,459
Juozas MATULEVIČIUS,Kaišiadorių - Elektrėnų (Nr.59) vienmandatė apygarda,11.64%,11.04%,1534,501
Pranciškus Alfredas ŠLIUŽAS,Kaišiadorių - Elektrėnų (Nr.59) vienmandatė apygarda,7.02%,6.66%,953,274
Algimantas ADOMAITIS,Kaišiadorių - Elektrėnų (Nr.59) vienmandatė apygarda,4.83%,4.58%,703,141
Vytautas GRIŠČENKO,Kaišiadorių - Elektrėnų (Nr.59) vienmandatė apygarda,2.68%,2.54%,430,38
Balys BARONIŪNAS,Kaišiadorių - Elektrėnų (Nr.59) vienmandatė apygarda,2.31%,2.19%,313,91
Antanas Lechas NARKEVIČIUS,Kaišiadorių - Elektrėnų (Nr.59) vienmandatė apygarda,0.87%,0.82%,106,46
Dangutė MIKUTIENĖ,Trakų - Elektrėnų (Nr.58) vienmandatė apygarda,23.57%,21.60%,2453,793
Leonard KLIMOVIČ,Trakų - Elektrėnų (Nr.58) vienmandatė apygarda,17.30%,15.86%,1811,572
Jonas LIESYS,Trakų - Elektrėnų (Nr.58) vienmandatė apygarda,15.69%,14.37%,1570,590
Vitalė VINICKIENĖ,Trakų - Elektrėnų (Nr.58) vienmandatė apygarda,10.49%,9.61%,1097,347
Kęstutis RAMANAUSKAS,Trakų - Elektrėnų (Nr.58) vienmandatė apygarda,10.46%,9.59%,1097,344
Aldona DOBROVOLSKIENĖ,Trakų - Elektrėnų (Nr.58) vienmandatė apygarda,10.14%,9.29%,1010,386
Vytautas PETKEVIČIUS,Trakų - Elektrėnų (Nr.58) vienmandatė apygarda,6.22%,5.70%,677,179
Margarita GRYBAUSKIENĖ,Trakų - Elektrėnų (Nr.58) vienmandatė apygarda,3.84%,3.52%,381,148
Eugenijus ČERŠKUS,Trakų - Elektrėnų (Nr.58) vienmandatė apygarda,2.29%,2.10%,234,82
Vladimiras VOLČIOK,Vilniaus - Trakų (Nr.57) vienmandatė apygarda,26.82%,25.17%,3467,846
Jaroslav NARKEVIČ,Vilniaus - Trakų (Nr.57) vienmandatė apygarda,26.25%,24.63%,3024,1197
Aleksander POPLAVSKI,Vilniaus - Trakų (Nr.57) vienmandatė apygarda,14.07%,13.20%,1711,552
Juozas STANĖNAS,Vilniaus - Trakų (Nr.57) vienmandatė apygarda,8.32%,7.81%,1207,131
Česlav MICKIEVIČ,Vilniaus - Trakų (Nr.57) vienmandatė apygarda,8.11%,7.61%,1118,186
Andrius MAZURONIS,Vilniaus - Trakų (Nr.57) vienmandatė apygarda,6.65%,6.24%,964,106
Arturas ČIRAS,Vilniaus - Trakų (Nr.57) vienmandatė apygarda,4.28%,4.01%,623,65
Lilija MAKSIMOVIČ,Vilniaus - Trakų (Nr.57) vienmandatė apygarda,2.91%,2.73%,396,72
Tadeuš MICHNEVIČ,Vilniaus - Trakų (Nr.57) vienmandatė apygarda,2.59%,2.43%,369,48
Vladimir KOT,Vilniaus - Šalčininkų (Nr.56) vienmandatė apygarda,10.86%,10.10%,1549,345
Vidmantas ŽILIUS,Vilniaus - Šalčininkų (Nr.56) vienmandatė apygarda,7.50%,6.97%,1090,218
Robert ŠIMANSKI,Vilniaus - Šalčininkų (Nr.56) vienmandatė apygarda,5.39%,5.01%,754,186
Artur PLOKŠTO,Vilniaus - Šalčininkų (Nr.56) vienmandatė apygarda,5.29%,4.92%,736,187
Olegas TURENKO,Vilniaus - Šalčininkų (Nr.56) vienmandatė apygarda,3.22%,2.99%,460,101
Leokadija POČIKOVSKA,Širvintų - Vilniaus (Nr.55) vienmandatė apygarda,27.78%,26.21%,2894,2329
Jonas PINSKUS,Širvintų - Vilniaus (Nr.55) vienmandatė apygarda,26.48%,24.98%,3624,1354
Vytautas BOGUŠIS,Širvintų - Vilniaus (Nr.55) vienmandatė apygarda,12.35%,11.65%,1975,346
Jonas PURVANECKAS,Širvintų - Vilniaus (Nr.55) vienmandatė apygarda,9.20%,8.67%,1268,461
Gediminas DALINKEVIČIUS,Širvintų - Vilniaus (Nr.55) vienmandatė apygarda,8.01%,7.56%,1209,297
Alfredas ASTIKAS,Širvintų - Vilniaus (Nr.55) vienmandatė apygarda,6.74%,6.36%,967,301
Stanislav TARASEVIČ,Širvintų - Vilniaus (Nr.55) vienmandatė apygarda,2.72%,2.56%,410,101
Viktoras ČATRAUSKAS,Širvintų - Vilniaus (Nr.55) vienmandatė apygarda,2.55%,2.41%,351,129
Antonina POLTAVEC,Širvintų - Vilniaus (Nr.55) vienmandatė apygarda,1.82%,1.72%,258,84
Juozas ŠEŠKEVIČIUS,Širvintų - Vilniaus (Nr.55) vienmandatė apygarda,1.32%,1.25%,191,58
Ramutis Valentinas ZDANAVIČIUS,Širvintų - Vilniaus (Nr.55) vienmandatė apygarda,1.03%,0.97%,146,47
Kazimira Danutė PRUNSKIENĖ,Molėtų - Švenčionių (Nr.54) vienmandatė apygarda,30.52%,28.75%,3169,1332
Valentinas STUNDYS,Molėtų - Švenčionių (Nr.54) vienmandatė apygarda,23.66%,22.29%,2540,949
Petras ČIMBARAS,Molėtų - Švenčionių (Nr.54) vienmandatė apygarda,18.30%,17.24%,2100,599
Stasys BAJERČIUS,Molėtų - Švenčionių (Nr.54) vienmandatė apygarda,10.21%,9.62%,1188,318
Zbignev JEDINSKIJ,Molėtų - Švenčionių (Nr.54) vienmandatė apygarda,5.68%,5.35%,605,232
Ventautas KARALIUS,Molėtų - Švenčionių (Nr.54) vienmandatė apygarda,5.03%,4.74%,587,155
Vilius NAVICKAS,Molėtų - Švenčionių (Nr.54) vienmandatė apygarda,4.71%,4.44%,473,222
Leta KALINAUSKAITĖ,Molėtų - Švenčionių (Nr.54) vienmandatė apygarda,1.89%,1.78%,208,71
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) vienmandatė apygarda,44.55%,41.58%,4514,2553
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) vienmandatė apygarda,24.93%,23.26%,2902,1052
Kęstutis TRAPIKAS,Ignalinos - Švenčionių (Nr.53) vienmandatė apygarda,12.96%,12.10%,1439,617
Juozas ROKAS,Ignalinos - Švenčionių (Nr.53) vienmandatė apygarda,9.10%,8.50%,940,504
Arūnas Domininkas GRABAŽIS,Ignalinos - Švenčionių (Nr.53) vienmandatė apygarda,5.83%,5.44%,538,386
Janina BELANOVA,Ignalinos - Švenčionių (Nr.53) vienmandatė apygarda,2.63%,2.45%,270,147
Petras PAPOVAS,Zarasų - Visagino (Nr.52) vienmandatė apygarda,29.94%,28.57%,3287,1089
Manfredas ŽYMANTAS,Zarasų - Visagino (Nr.52) vienmandatė apygarda,27.62%,26.37%,3174,864
Rimantas KUMPIS,Zarasų - Visagino (Nr.52) vienmandatė apygarda,16.76%,16.00%,2197,253
Dalia ŠTRAUPAITĖ,Zarasų - Visagino (Nr.52) vienmandatė apygarda,11.57%,11.04%,1502,189
Sergej DMITRIJEV,Zarasų - Visagino (Nr.52) vienmandatė apygarda,6.51%,6.21%,866,85
Jonas Laimutis KUZMA,Zarasų - Visagino (Nr.52) vienmandatė apygarda,4.05%,3.87%,366,226
Vidmantas EIGĖLIS,Zarasų - Visagino (Nr.52) vienmandatė apygarda,3.56%,3.40%,433,87
Edmundas PUPINIS,Utenos (Nr.51) vienmandatė apygarda,33.51%,32.44%,5118,1019
Algimantas MATULEVIČIUS,Utenos (Nr.51) vienmandatė apygarda,22.15%,21.44%,3369,687
Gintaras VIDŽIŪNAS,Utenos (Nr.51) vienmandatė apygarda,21.10%,20.42%,3215,649
Alvydas KATINAS,Utenos (Nr.51) vienmandatė apygarda,18.45%,17.85%,2788,590
Nijolė GAIŽUTIENĖ,Utenos (Nr.51) vienmandatė apygarda,1.84%,1.78%,268,69
Zita RAMOŠKIENĖ,Utenos (Nr.51) vienmandatė apygarda,1.78%,1.72%,243,83
Albinas PILIPAUSKAS,Utenos (Nr.51) vienmandatė apygarda,1.17%,1.13%,140,74
Aloyzas JOČYS,Rokiškio (Nr.50) vienmandatė apygarda,24.14%,23.09%,3145,830
Vytautas SAULIS,Rokiškio (Nr.50) vienmandatė apygarda,23.00%,21.99%,3106,681
Saulius GINTAUTAS,Rokiškio (Nr.50) vienmandatė apygarda,14.67%,14.03%,2021,394
Zenonas AKRAMAVIČIUS,Rokiškio (Nr.50) vienmandatė apygarda,11.46%,10.96%,1495,392
Petras Antanas ŠALČIUS,Rokiškio (Nr.50) vienmandatė apygarda,10.74%,10.27%,1281,487
Gediminas MATIEKUS,Rokiškio (Nr.50) vienmandatė apygarda,8.46%,8.09%,1107,286
Irena SAIKALIENĖ,Rokiškio (Nr.50) vienmandatė apygarda,7.53%,7.20%,884,355
Vytautas GALVONAS,Anykščių - Kupiškio (Nr.49) vienmandatė apygarda,24.70%,23.55%,3529,788
Sigutis OBELEVIČIUS,Anykščių - Kupiškio (Nr.49) vienmandatė apygarda,17.61%,16.79%,2269,809
Antanas BAURA,Anykščių - Kupiškio (Nr.49) vienmandatė apygarda,16.85%,16.06%,2279,665
Ričardas SARGŪNAS,Anykščių - Kupiškio (Nr.49) vienmandatė apygarda,16.54%,15.77%,2232,659
Gražina ŠMIGELSKIENĖ,Anykščių - Kupiškio (Nr.49) vienmandatė apygarda,12.10%,11.54%,1565,550
Antanas VALYS,Anykščių - Kupiškio (Nr.49) vienmandatė apygarda,5.57%,5.31%,724,250
Lilija RAUDELIŪNAITĖ,Anykščių - Kupiškio (Nr.49) vienmandatė apygarda,4.88%,4.65%,611,242
Eduardas PABARČIUS,Anykščių - Kupiškio (Nr.49) vienmandatė apygarda,1.73%,1.65%,191,112
Viktoras RINKEVIČIUS,Biržų - Kupiškio (Nr.48) vienmandatė apygarda,30.80%,29.25%,4139,1268
Vytautas MOCKUS,Biržų - Kupiškio (Nr.48) vienmandatė apygarda,29.70%,28.21%,3914,1300
Nida DAGIENĖ,Biržų - Kupiškio (Nr.48) vienmandatė apygarda,25.71%,24.42%,3364,1150
Kęstutis SLAVINSKAS,Biržų - Kupiškio (Nr.48) vienmandatė apygarda,5.50%,5.22%,667,298
Dangirdas MIKŠYS,Biržų - Kupiškio (Nr.48) vienmandatė apygarda,4.19%,3.98%,577,158
Vytautas LINKEVIČIUS,Biržų - Kupiškio (Nr.48) vienmandatė apygarda,4.12%,3.91%,523,200
Antanas MATULAS,Pasvalio - Panevėžio (Nr.47) vienmandatė apygarda,50.81%,48.89%,6098,2212
Vilius GARBŠTAS,Pasvalio - Panevėžio (Nr.47) vienmandatė apygarda,23.55%,22.66%,3038,814
Alfonsas PULOKAS,Pasvalio - Panevėžio (Nr.47) vienmandatė apygarda,13.35%,12.85%,1697,487
Vladas LINKEVIČIUS,Pasvalio - Panevėžio (Nr.47) vienmandatė apygarda,7.84%,7.54%,981,301
Vitalijus SATKEVIČIUS,Pasvalio - Panevėžio (Nr.47) vienmandatė apygarda,4.45%,4.28%,543,184
Jonas JUOZAPAITIS,Pakruojo - Joniškio (Nr.46) vienmandatė apygarda,30.63%,28.91%,3528,1235
Zenonas PEKELIS,Pakruojo - Joniškio (Nr.46) vienmandatė apygarda,22.92%,21.63%,2872,691
Dailis Alfonsas BARAKAUSKAS,Pakruojo - Joniškio (Nr.46) vienmandatė apygarda,15.46%,14.59%,1948,455
Jonas JURGELIŪNAS,Pakruojo - Joniškio (Nr.46) vienmandatė apygarda,13.35%,12.59%,1513,562
Rimantė MISIŪNIENĖ,Pakruojo - Joniškio (Nr.46) vienmandatė apygarda,9.55%,9.01%,1205,280
Marcijonas URMONAS,Pakruojo - Joniškio (Nr.46) vienmandatė apygarda,8.10%,7.64%,1047,212
Rima BAŠKIENĖ,Šiaulių kaimiškoji (Nr.45) vienmandatė apygarda,33.62%,31.12%,3932,708
Artūras TUPIKAS,Šiaulių kaimiškoji (Nr.45) vienmandatė apygarda,21.51%,19.92%,2543,426
Jonas NOVOGRECKIS,Šiaulių kaimiškoji (Nr.45) vienmandatė apygarda,15.96%,14.77%,1813,389
Ilona STULPINIENĖ,Šiaulių kaimiškoji (Nr.45) vienmandatė apygarda,10.78%,9.97%,1222,265
Daiva MATONIENĖ,Šiaulių kaimiškoji (Nr.45) vienmandatė apygarda,8.41%,7.79%,977,184
Jonas KORENKA,Šiaulių kaimiškoji (Nr.45) vienmandatė apygarda,8.36%,7.74%,949,205
Neringa JANKAUSKAITĖ,Šiaulių kaimiškoji (Nr.45) vienmandatė apygarda,1.36%,1.25%,149,38
Zita ŽVIKIENĖ,Radviliškio (Nr.44) vienmandatė apygarda,36.99%,35.25%,4871,1336
Roma ŽAKAITIENĖ,Radviliškio (Nr.44) vienmandatė apygarda,21.92%,20.88%,3051,626
Jonas POVILAITIS,Radviliškio (Nr.44) vienmandatė apygarda,18.21%,17.35%,2439,617
Vitolis JANUŠEVIČIUS,Radviliškio (Nr.44) vienmandatė apygarda,14.92%,14.21%,1953,550
Gediminas VALINEVIČIUS,Radviliškio (Nr.44) vienmandatė apygarda,7.96%,7.58%,1147,188
Algimantas SALAMAKINAS,Kėdainių (Nr.43) vienmandatė apygarda,17.73%,17.07%,2995,483
Artūras ZUOKAS,Kėdainių (Nr.43) vienmandatė apygarda,15.45%,14.87%,2658,373
Kęstutis SKAMARAKAS,Raseinių (Nr.42) vienmandatė apygarda,27.19%,26.17%,3457,1240
Gintautas MIKOLAITIS,Raseinių (Nr.42) vienmandatė apygarda,23.86%,22.96%,3320,802
Rimas URBONAS,Raseinių (Nr.42) vienmandatė apygarda,16.17%,15.57%,2060,734
Remigijus AČAS,Raseinių (Nr.42) vienmandatė apygarda,12.43%,11.97%,1608,540
Saulius PEČELIŪNAS,Raseinių (Nr.42) vienmandatė apygarda,7.01%,6.75%,960,251
Antanas VIZBARAS,Raseinių (Nr.42) vienmandatė apygarda,5.88%,5.66%,768,248
Danguolė Marija PECKUVIENĖ,Raseinių (Nr.42) vienmandatė apygarda,2.71%,2.61%,326,143
Jonas ŽUKAUSKAS,Raseinių (Nr.42) vienmandatė apygarda,2.42%,2.33%,287,131
Kastytis AUGUSTAITIS,Raseinių (Nr.42) vienmandatė apygarda,2.32%,2.23%,315,86
Zenonas MAČERNIUS,Kelmės (Nr.41) vienmandatė apygarda,31.95%,30.27%,3432,1000
Zenonas MIKUTIS,Kelmės (Nr.41) vienmandatė apygarda,24.36%,23.08%,2718,661
Vytautas ŠIMKŪNAS,Kelmės (Nr.41) vienmandatė apygarda,11.47%,10.87%,1232,359
Albinas SUTKUS,Kelmės (Nr.41) vienmandatė apygarda,10.92%,10.35%,1228,287
Algimantas ARMALIS,Kelmės (Nr.41) vienmandatė apygarda,8.47%,8.02%,865,310
Kęstutis BILIUS,Kelmės (Nr.41) vienmandatė apygarda,7.87%,7.46%,874,218
Kęstutis LEVICKIS,Kelmės (Nr.41) vienmandatė apygarda,4.95%,4.69%,499,188
Gediminas VAGNORIUS,Telšių (Nr.40) vienmandatė apygarda,26.22%,25.28%,3623,826
Valentinas BUKAUSKAS,Telšių (Nr.40) vienmandatė apygarda,19.38%,18.69%,2506,783
Edmundas GANUSAUSKAS,Telšių (Nr.40) vienmandatė apygarda,19.15%,18.47%,2818,432
Kazys LEČKAUSKAS,Telšių (Nr.40) vienmandatė apygarda,10.73%,10.34%,1337,483
Žilvinas ŠILGALIS,Telšių (Nr.40) vienmandatė apygarda,8.80%,8.49%,1174,320
Alma VITKIENĖ,Telšių (Nr.40) vienmandatė apygarda,8.53%,8.23%,1169,279
Ričardas KRANAUSKAS,Telšių (Nr.40) vienmandatė apygarda,4.59%,4.43%,618,161
Faustas MEIŽENIS,Telšių (Nr.40) vienmandatė apygarda,1.43%,1.38%,171,72
Paulius RUMBUTIS,Telšių (Nr.40) vienmandatė apygarda,1.16%,1.11%,162,34
Saulius BUCEVIČIUS,Akmenės - Joniškio (Nr.39) vienmandatė apygarda,30.54%,28.80%,3619,638
Algirdas MONKEVIČIUS,Akmenės - Joniškio (Nr.39) vienmandatė apygarda,20.12%,18.98%,2337,468
Sigutė MEŠKYTĖ,Akmenės - Joniškio (Nr.39) vienmandatė apygarda,17.66%,16.66%,2072,390
Jadvyga DUNAUSKAITĖ,Akmenės - Joniškio (Nr.39) vienmandatė apygarda,12.84%,12.11%,1394,396
