dalyvavo,rinkeju_skaicius,apygarda,negaliojantys_biuleteniai,apylinke
1984,4729,Naujamiesčio (Nr.1) apygarda,88,Gedimino
1394,2854,Naujamiesčio (Nr.1) apygarda,60,Saltoniškių
546,1284,Naujamiesčio (Nr.1) apygarda,24,Sėlių
794,1456,Naujamiesčio (Nr.1) apygarda,46,Liubarto
617,1412,Naujamiesčio (Nr.1) apygarda,38,Vytauto
930,1850,Naujamiesčio (Nr.1) apygarda,48,Birutės
418,948,Naujamiesčio (Nr.1) apygarda,20,Pamėnkalnio
767,1421,Naujamiesčio (Nr.1) apygarda,43,Taurakalnio
1645,3381,Naujamiesčio (Nr.1) apygarda,105,SKonarskio
1003,2235,Naujamiesčio (Nr.1) apygarda,42,Mindaugo
930,2147,Naujamiesčio (Nr.1) apygarda,86,Vytenio
992,2797,Naujamiesčio (Nr.1) apygarda,94,Naugarduko
1156,3336,Naujamiesčio (Nr.1) apygarda,78,Algirdo
610,1744,Naujamiesčio (Nr.1) apygarda,64,Naujininkų
588,2163,Naujamiesčio (Nr.1) apygarda,62,Brolių
558,1786,Naujamiesčio (Nr.1) apygarda,54,Gimnazijos
616,1629,Lazdijų - Druskininkų (Nr.71) apygarda,13,Senamiesčio
317,669,Lazdijų - Druskininkų (Nr.71) apygarda,10,Avižienių
707,1472,Lazdijų - Druskininkų (Nr.71) apygarda,37,Naujamiesčio
76,176,Lazdijų - Druskininkų (Nr.71) apygarda,3,Bartelių
52,98,Lazdijų - Druskininkų (Nr.71) apygarda,0,Bugiedos
965,1969,Lazdijų - Druskininkų (Nr.71) apygarda,34,Atgimimo
98,327,Lazdijų - Druskininkų (Nr.71) apygarda,4,Būdviečio
630,2086,Lazdijų - Druskininkų (Nr.71) apygarda,26,Kloniškių
1271,3208,Lazdijų - Druskininkų (Nr.71) apygarda,37,Kalviškės
140,420,Lazdijų - Druskininkų (Nr.71) apygarda,2,Dumblio
569,1573,Lazdijų - Druskininkų (Nr.71) apygarda,13,Eglės
331,864,Lazdijų - Druskininkų (Nr.71) apygarda,23,Kapčiamiesčio
239,574,Lazdijų - Druskininkų (Nr.71) apygarda,7,AKirsnos
394,1156,Lazdijų - Druskininkų (Nr.71) apygarda,7,Ratnyčios
175,373,Lazdijų - Druskininkų (Nr.71) apygarda,4,Kirsnos
84,263,Lazdijų - Druskininkų (Nr.71) apygarda,1,Grūto
182,343,Lazdijų - Druskininkų (Nr.71) apygarda,11,Krikštonių
107,321,Lazdijų - Druskininkų (Nr.71) apygarda,2,Švendubrės
478,1449,Lazdijų - Druskininkų (Nr.71) apygarda,12,Viečiūnų
327,798,Lazdijų - Druskininkų (Nr.71) apygarda,18,Krosnos
163,498,Lazdijų - Druskininkų (Nr.71) apygarda,7,Kuklių
302,926,Lazdijų - Druskininkų (Nr.71) apygarda,8,Neravų
674,1891,Lazdijų - Druskininkų (Nr.71) apygarda,36,Leipalingio
