kandidatas,apygarda,nuo_galiojanciu_biuleteniu,nuo_rinkeju,apylinkese,pastu
Vitas BUTRIMAS,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,"3,89%","3,65%",631,90
Dmitrijus MELNIČENKO,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,"2,03%","1,90%",341,35
Raimundas MARKAUSKAS,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,"1,62%","1,52%",255,45
Zygmunt SENKEVIČ,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,"0,97%","0,91%",172,8
Renaldas ŽILINSKAS,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,"0,82%","0,77%",132,20
Algis KAŠĖTA,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,"27,64%","25,74%",3561,740
Leonard TALMONT,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,"23,73%","22,09%",2888,804
Gediminas JAKAVONIS,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,"10,67%","9,93%",1478,182
Angelė MALINOVSKIENĖ,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,"6,70%","6,24%",951,91
Algis KAŠĖTA,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,"5,61%","5,22%",773,100
Jonas SEMSĖ,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,"5,01%","4,66%",679,100
Giedrius SAMULEVIČIUS,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,"4,70%","4,38%",620,112
Rita LYSENKO,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,"3,82%","3,56%",474,121
Algirdas NAVICKAS,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,"3,67%","3,42%",506,65
Rimantas RADŽIUS,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,"2,43%","2,26%",341,37
Vinifrida ČESNULEVIČIŪTĖ,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,"2,24%","2,09%",325,24
Kastytis BRAZIULIS,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,"1,61%","1,50%",228,23
Juozas DINGELIS,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,"1,43%","1,33%",193,29
Antanas MICKEVIČIUS,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,"0,73%","0,68%",94,20
Vidmantas ŽIEMELIS,Dzūkijos (Nr.69) rinkimų apygarda,"21,20%","19,90%",2978,615
Antanas NEDZINSKAS,Dzūkijos (Nr.69) rinkimų apygarda,"17,94%","16,84%",2904,136
Aurimas TRUNCĖ,Dzūkijos (Nr.69) rinkimų apygarda,"16,56%","15,54%",2399,407
Ona BALEVIČIŪTĖ,Dzūkijos (Nr.69) rinkimų apygarda,"11,95%","11,21%",1814,211
Aivaras VYŠNIAUSKAS,Dzūkijos (Nr.69) rinkimų apygarda,"8,80%","8,26%",1290,202
Motiejus JAKUBAUSKAS,Dzūkijos (Nr.69) rinkimų apygarda,"7,72%","7,24%",1176,132
Monika RAŽANAUSKIENĖ,Dzūkijos (Nr.69) rinkimų apygarda,"7,70%","7,23%",1136,169
Jaunius JANONIS,Dzūkijos (Nr.69) rinkimų apygarda,"3,33%","3,12%",522,42
Gediminas MAČYS,Dzūkijos (Nr.69) rinkimų apygarda,"2,46%","2,31%",393,24
Algimantas KUDARAUSKAS,Dzūkijos (Nr.69) rinkimų apygarda,"2,34%","2,19%",354,42
Algirdas BUTKEVIČIUS,Vilkaviškio (Nr.68) rinkimų apygarda,"67,71%","63,90%",9644,998
Algimantas BIRBILAS,Vilkaviškio (Nr.68) rinkimų apygarda,"10,35%","9,76%",1412,214
Česlovas JEZERSKAS,Vilkaviškio (Nr.68) rinkimų apygarda,"7,85%","7,41%",1101,133
Aivaras KRIAUČIŪNAS,Vilkaviškio (Nr.68) rinkimų apygarda,"6,97%","6,58%",1039,56
Gytautas DAMIJONAITIS,Vilkaviškio (Nr.68) rinkimų apygarda,"2,09%","1,97%",302,26
Reda ŽEMAITYTĖ,Vilkaviškio (Nr.68) rinkimų apygarda,"1,81%","1,71%",240,45
Kęstutis ŽIEMYS,Vilkaviškio (Nr.68) rinkimų apygarda,"1,75%","1,65%",248,27
Mindaugas MATULIONIS,Vilkaviškio (Nr.68) rinkimų apygarda,"1,47%","1,39%",200,31
Juozas PALIONIS,Prienų (Nr.67) rinkimų apygarda,"30,80%","28,81%",3951,595
Vytautas KAMBLEVIČIUS,Prienų (Nr.67) rinkimų apygarda,"16,37%","15,31%",2146,270
Ramūnas GARBARAVIČIUS,Prienų (Nr.67) rinkimų apygarda,"13,64%","12,76%",1730,283
Vidutė MAZLAVECKIENĖ,Prienų (Nr.67) rinkimų apygarda,"12,31%","11,51%",1729,87
Antanas GUSTAITIS,Prienų (Nr.67) rinkimų apygarda,"8,39%","7,85%",1073,165
Rima ZABLACKIENĖ,Prienų (Nr.67) rinkimų apygarda,"5,73%","5,36%",724,122
Gintaras KLEIZA,Prienų (Nr.67) rinkimų apygarda,"3,71%","3,47%",514,34
Jonas VILIONIS,Prienų (Nr.67) rinkimų apygarda,"3,63%","3,39%",459,76
Vilma VAIDOGIENĖ,Prienų (Nr.67) rinkimų apygarda,"2,76%","2,59%",372,36
Antanas ČEBATARIŪNAS,Prienų (Nr.67) rinkimų apygarda,"2,11%","1,97%",283,28
Jonas Adolfas PATRIUBAVIČIUS,Prienų (Nr.67) rinkimų apygarda,"0,55%","0,51%",70,11
Donatas JANKAUSKAS,Kauno kaimiškoji (Nr.66) rinkimų apygarda,"28,88%","26,56%",5077,352
Petras MIKELIONIS,Kauno kaimiškoji (Nr.66) rinkimų apygarda,"13,88%","12,77%",2442,168
Artūras ORLAUSKAS,Kauno kaimiškoji (Nr.66) rinkimų apygarda,"13,26%","12,20%",2422,71
Rimantas DAILIDONIS,Kauno kaimiškoji (Nr.66) rinkimų apygarda,"13,12%","12,07%",2421,46
Vidmantas VITKAUSKAS,Kauno kaimiškoji (Nr.66) rinkimų apygarda,"9,28%","8,54%",1716,29
Algirdas ŽANDARAS,Kauno kaimiškoji (Nr.66) rinkimų apygarda,"8,33%","7,66%",1493,73
Henrichas BAREIŠIS,Kauno kaimiškoji (Nr.66) rinkimų apygarda,"3,53%","3,25%",633,31
Virginija ZAZIENĖ,Kauno kaimiškoji (Nr.66) rinkimų apygarda,"3,13%","2,88%",562,27
Juozas JOKIMAS,Kauno kaimiškoji (Nr.66) rinkimų apygarda,"2,44%","2,24%",429,29
Antanas MAKAREVIČIUS,Kauno kaimiškoji (Nr.66) rinkimų apygarda,"2,34%","2,15%",408,31
Jurgis Algirdas BIELINIS BIELIAKAS,Kauno kaimiškoji (Nr.66) rinkimų apygarda,"1,81%","1,66%",325,15
Jonas KONDROTAS,Kauno - Kėdainių (Nr.65) rinkimų apygarda,"22,77%","21,15%",3380,587
Justinas URBANAVIČIUS,Kauno - Kėdainių (Nr.65) rinkimų apygarda,"18,86%","17,52%",2978,308
Antanas NESTECKIS,Kauno - Kėdainių (Nr.65) rinkimų apygarda,"13,92%","12,93%",2138,288
Vytautas GROMNICKAS,Kauno - Kėdainių (Nr.65) rinkimų apygarda,"11,33%","10,52%",1889,85
Aleksandras VITKUS,Kauno - Kėdainių (Nr.65) rinkimų apygarda,"7,99%","7,43%",1293,100
Saulius GRINKEVIČIUS,Kauno - Kėdainių (Nr.65) rinkimų apygarda,"7,83%","7,27%",1232,132
Arūnas KARLONAS,Kauno - Kėdainių (Nr.65) rinkimų apygarda,"7,35%","6,83%",1212,69
Arūnas MALIAUKA,Kauno - Kėdainių (Nr.65) rinkimų apygarda,"3,56%","3,31%",584,37
Zita BUTKUTĖ,Kauno - Kėdainių (Nr.65) rinkimų apygarda,"3,20%","2,97%",498,60
Virginijus VENSKUTONIS,Kauno - Kėdainių (Nr.65) rinkimų apygarda,"3,18%","2,95%",509,45
Mindaugas BASTYS,Šakių (Nr.64) rinkimų apygarda,"27,90%","25,79%",3316,520
Jonas ŠIMĖNAS,Šakių (Nr.64) rinkimų apygarda,"24,51%","22,66%",2782,589
Kęstutis SMIRNOVAS,Šakių (Nr.64) rinkimų apygarda,"17,85%","16,50%",2159,295
Robertas KATINSKAS,Šakių (Nr.64) rinkimų apygarda,"8,81%","8,15%",1136,76
Antanas LITVINAS,Šakių (Nr.64) rinkimų apygarda,"7,05%","6,52%",831,139
Vladas SEDEREVIČIUS,Šakių (Nr.64) rinkimų apygarda,"6,57%","6,08%",769,135
Algimantas Antanas ALEKNAVIČIUS,Šakių (Nr.64) rinkimų apygarda,"2,91%","2,69%",343,57
Juozas Vytas JACEVIČIUS,Šakių (Nr.64) rinkimų apygarda,"2,91%","2,69%",348,52
Kęstutis JUSAITIS,Šakių (Nr.64) rinkimų apygarda,"1,48%","1,37%",164,40
Mantas VARAŠKA,Suvalkijos (Nr.63) rinkimų apygarda,"25,80%","24,08%",3889,305
Albinas MITRULEVIČIUS,Suvalkijos (Nr.63) rinkimų apygarda,"20,16%","18,82%",2881,397
Birutė KAŽEMĖKAITĖ,Suvalkijos (Nr.63) rinkimų apygarda,"15,38%","14,35%",2048,452
Vytautas NARUŠIS,Suvalkijos (Nr.63) rinkimų apygarda,"12,41%","11,59%",1829,189
Valdas KAZLAS,Suvalkijos (Nr.63) rinkimų apygarda,"8,49%","7,93%",1186,195
Jonas ŠČEPONIS,Suvalkijos (Nr.63) rinkimų apygarda,"4,80%","4,48%",704,76
Algimanta PABEDINSKIENĖ,Suvalkijos (Nr.63) rinkimų apygarda,"4,75%","4,43%",667,105
Alvydas DIRSĖ,Suvalkijos (Nr.63) rinkimų apygarda,"2,96%","2,76%",415,66
Gediminas RADZEVIČIUS,Suvalkijos (Nr.63) rinkimų apygarda,"2,01%","1,87%",288,38
Vidutis Jonas MICKEVIČIUS,Suvalkijos (Nr.63) rinkimų apygarda,"1,97%","1,84%",279,41
Regina ŠIMANAUSKIENĖ,Suvalkijos (Nr.63) rinkimų apygarda,"1,27%","1,19%",188,19
Bronius PAUŽA,Jurbarko (Nr.62) rinkimų apygarda,"28,50%","26,63%",3396,554
Saulius LAPĖNAS,Jurbarko (Nr.62) rinkimų apygarda,"17,65%","16,50%",2135,312
Edvardas STRONČIKAS,Jurbarko (Nr.62) rinkimų apygarda,"15,70%","14,67%",1767,409
Algirdas GUDAITIS,Jurbarko (Nr.62) rinkimų apygarda,"11,70%","10,94%",1343,279
Vitalijus KARAKORSKIS,Jurbarko (Nr.62) rinkimų apygarda,"7,37%","6,88%",949,72
Vidmanta MARCINKEVIČIENĖ,Jurbarko (Nr.62) rinkimų apygarda,"6,67%","6,24%",783,142
Gintaris STOŠKUS,Jurbarko (Nr.62) rinkimų apygarda,"4,46%","4,17%",525,93
Vitalija PETRAITIENĖ,Jurbarko (Nr.62) rinkimų apygarda,"2,55%","2,38%",302,51
Aldona GUDŽIŪNIENĖ,Jurbarko (Nr.62) rinkimų apygarda,"2,31%","2,16%",259,61
Eglija VAITKEVIČĖ,Jurbarko (Nr.62) rinkimų apygarda,"1,74%","1,62%",206,35
Aleksandras MOLIBOGA,Jurbarko (Nr.62) rinkimų apygarda,"1,36%","1,27%",175,14
Julius VESELKA,Ukmergės (Nr.61) rinkimų apygarda,"31,34%","29,67%",4833,699
Janina GALIAUSKIENĖ,Ukmergės (Nr.61) rinkimų apygarda,"21,62%","20,47%",3141,676
Loreta GRAUŽINIENĖ,Ukmergės (Nr.61) rinkimų apygarda,"10,66%","10,09%",1671,210
Juozas ARMANAVIČIUS,Ukmergės (Nr.61) rinkimų apygarda,"9,99%","9,46%",1584,179
Arūnas JASAITIS,Ukmergės (Nr.61) rinkimų apygarda,"6,84%","6,48%",1099,109
Darius GUTAUSKAS,Ukmergės (Nr.61) rinkimų apygarda,"6,20%","5,87%",1025,70
Elena MIRINAVIČIENĖ,Ukmergės (Nr.61) rinkimų apygarda,"5,57%","5,27%",873,110
Alvydas RAMANAUSKAS,Ukmergės (Nr.61) rinkimų apygarda,"4,79%","4,54%",757,89
Galina CHATKEVIČ,Ukmergės (Nr.61) rinkimų apygarda,"1,14%","1,08%",174,27
Lina SUKACKIENĖ,Ukmergės (Nr.61) rinkimų apygarda,"1,10%","1,04%",168,26
Eglė PETRAITIENĖ,Ukmergės (Nr.61) rinkimų apygarda,"0,75%","0,71%",113,19
Rimantas SINKEVIČIUS,Jonavos (Nr.60) rinkimų apygarda,"22,72%","21,53%",3395,289
Arūnas RIMKUS,Jonavos (Nr.60) rinkimų apygarda,"19,15%","18,15%",2917,189
Raimondas BURKOVSKIS,Jonavos (Nr.60) rinkimų apygarda,"14,29%","13,54%",2141,176
Vytas VAICEKAUSKAS,Jonavos (Nr.60) rinkimų apygarda,"14,06%","13,32%",2144,136
Ligitas KERNAGIS,Jonavos (Nr.60) rinkimų apygarda,"11,05%","10,47%",1698,94
Židrūnas GARŠVA,Jonavos (Nr.60) rinkimų apygarda,"7,47%","7,08%",1154,57
Valdas SKARBALIUS,Jonavos (Nr.60) rinkimų apygarda,"5,21%","4,94%",728,117
Vladislovas VATĖNAS,Jonavos (Nr.60) rinkimų apygarda,"2,35%","2,23%",350,31
Laima GUDAVIČIENĖ,Jonavos (Nr.60) rinkimų apygarda,"1,98%","1,88%",291,30
Renata LAŠIENĖ,Jonavos (Nr.60) rinkimų apygarda,"1,73%","1,64%",256,25
Bronius BRADAUSKAS,Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,"35,17%","32,81%",5506,946
Kazimieras UOKA,Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,"15,47%","14,43%",2445,393
Vytautas KURPUVESAS,Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,"13,24%","12,35%",2231,197
Stasys DANIUS,Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,"8,65%","8,07%",1357,229
Antanas LUKOŠEVIČIUS,Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,"6,41%","5,98%",1031,145
Mindaugas ŠIMKŪNAS,Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,"6,37%","5,95%",1042,127
Lina BARKUVIENĖ,Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,"5,64%","5,26%",856,178
Rimas URBUS,Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,"3,18%","2,97%",533,51
Audrė PREIKŠAITIENĖ,Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,"2,63%","2,46%",401,82
Kazimieras NAUSĖDA,Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,"2,46%","2,29%",384,67
Irena NARKEVIČ,Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,"0,77%","0,72%",117,25
Dangutė MIKUTIENĖ,Trakų - Elektrėnų (Nr.58) rinkimų apygarda,"16,13%","14,96%",2064,321
Jonas LIESYS,Trakų - Elektrėnų (Nr.58) rinkimų apygarda,"14,78%","13,70%",1890,295
Henrik JANKOVSKI,Trakų - Elektrėnų (Nr.58) rinkimų apygarda,"13,77%","12,78%",1746,291
Audrius SKAISTYS,Trakų - Elektrėnų (Nr.58) rinkimų apygarda,"11,48%","10,64%",1519,178
Algimantas ADOMAITIS,Trakų - Elektrėnų (Nr.58) rinkimų apygarda,"9,12%","8,46%",1209,140
Kęstutis VILKAUSKAS,Trakų - Elektrėnų (Nr.58) rinkimų apygarda,"8,47%","7,85%",1159,93
Jadvyga DZENCEVIČIENĖ,Trakų - Elektrėnų (Nr.58) rinkimų apygarda,"7,40%","6,86%",916,178
Kęstutis RUPULEVIČIUS,Trakų - Elektrėnų (Nr.58) rinkimų apygarda,"6,74%","6,25%",945,52
Jonas SADOVSKIS,Trakų - Elektrėnų (Nr.58) rinkimų apygarda,"4,55%","4,22%",614,59
Sergej DMITRIJEV,Trakų - Elektrėnų (Nr.58) rinkimų apygarda,"3,46%","3,20%",468,43
Romas STUMBRYS,Trakų - Elektrėnų (Nr.58) rinkimų apygarda,"2,91%","2,70%",398,33
Jurgis SAMULEVIČIUS,Trakų - Elektrėnų (Nr.58) rinkimų apygarda,"1,20%","1,11%",154,23
Jaroslav NARKEVIČ,Vilniaus - Trakų (Nr.57) rinkimų apygarda,"35,95%","33,67%",5979,934
Aleksandr SACHARUK,Vilniaus - Trakų (Nr.57) rinkimų apygarda,"14,16%","13,27%",2660,64
Irena KALKIENĖ,Vilniaus - Trakų (Nr.57) rinkimų apygarda,"11,48%","10,75%",2131,76
Sergej URSUL,Vilniaus - Trakų (Nr.57) rinkimų apygarda,"10,20%","9,55%",1838,123
Raimundas KAVALIAUSKAS,Vilniaus - Trakų (Nr.57) rinkimų apygarda,"9,17%","8,59%",1681,82
Vytas RUKŠĖNAS,Vilniaus - Trakų (Nr.57) rinkimų apygarda,"6,96%","6,52%",1287,52
Michailas OLISOVAS,Vilniaus - Trakų (Nr.57) rinkimų apygarda,"3,57%","3,34%",650,36
Algis ŠUMSKAS,Vilniaus - Trakų (Nr.57) rinkimų apygarda,"2,97%","2,78%",547,24
Modestas CHMIELIAUSKAS,Vilniaus - Trakų (Nr.57) rinkimų apygarda,"2,36%","2,21%",430,23
Zigmunt ROMANOVSKIJ,Vilniaus - Trakų (Nr.57) rinkimų apygarda,"1,78%","1,67%",314,28
Antanas KARTUNAVIČIUS,Vilniaus - Trakų (Nr.57) rinkimų apygarda,"1,41%","1,32%",258,14
Valdemar TOMAŠEVSKI,Vilniaus - Šalčininkų (Nr.56) rinkimų apygarda,"65,51%","61,33%",11017,2811
Alina GOREVAJA,Vilniaus - Šalčininkų (Nr.56) rinkimų apygarda,"8,05%","7,54%",1462,237
Leonarda STANČIKIENĖ,Vilniaus - Šalčininkų (Nr.56) rinkimų apygarda,"5,30%","4,96%",969,150
Solveiga MAKARENKIENĖ,Vilniaus - Šalčininkų (Nr.56) rinkimų apygarda,"5,28%","4,95%",1036,79
Ana ORNOVSKA,Vilniaus - Šalčininkų (Nr.56) rinkimų apygarda,"3,83%","3,59%",714,95
Jaroslav KOZLOVSKI,Vilniaus - Šalčininkų (Nr.56) rinkimų apygarda,"3,18%","2,98%",566,106
Jonas CIMBOLAITIS,Vilniaus - Šalčininkų (Nr.56) rinkimų apygarda,"2,89%","2,71%",552,58
Algis GRIDZIUŠKA,Vilniaus - Šalčininkų (Nr.56) rinkimų apygarda,"2,18%","2,04%",414,47
Arvydas BANIULIS,Vilniaus - Šalčininkų (Nr.56) rinkimų apygarda,"2,15%","2,01%",375,79
Arvydas VALIUKEVIČIUS,Vilniaus - Šalčininkų (Nr.56) rinkimų apygarda,"1,62%","1,51%",290,51
Michal MACKEVIČ,Širvintų - Vilniaus (Nr.55) rinkimų apygarda,"31,58%","29,48%",5446,1507
Tomas BARANAUSKAS,Širvintų - Vilniaus (Nr.55) rinkimų apygarda,"12,64%","11,80%",2569,214
Alfredas ASTIKAS,Širvintų - Vilniaus (Nr.55) rinkimų apygarda,"11,29%","10,54%",2204,282
Jonas PINSKUS,Širvintų - Vilniaus (Nr.55) rinkimų apygarda,"11,20%","10,45%",2114,351
Arvydas PADVAISKAS,Širvintų - Vilniaus (Nr.55) rinkimų apygarda,"6,75%","6,31%",1417,70
Vitas KARČIAUSKAS,Širvintų - Vilniaus (Nr.55) rinkimų apygarda,"5,40%","5,04%",1095,94
Leokadija POČIKOVSKA,Širvintų - Vilniaus (Nr.55) rinkimų apygarda,"4,11%","3,83%",809,95
Saulius DAGYS,Širvintų - Vilniaus (Nr.55) rinkimų apygarda,"3,66%","3,42%",762,44
Piotr NARUŠEVIČ,Širvintų - Vilniaus (Nr.55) rinkimų apygarda,"3,57%","3,33%",692,93
Zbignev BALCEVIČ,Širvintų - Vilniaus (Nr.55) rinkimų apygarda,"3,01%","2,81%",603,59
Viktoras ČATRAUSKAS,Širvintų - Vilniaus (Nr.55) rinkimų apygarda,"2,97%","2,77%",557,97
Nerijus BAKASĖNAS,Širvintų - Vilniaus (Nr.55) rinkimų apygarda,"2,85%","2,66%",561,66
Stanislavas ČERNECKAS,Širvintų - Vilniaus (Nr.55) rinkimų apygarda,"0,98%","0,91%",185,30
Valentinas STUNDYS,Molėtų - Švenčionių (Nr.54) rinkimų apygarda,"29,75%","27,87%",3541,624
Kazimira Danutė PRUNSKIENĖ,Molėtų - Švenčionių (Nr.54) rinkimų apygarda,"21,37%","20,02%",2538,454
Petras ČIMBARAS,Molėtų - Švenčionių (Nr.54) rinkimų apygarda,"8,33%","7,81%",1014,153
Arūnas DUDĖNAS,Molėtų - Švenčionių (Nr.54) rinkimų apygarda,"7,91%","7,41%",990,118
Zbignev JEDINSKIJ,Molėtų - Švenčionių (Nr.54) rinkimų apygarda,"6,93%","6,50%",808,163
Vladas KUKĖNAS,Molėtų - Švenčionių (Nr.54) rinkimų apygarda,"6,80%","6,37%",844,108
Nina Barbora EVANS,Molėtų - Švenčionių (Nr.54) rinkimų apygarda,"5,75%","5,39%",752,53
Rimantas ČEPONIS,Molėtų - Švenčionių (Nr.54) rinkimų apygarda,"5,43%","5,09%",678,82
Zenonas ZENKEVIČIUS,Molėtų - Švenčionių (Nr.54) rinkimų apygarda,"4,49%","4,20%",587,41
Česlovas BANEVIČIUS,Molėtų - Švenčionių (Nr.54) rinkimų apygarda,"1,99%","1,86%",235,43
Dominykas MORDAS,Molėtų - Švenčionių (Nr.54) rinkimų apygarda,"1,26%","1,18%",160,16
Konstantas RAMELIS,Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,"18,22%","16,94%",2129,701
Juozas ROKAS,Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,"15,25%","14,18%",1884,485
Algirdas IVANAUSKAS,Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,"13,97%","12,99%",1703,467
Vytautas VAITKEVIČIUS,Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,"11,32%","10,52%",1262,496
Kęstutis TRAPIKAS,Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,"8,80%","8,18%",1129,238
Inija TRINKŪNIENĖ,Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,"8,45%","7,85%",974,338
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,"6,95%","6,47%",815,265
Vincas BABILIUS,Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,"5,81%","5,40%",788,114
Algirdas RADUŠYS,Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,"5,75%","5,35%",746,147
Antonij JUNDO,Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,"2,83%","2,63%",343,96
Dainius SARUOLIS,Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,"2,67%","2,48%",362,53
Dalia ŠTRAUPAITĖ,Zarasų - Visagino (Nr.52) rinkimų apygarda,"18,99%","18,20%",3015,220
Algimantas DUMBRAVA,Zarasų - Visagino (Nr.52) rinkimų apygarda,"17,39%","16,67%",2619,344
Petras PAPOVAS,Zarasų - Visagino (Nr.52) rinkimų apygarda,"16,24%","15,56%",2282,485
Manfredas ŽYMANTAS,Zarasų - Visagino (Nr.52) rinkimų apygarda,"15,84%","15,18%",2272,427
Algirdas PALECKIS,Zarasų - Visagino (Nr.52) rinkimų apygarda,"7,66%","7,33%",1200,104
Rimantas KUMPIS,Zarasų - Visagino (Nr.52) rinkimų apygarda,"6,12%","5,87%",977,66
Žilvinas LELEIVA,Zarasų - Visagino (Nr.52) rinkimų apygarda,"5,65%","5,41%",764,198
Žilvinas ŽUSINAS,Zarasų - Visagino (Nr.52) rinkimų apygarda,"4,57%","4,38%",722,57
Jurijus SUBOTINAS,Zarasų - Visagino (Nr.52) rinkimų apygarda,"3,39%","3,25%",537,41
Danutė PRIŠMANTIENĖ,Zarasų - Visagino (Nr.52) rinkimų apygarda,"2,42%","2,32%",365,47
Georgij MACKEVIČ,Zarasų - Visagino (Nr.52) rinkimų apygarda,"1,33%","1,27%",196,30
Mahiras GAMZAJEVAS,Zarasų - Visagino (Nr.52) rinkimų apygarda,"0,39%","0,37%",54,12
Edmundas PUPINIS,Utenos (Nr.51) rinkimų apygarda,"37,96%","36,25%",6655,752
Valentinas BUBULIS,Utenos (Nr.51) rinkimų apygarda,"16,78%","16,02%",2988,286
Ingrida VALINSKIENĖ,Utenos (Nr.51) rinkimų apygarda,"14,53%","13,88%",2689,147
Kazys ZULONAS,Utenos (Nr.51) rinkimų apygarda,"9,39%","8,97%",1675,157
Gintaras VIDŽIŪNAS,Utenos (Nr.51) rinkimų apygarda,"9,08%","8,67%",1565,206
Marijus KAUKĖNAS,Utenos (Nr.51) rinkimų apygarda,"3,97%","3,79%",726,48
Vaclovas SAMUOLIS,Utenos (Nr.51) rinkimų apygarda,"3,36%","3,21%",587,68
Jonas KOVALSKIS,Utenos (Nr.51) rinkimų apygarda,"2,75%","2,62%",513,23
Svetlana SENDŽIKIENĖ,Utenos (Nr.51) rinkimų apygarda,"2,19%","2,09%",358,69
Vytautas SAULIS,Rokiškio (Nr.50) rinkimų apygarda,"22,79%","21,67%",3144,385
Algis KAZULĖNAS,Rokiškio (Nr.50) rinkimų apygarda,"17,89%","17,01%",2355,415
Egidijus VILIMAS,Rokiškio (Nr.50) rinkimų apygarda,"13,23%","12,58%",1852,197
Aloyzas JOČYS,Rokiškio (Nr.50) rinkimų apygarda,"12,01%","11,41%",1640,219
Vidmantas KANOPA,Rokiškio (Nr.50) rinkimų apygarda,"9,97%","9,48%",1376,168
Augustinas DAUNYS,Rokiškio (Nr.50) rinkimų apygarda,"7,92%","7,53%",1146,80
Gintaras GIRŠTAUTAS,Rokiškio (Nr.50) rinkimų apygarda,"6,40%","6,08%",840,151
