kandidatas,apygarda,nuo_galiojanciu_biuleteniu,nuo_rinkeju,apylinkese,pastu
Irena DEGUTIENĖ,Naujamiesčio (Nr.1) rinkimų apygarda,"34,11%","32,42%",6165,3026
Vytautas BOGUŠIS,Naujamiesčio (Nr.1) rinkimų apygarda,"11,12%","10,57%",2349,648
Andrius MAZURONIS,Naujamiesčio (Nr.1) rinkimų apygarda,"9,77%","9,28%",2049,583
Rimantas ŠADŽIUS,Naujamiesčio (Nr.1) rinkimų apygarda,"9,05%","8,60%",1771,668
Raimonda DAUNIENĖ,Naujamiesčio (Nr.1) rinkimų apygarda,"7,14%","6,79%",1124,800
Jurga VIDUGIRIENĖ,Naujamiesčio (Nr.1) rinkimų apygarda,"6,69%","6,36%",1040,763
Juozas KIRDEIKIS,Naujamiesčio (Nr.1) rinkimų apygarda,"5,09%","4,84%",942,431
Sergej KOZLOVSKIJ,Naujamiesčio (Nr.1) rinkimų apygarda,"4,55%","4,32%",1075,150
Artur LIUDKOVSKI,Naujamiesčio (Nr.1) rinkimų apygarda,"4,49%","4,27%",1071,139
Gražina BAIKŠTYTĖ,Naujamiesčio (Nr.1) rinkimų apygarda,"4,17%","3,97%",690,435
Vytas NAVICKAS,Naujamiesčio (Nr.1) rinkimų apygarda,"3,82%","3,63%",762,267
Justinas KAROSAS,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,"29,76%","27,92%",4965,555
Algirdas ŠAKALYS,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,"18,26%","17,13%",2817,570
Benius RŪTELIONIS,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,"12,76%","11,97%",1985,382
Rasa PETRAUSKIENĖ,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,"8,27%","7,76%",1446,89
Juozas ŠARKUS,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,"7,76%","7,28%",1275,165
Tomas STASKEVIČIUS,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,"7,03%","6,60%",1135,170
Jonas DAILYDĖ,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,"6,84%","6,41%",1140,128
