kandidatas,apygarda,nuo_galiojanciu_biuleteniu,nuo_rinkeju,apylinkese,pastu
Andrius Kubilius,Naujamiesčio (Nr. 1) apygarda,0.3559,0.3398,5868,2035
Audrius Butkevičius,Naujamiesčio (Nr. 1) apygarda,0.2393,0.2285,4390,924
Albinas Lozuraitis,Naujamiesčio (Nr. 1) apygarda,0.0985,0.0941,1847,341
Jurij Kobrin,Naujamiesčio (Nr. 1) apygarda,0.0945,0.0902,1981,118
Bronislavas Genzelis,Naujamiesčio (Nr. 1) apygarda,0.0546,0.0522,1011,202
Zigfrid Račkovskis,Naujamiesčio (Nr. 1) apygarda,0.0478,0.0457,984,78
Aurelija Pilotienė,Naujamiesčio (Nr. 1) apygarda,0.0367,0.035,470,345
Vasilij Asmolkov,Naujamiesčio (Nr. 1) apygarda,0.0286,0.0273,600,34
Rimantas Matulis,Naujamiesčio (Nr. 1) apygarda,0.0201,0.0192,338,108
Gintaras Ruseckas,Naujamiesčio (Nr. 1) apygarda,0.0095,0.0091,146,65
Saulius Mickus,Naujamiesčio (Nr. 1) apygarda,0.0082,0.0078,122,60
Algirdas Pilvelis,Naujamiesčio (Nr. 1) apygarda,0.0062,0.0059,101,36
Juozas Galdikas,Lazdijų Druskininkų (Nr. 71) apygarda,0.315,0.3028,5870,412
Alvydas Baležentis,Lazdijų Druskininkų (Nr. 71) apygarda,0.1688,0.1623,3125,242
Alfonsas Aleksandravičius,Lazdijų Druskininkų (Nr. 71) apygarda,0.1319,0.1268,2440,191
Pranciškus Kundrotas,Lazdijų Druskininkų (Nr. 71) apygarda,0.0946,0.0909,1766,121
Virginijus Ražukas,Lazdijų Druskininkų (Nr. 71) apygarda,0.0881,0.0847,1669,89
Jurgutė Muliuolienė,Lazdijų Druskininkų (Nr. 71) apygarda,0.0464,0.0446,886,39
Jonas Algirdas Antanaitis,Lazdijų Druskininkų (Nr. 71) apygarda,0.0422,0.0405,811,30
Rolandas Juozas Grėbliūnas,Lazdijų Druskininkų (Nr. 71) apygarda,0.0343,0.033,663,21
Mindaugas Stakvilevičius,Lazdijų Druskininkų (Nr. 71) apygarda,0.024,0.023,462,16
