kandidatas,mokesciai,gautos_paskolos,turtas,suteiktos_paskolos,gryni_pinigai,vertybiniai_popieriai,gautos_pajamos
Juozas GRINKEVIČIUS,2587.86,,33302.0,,,,6681.0
Romaldas Petras DAMUŠIS,0.0,,21514.0,,,,0.0
Algimantas BUBLAITIS,3375.72,,28696.0,,,,11014.73
Juozas BERTAŠIUS,0.0,,196877.0,,,,303388.0
Mindaugas BASTYS,2692.0,,339085.0,,,,31635.0
Gintaras ARMINAS,2396.56,,25600.0,,,,5954.41
Gintautas ŠIVICKAS,38.29,,128000.0,,,,40080.71
Gediminas STAUGAITIS,3040.11,,164509.78,,,,6602.82
Antanas NESTECKIS,8248.69,,231233.0,,,,16002.06
Jurgita KAMINSKAITĖ-GAIGALIENĖ,3004.07,,63946.93,,,,17503.71
Kęstutis JUKNIS,690.84,,26900.0,,,,3732.97
Arūnas GRUMADAS,7707.6,,58397.0,,,,21333.4
Algimantas DAGYS,3942.0,,37766.0,,,,18695.0
Dalius TUMYNAS,4788.36,,177853.0,,,,10041.64
Renata SMAILYTĖ,0.0,,146701.0,,,,0.0
Bronius SIMANAVIČIUS,5298.0,,68221.0,,,,10650.0
Asta SEDEREVIČIŪTĖ,2442.77,,5000.0,,,,6744.12
Zenonas RIMKUS,6759.92,,101626.5,,,,16834.18
Irena PUNIŠKIENĖ,505.08,,20193.0,,,,2074.92
Juozas MOZERIS,1208.24,,4540.0,,,,3574.61
Antanas KAROBLIS,2982.25,,129502.0,,,,6622.99
Donatas JANKAUSKAS,7869.59,,79964.0,,,,16272.28
Dalija DAUBARIENĖ,1160.18,,14000.0,,,,2455.47
Paulius BERNOTAS,0.0,,35000.0,,,,0.0
Jonas VALATKA,6982.0,,249526.0,,,,48585.0
Sigitas URBONAS,6546.0,,63904.0,,,,19269.0
Regina ŠVOBIENĖ,3765.0,,49047.0,,,,11105.0
Ona ŠULCIENĖ,6394.61,,123258.0,,,,23280.19
Antanas ŠATAS,6863.52,,168871.0,,,,22129.23
Juozas PALIONIS,5418.28,,380864.0,,,,20881.72
Arminas LYDEKA,17029.57,,920828.0,,,,93113.0
Juozas CIPARIS,0.0,,107396.0,,,,7188.6
Eugenijus RAMANAUSKAS,3896.28,,61200.0,,,,8103.72
Sigitas PLEČKAITIS,5125.32,,0.0,,,,10619.87
Jonas MAČYS,8980.0,,184191.0,,,,55017.0
Remigijus DRAGAŠIUS,1677.0,,47285.0,,,,5323.0
Algirdas BUTKEVIČIUS,7707.6,,85238.0,,,,21333.4
Antanas AMŠIEJUS,0.0,,4300.0,,,,0.0
Algis ŽĖKAS,1491.0,,134765.0,,,,9254.0
Rimas SUPRANAVIČIUS,3030.67,,2000.0,,,,7487.03
Juozas PILVELIS,3894.42,,237192.0,,,,7825.43
Juozas LISTAVIČIUS,8869.0,,140000.0,,,,33455.0
Leonas KARPALAVIČIUS,0.0,,875294.0,,,,20577.0
Arturas JUŠKAUSKAS,1834.29,,187610.0,,,,47296.13
Albinas BUZŪNAS,336.72,,1910000.0,,,,1383.28
Vydas BARAVYKAS,3164.0,,197152.0,,,,6410.0
Ignas ALEŠKEVIČIUS,9174.26,,134556.0,,,,17487.54
Gintaras ŠURKUS,3839.0,,348763.0,,,,8724.0
Antanas SORAKA,7784.28,,27746.0,,,,15515.72
Jonas SEMSĖ,5229.69,,404161.0,,,,110671.53
Alvydas MIKELIONIS,9273.0,,375652.0,,,,17306.0
Mindaugas LUŽYS,4641.73,,21460.0,,,,9736.28
Imantas LAZDINIS,10106.0,,69867.0,,,,19476.0
Kristina KRUPAVIČIENĖ,1892.43,,136552.0,,,,6592.95
Algis KAŠĖTA,7402.68,,30000.0,,,,21638.32
Jonas JUKNEVIČIUS,9108.45,,103265.0,,,,18369.8
Algimantas ČERNIAUSKAS,1680.86,,164208.0,,,,3638.84
Jonas TRUSKA,0.0,,0.0,,,,3089.52
Juozas ŠARKUS,33018.64,,1135843.0,,,,61729.32
Algirdas RIMGAILA,5441.0,,154278.0,,,,14129.0
Algina RAŽANSKIENĖ,4489.0,,62921.0,,,,9541.0
Algirdas RADVILA,3832.46,,138948.0,,,,24910.59
Jonas MATULEVIČIUS,2870.49,,136664.0,,,,6667.2
