kandidatas,mokesciai,gautos_paskolos,turtas,suteiktos_paskolos,gryni_pinigai,vertybiniai_popieriai,gautos_pajamos
Kostas JANKAUSKAS,8895.86,,522509.0,,,,20729.43
Virginijus DARGUŽAS,6596.28,,458720.0,,,,12903.72
Vincas BOTYRIUS,4368.28,,291743.02,,,,8915.58
Kazys BOBELIS,6546.24,,1272136.0,,,,626581.76
Gediminas AKELAITIS,3470.52,,16213.0,,,,7449.38
Artūras SKARDŽIUS,2765.46,,560316.0,,,,6234.54
Julius SABATAUSKAS,3751.36,,56762.0,,,,8662.32
Marijonas ROČIUS,3354.04,,76920.0,,,,7399.46
Rasa MELNIKIENĖ,8238.0,,152097.0,,,,23278.0
Vitas LEONAVIČIUS,1051.57,,53822.0,,,,4033.51
Dobilas KURTINAITIS,8328.13,,58632.0,,,,16325.07
Vytautas KATUKEVIČIUS,4308.59,,155119.0,,,,17105.58
Valdas DUMBLIAUSKAS,4434.95,,90840.0,,,,9236.16
Gediminas DAUKŠYS,4699.56,,907524.0,,,,31155.44
Eugenijus PETUKAUSKAS,4045.0,,267803.0,,,,30826.0
Juozapas PALIAKAS,0.0,,494218.0,,,,0.0
Saulius NORKAITIS,1577.98,,76898.0,,,,4683.2
Bronius MARKAUSKAS,0.0,,2000.0,,,,0.0
Gintautas KNIUKŠTA,2154.53,,63496.0,,,,14525.0
Petras GRAŽULIS,6241.32,,91000.0,,,,21302.68
Kazimieras DIRMEIKIS,3018.6,,102558.0,,,,6543.4
Jonas SPRINDŽIŪNAS,5001.85,,1457420.0,,,,10069.66
Stasė SKUTULIENĖ,2547.99,,74084.0,,,,9989.31
Artūras SKIKAS,7151.0,,149000.0,,,,13864.0
Romaldas Jonas NAUJOKAS,1181.25,,33515.0,,,,3279.28
Edmuntas MATUSEVIČIUS,4879.0,,599700.0,,,,10698.0
Virginijus MARTIŠAUSKAS,10676.32,,382961.0,,,,35491.68
Petras GEČAS,12770.56,,186216.0,,,,35351.59
Albina BUMBLAUSKIENĖ,2846.52,,44220.0,,,,6237.48
Vincenta BUBILIENĖ,7115.0,,82818.0,,,,12353.0
Edmundas Regimundas STANCIKAS,7972.44,,796904.0,,,,279450.06
Kazimieras MAULIUS,2749.48,,639597.0,,,,20127.64
Andrius KUBILIUS,18500.84,,194241.0,,,,60196.16
Kazys JUKNIUS,626.96,,20609.0,,,,1700.94
Valdemaras JASEVIČIUS,917.06,,81956.0,,,,3784.68
Eugenijus DEGUTIS,2056.56,,3500.0,,,,5234.89
Alfonsas BARTKUS,6803.0,,15000.0,,,,19725.08
Zigmantas BALČYTIS,32441.6,,735607.0,,,,100969.0
Virgilijus AČAS,3636.19,,31600.0,,,,9141.27
Edita VAITKUTĖ,7781.0,,10000.0,,,,15823.0
Saulius OŽELIS,1557.0,,0.0,,,,4486.0
Jonas MOCARTAS,6546.24,,197100.0,,,,19268.76
Eugenijus KRIAUČIŪNAS,0.0,,137184.0,,,,0.0
Vaclovas KARBAUSKIS,2411.0,,500139.0,,,,5710.0
Antanas Zenonas KAMINSKAS,4765.0,,96484.0,,,,58176.0
Vaiva GUDELYTĖ,215.02,,0.0,,,,964.56
Linartas DAUJOTAS,589.26,,416640.0,,,,103841.38
Kęstutis BALAŠAITIS,1163.0,,165809.0,,,,8470.0
Andriejus ANFIMOVAS,394.57,,183616.0,,,,67230.69
Vilija ALEKNAITĖ ABRAMIKIENĖ,8869.32,,9000.0,,,,28647.68
Ignacas Stasys UŽDAVINYS,7707.6,,473365.0,,,,22227.64
Augustinas SALYS,0.0,,2400.0,,,,2412.62
Liudvikas Saulius RAZMA,2728.2,,28188.0,,,,6283.8
Vytautas POCIUS,10835.0,,189919.0,,,,20450.0
Visvaldas NEKRAŠAS,8236.58,,27513.0,,,,18061.19
Gintaras MORKIS,3724.0,,194511.0,,,,13109.0
Jonas KUZMINSKAS,2657.0,,39780.0,,,,5313.0
Audrius KLIŠONIS,0.0,,268350.0,,,,0.0
Vitas KLIMAS,7663.46,,282535.0,,,,13680.98
Alfonsas Algimantas ZALIAPUGAS,5679.0,,141849.0,,,,11451.0
Vladislavas VIRŠILA,0.0,,0.0,,,,0.0
Povilas TURAUSKIS,1068.0,,568688.0,,,,32371.0
Antanas ŠVITRA,7707.0,,133234.0,,,,41976.0
Alfonsas ŠIMKUS,4895.0,,248755.0,,,,278445.0
Juozas ŠAKINIS,463.0,,47740.0,,,,1400.0
Juozas PELIONIS,3131.0,,34154.0,,,,6969.0
Darius NORKUS,0.0,,321536.0,,,,0.0
Janė NARVILIENĖ,3102.0,,168407.0,,,,6980.0
Irena NARMONTAITĖ,2146.0,,32229.0,,,,5336.0
Egidijus KLUMBYS,3646.04,,355433.3,,,,17013.12
Vilija JONUŠAITYTĖ,952.25,,16329.0,,,,6372.75
Edmundas Juozapas JASINSKAS,764.0,,362213.0,,,,11535.0
Vytautas EIDUKAITIS,0.0,,492475.0,,,,6123.84
Augustas PRONCKUS,4760.88,,8588.0,,,,10825.52
Gražina PALIOKIENĖ,11372.04,,318368.0,,,,21393.96
Pranas NOREIKA,9333.0,,142355.0,,,,24178.0
Antanas Algimantas LAURAITIS,3688.15,,25000.0,,,,11569.4
Edvardas KAREČKA,4237.0,,298040.0,,,,9706.0
Aleksas BUTKUS,1359.48,,1692829.0,,,,351192.52
Bronislavas BUŠMA,4047.0,,207032.0,,,,14423.0
Justinas BURBA,642.8,,0.0,,,,7392.44
Ramutė BERENIENĖ,4034.17,,0.0,,,,9680.04
Vytautas PRIALGAUSKAS,5516.5,,48460.0,,,,31326.75
Leonas MITKUS,1272.0,,162993.0,,,,3438.0
Sigitas KAKTYS,8577.2,,269742.0,,,,31690.73
Jonas JURKUS,5705.04,,66932.0,,,,12221.97
Eduardas EIGIRDAS,2010.0,,280722.0,,,,7327.25
Vilhelmas DŽIUGELIS,8888.51,,126091.0,,,,17180.64
Viktoras BUGNEVIČIUS,863.76,,48049.0,,,,5136.24
Arvydas AKSTINAVIČIUS,6546.24,,174261.0,,,,19268.76
Lolita ŽILIUVIENĖ,1776.09,,79000.0,,,,4377.92
Artūras ŽIČKUS,4178.0,,66900.0,,,,8858.0
Rimvydas VAŠTAKAS,21144.0,,181631.0,,,,38769.0
Tatjana VILČINSKIENĖ,0.0,,0.0,,,,0.0
Alfonsas ŠULCAS,2459.77,,346125.0,,,,14360.29
Valdas ZUBINAS,2213.37,,0.0,,,,5937.82
Antanas TATARIŪNAS,2349.48,,104000.0,,,,6290.52
Henrikas ŽUKAUSKAS,5944.92,,98439.0,,,,12160.32
Vidmantas STANIULIS,14296.38,,30013.0,,,,16389.45
Gediminas ŽEMAITIS,0.0,,226741.0,,,,48160.0
Vytautas ŠUSTAUSKAS,3935.58,,7900.0,,,,8126.45
Miroslav ZACHAREVIČ,2342.23,,7000.0,,,,5541.07
Viktoras ŠIMELEVIČIUS,4365.5,,8600.0,,,,13563.03
Rolandas ZUOZA,9391.89,,148218.0,,,,112459.26
Zigmas ZINKEVIČIUS,1770.97,,36427.0,,,,10953.75
Eduardas ŠABLINSKAS,439.65,,22000.0,,,,1470.67
Ignas VĖGĖLĖ,12670.83,,616613.0,,,,27312.0
Raimondas ŠUKYS,14509.39,,392284.0,,,,55802.62
Stasys ŠEDBARAS,20313.0,,209503.0,,,,38017.0
Petras MONTRIMAS,4962.46,,113130.0,,,,11523.34
Algirdas KUNČINAS,5614.0,,167595.0,,,,12152.0
Arvydas KILIKEVIČIUS,505.08,,101000.0,,,,17074.92
Kazimieras KAVALIAUSKAS,505.08,,104464.0,,,,2074.92
Povilas Petras KAROBLIS,15788.0,,421839.0,,,,39104.0
Vilija GRINCEVIČIENĖ,5599.68,,140592.0,,,,13773.48
Tadeuš FILIPOVIČ,4718.0,,93849.0,,,,9915.0
Algis ČAPLIKAS,7057.11,,30000.0,,,,20177.71
Audronius AŽUBALIS,8869.0,,203404.0,,,,147852.0
Algirdas SYSAS,6578.12,,53952.0,,,,19476.45
Paulius SAKALAS,4687.0,,280000.0,,,,15120.0
Eduardas PABARČIUS,12970.94,,129400.0,,,,23425.23
Jovita MEŠKAUSKIENĖ,970.29,,24040.0,,,,7228.96
Alvydas MEDALINSKAS,6546.24,,137200.0,,,,19543.0
Kęstutis MASIULIS,19040.24,,311292.0,,,,64173.22
Vytautas KRIAUZA,10657.05,,241036.0,,,,20320.0
Algis Povilas KASPERAVIČIUS,3277.04,,50810.0,,,,7199.52
Liubovė GLUŠAKOVA,2762.41,,38082.0,,,,6089.0
Algirdas Aleksandras GEDRIMAS,4112.28,,81265.0,,,,12647.96
Raimundas GAIŽAUSKAS,4105.82,,714351.0,,,,9229.61
Jan Tadeuš DOVGIALO,4303.0,,4000.0,,,,8829.0
Edmund ŠOT,2827.0,,116614.0,,,,6191.0
Arūnas STROLIS,1947.91,,875714.0,,,,8565.99
Juozas RAISTENSKIS,15223.14,,100085.0,,,,28240.85
Rima MATIJOŠIENĖ,4223.16,,0.0,,,,8684.84
Kęstutis GECEVIČIUS,7080.11,,150787.0,,,,1396159.0
Sigita BURBIENĖ,6546.24,,101200.0,,,,19268.76
Egidijus BIČKAUSKAS,8869.32,,32779.0,,,,46435.68
Antanas VIRBALAS,1371.0,,161840.0,,,,10111.0
Rimantas VAITKUS,7806.71,,58566.0,,,,20078.92
Vikentij SUCHOVEJ,4823.0,,79179.0,,,,15616.0
Jurgis RAZMA,11193.0,,6577.0,,,,21075.0
Vladimir POLENOV,2710.68,,18000.0,,,,6529.32
Albinas PILIPAUSKAS,4294.84,,67850.0,,,,8613.16
Jonas LIONGINAS,25119.0,,350572.0,,,,44881.0
Regimantas ČIUPAILA,9725.16,,12000.0,,,,26000.95
Saulius BERULIS,7988.8,,122565.0,,,,78015.3
Vytautas BERNATONIS,41.0,,149963.0,,,,1249.0
Gintaras STEPONAVIČIUS,5477.68,,97115.0,,,,21989.72
Gintaras RADVILA,5336.28,,128013.0,,,,10663.72
Elvyra Janina KUNEVIČIENĖ,6546.0,,168360.0,,,,31753.0
Ignas KRIVICKAS,3734.4,,2777471.0,,,,82937.6
Leonard KLIMOVIČ,4992.0,,70692.0,,,,10984.0
Gediminas KIRKILAS,7707.6,,36113.0,,,,28007.4
Rasa JUKNEVIČIENĖ,10512.0,,5000.0,,,,26459.0
Gediminas DALINKEVIČIUS,727.84,,443553.66,,,,56053.16
Algimantas VAITKUS,5732.2,,123782.0,,,,11536.92
Tatjana MICHNIOVA,1404.0,,26558.0,,,,5009.0
Artūras MELIANAS,4287.0,,143618.0,,,,18443.0
Anatolijus MASLOVAS,2224.18,,126818.0,,,,27133.96
Vladislav MACKEVIČ,912.82,,13878.0,,,,2843.43
Vytautas Aleksas LAZINKA,0.0,,680470.0,,,,160000.0
Danuta ILJINA,2059.23,,120000.0,,,,5154.35
Virgilijus GUNTULIS,9725.2,,107850.0,,,,18709.2
Vasilij FIODOROV,6170.17,,224000.0,,,,22483.77
Leonidas BUROKAS,3478.98,,307400.0,,,,9196.3
Zbignev BALCEVIČ,4421.49,,276000.0,,,,15236.66
Evelina AVIŽIENIENĖ,356.52,,0.0,,,,1257.0
Alfonsas AUGULIS,0.0,,133038.0,,,,0.0
Romanas Algimantas SEDLICKAS,999.48,,16026.0,,,,2306.52
Zigmundas Vytautas SATKEVIČIUS,13051.29,,19603.0,,,,26295.57
Rytas KUPČINSKAS,6452.04,,160.0,,,,19165.25
Lina JANKAUSKIENĖ,1418.63,,34000.0,,,,5912.6
Evaldas GUSTAS,4034.0,,112219.0,,,,10058.0
Marijus ČIŽAS,3372.69,,9555.0,,,,9825.57
Alvydas BANEVIČIUS,12564.93,,591460.0,,,,50910.37
Audronė VAIVADIENĖ,1218.87,,91503.0,,,,3737.31
Kazimieras UOKA,0.0,,134661.0,,,,0.0
Birutė STATKEVIČIENĖ,3471.7,,78564.0,,,,7886.5
Algirdas SAUDARGAS,18252.48,,278675.0,,,,44076.1
Romualdas SADAUSKAS,363.63,,367992.0,,,,1699.9
Boleslovas MOMGAUDAS,0.0,,177200.0,,,,0.0
Vygaudas MOLIS,8705.73,,145023.35,,,,17104.27
Edvardas Bronislovas KERŠYS,0.0,,0.0,,,,2340.52
Marija KALADIENĖ,0.0,,265440.4,,,,3021.69
Gediminas JANKUS,6161.28,,38000.0,,,,18109.95
Gediminas GRIGAS,2954.22,,202244.0,,,,22430.87
Tautginas GELŽINIS,656.28,,171523.0,,,,10343.72
Alfredas GALAUNĖ,5045.78,,93013.8,,,,10385.22
Joana Danguolė SADEIKIENĖ,8538.36,,114000.0,,,,29795.64
Klemensas RIMŠELIS,1819.78,,138181.0,,,,4743.97
Petras Algimantas LIUTKUS,1630.94,,56630.0,,,,4080.36
Henrikas Adolfas KEBEIKIS,5627.7,,23864.0,,,,11405.7
Vladas KATKEVIČIUS,6716.88,,80989.0,,,,16779.12
Giedrius KALNINIS,1310.79,,32437.0,,,,3783.82
Vytautas JUODAGALVIS,1418.24,,40900.0,,,,4991.44
Algimantas Arvydas Konstantinas DANIULAITIS,3338.28,,42906.0,,,,7719.72
Mykolas BILIŪNAS,293.58,,69000.0,,,,3543.35
Birutė Teodora VISOKAVIČIENĖ,9983.88,,118823.0,,,,25843.57
Česlovas Vytautas STANKEVIČIUS,15713.0,,77622.0,,,,36747.0
Audronė PACEVIČIENĖ,2631.54,,18215.54,,,,14609.58
Valentinas NAVICKAS,7947.71,,187095.0,,,,18968.29
Vytautas Petras JASUTIS,0.0,,202893.0,,,,9660.0
Kąstytis GAURELIS,144.9,,120416.42,,,,484.1
Arvydas GARBARAVIČIUS,14645.11,,4483000.0,,,,556992.56
Eligijus DŽEŽULSKIS,1777.85,,38090.0,,,,5875.34
Jurijus SUBOTINAS,40.68,,80000.0,,,,1249.32
Irena RADVILIENĖ,1863.62,,15000.0,,,,4882.98
Jūratė MATEKONIENĖ,7707.6,,188469.0,,,,63532.4
Arnoldas MACKEVIČIUS,0.0,,66984.0,,,,19069.26
Kęstutis KUZMICKAS,483.0,,438500.0,,,,39407.0
Kęstutis KRIŠČIŪNAS,6794.03,,70000.0,,,,13457.1
Jonas JUČAS,2742.35,,133451.0,,,,7184.99
Virginija GAILIENĖ,3228.13,,37539.48,,,,7641.41
Stanislovas BUŠKEVIČIUS,6546.24,,14880.0,,,,24517.76
Birutė VĖSAITĖ,3351.84,,10651.0,,,,13526.16
Nijolė RAGAUSKIENĖ,1602.6,,41278.0,,,,4519.14
Rytis MISIUKEVIČIUS,589.26,,22300.0,,,,2420.74
Povilas KATILIUS,8869.32,,142677.13,,,,32287.36
Kęstutis GLAVECKAS,8507.6,,420075.0,,,,58901.24
Danielius BUČINSKAS,10976.53,,241130.0,,,,21156.76
Rūta BRAZAUSKIENĖ,1940.07,,87478.0,,,,34400.68
Romualdas ŠKĖMA,9009.37,,153816.2,,,,34427.75
Kazys STARKEVIČIUS,7720.81,,554448.0,,,,159262.51
Robertas STANIONIS,2170.98,,143100.0,,,,5719.02
Eimundas SAVICKAS,505.08,,540240.0,,,,2074.92
Rimantas RUZAS,1218.53,,79918.0,,,,4250.47
Edmundas RIMKEVIČIUS,1104.06,,137634.0,,,,7546.37
Gintaras ČIŽIKAS,1469.07,,30050.0,,,,4358.03
Ričardas ČIUKAS,6160.17,,115516.0,,,,12321.58
Jaroslavas BANEVIČIUS,0.0,,1905388.0,,,,3710.52
Algis AVIŽIENIS,11478.6,,8000.0,,,,25385.4
Laima Liucija ANDRIKIENĖ,6716.52,,291518.0,,,,19571.74
Alfonsas VAIŠNORAS,8869.32,,50599.0,,,,23398.68
Kiprijonas Kastytis ŠARKAUSKAS,2820.6,,26800.0,,,,6191.4
Vasilijus POPOVAS,5480.14,,19100.0,,,,11457.05
Vytautas PAULIUKAS,0.0,,17803.0,,,,0.0
Ramūnas MAZURKEVIČIUS,8400.28,,46564.0,,,,19999.72
Gintaras MARAZAS,1952.28,,241600.0,,,,4847.72
Kazimieras KUZMINSKAS,6662.55,,24869.11,,,,19476.27
Jūratė JUOZAITIENĖ,2007.94,,520964.0,,,,12099.12
Zita JUCHNELIENĖ,3656.83,,61343.0,,,,7875.63
Algirdas Augustinas INTAS,0.0,,86655.0,,,,6348.0
Gediminas BUDNIKAS,6894.9,,62260.0,,,,14322.2
Edvardas ŠALKAUSKAS,1404.08,,0.0,,,,3445.19
Vaclov STANKEVIČ,27089.0,,987715.0,,,,59092.0
Aldevinas PŪKYS,17.6,,1000.0,,,,568.96
Laisvūnas KAVALIAUSKAS,9335.24,,20000.0,,,,17774.62
Valentinas GREIČIŪNAS,25493.14,,588872.0,,,,51727.26
Audra DAUJOTIENĖ,8609.0,,94943.0,,,,33241.0
Vygandas ALEKSANDRAVIČIUS,1968.17,,20000.0,,,,7445.77
Irena ŠIAULIENĖ,6401.7,,90697.0,,,,19413.3
Egidijus SKARBALIUS,489.6,,527460.0,,,,2450.4
Benediktas PETRAUSKAS,39729.22,,588392.0,,,,72028.33
Gintaras NAVICKAS,366.56,,102451.0,,,,1916.38
Antanas MAKŠTUTIS,10615.02,,117550.0,,,,29019.92
Rimantas DIDŽIOKAS,15563.25,,9056.0,,,,35906.23
Zita DAUGINTYTĖ,0.0,,262349.0,,,,0.0
Henrikas BUTKUS,2421.84,,68673.0,,,,5683.46
Jurgis UTOVKA,7113.0,,52078.0,,,,13823.0
Nijolė SKUČIENĖ,17969.85,,242875.0,,,,53133.38
Algirdas PALECKIS,4604.08,,147693.0,,,,10325.92
Eligijus MASIULIS,3702.33,,35000.0,,,,7976.9
Audronė LIESYTĖ,3459.87,,70043.0,,,,8087.85
Vytautas ČEPAS,9902.83,,279893.0,,,,30077.64
Jaunius ŽIOGAS,9131.05,,41123.0,,,,32695.49
Valdas SUTKUS,19909.68,,114906.04,,,,98209.32
Stasys PILIKAUSKAS,5422.02,,175722.0,,,,10937.4
Jūratė NOREIKIENĖ,7274.63,,47303.0,,,,14112.84
Daiva LUKŠAITĖ,0.0,,0.0,,,,0.0
Algirdas ČIUČELIS,13906.45,,156458.0,,,,26150.65
Benedikt CITOVIČ,2692.19,,120000.0,,,,6654.92
Vaclovas Jonas BLAŽEVIČIUS,3113.24,,161046.0,,,,6907.81
Vladimir AVIN,875.21,,387482.0,,,,32360.79
Vytenis Povilas ANDRIUKAITIS,6546.24,,241371.0,,,,19268.76
Aloyzas SAKALAS,8869.32,,131068.0,,,,23398.68
Rūta RUTKELYTĖ,24205.3,,1798317.0,,,,89633.01
Elena PETROŠIENĖ,6546.24,,2800.0,,,,24517.76
Rolandas PAKSAS,6512.15,,271770.0,,,,12712.75
Rimgaudas Pranas MINALGA,7492.0,,163000.0,,,,14593.0
Vidas Kazimieras GIBAVIČIUS,0.0,,85853.0,,,,0.0
Jolanta STOŠKIENĖ,326.0,,147957.0,,,,2934.0
Rimantas PLEIKYS,8161.64,,16000.0,,,,28779.16
Gediminas Adolfas PAVIRŽIS,12938.0,,296055.0,,,,25523.0
Dainius Petras PAUKŠTĖ,6401.37,,72000.0,,,,19241.68
Juzef KVETKOVSKIJ,530.0,,13526.0,,,,2951.0
Dalia KUTRAITĖ GIEDRAITIENĖ,5480.6,,126302.0,,,,11249.57
Vytautas BOGUŠIS,8869.32,,20800.0,,,,23398.68
Arūnas BĖKŠTA,13516.92,,17600.0,,,,25367.39
Vytautas DALANGAUSKAS,3036.47,,47000.0,,,,10111.88
Zbignev ČECH,2965.04,,286424.0,,,,6450.62
