kandidatas,apygarda,nuo_galiojanciu_biuleteniu,nuo_rinkeju,apylinkese,pastu
Egidijus VAREIKIS,Aušros (Nr.23) rinkimų apygarda,"25,22%","24,48%",2385,236
Pranas ŽEIMYS,Pajūrio (Nr.22) rinkimų apygarda,"51,50%","47,33%",4713,518
Raimundas PALAITIS,Pajūrio (Nr.22) rinkimų apygarda,"48,50%","44,57%",4493,433
Eligijus MASIULIS,Marių (Nr.21) rinkimų apygarda,"55,51%","53,62%",4494,232
Stanislovas TOMAS,Marių (Nr.21) rinkimų apygarda,"44,49%","42,98%",3624,164
Evaldas JURKEVIČIUS,Baltijos (Nr.20) rinkimų apygarda,"56,07%","51,24%",4426,306
Artūras ŠULCAS,Baltijos (Nr.20) rinkimų apygarda,"43,93%","40,15%",3547,161
Vytautas GRUBLIAUSKAS,Danės (Nr.19) rinkimų apygarda,"53,50%","49,50%",5467,335
Nerijus ČAPAS,Danės (Nr.19) rinkimų apygarda,"46,50%","43,03%",4608,435
Vida Marija ČIGRIEJIENĖ,Panemunės (Nr.18) rinkimų apygarda,"64,36%","61,46%",5848,305
Tomas EITUTIS,Panemunės (Nr.18) rinkimų apygarda,"35,64%","34,04%",3251,157
Kazys STARKEVIČIUS,Pramonės (Nr.17) rinkimų apygarda,"65,51%","62,35%",5987,352
Violeta BOREIKIENĖ,Pramonės (Nr.17) rinkimų apygarda,"34,49%","32,82%",3134,203
Kęstutis GLAVECKAS,Dainavos (Nr.16) rinkimų apygarda,"65,00%","61,94%",6148,253
Loreta KUDARIENĖ,Dainavos (Nr.16) rinkimų apygarda,"35,00%","33,36%",3287,160
Arimantas DUMČIUS,Kalniečių (Nr.15) rinkimų apygarda,"64,10%","61,33%",5757,252
Stanislovas BUŠKEVIČIUS,Kalniečių (Nr.15) rinkimų apygarda,"35,90%","34,35%",3255,111
Rasa JUKNEVIČIENĖ,Žaliakalnio (Nr.14) rinkimų apygarda,"63,94%","60,22%",5939,350
Dalia TEIŠERSKYTĖ,Žaliakalnio (Nr.14) rinkimų apygarda,"36,06%","33,96%",3386,161
Vincė Vaidevutė MARGEVIČIENĖ,Centro (Nr.13) rinkimų apygarda,"58,26%","54,93%",5149,445
Erikas TAMAŠAUSKAS,Centro (Nr.13) rinkimų apygarda,"41,74%","39,36%",3706,302
Rytas KUPČINSKAS,Aleksoto -  Vilijampolės (Nr.12) rinkimų apygarda,"57,05%","54,55%",6158,515
Saulius STOMA,Aleksoto -  Vilijampolės (Nr.12) rinkimų apygarda,"42,95%","41,06%",4760,263
Rimantas Jonas DAGYS,Šilainių (Nr.11) rinkimų apygarda,"67,31%","64,25%",7448,392
Erikas KALPOKAS,Šilainių (Nr.11) rinkimų apygarda,"32,69%","31,20%",3661,146
Artūras MELIANAS,Naujosios Vilnios (Nr.10) rinkimų apygarda,"52,52%","50,51%",4680,181
Tadeuš ANDŽEJEVSKI,Naujosios Vilnios (Nr.10) rinkimų apygarda,"47,48%","45,66%",4164,230
Gintaras STEPONAVIČIUS,Lazdynų (Nr.9) rinkimų apygarda,"56,29%","53,58%",6574,237
Algis STRELČIŪNAS,Lazdynų (Nr.9) rinkimų apygarda,"43,71%","41,60%",5090,198
Danutė BEKINTIENĖ,Karoliniškių (Nr.8) rinkimų apygarda,"68,33%","65,30%",9018,321
Henrikas MACKELA,Karoliniškių (Nr.8) rinkimų apygarda,"31,67%","30,27%",4228,101
Paulius SAUDARGAS,Justiniškių (Nr.7) rinkimų apygarda,"54,21%","50,63%",6376,177
Rimantas REMEIKA,Justiniškių (Nr.7) rinkimų apygarda,"45,79%","42,76%",5406,129
Audronius AŽUBALIS,Šeškinės (Nr.6) rinkimų apygarda,"50,24%","47,64%",5654,223
Vilija BLINKEVIČIŪTĖ,Šeškinės (Nr.6) rinkimų apygarda,"49,76%","47,18%",5605,216
Raimondas ŠUKYS,Fabijoniškių (Nr.5) rinkimų apygarda,"51,97%","49,05%",6020,179
Rūta RUTKELYTĖ,Fabijoniškių (Nr.5) rinkimų apygarda,"48,03%","45,33%",5545,184
Vilija ALEKNAITĖ ABRAMIKIENĖ,Žirmūnų (Nr.4) rinkimų apygarda,"60,35%","56,99%",7719,364
Vytenis Povilas ANDRIUKAITIS,Žirmūnų (Nr.4) rinkimų apygarda,"39,65%","37,45%",5125,186
Andrius KUBILIUS,Antakalnio (Nr.3) rinkimų apygarda,"59,49%","56,10%",7183,431
Gintautas BABRAVIČIUS,Antakalnio (Nr.3) rinkimų apygarda,"40,51%","38,19%",4886,298
Mantas ADOMĖNAS,Senamiesčio (Nr.2) rinkimų apygarda,"52,02%","48,97%",5907,362
Artūras ZUOKAS,Senamiesčio (Nr.2) rinkimų apygarda,"47,98%","45,17%",5519,264
