kandidatas,apygarda,nuo_galiojanciu_biuleteniu,balsadezeje,nuo_rinkeju,pastu,apylinke
Kęstutis SMIRNOVAS,,"8,33%",12,"8,00%",0,Slabadų  (Nr.43) apylinkė  
Donatas STAKIŠAITIS,,"6,94%",9,"6,67%",1,Slabadų  (Nr.43) apylinkė  
Ona VALIUKEVIČIŪTĖ,,"11,11%",12,"10,67%",4,Slabadų  (Nr.43) apylinkė  
Vytas LIUDŽIUS,,"0,00%",0,"0,00%",0,Slabadų  (Nr.43) apylinkė  
Edgaras STANIŠAUSKAS,,"0,69%",1,"0,67%",0,Slabadų  (Nr.43) apylinkė  
Audra UŽUPIENĖ,,"1,39%",1,"1,33%",1,Slabadų  (Nr.43) apylinkė  
Laimutė DĖDINIENĖ,,"0,69%",0,"0,67%",1,Slabadų  (Nr.43) apylinkė  
Juozas OLEKAS,,"24,50%",29,"23,12%",8,Gavaltuvos  (Nr.41) apylinkė  
Algimanta PABEDINSKIENĖ,,"23,18%",33,"21,88%",2,Gavaltuvos  (Nr.41) apylinkė  
Mindaugas KUKLIERIUS,,"8,61%",8,"8,12%",5,Gavaltuvos  (Nr.41) apylinkė  
Vincas PLIKAITIS,,"5,30%",8,"5,00%",0,Gavaltuvos  (Nr.41) apylinkė  
Justė MILUŠAUSKIENĖ,,"16,56%",23,"15,62%",2,Gavaltuvos  (Nr.41) apylinkė  
Benjaminas MAŠALAITIS,,"0,66%",1,"0,62%",0,Gavaltuvos  (Nr.41) apylinkė  
Raimonda SUTKAITIENĖ,,"11,26%",17,"10,62%",0,Gavaltuvos  (Nr.41) apylinkė  
Alvydas DIRSĖ,,"1,99%",2,"1,88%",1,Gavaltuvos  (Nr.41) apylinkė  
Vytautas ZIMINSKAS,,"2,65%",3,"2,50%",1,Gavaltuvos  (Nr.41) apylinkė  
Adolfina BLAUZDŽIŪNIENĖ,,"1,99%",3,"1,88%",0,Gavaltuvos  (Nr.41) apylinkė  
Jonas ŠČEPONIS,,"0,00%",0,"0,00%",0,Gavaltuvos  (Nr.41) apylinkė  
Vytautas ŠUNSKIS,,"1,32%",1,"1,25%",1,Gavaltuvos  (Nr.41) apylinkė  
Arturas NEMURA,,"1,32%",2,"1,25%",0,Gavaltuvos  (Nr.41) apylinkė  
Mindaugas ZDANEVIČIUS,,"0,66%",0,"0,62%",1,Gavaltuvos  (Nr.41) apylinkė  
Bronius PAUŽA,,"25,70%",248,"24,64%",56,Naujamiesčio  (Nr.31) apylinkė  
Robertas Raimundas IŠGANAITIS,,"14,12%",149,"13,53%",18,Naujamiesčio  (Nr.31) apylinkė  
Saulius LAPĖNAS,,"21,98%",220,"21,07%",40,Naujamiesčio  (Nr.31) apylinkė  
Virginijus VALENTINAVIČIUS,,"8,88%",80,"8,51%",25,Naujamiesčio  (Nr.31) apylinkė  
Andrius MAZURONIS,,"11,07%",116,"10,62%",15,Naujamiesčio  (Nr.31) apylinkė  
Juozas VALIUŠAITIS,,"4,06%",43,"3,89%",5,Naujamiesčio  (Nr.31) apylinkė  
Česlovas ŠLĖGAITIS,,"6,68%",69,"6,40%",10,Naujamiesčio  (Nr.31) apylinkė  
Gerda VILIMAITĖ,,"1,94%",19,"1,86%",4,Naujamiesčio  (Nr.31) apylinkė  
Kristina MAŠIRKIENĖ,,"1,27%",12,"1,22%",3,Naujamiesčio  (Nr.31) apylinkė  
Donatas RAMANAUSKAS,,"2,87%",32,"2,76%",2,Naujamiesčio  (Nr.31) apylinkė  
Jonas REKEŠIUS,,"1,44%",12,"1,38%",5,Naujamiesčio  (Nr.31) apylinkė  
Loreta GRAUŽINIENĖ,,"19,40%",50,"18,79%",15,Žemaitkiemio  (Nr.40) apylinkė  
Julius VESELKA,,"17,31%",37,"16,76%",21,Žemaitkiemio  (Nr.40) apylinkė  
Arūnas DUDĖNAS,,"14,33%",30,"13,87%",18,Žemaitkiemio  (Nr.40) apylinkė  
Janina GALIAUSKIENĖ,,"6,57%",12,"6,36%",10,Žemaitkiemio  (Nr.40) apylinkė  
Mindaugas KLUONIS,,"2,99%",9,"2,89%",1,Žemaitkiemio  (Nr.40) apylinkė  
Danutė UŽKURĖLYTĖ,,"33,43%",79,"32,37%",33,Žemaitkiemio  (Nr.40) apylinkė  
Loreta STEPONAITYTĖ,,"1,79%",5,"1,73%",1,Žemaitkiemio  (Nr.40) apylinkė  
Vaida KATINAITĖ,,"0,30%",0,"0,29%",1,Žemaitkiemio  (Nr.40) apylinkė  
Lina SUKACKIENĖ,,"0,90%",2,"0,87%",1,Žemaitkiemio  (Nr.40) apylinkė  
Arūnas EIGIRDAS,,"0,30%",1,"0,29%",0,Žemaitkiemio  (Nr.40) apylinkė  
Juozas DINGELIS,,"0,60%",1,"0,58%",1,Žemaitkiemio  (Nr.40) apylinkė  
Remigija KRUPODRA,,"0,60%",0,"0,58%",2,Žemaitkiemio  (Nr.40) apylinkė  
Svajūnas JUODKA,,"0,90%",2,"0,87%",1,Žemaitkiemio  (Nr.40) apylinkė  
Jan TOMAŠEVIČ,,"0,60%",2,"0,58%",0,Žemaitkiemio  (Nr.40) apylinkė  
Rimantas SINKEVIČIUS,,"28,68%",219,"27,47%",17,Šveicarijos  (Nr.27) apylinkė  
Saulius JAKIMAVIČIUS,,"27,22%",203,"26,08%",21,Šveicarijos  (Nr.27) apylinkė  
Vytautas VENCKŪNAS,,"9,96%",75,"9,55%",7,Šveicarijos  (Nr.27) apylinkė  
Remigijus OSAUSKAS,,"8,63%",68,"8,27%",3,Šveicarijos  (Nr.27) apylinkė  
Bronislovas LIUTKUS,,"5,47%",42,"5,24%",3,Šveicarijos  (Nr.27) apylinkė  
Sigitas MARTINAVIČIUS,,"5,47%",43,"5,24%",2,Šveicarijos  (Nr.27) apylinkė  
Rita LATVIŪNIENĖ,,"5,35%",39,"5,12%",5,Šveicarijos  (Nr.27) apylinkė  
Antanas AUGŪNAS,,"3,65%",28,"3,49%",2,Šveicarijos  (Nr.27) apylinkė  
Valentin STEPANOV,,"0,97%",8,"0,93%",0,Šveicarijos  (Nr.27) apylinkė  
Jolita PELECKIENĖ,,"0,97%",7,"0,93%",1,Šveicarijos  (Nr.27) apylinkė  
Rolandas MERKELIS,,"0,61%",5,"0,58%",0,Šveicarijos  (Nr.27) apylinkė  
Rasa KISELIOVA,,"0,49%",3,"0,47%",1,Šveicarijos  (Nr.27) apylinkė  
Sigitas ŠIUPŠINSKAS,,"0,61%",3,"0,58%",2,Šveicarijos  (Nr.27) apylinkė  
Vladimiras KORNIJEVSKIS,,"0,49%",3,"0,47%",1,Šveicarijos  (Nr.27) apylinkė  
Rita RENKAUSKIENĖ,,"1,34%",11,"1,28%",0,Šveicarijos  (Nr.27) apylinkė  
Rūta ZIENIENĖ,,"0,12%",1,"0,12%",0,Šveicarijos  (Nr.27) apylinkė  
Bronius BRADAUSKAS,,"37,30%",42,"36,13%",27,Liutonių  (Nr.31) apylinkė  
Stanislovas TOMAS,,"13,51%",21,"13,09%",4,Liutonių  (Nr.31) apylinkė  
Ramūnas KARTENIS,,"4,86%",4,"4,71%",5,Liutonių  (Nr.31) apylinkė  
Kęstutis VAITUKAITIS,,"4,32%",6,"4,19%",2,Liutonių  (Nr.31) apylinkė  
Linas LABAČIAUSKAS,,"6,49%",7,"6,28%",5,Liutonių  (Nr.31) apylinkė  
Algimantas ADOMAITIS,,"7,03%",12,"6,81%",1,Liutonių  (Nr.31) apylinkė  
Aidas ČĖSNA,,"7,03%",12,"6,81%",1,Liutonių  (Nr.31) apylinkė  
Skirmantas TUMELIS,,"3,78%",5,"3,66%",2,Liutonių  (Nr.31) apylinkė  
Marijonas MITKUS,,"8,11%",12,"7,85%",3,Liutonių  (Nr.31) apylinkė  
Kristina BRAZAUSKIENĖ,,"3,78%",4,"3,66%",3,Liutonių  (Nr.31) apylinkė  
Petras NAUSĖDA,,"1,08%",2,"1,05%",0,Liutonių  (Nr.31) apylinkė  
Andrius JANKAUSKAS,,"1,62%",2,"1,57%",1,Liutonių  (Nr.31) apylinkė  
Laura NIKIFOROVA,,"0,00%",0,"0,00%",0,Liutonių  (Nr.31) apylinkė  
Giedrius GRIGALIUS,,"0,54%",0,"0,52%",1,Liutonių  (Nr.31) apylinkė  
Violeta GEMBICKA,,"0,00%",0,"0,00%",0,Liutonių  (Nr.31) apylinkė  
Teresa SOLOVJOVA,,"0,54%",0,"0,52%",1,Liutonių  (Nr.31) apylinkė  
Dangutė MIKUTIENĖ,,"20,35%",17,"18,70%",6,Bagdononių  (Nr.42) apylinkė  
Jonas LIESYS,,"31,86%",35,"29,27%",1,Bagdononių  (Nr.42) apylinkė  
Jaroslav KAMINSKI,,"7,96%",9,"7,32%",0,Bagdononių  (Nr.42) apylinkė  
Asta KANDRATAVIČIENĖ,,"17,70%",17,"16,26%",3,Bagdononių  (Nr.42) apylinkė  
Vidas URBONAVIČIUS,,"5,31%",6,"4,88%",0,Bagdononių  (Nr.42) apylinkė  
Danas DAMBRAUSKAS,,"1,77%",2,"1,63%",0,Bagdononių  (Nr.42) apylinkė  
Eglė MIRONČIKIENĖ,,"6,19%",5,"5,69%",2,Bagdononių  (Nr.42) apylinkė  
Rita BALTADUONYTĖ-LEONIENĖ,,"1,77%",2,"1,63%",0,Bagdononių  (Nr.42) apylinkė  
Albinas MORKŪNAS,,"2,65%",3,"2,44%",0,Bagdononių  (Nr.42) apylinkė  
Zofija ABECIŪNIENĖ,,"0,88%",1,"0,81%",0,Bagdononių  (Nr.42) apylinkė  
Ilona OGURCOVA,,"0,88%",1,"0,81%",0,Bagdononių  (Nr.42) apylinkė  
Edikas JAGELAVIČIUS,,"0,88%",0,"0,81%",1,Bagdononių  (Nr.42) apylinkė  
Giedrė GEČAITĖ,,"0,88%",1,"0,81%",0,Bagdononių  (Nr.42) apylinkė  
Rimas URBUS,,"0,88%",1,"0,81%",0,Bagdononių  (Nr.42) apylinkė  
Kazys Vytautas LAURUŠEVIČIUS,,"0,00%",0,"0,00%",0,Bagdononių  (Nr.42) apylinkė  
Jaroslav NARKEVIČ,,"17,42%",159,"16,62%",6,Salininkų  (Nr.451) apylinkė  
Mingailė BINKAUSKAITĖ,,"22,81%",197,"21,75%",19,Salininkų  (Nr.451) apylinkė  
Laurynas KASČIŪNAS,,"18,16%",168,"17,32%",4,Salininkų  (Nr.451) apylinkė  
Vytautas BAKASĖNAS,,"10,77%",98,"10,27%",4,Salininkų  (Nr.451) apylinkė  
Aleksander POPLAVSKI,,"7,07%",65,"6,75%",2,Salininkų  (Nr.451) apylinkė  
Jonas KIETAVIČIUS,,"2,32%",22,"2,22%",0,Salininkų  (Nr.451) apylinkė  
Virgilijus Petras MATULA,,"6,12%",55,"5,84%",3,Salininkų  (Nr.451) apylinkė  
Ala DEKAN,,"6,65%",59,"6,34%",4,Salininkų  (Nr.451) apylinkė  
Tomas TOMILINAS,,"4,12%",37,"3,93%",2,Salininkų  (Nr.451) apylinkė  
Stanislav TARASEVIČ,,"3,38%",30,"3,22%",2,Salininkų  (Nr.451) apylinkė  
Jonas SADOVSKIS,,"1,16%",11,"1,11%",0,Salininkų  (Nr.451) apylinkė  
Leonard TALMONT,,"63,48%",224,"60,77%",75,Rakonių  (Nr.55) apylinkė  
Vilija FILIPOVIČIENĖ,,"9,98%",47,"9,55%",0,Rakonių  (Nr.55) apylinkė  
Franc JAKUBOVSKIJ,,"9,55%",45,"9,15%",0,Rakonių  (Nr.55) apylinkė  
Vidmantas ŽILIUS,,"2,34%",11,"2,24%",0,Rakonių  (Nr.55) apylinkė  
Darius SKUSEVIČIUS,,"4,46%",19,"4,27%",2,Rakonių  (Nr.55) apylinkė  
Eglė MANKEVIČIENĖ,,"2,76%",13,"2,64%",0,Rakonių  (Nr.55) apylinkė  
Ryšard MACEIKIANEC,,"2,12%",9,"2,03%",1,Rakonių  (Nr.55) apylinkė  
Gintaras KRAUJUTIS,,"2,34%",11,"2,24%",0,Rakonių  (Nr.55) apylinkė  
Arūnas JOKUBAUSKAS,,"0,85%",3,"0,81%",1,Rakonių  (Nr.55) apylinkė  
Janina ŠIMKUVIENĖ,,"1,06%",5,"1,02%",0,Rakonių  (Nr.55) apylinkė  
Viktorija BALLACK,,"1,06%",3,"1,02%",2,Rakonių  (Nr.55) apylinkė  
Irena DEGUTIENĖ,,"44,25%",56,"43,68%",217,Ambasada Vokietijos Federacinėje Respublikoje  
Neringa VENCKIENĖ,,"16,05%",10,"15,84%",89,Ambasada Vokietijos Federacinėje Respublikoje  
Faustas LATĖNAS,,"8,59%",14,"8,48%",39,Ambasada Vokietijos Federacinėje Respublikoje  
Jolanta GAUDUTIENĖ,,"2,43%",3,"2,40%",12,Ambasada Vokietijos Federacinėje Respublikoje  
Arminas LYDEKA,,"9,40%",14,"9,28%",44,Ambasada Vokietijos Federacinėje Respublikoje  
Irina ROZOVA,,"0,65%",2,"0,64%",2,Ambasada Vokietijos Federacinėje Respublikoje  
Vytautas BOGUŠIS,,"4,86%",9,"4,80%",21,Ambasada Vokietijos Federacinėje Respublikoje  
Liucija BORUSEVIČIENĖ,,"1,78%",1,"1,76%",10,Ambasada Vokietijos Federacinėje Respublikoje  
Miroslavas MONKEVIČIUS,,"1,78%",2,"1,76%",9,Ambasada Vokietijos Federacinėje Respublikoje  
Vitalijus BALKUS,,"4,70%",8,"4,64%",21,Ambasada Vokietijos Federacinėje Respublikoje  
Juozas MURAUSKAS,,"3,57%",0,"3,52%",22,Ambasada Vokietijos Federacinėje Respublikoje  
Dainius Petras PAUKŠTĖ,,"1,30%",1,"1,28%",7,Ambasada Vokietijos Federacinėje Respublikoje  
Robertas KASPEROVIČIUS,,"0,00%",0,"0,00%",0,Ambasada Vokietijos Federacinėje Respublikoje  
Janas JUREVIČIUS,,"0,16%",0,"0,16%",1,Ambasada Vokietijos Federacinėje Respublikoje  
Gediminas PELĖDŽIUS,,"0,49%",0,"0,48%",3,Ambasada Vokietijos Federacinėje Respublikoje  
Irena DEGUTIENĖ,,"20,34%",11,"20,00%",1,Konsulatas Sovetske  
Neringa VENCKIENĖ,,"5,08%",3,"5,00%",0,Konsulatas Sovetske  
Faustas LATĖNAS,,"10,17%",5,"10,00%",1,Konsulatas Sovetske  
Jolanta GAUDUTIENĖ,,"22,03%",6,"21,67%",7,Konsulatas Sovetske  
Arminas LYDEKA,,"5,08%",3,"5,00%",0,Konsulatas Sovetske  
Irina ROZOVA,,"1,69%",1,"1,67%",0,Konsulatas Sovetske  
Vytautas BOGUŠIS,,"3,39%",2,"3,33%",0,Konsulatas Sovetske  
Liucija BORUSEVIČIENĖ,,"16,95%",10,"16,67%",0,Konsulatas Sovetske  
Miroslavas MONKEVIČIUS,,"1,69%",1,"1,67%",0,Konsulatas Sovetske  
Vitalijus BALKUS,,"1,69%",1,"1,67%",0,Konsulatas Sovetske  
Juozas MURAUSKAS,,"1,69%",0,"1,67%",1,Konsulatas Sovetske  
Dainius Petras PAUKŠTĖ,,"3,39%",2,"3,33%",0,Konsulatas Sovetske  
Robertas KASPEROVIČIUS,,"3,39%",2,"3,33%",0,Konsulatas Sovetske  
Janas JUREVIČIUS,,"0,00%",0,"0,00%",0,Konsulatas Sovetske  
Gediminas PELĖDŽIUS,,"3,39%",2,"3,33%",0,Konsulatas Sovetske  
Irena DEGUTIENĖ,,"14,34%",33,"14,12%",4,Generalinis konsulatas Kaliningrade  
Neringa VENCKIENĖ,,"2,71%",7,"2,67%",0,Generalinis konsulatas Kaliningrade  
Faustas LATĖNAS,,"10,08%",18,"9,92%",8,Generalinis konsulatas Kaliningrade  
Jolanta GAUDUTIENĖ,,"28,68%",58,"28,24%",16,Generalinis konsulatas Kaliningrade  
Arminas LYDEKA,,"1,94%",4,"1,91%",1,Generalinis konsulatas Kaliningrade  
Irina ROZOVA,,"2,71%",5,"2,67%",2,Generalinis konsulatas Kaliningrade  
Vytautas BOGUŠIS,,"1,94%",4,"1,91%",1,Generalinis konsulatas Kaliningrade  
Liucija BORUSEVIČIENĖ,,"15,12%",22,"14,89%",17,Generalinis konsulatas Kaliningrade  
Miroslavas MONKEVIČIUS,,"2,71%",3,"2,67%",4,Generalinis konsulatas Kaliningrade  
Vitalijus BALKUS,,"6,20%",14,"6,11%",2,Generalinis konsulatas Kaliningrade  
Juozas MURAUSKAS,,"3,10%",4,"3,05%",4,Generalinis konsulatas Kaliningrade  
Dainius Petras PAUKŠTĖ,,"1,55%",3,"1,53%",1,Generalinis konsulatas Kaliningrade  
Robertas KASPEROVIČIUS,,"1,94%",4,"1,91%",1,Generalinis konsulatas Kaliningrade  
Janas JUREVIČIUS,,"1,55%",3,"1,53%",1,Generalinis konsulatas Kaliningrade  
