kandidatas,apygarda,nuo_galiojanciu_biuleteniu,balsadezeje,nuo_rinkeju,pastu,apylinke
Kristina MIŠKINIENĖ,,"29,30%",38,"27,38%",8,Varnėnų  (Nr.33) apylinkė  
Vaidas ŠALAŠEVIČIUS,,"18,47%",21,"17,26%",8,Varnėnų  (Nr.33) apylinkė  
Arūnas BACEVIČIUS,,"19,11%",27,"17,86%",3,Varnėnų  (Nr.33) apylinkė  
Benius RŪTELIONIS,,"8,92%",13,"8,33%",1,Varnėnų  (Nr.33) apylinkė  
Donatas MIZARAS,,"12,74%",19,"11,90%",1,Varnėnų  (Nr.33) apylinkė  
Saulius VAIKŠNORAS,,"1,27%",1,"1,19%",1,Varnėnų  (Nr.33) apylinkė  
Valdas Petras MIKELIONIS,,"1,27%",2,"1,19%",0,Varnėnų  (Nr.33) apylinkė  
Gytis ANDRULIONIS,,"1,27%",2,"1,19%",0,Varnėnų  (Nr.33) apylinkė  
Gytis JACKŪNAS,,"5,10%",5,"4,76%",3,Varnėnų  (Nr.33) apylinkė  
Angelė RUKŠTELIENĖ,,"0,00%",0,"0,00%",0,Varnėnų  (Nr.33) apylinkė  
Laurynas OKOCKIS,,"0,00%",0,"0,00%",0,Varnėnų  (Nr.33) apylinkė  
Asta GALBUOGIENĖ,,"2,55%",2,"2,38%",2,Varnėnų  (Nr.33) apylinkė  
Stasys ŠADUIKIS,,"0,00%",0,"0,00%",0,Varnėnų  (Nr.33) apylinkė  
Viktorija DAILYDIENĖ,,"0,00%",0,"0,00%",0,Varnėnų  (Nr.33) apylinkė  
Zita JAKUBYNIENĖ,,"0,00%",0,"0,00%",0,Varnėnų  (Nr.33) apylinkė  
Nadežda VIŠKELIENĖ,,"0,00%",0,"0,00%",0,Varnėnų  (Nr.33) apylinkė  
Algis KAŠĖTA,,"31,35%",143,"29,10%",15,Senosios Varėnos  (Nr.39) apylinkė  
Zdzislav PALEVIČ,,"0,60%",3,"0,55%",0,Senosios Varėnos  (Nr.39) apylinkė  
Gediminas JAKAVONIS,,"32,54%",150,"30,20%",14,Senosios Varėnos  (Nr.39) apylinkė  
Jūratė KULBERKIENĖ,,"6,94%",31,"6,45%",4,Senosios Varėnos  (Nr.39) apylinkė  
Marius JUŠKEVIČIUS,,"5,75%",28,"5,34%",1,Senosios Varėnos  (Nr.39) apylinkė  
Liutauras KAZLAVICKAS,,"7,34%",34,"6,81%",3,Senosios Varėnos  (Nr.39) apylinkė  
Alvydas VALEIŠA,,"4,56%",18,"4,24%",5,Senosios Varėnos  (Nr.39) apylinkė  
Vygintas VILUTIS,,"3,97%",20,"3,68%",0,Senosios Varėnos  (Nr.39) apylinkė  
Rimantas RADŽIUS,,"1,98%",6,"1,84%",4,Senosios Varėnos  (Nr.39) apylinkė  
Gediminas ALEKSONIS,,"0,60%",3,"0,55%",0,Senosios Varėnos  (Nr.39) apylinkė  
Mindaugas KARLONAS,,"1,19%",6,"1,10%",0,Senosios Varėnos  (Nr.39) apylinkė  
Gintaras SALDŽIŪNAS,,"0,60%",3,"0,55%",0,Senosios Varėnos  (Nr.39) apylinkė  
Birutė KAKTYTĖ,,"1,59%",7,"1,47%",1,Senosios Varėnos  (Nr.39) apylinkė  
Vytautas KURPUVESAS,,"0,60%",1,"0,55%",2,Senosios Varėnos  (Nr.39) apylinkė  
Rima PAULAUSKAITĖ,,"0,40%",1,"0,37%",1,Senosios Varėnos  (Nr.39) apylinkė  
Raimundas MARKAUSKAS,,"20,83%",81,"19,63%",14,Nemunaičio  (Nr.50) apylinkė  
Gediminas KRASAUSKAS,,"25,66%",104,"24,17%",13,Nemunaičio  (Nr.50) apylinkė  
Vydas BARAVYKAS,,"17,11%",69,"16,12%",9,Nemunaičio  (Nr.50) apylinkė  
Antanas NEDZINSKAS,,"8,99%",36,"8,47%",5,Nemunaičio  (Nr.50) apylinkė  
Birutė VAIKŠNORAITĖ,,"6,14%",20,"5,79%",8,Nemunaičio  (Nr.50) apylinkė  
Almantas JAKIMAVIČIUS,,"4,82%",17,"4,55%",5,Nemunaičio  (Nr.50) apylinkė  
Vytautas ZUBRAS,,"8,11%",30,"7,64%",7,Nemunaičio  (Nr.50) apylinkė  
Vytautas MIKELIONIS,,"3,73%",17,"3,51%",0,Nemunaičio  (Nr.50) apylinkė  
Algirdas ČERNIAUSKAS,,"1,32%",5,"1,24%",1,Nemunaičio  (Nr.50) apylinkė  
Petras MALDONIS,,"1,10%",3,"1,03%",2,Nemunaičio  (Nr.50) apylinkė  
Snaigė VALENTUKEVIČIENĖ,,"1,10%",5,"1,03%",0,Nemunaičio  (Nr.50) apylinkė  
Gintaras GRIGARAVIČIUS,,"0,44%",1,"0,41%",1,Nemunaičio  (Nr.50) apylinkė  
Rita RIMŠIENĖ,,"0,00%",0,"0,00%",0,Nemunaičio  (Nr.50) apylinkė  
Algimantas PAUKŠTAITIS,,"0,66%",3,"0,62%",0,Nemunaičio  (Nr.50) apylinkė  
Algirdas BUTKEVIČIUS,,"67,53%",163,"64,40%",45,Stirniškių  (Nr.44) apylinkė  
Rimvydas ŽIEMYS,,"10,39%",22,"9,91%",10,Stirniškių  (Nr.44) apylinkė  
Algirdas BAGUŠINSKAS,,"4,87%",10,"4,64%",5,Stirniškių  (Nr.44) apylinkė  
Evelina PALTANAVIČIŪTĖ-MATJOŠAITIENĖ,,"3,25%",7,"3,10%",3,Stirniškių  (Nr.44) apylinkė  
Ona GIEDRIENĖ,,"5,52%",16,"5,26%",1,Stirniškių  (Nr.44) apylinkė  
Juozas DAUTARTAS,,"2,92%",8,"2,79%",1,Stirniškių  (Nr.44) apylinkė  
Kęstutis AKRAMAS,,"1,62%",5,"1,55%",0,Stirniškių  (Nr.44) apylinkė  
Žydrūnė SURVILIENĖ,,"2,27%",7,"2,17%",0,Stirniškių  (Nr.44) apylinkė  
Jurgita ŽALIABARŠTYTĖ,,"0,65%",1,"0,62%",1,Stirniškių  (Nr.44) apylinkė  
Algimantas LIUBINSKAS,,"0,00%",0,"0,00%",0,Stirniškių  (Nr.44) apylinkė  
Gediminas JEGELEVIČIUS,,"0,97%",3,"0,93%",0,Stirniškių  (Nr.44) apylinkė  
Algimantas ARNASTAUSKAS,,"0,00%",0,"0,00%",0,Stirniškių  (Nr.44) apylinkė  
Andrius PALIONIS,,"42,70%",138,"38,85%",17,Stakliškių  (Nr.34) apylinkė  
Alvydas VAICEKAUSKAS,,"15,43%",46,"14,04%",10,Stakliškių  (Nr.34) apylinkė  
Vytautas KAMBLEVIČIUS,,"9,09%",24,"8,27%",9,Stakliškių  (Nr.34) apylinkė  
Rima ZABLACKIENĖ,,"6,61%",19,"6,02%",5,Stakliškių  (Nr.34) apylinkė  
Sergejus JOVAIŠA,,"5,79%",19,"5,26%",2,Stakliškių  (Nr.34) apylinkė  
Inga STEPUKONIENĖ,,"4,96%",17,"4,51%",1,Stakliškių  (Nr.34) apylinkė  
Egidijus VISOCKAS,,"3,03%",6,"2,76%",5,Stakliškių  (Nr.34) apylinkė  
Algis MARCINKEVIČIUS,,"1,38%",4,"1,25%",1,Stakliškių  (Nr.34) apylinkė  
Laimutė JANČIUKIENĖ,,"3,58%",9,"3,26%",4,Stakliškių  (Nr.34) apylinkė  
Marytė GUDONYTĖ,,"3,31%",9,"3,01%",3,Stakliškių  (Nr.34) apylinkė  
Rasa JUOCEVIČIENĖ,,"1,65%",4,"1,50%",2,Stakliškių  (Nr.34) apylinkė  
Gintautas SODAITIS,,"2,20%",7,"2,01%",1,Stakliškių  (Nr.34) apylinkė  
Saulius NARŪNAS,,"0,28%",0,"0,25%",1,Stakliškių  (Nr.34) apylinkė  
Donatas JANKAUSKAS,,"19,31%",187,"17,92%",3,S. Lozoraičio  (Nr.53) apylinkė  
Audronė SKUČIENĖ,,"25,51%",244,"23,68%",7,S. Lozoraičio  (Nr.53) apylinkė  
Antanas NESTECKIS,,"13,52%",129,"12,55%",4,S. Lozoraičio  (Nr.53) apylinkė  
Antanas MAKAREVIČIUS,,"18,80%",178,"17,45%",7,S. Lozoraičio  (Nr.53) apylinkė  
Gintautas KRILAVIČIUS,,"6,20%",59,"5,75%",2,S. Lozoraičio  (Nr.53) apylinkė  
Kazimieras NAUSĖDA,,"4,57%",45,"4,25%",0,S. Lozoraičio  (Nr.53) apylinkė  
Algirdas ŽANDARAS,,"3,66%",36,"3,40%",0,S. Lozoraičio  (Nr.53) apylinkė  
Arūnas STAŠAITIS,,"3,25%",29,"3,02%",3,S. Lozoraičio  (Nr.53) apylinkė  
Eglė URBONIENĖ,,"0,81%",8,"0,75%",0,S. Lozoraičio  (Nr.53) apylinkė  
Anželika JURAŠŪNIENĖ,,"1,22%",12,"1,13%",0,S. Lozoraičio  (Nr.53) apylinkė  
Valentinas GYLYS,,"1,63%",16,"1,51%",0,S. Lozoraičio  (Nr.53) apylinkė  
Darius KRUKONIS,,"0,91%",9,"0,85%",0,S. Lozoraičio  (Nr.53) apylinkė  
Dainora GRUZDIENĖ,,"0,61%",6,"0,57%",0,S. Lozoraičio  (Nr.53) apylinkė  
Vydas GEDVILAS,,"22,02%",88,"20,63%",10,Muniškių  (Nr.54) apylinkė  
Raminta POPOVIENĖ,,"21,57%",65,"20,21%",31,Muniškių  (Nr.54) apylinkė  
Justinas URBANAVIČIUS,,"16,85%",68,"15,79%",7,Muniškių  (Nr.54) apylinkė  
Inga RAKAUSKIENĖ,,"12,13%",50,"11,37%",4,Muniškių  (Nr.54) apylinkė  
Viktoras PRANCKIETIS,,"11,69%",43,"10,95%",9,Muniškių  (Nr.54) apylinkė  
Dalytė RUDZEVIČIENĖ,,"3,15%",14,"2,95%",0,Muniškių  (Nr.54) apylinkė  
Liveta KAZLAUSKIENĖ,,"6,07%",24,"5,68%",3,Muniškių  (Nr.54) apylinkė  
Gražvydas GULBINSKAS,,"0,90%",3,"0,84%",1,Muniškių  (Nr.54) apylinkė  
Rita ŠEIGIENĖ,,"0,00%",0,"0,00%",0,Muniškių  (Nr.54) apylinkė  
Gediminas NAUČIUS,,"0,67%",3,"0,63%",0,Muniškių  (Nr.54) apylinkė  
Beata LABUTYTĖ,,"1,12%",5,"1,05%",0,Muniškių  (Nr.54) apylinkė  
Gintautas DAČIOLA,,"0,67%",2,"0,63%",1,Muniškių  (Nr.54) apylinkė  
Darijus VENSKUS,,"0,67%",3,"0,63%",0,Muniškių  (Nr.54) apylinkė  
Leonija PETRAUSKAITĖ,,"0,22%",1,"0,21%",0,Muniškių  (Nr.54) apylinkė  
Kristina LEONAVIČIENĖ,,"2,25%",9,"2,11%",1,Muniškių  (Nr.54) apylinkė  
Audronė GIGIENĖ,,"0,00%",0,"0,00%",0,Muniškių  (Nr.54) apylinkė  
Mindaugas BASTYS,,"52,08%",60,"50,00%",15,Slabadų  (Nr.43) apylinkė  
Algirdas KLIMAITIS,,"7,64%",5,"7,33%",6,Slabadų  (Nr.43) apylinkė  
Rima RAUKTIENĖ,,"2,78%",2,"2,67%",2,Slabadų  (Nr.43) apylinkė  
Gintautas KNIUKŠTA,,"8,33%",9,"8,00%",3,Slabadų  (Nr.43) apylinkė  
