apygarda,gimimo_data,seimynine_padetis,sunkus_nusikaltimas,darboviete,kandidatas,gyvena,issilavinimas,pomegiai,gimimo_vieta,iskele,tautybe,saraso_numeris,uzsienio_kalbos,pripazintas_kaltu,neatlikta_bausme
Daugiamandatė,1962-05-28,vedęs,Ne,"Lietuvos Respublikos Seimas,Seimo narys",AUDRIUS    ENDZINAS,Šilutė,Aukštasis;Lietuvos Žemės Ūkio Akademija;Inžinierius energetikas;1986,,Šilutė,Lietuvos Respublikos liberalų sąjūdis,lietuvis ,,"anglų, rusų",Ne,Neturiu
Varėnos - Eišiškių,1960-09-16,vedęs,Ne,"Viešoji įstaiga Žaliosios politikos institutas, direktorius",GINTARAS    SALDŽIŪNAS,Vilnius,Aukštasis;Vilniaus Universitetas;Biologas;1983,"Sportas, skaitymas, kelionės",Vilnius,Išsikėlė pats,lietuvis ,,"rusų, anglų",Ne,Neturiu
Telšių,1956-06-19,vedęs,Ne,Pensininkas,ALVYDAS    JOKŠAS,Tryškių mstl.,"Aukštasis;Šiaulių krašto vadybos, teisės ir kalbų kolegija;Teisininkas;2003;Spec. vidurinis;Šiaulių 13-oji technikos mokykla;Radijo aparatūros montuotojas;1975;Vidurinis;Tryškių vidurinė mokykla;1974","Tinklinis, futbolas, literatūra, inkvizicijos istorija, povandeninių laivų istorija",Telšiai,Žemaičių partija,žemaitis ,,"rusų, anglų",Ne,Neturiu
Biržų - Kupiškio,1959-12-30,vedęs,Ne,Individuali veikla,DANGIRDAS    MIKŠYS,Kupiškis,Aukštasis;Kauno technikos universitetas;Inžinierius - mechanikas;1986,"Darbas sode, poilsis gamtoje, sportinė veikla, kelionės, knygų skaitymas","Biržų rajonas, vabalninkas",Tautinė partija Lietuvos kelias,lietuvis ,,"rusų, prancūzų",Ne,Neturiu
Lazdijų - Druskininkų,1981-10-30,nevedęs,Ne,"UAB Vilnius consult,konsultantas-ekspertas",LAURYNAS    OKOCKIS,Druskininkai,Aukštasis;Mykolo Romerio universitetas;ES politika ir viešasis administravimas;2009;Aukštasis;Lietuvos kūno kultūros akademija;lengvosios atletikos treneris;2004,"sportas, aplinkosauga, žvejyba, istorija","Kaunas, Lietuva",Politinė partija „Lietuvos žaliųjų sąjūdis“,lietuvis ,,"anglų, rusų",Ne,Neturiu
Žirmūnų,1959-08-21,Nenurodė,Ne,Nenurodė,LIUDVIKAS    JAKIMAVIČIUS,Vilnius,,,Nenurodė,Politinė partija „Lietuvos sąrašas“, ,,,Ne,Neturiu
Jonavos,1941-08-18,vedęs,Ne,"-,-",VALENTIN    STEPANOV,Jonava,Aukštesnysis;Alytaus politechnikumas;Mechanika;1975,"tapyba, buriavimas",Rusija Kostroma,Lietuvos pensininkų partija,rusas ,,"rusų, lenkų",Ne,Neturiu
Zarasų - Visagino,1950-08-02,Nenurodė,Ne,Konsultuoju verslininkus,JURIJUS    SUBOTINAS,Vilnius,,"sportas, muzika",Nenurodė,Kovotojų už Lietuvą sąjunga,rusas ,,rusų,	 ,Neturiu
Šilalės - Šilutės,1951-06-06,išsiskyręs,Ne,"tautodailininkas, dirbu su verslo liudijimu,",ANTANAS    ČEBATARIŪNAS,Vilnius,Aukštesnysis;Prekybos tecnikumas;pramoninių prekių žinovas  ir prekybos organizavimas;1978,"grybavimas, drožyba, futbolas","Ignalinos raj., Plavėjų km.",Tautos vienybės sąjunga,lietuvis ,,rusų,Ne,Neturiu
Zarasų - Visagino,1955-06-10,išsituokusi,Ne,"-,-",TATJANA    ŠČIURINA,Pagirių k.,Aukštasis;Vilniaus pedagoginis institutas;Ikimokyklinio ugdymo pedagogas-psichologas;1980,"psichologinės literatūros skaitymas, eilėrasčių rašymas, bendravimas, įvairių renginių organizavimas, sportas, sveiko gyvenimo būdo sklaida",Vilnius,Tautininkų sąjunga,rusė ,,"rusų, lenkų, lietuvių, anglų",Ne,Neturiu
