dalyvavo,rinkeju_skaicius,apygarda,negaliojantys_biuleteniai,apylinke
1831,2608,Naujamiesčio (Nr.1) vienmandatė apygarda,139,Kaštonų
509,762,Naujamiesčio (Nr.1) vienmandatė apygarda,26,Gedimino
1533,2724,Naujamiesčio (Nr.1) vienmandatė apygarda,61,Saltoniškių
734,1348,Naujamiesčio (Nr.1) vienmandatė apygarda,32,Sėlių
985,1542,Naujamiesčio (Nr.1) vienmandatė apygarda,26,Liubarto
788,1512,Naujamiesčio (Nr.1) vienmandatė apygarda,48,Vytauto
1076,1842,Naujamiesčio (Nr.1) vienmandatė apygarda,38,Birutės
566,1014,Naujamiesčio (Nr.1) vienmandatė apygarda,28,Pamėnkalnio
607,1044,Naujamiesčio (Nr.1) vienmandatė apygarda,23,JJasinskio
910,1475,Naujamiesčio (Nr.1) vienmandatė apygarda,32,Taurakalnio
634,1040,Naujamiesčio (Nr.1) vienmandatė apygarda,24,MKČiurlionio
1395,2504,Naujamiesčio (Nr.1) vienmandatė apygarda,59,SKonarskio
796,1448,Naujamiesčio (Nr.1) vienmandatė apygarda,48,Mindaugo
500,922,Naujamiesčio (Nr.1) vienmandatė apygarda,31,Švitrigailos
1201,2350,Naujamiesčio (Nr.1) vienmandatė apygarda,79,Vytenio
1275,3095,Naujamiesčio (Nr.1) vienmandatė apygarda,109,Naugarduko
985,2253,Naujamiesčio (Nr.1) vienmandatė apygarda,60,Algirdo
428,1230,Naujamiesčio (Nr.1) vienmandatė apygarda,26,Kauno
909,1891,Naujamiesčio (Nr.1) vienmandatė apygarda,65,Naujininkų
955,2326,Naujamiesčio (Nr.1) vienmandatė apygarda,64,Brolių
784,1914,Naujamiesčio (Nr.1) vienmandatė apygarda,41,Gimnazijos
9289,16980,Naujamiesčio (Nr.1) vienmandatė apygarda,208,Balsavimas LR diplomatinėse atstovybėse
385,767,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,26,Avižienių
788,1632,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,43,Senamiesčio
103,183,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,9,Bartelių
962,1709,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,69,Naujamiesčio
1327,2150,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,63,Atgimimo
67,110,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda, ,Bugiedos
177,347,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,6,Būdviečio
904,2122,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,41,Kloniškių
235,550,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,10,Dumblio
1658,3406,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,60,Kalviškės
826,1779,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,42,Eglės
487,964,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,33,Kapčiamiesčio
343,630,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,17,AKirsnos
449,1003,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,37,Ratnyčios
98,285,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,9,Grūto
230,453,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,24,Kirsnos
169,371,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,11,Krikštonių
153,360,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,7,Švendubrės
453,840,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,15,Krosnos
536,1393,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,27,Viečiūnų
242,552,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,9,Kuklių
282,737,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,18,Neravų
343,694,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,13,Kučiūnų
929,1971,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,62,Leipalingio
95,215,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,6,Lipliūnų
139,322,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,2,Vytautų
2326,4750,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,83,Lazdijų
408,976,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,26,Ricielių
168,307,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,12,Metelių
145,326,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,5,Nemajūnų
121,325,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,4,Noragėlių
119,225,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,6,Petroškų
264,482,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,19,Rudaminos
98,357,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,2,Seiliūnų
625,1414,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,31,Seirijų
149,397,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,8,Stebulių
481,1109,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,23,Šeštokų
399,924,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,16,Šventežerio
262,564,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,20,Teizų
214,409,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,4,Verstaminų
1051,2139,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,63,Veisiejų
207,402,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,9,Viktarinos
155,286,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,7,Žagarių
164,401,Lazdijų - Druskininkų (Nr.71) vienmandatė apygarda,18,Varnėnų
248,565,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,8,Puodžių
321,595,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,17,Žilinų
326,643,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,19,Dubičių
337,639,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,16,Panočių
214,339,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,7,Kabelių
395,671,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,15,Marcinkonių
172,295,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,11,Margionių
90,140,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,6,Puvočių
110,170,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,3,Žiūrų
499,856,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,24,Butrimonių
193,492,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,17,Krūminių
235,453,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,9,Jančiūnų
709,1550,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,27,Matuizų
118,196,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,3,Bingelių
1139,2376,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,48,Eišiškių
136,288,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,4,Gudakiemio
324,618,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,12,Jurzdikos
488,973,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,20,Gornostajiškių
185,322,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,13,Kibyšių
519,1048,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,14,Kalesninkų
801,1419,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,41,Merkinės
131,276,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,3,Panaros
375,712,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,16,Purvėnų
541,815,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,16,Dainavos
212,467,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,11,Vilkiautinio
484,790,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,11,Pabarės
210,425,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,9,Pilvingių
249,468,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,10,Tetėnų
188,296,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,11,Daržininkų
202,371,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,13,Dargužių
495,958,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,38,Valkininkų
273,505,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,18,Pušelės
238,461,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,13,Gudžių
154,321,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,6,Nedzingės
357,655,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,19,Perlojos
174,342,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,9,Sarapiniškių
173,421,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,10,Tolkūnų
221,447,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,10,Krivilių
400,853,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,34,Vydenių
188,310,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,10,Dailidžių
212,355,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,16,Rudnios
1228,2697,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,62,Parko
1249,2666,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,67,Dzūkų
1422,2912,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,40,Šilo
546,1124,Varėnos - Eišiškių (Nr.70) vienmandatė apygarda,31,SenosiosVarėnos
242,738,Dzūkijos (Nr.69) vienmandatė apygarda,11,Praniūnų
164,403,Dzūkijos (Nr.69) vienmandatė apygarda,9,Genių
486,1121,Dzūkijos (Nr.69) vienmandatė apygarda,15,Miklusėnų
509,1204,Dzūkijos (Nr.69) vienmandatė apygarda,31,Santaikos
