kandidatas,apygarda,nuo_galiojanciu_biuleteniu,balsadezeje,nuo_rinkeju,pastu,apylinke
Irena DEGUTIENĖ,,44.77%,887,43.77%,3179,Balsavimas LR diplomatinėse atstovybėse
Algirdas GRICIUS,,15.62%,342,15.27%,1076,Balsavimas LR diplomatinėse atstovybėse
Gintautas BUŽINSKAS,,7.21%,179,7.05%,476,Balsavimas LR diplomatinėse atstovybėse
Marija Aušrinė PAVILIONIENĖ,,4.87%,105,4.76%,337,Balsavimas LR diplomatinėse atstovybėse
Giedrė PURVANECKIENĖ,,7.54%,156,7.37%,529,Balsavimas LR diplomatinėse atstovybėse
Vytas NAVICKAS,,4.87%,112,4.76%,330,Balsavimas LR diplomatinėse atstovybėse
Nikolajus MANANIKOVAS,,2.07%,52,2.02%,136,Balsavimas LR diplomatinėse atstovybėse
Tadeuš ANDŽEJEVSKI,,0.79%,28,0.78%,44,Balsavimas LR diplomatinėse atstovybėse
Audronė NEKROŠIENĖ,,4.05%,105,3.96%,263,Balsavimas LR diplomatinėse atstovybėse
Gintaras SONGAILA,,2.95%,59,2.89%,209,Balsavimas LR diplomatinėse atstovybėse
Lilijana ASTRA,,1.39%,29,1.36%,97,Balsavimas LR diplomatinėse atstovybėse
Petras RUZGUS,,1.20%,21,1.17%,88,Balsavimas LR diplomatinėse atstovybėse
Liudvikas RAGAUSKIS,,1.53%,23,1.50%,116,Balsavimas LR diplomatinėse atstovybėse
Janina SLAVINSKAJA,,0.32%,9,0.31%,20,Balsavimas LR diplomatinėse atstovybėse
Jurijus PIVORIŪNAS,,0.81%,20,0.80%,54,Balsavimas LR diplomatinėse atstovybėse
Irena DEGUTIENĖ,,47.83%, ,45.83%,11, Ambasada Vokietijos Federacinėje Respublikoje. Bonos skyrius
Algirdas GRICIUS,,8.70%, ,8.33%,2, Ambasada Vokietijos Federacinėje Respublikoje. Bonos skyrius
Gintautas BUŽINSKAS,, , , , , Ambasada Vokietijos Federacinėje Respublikoje. Bonos skyrius
Marija Aušrinė PAVILIONIENĖ,, , , , , Ambasada Vokietijos Federacinėje Respublikoje. Bonos skyrius
Giedrė PURVANECKIENĖ,,4.35%, ,4.17%,1, Ambasada Vokietijos Federacinėje Respublikoje. Bonos skyrius
Vytas NAVICKAS,,4.35%, ,4.17%,1, Ambasada Vokietijos Federacinėje Respublikoje. Bonos skyrius
Nikolajus MANANIKOVAS,, , , , , Ambasada Vokietijos Federacinėje Respublikoje. Bonos skyrius
Tadeuš ANDŽEJEVSKI,, , , , , Ambasada Vokietijos Federacinėje Respublikoje. Bonos skyrius
Audronė NEKROŠIENĖ,, , , , , Ambasada Vokietijos Federacinėje Respublikoje. Bonos skyrius
Gintaras SONGAILA,, , , , , Ambasada Vokietijos Federacinėje Respublikoje. Bonos skyrius
Lilijana ASTRA,,26.09%, ,25.00%,6, Ambasada Vokietijos Federacinėje Respublikoje. Bonos skyrius
Petras RUZGUS,, , , , , Ambasada Vokietijos Federacinėje Respublikoje. Bonos skyrius
Liudvikas RAGAUSKIS,,4.35%, ,4.17%,1, Ambasada Vokietijos Federacinėje Respublikoje. Bonos skyrius
Janina SLAVINSKAJA,, , , , , Ambasada Vokietijos Federacinėje Respublikoje. Bonos skyrius
Jurijus PIVORIŪNAS,,4.35%, ,4.17%,1, Ambasada Vokietijos Federacinėje Respublikoje. Bonos skyrius
Irena DEGUTIENĖ,,37.31%,34,37.02%,257, Ambasada Vokietijos Federacinėje Respublikoje
Algirdas GRICIUS,,15.51%,17,15.39%,104, Ambasada Vokietijos Federacinėje Respublikoje
Gintautas BUŽINSKAS,,9.74%,26,9.67%,50, Ambasada Vokietijos Federacinėje Respublikoje
Marija Aušrinė PAVILIONIENĖ,,4.87%,5,4.83%,33, Ambasada Vokietijos Federacinėje Respublikoje
Giedrė PURVANECKIENĖ,,8.97%,11,8.91%,59, Ambasada Vokietijos Federacinėje Respublikoje
Vytas NAVICKAS,,5.90%,1,5.85%,45, Ambasada Vokietijos Federacinėje Respublikoje
Nikolajus MANANIKOVAS,,2.31%,1,2.29%,17, Ambasada Vokietijos Federacinėje Respublikoje
