kandidatas,apygarda,nuo_galiojanciu_biuleteniu,balsadezeje,nuo_rinkeju,pastu,apylinke
Tadeuš ANDŽEJEVSKI,,0.38%, ,0.38%,3, Ambasada Vokietijos Federacinėje Respublikoje
Audronė NEKROŠIENĖ,,5.77%,14,5.73%,31, Ambasada Vokietijos Federacinėje Respublikoje
Gintaras SONGAILA,,2.69%,3,2.67%,18, Ambasada Vokietijos Federacinėje Respublikoje
Lilijana ASTRA,,1.79%,4,1.78%,10, Ambasada Vokietijos Federacinėje Respublikoje
Petras RUZGUS,,1.54%,3,1.53%,9, Ambasada Vokietijos Federacinėje Respublikoje
Liudvikas RAGAUSKIS,,1.67%,2,1.65%,11, Ambasada Vokietijos Federacinėje Respublikoje
Janina SLAVINSKAJA,,0.26%, ,0.25%,2, Ambasada Vokietijos Federacinėje Respublikoje
Jurijus PIVORIŪNAS,,1.28%,1,1.27%,9, Ambasada Vokietijos Federacinėje Respublikoje
Irena DEGUTIENĖ,,78.57%, ,78.57%,11, Balsavimo vieta Vengrijos Respublikoje
Algirdas GRICIUS,,7.14%, ,7.14%,1, Balsavimo vieta Vengrijos Respublikoje
Gintautas BUŽINSKAS,, , , , , Balsavimo vieta Vengrijos Respublikoje
Marija Aušrinė PAVILIONIENĖ,, , , , , Balsavimo vieta Vengrijos Respublikoje
Giedrė PURVANECKIENĖ,, , , , , Balsavimo vieta Vengrijos Respublikoje
Vytas NAVICKAS,, , , , , Balsavimo vieta Vengrijos Respublikoje
Nikolajus MANANIKOVAS,, , , , , Balsavimo vieta Vengrijos Respublikoje
Tadeuš ANDŽEJEVSKI,, , , , , Balsavimo vieta Vengrijos Respublikoje
Audronė NEKROŠIENĖ,,14.29%, ,14.29%,2, Balsavimo vieta Vengrijos Respublikoje
Gintaras SONGAILA,, , , , , Balsavimo vieta Vengrijos Respublikoje
Lilijana ASTRA,, , , , , Balsavimo vieta Vengrijos Respublikoje
Petras RUZGUS,, , , , , Balsavimo vieta Vengrijos Respublikoje
Liudvikas RAGAUSKIS,, , , , , Balsavimo vieta Vengrijos Respublikoje
Janina SLAVINSKAJA,, , , , , Balsavimo vieta Vengrijos Respublikoje
Jurijus PIVORIŪNAS,, , , , , Balsavimo vieta Vengrijos Respublikoje
Irena DEGUTIENĖ,,77.27%,17,77.27%, , Garbės konsulatas Venesueloje
Algirdas GRICIUS,,4.55%,1,4.55%, , Garbės konsulatas Venesueloje
Gintautas BUŽINSKAS,, , , , , Garbės konsulatas Venesueloje
Marija Aušrinė PAVILIONIENĖ,, , , , , Garbės konsulatas Venesueloje
Giedrė PURVANECKIENĖ,, , , , , Garbės konsulatas Venesueloje
Vytas NAVICKAS,,4.55%,1,4.55%, , Garbės konsulatas Venesueloje
Nikolajus MANANIKOVAS,, , , , , Garbės konsulatas Venesueloje
Tadeuš ANDŽEJEVSKI,,4.55%,1,4.55%, , Garbės konsulatas Venesueloje
Audronė NEKROŠIENĖ,,9.09%,2,9.09%, , Garbės konsulatas Venesueloje
Gintaras SONGAILA,, , , , , Garbės konsulatas Venesueloje
Lilijana ASTRA,, , , , , Garbės konsulatas Venesueloje
Petras RUZGUS,, , , , , Garbės konsulatas Venesueloje
Liudvikas RAGAUSKIS,, , , , , Garbės konsulatas Venesueloje
Janina SLAVINSKAJA,, , , , , Garbės konsulatas Venesueloje
Jurijus PIVORIŪNAS,, , , , , Garbės konsulatas Venesueloje
Irena DEGUTIENĖ,,62.96%,17,62.96%, , Garbės konsulatas Urugvajaus Rytų Respublikai
Algirdas GRICIUS,,7.41%,2,7.41%, , Garbės konsulatas Urugvajaus Rytų Respublikai
Gintautas BUŽINSKAS,, , , , , Garbės konsulatas Urugvajaus Rytų Respublikai
Marija Aušrinė PAVILIONIENĖ,, , , , , Garbės konsulatas Urugvajaus Rytų Respublikai
Giedrė PURVANECKIENĖ,,7.41%,2,7.41%, , Garbės konsulatas Urugvajaus Rytų Respublikai
Vytas NAVICKAS,,3.70%,1,3.70%, , Garbės konsulatas Urugvajaus Rytų Respublikai
Nikolajus MANANIKOVAS,, , , , , Garbės konsulatas Urugvajaus Rytų Respublikai
Tadeuš ANDŽEJEVSKI,, , , , , Garbės konsulatas Urugvajaus Rytų Respublikai
Audronė NEKROŠIENĖ,,7.41%,2,7.41%, , Garbės konsulatas Urugvajaus Rytų Respublikai
Gintaras SONGAILA,,3.70%,1,3.70%, , Garbės konsulatas Urugvajaus Rytų Respublikai
Lilijana ASTRA,,7.41%,2,7.41%, , Garbės konsulatas Urugvajaus Rytų Respublikai
Petras RUZGUS,, , , , , Garbės konsulatas Urugvajaus Rytų Respublikai
Liudvikas RAGAUSKIS,, , , , , Garbės konsulatas Urugvajaus Rytų Respublikai
Janina SLAVINSKAJA,, , , , , Garbės konsulatas Urugvajaus Rytų Respublikai
Jurijus PIVORIŪNAS,, , , , , Garbės konsulatas Urugvajaus Rytų Respublikai
Irena DEGUTIENĖ,,15.00%, ,15.00%,21, Ambasada Ukrainoje
Algirdas GRICIUS,,13.57%, ,13.57%,19, Ambasada Ukrainoje
Gintautas BUŽINSKAS,,11.43%, ,11.43%,16, Ambasada Ukrainoje
Marija Aušrinė PAVILIONIENĖ,,11.43%, ,11.43%,16, Ambasada Ukrainoje
Giedrė PURVANECKIENĖ,,16.43%, ,16.43%,23, Ambasada Ukrainoje
Vytas NAVICKAS,,12.86%, ,12.86%,18, Ambasada Ukrainoje
Nikolajus MANANIKOVAS,,4.29%, ,4.29%,6, Ambasada Ukrainoje
Tadeuš ANDŽEJEVSKI,, , , , , Ambasada Ukrainoje
Audronė NEKROŠIENĖ,,6.43%, ,6.43%,9, Ambasada Ukrainoje
Gintaras SONGAILA,,2.14%, ,2.14%,3, Ambasada Ukrainoje
Lilijana ASTRA,,0.71%, ,0.71%,1, Ambasada Ukrainoje
Petras RUZGUS,,0.71%, ,0.71%,1, Ambasada Ukrainoje
Liudvikas RAGAUSKIS,, , , , , Ambasada Ukrainoje
Janina SLAVINSKAJA,, , , , , Ambasada Ukrainoje
Jurijus PIVORIŪNAS,,5.00%, ,5.00%,7, Ambasada Ukrainoje
Irena DEGUTIENĖ,,33.33%,2,33.33%, , Ambasada Turkijos Respublikoje
Algirdas GRICIUS,,66.67%,4,66.67%, , Ambasada Turkijos Respublikoje
Gintautas BUŽINSKAS,, , , , , Ambasada Turkijos Respublikoje
Marija Aušrinė PAVILIONIENĖ,, , , , , Ambasada Turkijos Respublikoje
Giedrė PURVANECKIENĖ,, , , , , Ambasada Turkijos Respublikoje
Vytas NAVICKAS,, , , , , Ambasada Turkijos Respublikoje
Nikolajus MANANIKOVAS,, , , , , Ambasada Turkijos Respublikoje
Tadeuš ANDŽEJEVSKI,, , , , , Ambasada Turkijos Respublikoje
Audronė NEKROŠIENĖ,, , , , , Ambasada Turkijos Respublikoje
Gintaras SONGAILA,, , , , , Ambasada Turkijos Respublikoje
Lilijana ASTRA,, , , , , Ambasada Turkijos Respublikoje
Petras RUZGUS,, , , , , Ambasada Turkijos Respublikoje
Liudvikas RAGAUSKIS,, , , , , Ambasada Turkijos Respublikoje
Janina SLAVINSKAJA,, , , , , Ambasada Turkijos Respublikoje
Jurijus PIVORIŪNAS,, , , , , Ambasada Turkijos Respublikoje
Irena DEGUTIENĖ,,39.29%,16,39.29%,50, Generalinis konsulatas Šveicarijos konfederacijoje
Algirdas GRICIUS,,21.43%,11,21.43%,25, Generalinis konsulatas Šveicarijos konfederacijoje
Gintautas BUŽINSKAS,,8.93%, ,8.93%,15, Generalinis konsulatas Šveicarijos konfederacijoje
Marija Aušrinė PAVILIONIENĖ,,3.57%, ,3.57%,6, Generalinis konsulatas Šveicarijos konfederacijoje
Giedrė PURVANECKIENĖ,,5.95%, ,5.95%,10, Generalinis konsulatas Šveicarijos konfederacijoje
Vytas NAVICKAS,,6.55%, ,6.55%,11, Generalinis konsulatas Šveicarijos konfederacijoje
Nikolajus MANANIKOVAS,,0.60%, ,0.60%,1, Generalinis konsulatas Šveicarijos konfederacijoje
Tadeuš ANDŽEJEVSKI,,0.60%, ,0.60%,1, Generalinis konsulatas Šveicarijos konfederacijoje
Audronė NEKROŠIENĖ,,2.38%,2,2.38%,2, Generalinis konsulatas Šveicarijos konfederacijoje
Gintaras SONGAILA,,1.19%, ,1.19%,2, Generalinis konsulatas Šveicarijos konfederacijoje
Lilijana ASTRA,,4.17%,1,4.17%,6, Generalinis konsulatas Šveicarijos konfederacijoje
Petras RUZGUS,,1.79%, ,1.79%,3, Generalinis konsulatas Šveicarijos konfederacijoje
Liudvikas RAGAUSKIS,,2.38%,1,2.38%,3, Generalinis konsulatas Šveicarijos konfederacijoje
Janina SLAVINSKAJA,, , , , , Generalinis konsulatas Šveicarijos konfederacijoje
Jurijus PIVORIŪNAS,,1.19%, ,1.19%,2, Generalinis konsulatas Šveicarijos konfederacijoje
Irena DEGUTIENĖ,,43.98%,17,42.06%,89, Ambasada Švedijos Karalystėje
Algirdas GRICIUS,,24.90%,19,23.81%,41, Ambasada Švedijos Karalystėje
Gintautas BUŽINSKAS,,4.56%,4,4.37%,7, Ambasada Švedijos Karalystėje
Marija Aušrinė PAVILIONIENĖ,,4.98%,2,4.76%,10, Ambasada Švedijos Karalystėje
Giedrė PURVANECKIENĖ,,9.13%,5,8.73%,17, Ambasada Švedijos Karalystėje
Vytas NAVICKAS,,1.24%, ,1.19%,3, Ambasada Švedijos Karalystėje
Nikolajus MANANIKOVAS,,0.83%, ,0.79%,2, Ambasada Švedijos Karalystėje
Tadeuš ANDŽEJEVSKI,, , , , , Ambasada Švedijos Karalystėje
Audronė NEKROŠIENĖ,,6.22%,1,5.95%,14, Ambasada Švedijos Karalystėje
Gintaras SONGAILA,,1.24%, ,1.19%,3, Ambasada Švedijos Karalystėje
Lilijana ASTRA,,0.83%, ,0.79%,2, Ambasada Švedijos Karalystėje
Petras RUZGUS,,1.24%,1,1.19%,2, Ambasada Švedijos Karalystėje
Liudvikas RAGAUSKIS,,0.83%, ,0.79%,2, Ambasada Švedijos Karalystėje
Janina SLAVINSKAJA,, , , , , Ambasada Švedijos Karalystėje
Jurijus PIVORIŪNAS,, , , , , Ambasada Švedijos Karalystėje
Irena DEGUTIENĖ,,38.40%,23,37.50%,25, Ambasada Suomijos Respublikoje
Algirdas GRICIUS,,28.00%,12,27.34%,23, Ambasada Suomijos Respublikoje
Gintautas BUŽINSKAS,,8.80%,1,8.59%,10, Ambasada Suomijos Respublikoje
Marija Aušrinė PAVILIONIENĖ,,2.40%,1,2.34%,2, Ambasada Suomijos Respublikoje
Giedrė PURVANECKIENĖ,,7.20%,4,7.03%,5, Ambasada Suomijos Respublikoje
Vytas NAVICKAS,,3.20%,1,3.13%,3, Ambasada Suomijos Respublikoje
Nikolajus MANANIKOVAS,,2.40%,1,2.34%,2, Ambasada Suomijos Respublikoje
Tadeuš ANDŽEJEVSKI,,0.80%, ,0.78%,1, Ambasada Suomijos Respublikoje
Audronė NEKROŠIENĖ,,4.80%,3,4.69%,3, Ambasada Suomijos Respublikoje
Gintaras SONGAILA,,0.80%,1,0.78%, , Ambasada Suomijos Respublikoje
Lilijana ASTRA,, , , , , Ambasada Suomijos Respublikoje
Petras RUZGUS,,1.60%,2,1.56%, , Ambasada Suomijos Respublikoje
Liudvikas RAGAUSKIS,, , , , , Ambasada Suomijos Respublikoje
Janina SLAVINSKAJA,,1.60%, ,1.56%,2, Ambasada Suomijos Respublikoje
Jurijus PIVORIŪNAS,, , , , , Ambasada Suomijos Respublikoje
Irena DEGUTIENĖ,,10.92%,13,9.92%, , Generalinis konsulatas Sovietske
Algirdas GRICIUS,,7.56%,9,6.87%, , Generalinis konsulatas Sovietske
Gintautas BUŽINSKAS,,19.33%,23,17.56%, , Generalinis konsulatas Sovietske
Marija Aušrinė PAVILIONIENĖ,,17.65%,21,16.03%, , Generalinis konsulatas Sovietske
Giedrė PURVANECKIENĖ,,8.40%,10,7.63%, , Generalinis konsulatas Sovietske
Vytas NAVICKAS,,15.13%,18,13.74%, , Generalinis konsulatas Sovietske
Nikolajus MANANIKOVAS,,3.36%,4,3.05%, , Generalinis konsulatas Sovietske
Tadeuš ANDŽEJEVSKI,,1.68%,2,1.53%, , Generalinis konsulatas Sovietske
Audronė NEKROŠIENĖ,,8.40%,10,7.63%, , Generalinis konsulatas Sovietske
Gintaras SONGAILA,,2.52%,3,2.29%, , Generalinis konsulatas Sovietske
Lilijana ASTRA,,0.84%,1,0.76%, , Generalinis konsulatas Sovietske
Petras RUZGUS,,0.84%,1,0.76%, , Generalinis konsulatas Sovietske
Liudvikas RAGAUSKIS,,0.84%,1,0.76%, , Generalinis konsulatas Sovietske
Janina SLAVINSKAJA,,0.84%,1,0.76%, , Generalinis konsulatas Sovietske
Jurijus PIVORIŪNAS,,1.68%,2,1.53%, , Generalinis konsulatas Sovietske
Irena DEGUTIENĖ,,14.66%, ,14.29%,17, Generalinis konsulatas Sankt-Peterburge
Algirdas GRICIUS,,6.03%, ,5.88%,7, Generalinis konsulatas Sankt-Peterburge
Gintautas BUŽINSKAS,,15.52%, ,15.13%,18, Generalinis konsulatas Sankt-Peterburge
Marija Aušrinė PAVILIONIENĖ,,5.17%, ,5.04%,6, Generalinis konsulatas Sankt-Peterburge
Giedrė PURVANECKIENĖ,,10.34%, ,10.08%,12, Generalinis konsulatas Sankt-Peterburge
Vytas NAVICKAS,,18.97%, ,18.49%,22, Generalinis konsulatas Sankt-Peterburge
Nikolajus MANANIKOVAS,,10.34%, ,10.08%,12, Generalinis konsulatas Sankt-Peterburge
Tadeuš ANDŽEJEVSKI,,0.86%, ,0.84%,1, Generalinis konsulatas Sankt-Peterburge
Audronė NEKROŠIENĖ,,8.62%, ,8.40%,10, Generalinis konsulatas Sankt-Peterburge
Gintaras SONGAILA,,2.59%, ,2.52%,3, Generalinis konsulatas Sankt-Peterburge
Lilijana ASTRA,,1.72%, ,1.68%,2, Generalinis konsulatas Sankt-Peterburge
Petras RUZGUS,, , , , , Generalinis konsulatas Sankt-Peterburge
Liudvikas RAGAUSKIS,,3.45%, ,3.36%,4, Generalinis konsulatas Sankt-Peterburge
Janina SLAVINSKAJA,, , , , , Generalinis konsulatas Sankt-Peterburge
Jurijus PIVORIŪNAS,,1.72%, ,1.68%,2, Generalinis konsulatas Sankt-Peterburge
Irena DEGUTIENĖ,,16.88%,25,15.95%,1, Generalinis konsulatas Kaliningrade
Algirdas GRICIUS,,9.09%,13,8.59%,1, Generalinis konsulatas Kaliningrade
Gintautas BUŽINSKAS,,14.94%,19,14.11%,4, Generalinis konsulatas Kaliningrade
Marija Aušrinė PAVILIONIENĖ,,7.79%,9,7.36%,3, Generalinis konsulatas Kaliningrade
Giedrė PURVANECKIENĖ,,3.90%,5,3.68%,1, Generalinis konsulatas Kaliningrade
Vytas NAVICKAS,,18.83%,26,17.79%,3, Generalinis konsulatas Kaliningrade
Nikolajus MANANIKOVAS,,7.79%,11,7.36%,1, Generalinis konsulatas Kaliningrade
Tadeuš ANDŽEJEVSKI,,1.30%,2,1.23%, , Generalinis konsulatas Kaliningrade
Audronė NEKROŠIENĖ,,7.14%,11,6.75%, , Generalinis konsulatas Kaliningrade
Gintaras SONGAILA,,4.55%,7,4.29%, , Generalinis konsulatas Kaliningrade
Lilijana ASTRA,,1.30%,2,1.23%, , Generalinis konsulatas Kaliningrade
Petras RUZGUS,,1.30%,2,1.23%, , Generalinis konsulatas Kaliningrade
Liudvikas RAGAUSKIS,,1.95%,3,1.84%, , Generalinis konsulatas Kaliningrade
Janina SLAVINSKAJA,,0.65%,1,0.61%, , Generalinis konsulatas Kaliningrade
Jurijus PIVORIŪNAS,,2.60%,4,2.45%, , Generalinis konsulatas Kaliningrade
Irena DEGUTIENĖ,,28.73%,62,27.82%,17, Ambasada Rusijos Federacijoje
Algirdas GRICIUS,,12.73%,33,12.32%,2, Ambasada Rusijos Federacijoje
Gintautas BUŽINSKAS,,10.18%,23,9.86%,5, Ambasada Rusijos Federacijoje
Marija Aušrinė PAVILIONIENĖ,,6.18%,14,5.99%,3, Ambasada Rusijos Federacijoje
Giedrė PURVANECKIENĖ,,10.18%,16,9.86%,12, Ambasada Rusijos Federacijoje
Vytas NAVICKAS,,11.27%,18,10.92%,13, Ambasada Rusijos Federacijoje
Nikolajus MANANIKOVAS,,8.36%,9,8.10%,14, Ambasada Rusijos Federacijoje
Tadeuš ANDŽEJEVSKI,,1.09%,1,1.06%,2, Ambasada Rusijos Federacijoje
Audronė NEKROŠIENĖ,,4.36%,11,4.23%,1, Ambasada Rusijos Federacijoje
Gintaras SONGAILA,,1.82%,5,1.76%, , Ambasada Rusijos Federacijoje
Lilijana ASTRA,,1.09%,3,1.06%, , Ambasada Rusijos Federacijoje
Petras RUZGUS,,1.09%,2,1.06%,1, Ambasada Rusijos Federacijoje
Liudvikas RAGAUSKIS,,0.73%,2,0.70%, , Ambasada Rusijos Federacijoje
Janina SLAVINSKAJA,,0.73%,1,0.70%,1, Ambasada Rusijos Federacijoje
Jurijus PIVORIŪNAS,,1.45%,2,1.41%,2, Ambasada Rusijos Federacijoje
Irena DEGUTIENĖ,,59.67%,37,59.02%,71, Ambasada Prancūzijos Respublikoje
Algirdas GRICIUS,,18.23%,11,18.03%,22, Ambasada Prancūzijos Respublikoje
Gintautas BUŽINSKAS,,2.21%,3,2.19%,1, Ambasada Prancūzijos Respublikoje
Marija Aušrinė PAVILIONIENĖ,,2.21%,2,2.19%,2, Ambasada Prancūzijos Respublikoje
Giedrė PURVANECKIENĖ,,9.39%,3,9.29%,14, Ambasada Prancūzijos Respublikoje
Vytas NAVICKAS,,1.10%, ,1.09%,2, Ambasada Prancūzijos Respublikoje
Nikolajus MANANIKOVAS,, , , , , Ambasada Prancūzijos Respublikoje
Tadeuš ANDŽEJEVSKI,,0.55%, ,0.55%,1, Ambasada Prancūzijos Respublikoje
Audronė NEKROŠIENĖ,,1.66%,2,1.64%,1, Ambasada Prancūzijos Respublikoje
Gintaras SONGAILA,,0.55%, ,0.55%,1, Ambasada Prancūzijos Respublikoje
Lilijana ASTRA,,1.10%,1,1.09%,1, Ambasada Prancūzijos Respublikoje
Petras RUZGUS,,0.55%, ,0.55%,1, Ambasada Prancūzijos Respublikoje
Liudvikas RAGAUSKIS,,2.21%,1,2.19%,3, Ambasada Prancūzijos Respublikoje
Janina SLAVINSKAJA,, , , , , Ambasada Prancūzijos Respublikoje
Jurijus PIVORIŪNAS,,0.55%, ,0.55%,1, Ambasada Prancūzijos Respublikoje
Irena DEGUTIENĖ,,20.45%, ,19.57%,9, Ambasada Portugalijos Respublikoje
Algirdas GRICIUS,,15.91%, ,15.22%,7, Ambasada Portugalijos Respublikoje
Gintautas BUŽINSKAS,,20.45%, ,19.57%,9, Ambasada Portugalijos Respublikoje
Marija Aušrinė PAVILIONIENĖ,,15.91%, ,15.22%,7, Ambasada Portugalijos Respublikoje
Giedrė PURVANECKIENĖ,,11.36%, ,10.87%,5, Ambasada Portugalijos Respublikoje
Vytas NAVICKAS,,4.55%, ,4.35%,2, Ambasada Portugalijos Respublikoje
Nikolajus MANANIKOVAS,, , , , , Ambasada Portugalijos Respublikoje
Tadeuš ANDŽEJEVSKI,, , , , , Ambasada Portugalijos Respublikoje
Audronė NEKROŠIENĖ,,2.27%, ,2.17%,1, Ambasada Portugalijos Respublikoje
Gintaras SONGAILA,, , , , , Ambasada Portugalijos Respublikoje
Lilijana ASTRA,, , , , , Ambasada Portugalijos Respublikoje
Petras RUZGUS,,2.27%, ,2.17%,1, Ambasada Portugalijos Respublikoje
Liudvikas RAGAUSKIS,, , , , , Ambasada Portugalijos Respublikoje
Janina SLAVINSKAJA,, , , , , Ambasada Portugalijos Respublikoje
Jurijus PIVORIŪNAS,,6.82%, ,6.52%,3, Ambasada Portugalijos Respublikoje
Irena DEGUTIENĖ,,49.04%, ,48.43%,77, Ambasada Norvegijos Karalystėje
Algirdas GRICIUS,,17.83%, ,17.61%,28, Ambasada Norvegijos Karalystėje
Gintautas BUŽINSKAS,,5.10%, ,5.03%,8, Ambasada Norvegijos Karalystėje
Marija Aušrinė PAVILIONIENĖ,,8.92%, ,8.81%,14, Ambasada Norvegijos Karalystėje
Giedrė PURVANECKIENĖ,,10.19%, ,10.06%,16, Ambasada Norvegijos Karalystėje
Vytas NAVICKAS,,1.91%, ,1.89%,3, Ambasada Norvegijos Karalystėje
Nikolajus MANANIKOVAS,, , , , , Ambasada Norvegijos Karalystėje
Tadeuš ANDŽEJEVSKI,, , , , , Ambasada Norvegijos Karalystėje
Audronė NEKROŠIENĖ,,3.18%, ,3.14%,5, Ambasada Norvegijos Karalystėje
Gintaras SONGAILA,,0.64%, ,0.63%,1, Ambasada Norvegijos Karalystėje
Lilijana ASTRA,,0.64%, ,0.63%,1, Ambasada Norvegijos Karalystėje
Petras RUZGUS,,1.27%, ,1.26%,2, Ambasada Norvegijos Karalystėje
Liudvikas RAGAUSKIS,,1.27%, ,1.26%,2, Ambasada Norvegijos Karalystėje
Janina SLAVINSKAJA,, , , , , Ambasada Norvegijos Karalystėje
Jurijus PIVORIŪNAS,, , , , , Ambasada Norvegijos Karalystėje
Irena DEGUTIENĖ,,46.08%, ,44.76%,47, Ambasada Nyderlandų Karalystėje
Algirdas GRICIUS,,19.61%, ,19.05%,20, Ambasada Nyderlandų Karalystėje
Gintautas BUŽINSKAS,,7.84%, ,7.62%,8, Ambasada Nyderlandų Karalystėje
Marija Aušrinė PAVILIONIENĖ,,1.96%, ,1.90%,2, Ambasada Nyderlandų Karalystėje
Giedrė PURVANECKIENĖ,,11.76%, ,11.43%,12, Ambasada Nyderlandų Karalystėje
Vytas NAVICKAS,,1.96%, ,1.90%,2, Ambasada Nyderlandų Karalystėje
Nikolajus MANANIKOVAS,,0.98%, ,0.95%,1, Ambasada Nyderlandų Karalystėje
Tadeuš ANDŽEJEVSKI,,0.98%, ,0.95%,1, Ambasada Nyderlandų Karalystėje
Audronė NEKROŠIENĖ,,0.98%, ,0.95%,1, Ambasada Nyderlandų Karalystėje
Gintaras SONGAILA,, , , , , Ambasada Nyderlandų Karalystėje
Lilijana ASTRA,,1.96%, ,1.90%,2, Ambasada Nyderlandų Karalystėje
Petras RUZGUS,,1.96%, ,1.90%,2, Ambasada Nyderlandų Karalystėje
Liudvikas RAGAUSKIS,,1.96%, ,1.90%,2, Ambasada Nyderlandų Karalystėje
Janina SLAVINSKAJA,,0.98%, ,0.95%,1, Ambasada Nyderlandų Karalystėje
Jurijus PIVORIŪNAS,,0.98%, ,0.95%,1, Ambasada Nyderlandų Karalystėje
Irena DEGUTIENĖ,,76.27%,41,76.27%,4, Konsulatas Seinuose
Algirdas GRICIUS,,1.69%,1,1.69%, , Konsulatas Seinuose
Gintautas BUŽINSKAS,,5.08%,3,5.08%, , Konsulatas Seinuose
Marija Aušrinė PAVILIONIENĖ,, , , , , Konsulatas Seinuose
Giedrė PURVANECKIENĖ,,6.78%,4,6.78%, , Konsulatas Seinuose
Vytas NAVICKAS,, , , , , Konsulatas Seinuose
Nikolajus MANANIKOVAS,, , , , , Konsulatas Seinuose
Tadeuš ANDŽEJEVSKI,, , , , , Konsulatas Seinuose
Audronė NEKROŠIENĖ,,3.39%,2,3.39%, , Konsulatas Seinuose
Gintaras SONGAILA,,6.78%,4,6.78%, , Konsulatas Seinuose
Lilijana ASTRA,, , , , , Konsulatas Seinuose
Petras RUZGUS,, , , , , Konsulatas Seinuose
Liudvikas RAGAUSKIS,, , , , , Konsulatas Seinuose
Janina SLAVINSKAJA,, , , , , Konsulatas Seinuose
Jurijus PIVORIŪNAS,, , , , , Konsulatas Seinuose
