kandidatas,apygarda,nuo_galiojanciu_biuleteniu,nuo_rinkeju,apylinkese,pastu
Saulius STOMA,Dainavos (Nr.16) apygarda,"44,18%","39,99%",4262,220
Arimantas DUMČIUS,Kalniečių (Nr.15) apygarda,"59,51%","55,65%",5611,354
Zenonas ŽYMANČIUS,Kalniečių (Nr.15) apygarda,"40,49%","37,87%",3878,181
Rasa JUKNEVIČIENĖ,Žaliakalnio (Nr.14) apygarda,"57,49%","53,29%",5714,460
Algirdas Vaclovas PATACKAS,Žaliakalnio (Nr.14) apygarda,"42,51%","39,40%",4328,237
Vincė Vaidevutė MARGEVIČIENĖ,Centro (Nr.13) apygarda,"58,07%","53,97%",5656,671
Gintaras DRUČKUS,Centro (Nr.13) apygarda,"41,93%","38,97%",4175,394
Rytas KUPČINSKAS,Aleksoto -  Vilijampolės (Nr.12) apygarda,"58,08%","54,64%",7217,521
Sigytas KLIMAS,Aleksoto -  Vilijampolės (Nr.12) apygarda,"41,92%","39,44%",5247,339
Rimantas Jonas DAGYS,Šilainių (Nr.11) apygarda,"54,72%","51,43%",6907,465
Saulius GIRDAUSKAS,Šilainių (Nr.11) apygarda,"45,28%","42,55%",5850,250
Sergej URSUL,Naujosios Vilnios (Nr.10) apygarda,"57,76%","51,18%",5645,292
Tadeuš ANDŽEJEVSKI,Naujosios Vilnios (Nr.10) apygarda,"42,24%","37,43%",4047,295
Algis STRELČIŪNAS,Lazdynų (Nr.9) apygarda,"58,67%","50,31%",6650,488
Gintaras STEPONAVIČIUS,Lazdynų (Nr.9) apygarda,"41,33%","35,45%",4705,324
Linas BALSYS,Karoliniškių (Nr.8) apygarda,"61,80%","58,38%",9876,399
Danutė BEKINTIENĖ,Karoliniškių (Nr.8) apygarda,"38,20%","36,09%",5929,423
Paulius SAUDARGAS,Justiniškių (Nr.7) apygarda,"66,54%","62,09%",10299,605
Sofija MATAREVIČ,Justiniškių (Nr.7) apygarda,"33,46%","31,22%",5312,170
Audronius AŽUBALIS,Šeškinės (Nr.6) apygarda,"61,37%","56,75%",8855,562
Zbigniev MACIEJEVSKI,Šeškinės (Nr.6) apygarda,"38,63%","35,72%",5718,210
Dainius KREIVYS,Fabijoniškių (Nr.5) apygarda,"56,77%","54,48%",8167,561
Artūras PAULAUSKAS,Fabijoniškių (Nr.5) apygarda,"43,23%","41,48%",6338,307
Vytenis Povilas ANDRIUKAITIS,Žirmūnų (Nr.4) apygarda,"52,04%","49,71%",7942,507
Vilija ALEKNAITĖ ABRAMIKIENĖ,Žirmūnų (Nr.4) apygarda,"47,96%","45,83%",7175,613
Andrius KUBILIUS,Antakalnio (Nr.3) apygarda,"62,83%","58,67%",8894,531
Aurelija STANCIKIENĖ,Antakalnio (Nr.3) apygarda,"37,17%","34,70%",5285,290
Arvydas ANUŠAUSKAS,Senamiesčio (Nr.2) apygarda,"53,25%","47,11%",6178,747
Petras AUŠTREVIČIUS,Senamiesčio (Nr.2) apygarda,"46,75%","41,36%",5532,548
