kandidatas,apygarda,nuo_galiojanciu_biuleteniu,nuo_rinkeju,apylinkese,pastu
Irena DEGUTIENĖ,Naujamiesčio (Nr.1) apygarda,"69,39%","66,37%",10585,6350
NERINGA VENCKIENĖ,Naujamiesčio (Nr.1) apygarda,"30,61%","29,28%",4757,2715
Kristina MIŠKINIENĖ,Lazdijų - Druskininkų (Nr.71) apygarda,"61,15%","59,06%",7352,1706
Vaidas ŠALAŠEVIČIUS,Lazdijų - Druskininkų (Nr.71) apygarda,"38,85%","37,53%",4173,1582
Algis KAŠĖTA,Varėnos - Eišiškių (Nr.70) apygarda,"59,65%","57,66%",5347,1814
Zdzislav PALEVIČ,Varėnos - Eišiškių (Nr.70) apygarda,"40,35%","39,00%",3752,1092
Raimundas MARKAUSKAS,Dzūkijos (Nr.69) apygarda,"57,53%","54,77%",6941,1142
Gediminas KRASAUSKAS,Dzūkijos (Nr.69) apygarda,"42,47%","40,43%",4623,1344
Andrius PALIONIS,Prienų - Birštono (Nr.67) apygarda,"72,84%","70,20%",5296,1646
Alvydas VAICEKAUSKAS,Prienų - Birštono (Nr.67) apygarda,"27,16%","26,18%",1958,631
Donatas JANKAUSKAS,Kauno kaimiškoji (Nr.66) apygarda,"63,19%","58,76%",8288,711
Audronė SKUČIENĖ,Kauno kaimiškoji (Nr.66) apygarda,"36,81%","34,23%",4890,352
Raminta POPOVIENĖ,Kauno - Kėdainių (Nr.65) apygarda,"52,32%","48,47%",5626,950
Vydas GEDVILAS,Kauno - Kėdainių (Nr.65) apygarda,"47,68%","44,18%",5052,942
Mindaugas BASTYS,Šakių (Nr.64) apygarda,"63,56%","61,87%",5463,1509
Algirdas KLIMAITIS,Šakių (Nr.64) apygarda,"36,44%","35,48%",2972,1026
Juozas OLEKAS,Suvalkijos (Nr.63) apygarda,"60,80%","57,56%",4908,1426
Algimanta PABEDINSKIENĖ,Suvalkijos (Nr.63) apygarda,"39,20%","37,11%",3370,714
Bronius PAUŽA,Jurbarko (Nr.62) apygarda,"63,92%","60,00%",4467,1414
Robertas Raimundas IŠGANAITIS,Jurbarko (Nr.62) apygarda,"36,08%","33,87%",2635,685
Julius VESELKA,Ukmergės (Nr.61) apygarda,"51,35%","48,30%",4077,1160
Loreta GRAUŽINIENĖ,Ukmergės (Nr.61) apygarda,"48,65%","45,75%",4073,888
Rimantas SINKEVIČIUS,Jonavos (Nr.60) apygarda,"63,81%","61,96%",7268,1012
Saulius JAKIMAVIČIUS,Jonavos (Nr.60) apygarda,"36,19%","35,15%",4149,548
Bronius BRADAUSKAS,Kaišiadorių - Elektrėnų (Nr.59) apygarda,"58,74%","55,05%",5312,1703
Stanislovas TOMAS,Kaišiadorių - Elektrėnų (Nr.59) apygarda,"41,26%","38,68%",3949,979
Dangutė MIKUTIENĖ,Trakų - Elektrėnų (Nr.58) apygarda,"51,79%","49,82%",5317,1023
Jonas LIESYS,Trakų - Elektrėnų (Nr.58) apygarda,"48,21%","46,38%",4941,961
Jaroslav NARKEVIČ,Vilniaus - Trakų (Nr.57) apygarda,"55,59%","51,83%",5826,1239
Mingailė BINKAUSKAITĖ,Vilniaus - Trakų (Nr.57) apygarda,"44,41%","41,41%",5217,428
Rita TAMAŠUNIENĖ,Širvintų - Vilniaus (Nr.55) apygarda,"60,53%","54,74%",7158,2087
Živilė PINSKUVIENĖ,Širvintų - Vilniaus (Nr.55) apygarda,"39,47%","35,70%",5003,1026
Petras ČIMBARAS,Molėtų - Švenčionių (Nr.54) apygarda,"59,86%","58,03%",5488,1386
Valentinas STUNDYS,Molėtų - Švenčionių (Nr.54) apygarda,"40,14%","38,92%",3512,1098
Šarūnas BIRUTIS,Ignalinos - Švenčionių (Nr.53) apygarda,"55,74%","53,34%",4246,1797
Vilius CIBULSKAS,Ignalinos - Švenčionių (Nr.53) apygarda,"44,26%","42,35%",3357,1441
Milda PETRAUSKIENĖ,Utenos (Nr.51) apygarda,"54,34%","52,86%",6634,1209
Edmundas PUPINIS,Utenos (Nr.51) apygarda,"45,66%","44,41%",5440,1149
Vytautas SAULIS,Rokiškio (Nr.50) apygarda,"61,96%","59,27%",5759,1417
Aloyzas JOČYS,Rokiškio (Nr.50) apygarda,"38,04%","36,39%",3695,711
Ričardas SARGŪNAS,Anykščių - Kupiškio (Nr.49) apygarda,"59,25%","56,46%",5847,1409
Jonas ŠIMĖNAS,Anykščių - Kupiškio (Nr.49) apygarda,"40,75%","38,83%",3669,1321
Aleksandras ZELTINIS,Biržų - Kupiškio (Nr.48) apygarda,"51,94%","49,56%",4786,1545
Ritas VAIGINAS,Biržų - Kupiškio (Nr.48) apygarda,"48,06%","45,85%",4687,1170
Antanas MATULAS,Pasvalio - Panevėžio (Nr.47) apygarda,"52,09%","50,40%",4712,1586
Vytautas LIEPA,Pasvalio - Panevėžio (Nr.47) apygarda,"47,91%","46,36%",4757,1036
Vitalijus GAILIUS,Pakruojo - Joniškio (Nr.46) apygarda,"56,79%","55,45%",5242,1525
Stasys TUMĖNAS,Pakruojo - Joniškio (Nr.46) apygarda,"43,21%","42,19%",3947,1202
Rima BAŠKIENĖ,Šiaulių kaimiškoji (Nr.45) apygarda,"54,96%","52,96%",6071,736
Linas ANDRULIS,Šiaulių kaimiškoji (Nr.45) apygarda,"45,04%","43,41%",4737,842
Algimantas SALAMAKINAS,Radviliškio (Nr.44) apygarda,"61,66%","59,88%",5980,1342
Zita ŽVIKIENĖ,Radviliškio (Nr.44) apygarda,"38,34%","37,24%",3620,933
Edmundas JONYLA,Raseinių (Nr.42) apygarda,"58,30%","56,63%",6197,1726
Darius ULICKAS,Raseinių (Nr.42) apygarda,"41,70%","40,51%",4700,968
Alma MONKAUSKAITĖ,Kelmės (Nr.41) apygarda,"52,34%","51,14%",4014,1062
Izidorius ŠIMKUS,Kelmės (Nr.41) apygarda,"47,66%","46,58%",3711,912
Valentinas BUKAUSKAS,Telšių (Nr.40) apygarda,"56,57%","54,76%",6017,1110
Vytautas KLEIVA,Telšių (Nr.40) apygarda,"43,43%","42,04%",4570,902
Saulius BUCEVIČIUS,Akmenės - Joniškio (Nr.39) apygarda,"62,12%","59,24%",5241,969
Zofija PAULIKIENĖ,Akmenės - Joniškio (Nr.39) apygarda,"37,88%","36,12%",3011,775
Kęstutis BARTKEVIČIUS,Mažeikių (Nr.38) apygarda,"55,85%","53,10%",5478,479
Laima NAGIENĖ,Mažeikių (Nr.38) apygarda,"44,15%","41,99%",4216,494
Audronė PITRĖNIENĖ,Skuodo  - Mažeikių (Nr.37) apygarda,"62,23%","59,84%",5133,1111
Gediminas ANUŽIS,Skuodo  - Mažeikių (Nr.37) apygarda,"37,77%","36,31%",2851,938
Jolita VAICKIENĖ,Kretingos (Nr.36) apygarda,"60,17%","58,08%",6158,1004
Vaidotas BACEVIČIUS,Kretingos (Nr.36) apygarda,"39,83%","38,45%",3907,834
Jurgis RAZMA,Plungės - Rietavo (Nr.35) apygarda,"50,20%","48,71%",5378,1297
Mindaugas JURČIUS,Plungės - Rietavo (Nr.35) apygarda,"49,80%","48,32%",5649,973
Darius PETROŠIUS,Tauragės (Nr.34) apygarda,"67,65%","64,52%",6314,1379
Stasys ŠEDBARAS,Tauragės (Nr.34) apygarda,"32,35%","30,86%",2987,692
Remigijus ŽEMAITAITIS,Šilalės - Šilutės (Nr.33) apygarda,"70,91%","69,55%",8186,1463
Jonas GUDAUSKAS,Šilalės - Šilutės (Nr.33) apygarda,"29,09%","28,53%",3071,887
Artūras SKARDŽIUS,Šilutės - Pagėgių (Nr.32) apygarda,"50,68%","47,61%",5443,896
Kęstas KOMSKIS,Šilutės - Pagėgių (Nr.32) apygarda,"49,32%","46,33%",5064,1105
Petras GRAŽULIS,Gargždų (Nr.31) apygarda,"58,34%","56,62%",7212,1301
Agnė BILOTAITĖ,Gargždų (Nr.31) apygarda,"41,66%","40,44%",5099,981
Julius SABATAUSKAS,Alytaus (Nr.30) apygarda,"52,83%","49,91%",5657,589
Kęstutis DAUKŠYS,Alytaus (Nr.30) apygarda,"47,17%","44,56%",4929,647
Albinas MITRULEVIČIUS,Marijampolės (Nr.29) apygarda,"67,16%","64,64%",6616,938
Arvydas VIDŽIŪNAS,Marijampolės (Nr.29) apygarda,"32,84%","31,61%",2958,736
Domas PETRULIS,Aukštaitijos (Nr.28) apygarda,"63,54%","58,11%",6141,935
Rimantas TROTA,Aukštaitijos (Nr.28) apygarda,"36,46%","33,34%",3606,454
Povilas URBŠYS,Vakarinė (Nr.27) apygarda,"70,94%","68,29%",9022,785
Alfonsas PETRAUSKAS,Vakarinė (Nr.27) apygarda,"29,06%","27,97%",3755,262
Petras NARKEVIČIUS,Nevėžio (Nr.26) apygarda,"52,95%","49,05%",5629,775
Julius DAUTARTAS,Nevėžio (Nr.26) apygarda,"47,05%","43,58%",4879,811
Valerijus SIMULIK,Dainų (Nr.25) apygarda,"60,73%","57,17%",5639,472
Valentinas MAZURONIS,Dainų (Nr.25) apygarda,"39,27%","36,96%",3719,232
Arvydas MOCKUS,Saulės (Nr.24) apygarda,"56,76%","51,81%",5023,497
Danguolė MARTINKIENĖ,Saulės (Nr.24) apygarda,"43,24%","39,47%",3708,498
Edvardas ŽAKARIS,Aušros (Nr.23) apygarda,"75,77%","70,64%",6704,747
Mindaugas KIESAS,Aušros (Nr.23) apygarda,"24,23%","22,59%",2160,223
Pranas ŽEIMYS,Pajūrio (Nr.22) apygarda,"50,16%","47,13%",5275,910
Genoveita KRASAUSKIENĖ,Pajūrio (Nr.22) apygarda,"49,84%","46,84%",5655,491
Eligijus MASIULIS,Marių (Nr.21) apygarda,"55,43%","52,79%",5145,345
Birutė BOREIKINA,Marių (Nr.21) apygarda,"44,57%","42,44%",4217,197
Raimundas PALIUKAS,Baltijos (Nr.20) apygarda,"50,32%","47,72%",5088,267
Artūras ŠULCAS,Baltijos (Nr.20) apygarda,"49,68%","47,12%",4907,380
Naglis PUTEIKIS,Danės (Nr.19) apygarda,"54,62%","50,31%",6490,735
Rimantas TARAŠKEVIČIUS,Danės (Nr.19) apygarda,"45,38%","41,80%",5438,565
Vida Marija ČIGRIEJIENĖ,Panemunės (Nr.18) apygarda,"55,62%","51,77%",5523,409
Jonas VARKALA,Panemunės (Nr.18) apygarda,"44,38%","41,31%",4442,292
Kazys STARKEVIČIUS,Pramonės (Nr.17) apygarda,"59,69%","55,21%",5425,386
Dainius DANILEVIČIUS,Pramonės (Nr.17) apygarda,"40,31%","37,28%",3704,220
Kazimieras KUZMINSKAS,Dainavos (Nr.16) apygarda,"55,82%","50,51%",5283,379
